## Ran on Mon Jul 19 15:08:18 2021 

Cal 0 : ConstCal;
Cal 1 : IntCal20, 4;
Cal 2 : Marine20;
Cal 3 : SHCal20, 4;

##   id.   age    std   depth  delta.R  delta.STD     t.a   t.b   cc
Det 0 : NA , 7860, 9670000, 0,  791,  121,  3,  4,  2;
Det 1 : 1 , 7860, 40, 150,  791,  121,  3,  4,  2;
Det 2 : 2 , 7890, 40, 155,  791,  121,  3,  4,  2;
Det 3 : 3 , 8010, 85, 160,  791,  121,  3,  4,  2;
Det 4 : 4 , 7805, 85, 170,  791,  121,  3,  4,  2;
Det 5 : 5 , 7780, 30, 185,  791,  121,  3,  4,  2;
Det 6 : 6 , 8170, 85, 205,  791,  121,  3,  4,  2;
Det 7 : 7 , 8115, 80, 210,  791,  121,  3,  4,  2;
Det 8 : SJ , 9670, 230, 250,  791,  121,  3,  4,  2;
Det 9 : 8 , 7920, 20, 256,  791,  121,  3,  4,  2;
Det 10 : 9 , 7705, 80, 270,  791,  121,  3,  4,  2;
Det 11 : 22 , 7831, 39, 279,  791,  121,  3,  4,  2;
Det 12 : 23 , 7883, 39, 279,  791,  121,  3,  4,  2;
Det 13 : 24 , 7853, 38, 279,  791,  121,  3,  4,  2;
Det 14 : 25 , 7842, 37, 279,  791,  121,  3,  4,  2;
Det 15 : 10 , 8005, 85, 295,  791,  121,  3,  4,  2;
Det 16 : 11 , 7950, 70, 305,  791,  121,  3,  4,  2;
Det 17 : 12 , 8020, 90, 305,  791,  121,  3,  4,  2;
Det 18 : 13 , 8145, 70, 310,  791,  121,  3,  4,  2;
Det 19 : 14 , 8015, 20, 311,  791,  121,  3,  4,  2;
Det 20 : 15 , 8300, 75, 330,  791,  121,  3,  4,  2;
Det 21 : 16 , 8005, 20, 341,  791,  121,  3,  4,  2;
Det 22 : 17 , 7995, 20, 346,  791,  121,  3,  4,  2;
Det 23 : 18 , 8100, 40, 350,  791,  121,  3,  4,  2;
Det 24 : 19 , 8090, 75, 350,  791,  121,  3,  4,  2;
Det 25 : 20 , 7995, 65, 400,  791,  121,  3,  4,  2;
Det 26 : 21 , 8195, 25, 447,  791,  121,  3,  4,  2;
Det 27 : NA , 8195, 9.67e+09, 500,  791,  121,  3,  4,  2;

##		 K   MinAge   MaxAge   th0   th0p   w.a   w.b   alpha  beta  dmin  dmax seed
Bacon 0: FixT, 102,  -71,  1e+06,  7883,  7874,  8,  12,  1.5,  3, 0, 510, 928371;
