labID,"		age","	error","	depth",cc,dR,dSTD,t.a,t.b
1,"	7860","	40","	150","	2","	791","	121","	3","	4"
2,"	7890","	40","	155","	2","	791","	121","	3","	4"
3,"	8010","	85","	160","	2","	791","	121","	3","	4"
4,"	7805","	85","	170","	2","	791","	121","	3","	4"
5,"	7780","	30","	185","	2","	791","	121","	3","	4"
6,"	8170","	85","	205","	2","	791","	121","	3","	4"
7,"	8115","	80","	210","	2","	791","	121","	3","	4"
SJ,9670,230,250,"	2","	791","	121","	3","	4"
8,"	7920","	20","	256","	2","	791","	121","	3","	4"
9,"	7705","	80","	270","	2","	791","	121","	3","	4"
22,"	7831","	39",279,"	2","	791","	121","	3","	4"
23,"	7883","	39",279,"	2","	791","	121","	3","	4"
24,"	7853","	38",279,"	2","	791","	121","	3","	4"
25,"	7842","	37",279,"	2","	791","	121","	3","	4"
10,"	8005","	85","	295","	2","	791","	121","	3","	4"
11,"	7950","	70","	305","	2","	791","	121","	3","	4"
12,"	8020","	90","	305","	2","	791","	121","	3","	4"
13,"	8145","	70","	310","	2","	791","	121","	3","	4"
14,"	8015","	20","	311","	2","	791","	121","	3","	4"
15,"	8300","	75","	330","	2","	791","	121","	3","	4"
16,"	8005","	20","	341","	2","	791","	121","	3","	4"
17,"	7995","	20","	346","	2","	791","	121","	3","	4"
18,"	8100","	40","	350","	2","	791","	121","	3","	4"
19,"	8090","	75","	350","	2","	791","	121","	3","	4"
20,"	7995","	65","	400","	2","	791","	121","	3","	4"
21,"	8195","	25","	447","	2","	791","	121","	3","	4"
