L6_MAT1A_MAD_Hampel,Sediment_Y_mm,Core_Y_mm,strat_depth_cm,R570R630,R590R690,RMean,R850R950,RABD676
0,0,0,0,0.859044533,0.852208724,0.122347697,1.025161245,1.003768836
1,0.068597561,0.068597561,0.006859756,0.85238764,0.848713936,0.125206953,1.034933815,1.001502729
2,0.137195122,0.137195122,0.013719512,0.855242951,0.844829604,0.126062277,1.031098296,1.000168001
3,0.205792683,0.205792683,0.020579268,0.858019671,0.850747666,0.126315259,1.024683285,1.004995451
4,0.274390244,0.274390244,0.027439024,0.851729846,0.852080705,0.125976374,1.031987254,0.996614082
5,0.342987805,0.342987805,0.03429878,0.856465507,0.848326299,0.127077551,1.033950125,1.002175209
6,0.411585366,0.411585366,0.041158537,0.853073765,0.849155589,0.127017589,1.038667979,1.002903588
7,0.480182927,0.480182927,0.048018293,0.847196974,0.847947993,0.127388343,1.034217011,1.002693106
8,0.548780488,0.548780488,0.054878049,0.851801215,0.849213971,0.128268446,1.031715202,1.002247464
9,0.617378049,0.617378049,0.061737805,0.845962408,0.846531758,0.129956942,1.028142806,1.003090152
10,0.68597561,0.68597561,0.068597561,0.832630295,0.842283416,0.131913829,1.037342328,1.001111121
11,0.754573171,0.754573171,0.075457317,0.842087206,0.836087511,0.133218398,1.037710139,1.001499429
12,0.823170732,0.823170732,0.082317073,0.836409501,0.832583191,0.133001988,1.032920329,1.00215752
13,0.891768293,0.891768293,0.089176829,0.834325964,0.843374183,0.13202923,1.023990787,1.002276254
14,0.960365854,0.960365854,0.096036585,0.838419072,0.843613187,0.131450333,1.027498714,1.002466841
15,1.028963415,1.028963415,0.102896341,0.840099347,0.843709355,0.131165157,1.029895895,1.001589046
16,1.097560976,1.097560976,0.109756098,0.850422315,0.84485898,0.131544506,1.036645811,1.004952631
17,1.166158537,1.166158537,0.116615854,0.852239108,0.85076073,0.132482602,1.032240394,1.001332267
18,1.234756098,1.234756098,0.12347561,0.849156204,0.851930343,0.13301643,1.038719764,1.005312716
19,1.303353659,1.303353659,0.130335366,0.853120033,0.850554551,0.133760876,1.035696368,0.998863727
20,1.37195122,1.37195122,0.137195122,0.858678128,0.850930347,0.134293046,1.036619325,1.006573715
21,1.44054878,1.44054878,0.144054878,0.861909404,0.859322582,0.135248542,1.033342084,1.002393493
22,1.509146341,1.509146341,0.150914634,0.8613664,0.854498559,0.135097494,1.036015436,1.005744693
23,1.577743902,1.577743902,0.15777439,0.850652529,0.855294537,0.135852067,1.033217343,1.001621321
24,1.646341463,1.646341463,0.164634146,0.854228185,0.852825871,0.136553245,1.036184079,0.999034471
25,1.714939024,1.714939024,0.171493902,0.85857711,0.852520153,0.137863901,1.03784332,1.002470615
26,1.783536585,1.783536585,0.178353659,0.845968401,0.844509618,0.139076122,1.039457374,1.002618388
27,1.852134146,1.852134146,0.185213415,0.850952238,0.853518532,0.140382233,1.039154985,1.005338755
28,1.920731707,1.920731707,0.192073171,0.855989643,0.852727354,0.140457452,1.041238583,0.998838536
29,1.989329268,1.989329268,0.198932927,0.85108359,0.851090295,0.14110267,1.040724551,1.00442704
30,2.057926829,2.057926829,0.205792683,0.853790249,0.85233104,0.141215877,1.045070841,1.006136537
31,2.12652439,2.12652439,0.212652439,0.849694237,0.854935176,0.141589354,1.045141664,1.002889818
32,2.195121951,2.195121951,0.219512195,0.858023643,0.858852088,0.140952931,1.039114938,1.001032341
33,2.263719512,2.263719512,0.226371951,0.849399562,0.849559524,0.139814423,1.033177519,1.003345271
34,2.332317073,2.332317073,0.233231707,0.84820098,0.850300031,0.139065641,1.03079495,1.001511926
35,2.400914634,2.400914634,0.240091463,0.839559665,0.849507698,0.1392711,1.035959379,1.003767985
36,2.469512195,2.469512195,0.24695122,0.842396169,0.84842218,0.139407114,1.039077247,1.004926591
37,2.538109756,2.538109756,0.253810976,0.839920617,0.847088281,0.140158709,1.037924264,1.002590517
38,2.606707317,2.606707317,0.260670732,0.839332108,0.845924425,0.141079335,1.038554424,0.999667676
39,2.675304878,2.675304878,0.267530488,0.842084274,0.845228078,0.14053588,1.039987715,1.000209148
40,2.743902439,2.743902439,0.274390244,0.840987044,0.844918972,0.140376625,1.045192597,1.000973203
41,2.8125,2.8125,0.28125,0.839465477,0.847406749,0.139340775,1.038130462,1.002695723
42,2.881097561,2.881097561,0.288109756,0.845677845,0.845440288,0.138577925,1.038681689,1.002835261
43,2.949695122,2.949695122,0.294969512,0.843172667,0.845409149,0.13763137,1.043598097,1.00293779
44,3.018292683,3.018292683,0.301829268,0.845107775,0.849497454,0.136634815,1.038956232,0.998362356
45,3.086890244,3.086890244,0.308689024,0.846748641,0.848956152,0.134213699,1.039021371,1.002724718
46,3.155487805,3.155487805,0.31554878,0.846381688,0.851274385,0.132657427,1.02805184,1.00420222
47,3.224085366,3.224085366,0.322408537,0.846980078,0.846211861,0.138366859,1.031703987,1.001654419
48,3.292682927,3.292682927,0.329268293,0.841644087,0.845846101,0.132258456,1.035779829,1.004320576
49,3.361280488,3.361280488,0.336128049,0.845276094,0.843319214,0.133978539,1.030604476,1.000707445
50,3.429878049,3.429878049,0.342987805,0.839673119,0.838201701,0.13525277,1.037621226,0.999946895
51,3.49847561,3.49847561,0.349847561,0.839848842,0.840871273,0.137209802,1.042473164,1.002276397
52,3.567073171,3.567073171,0.356707317,0.840908423,0.841261515,0.138366859,1.043433081,1.001814581
53,3.635670732,3.635670732,0.363567073,0.837174955,0.835748463,0.139355868,1.044744228,1.001399881
54,3.704268293,3.704268293,0.370426829,0.839331155,0.844691882,0.140027053,1.043590348,1.001966478
55,3.772865854,3.772865854,0.377286585,0.841381273,0.843522733,0.139442106,1.043273155,0.999962285
56,3.841463415,3.841463415,0.384146341,0.837107305,0.843562713,0.138571131,1.045786634,1.002827125
57,3.910060976,3.910060976,0.391006098,0.83892573,0.842854001,0.137977642,1.038804657,1.001398407
58,3.978658537,3.978658537,0.397865854,0.83445556,0.840103335,0.136878851,1.041288016,1.001621496
59,4.047256098,4.047256098,0.40472561,0.841644087,0.84197493,0.136819385,1.041865971,1.004185176
60,4.115853659,4.115853659,0.411585366,0.846005764,0.843883171,0.137584014,1.037744165,1.002458443
61,4.18445122,4.18445122,0.418445122,0.842947959,0.851260094,0.137690344,1.042740164,1.001574844
62,4.25304878,4.25304878,0.425304878,0.847384903,0.854847493,0.137260636,1.041269884,1.001645209
63,4.321646341,4.321646341,0.432164634,0.848459547,0.850732014,0.137482216,1.047528505,1.000488406
64,4.390243902,4.390243902,0.43902439,0.843978059,0.849255022,0.137340432,1.042641745,1.001951985
65,4.458841463,4.458841463,0.445884146,0.838408082,0.850838291,0.136059788,1.039389631,0.999061473
66,4.527439024,4.527439024,0.452743902,0.840345457,0.853774954,0.13465514,1.042967945,1.001510735
67,4.596036585,4.596036585,0.459603659,0.837186226,0.848139328,0.133220992,1.040590822,1.000821102
68,4.664634146,4.664634146,0.466463415,0.845366974,0.84804263,0.131332268,1.03608138,1.001069805
69,4.733231707,4.733231707,0.473323171,0.841477247,0.840419351,0.130512331,1.036315231,1.002010581
70,4.801829268,4.801829268,0.480182927,0.845024939,0.841019979,0.129174828,1.038013559,1.002621836
71,4.870426829,4.870426829,0.487042683,0.833948888,0.838194384,0.128646784,1.034669023,1.0013925
72,4.93902439,4.93902439,0.493902439,0.840921805,0.837252199,0.128856533,1.033210013,1.004058026
73,5.007621951,5.007621951,0.500762195,0.836775059,0.839396217,0.12845683,1.029035458,1.002772116
