depth	min	max	median	mean
0	7269.99	7408.98	7338.82	7339.5
1	7270.37	7409.29	7339.28	7340.01
2	7271.04	7409.84	7339.78	7340.52
3	7271.41	7410.66	7340.21	7341.03
4	7271.98	7411.21	7340.79	7341.54
5	7272.58	7411.73	7341.31	7342.06
6	7273.11	7412.3	7341.77	7342.56
7	7273.36	7412.9	7342.39	7343.06
8	7273.7	7413.39	7342.87	7343.57
9	7274.37	7413.81	7343.38	7344.07
10	7274.95	7414.38	7343.83	7344.58
11	7275.42	7414.81	7344.29	7345.08
12	7276	7415.26	7344.83	7345.59
13	7276.38	7415.87	7345.28	7346.09
14	7276.77	7416.33	7345.8	7346.59
15	7277.08	7416.85	7346.39	7347.1
16	7277.82	7417.31	7346.82	7347.6
17	7278.36	7417.72	7347.37	7348.11
18	7278.81	7418.07	7347.86	7348.61
19	7279.36	7418.66	7348.35	7349.12
20	7279.7	7419.23	7348.87	7349.62
21	7280.3	7419.61	7349.4	7350.13
22	7280.85	7419.97	7349.89	7350.64
23	7281.48	7420.36	7350.41	7351.14
24	7282.07	7420.68	7350.92	7351.65
25	7283.01	7421.08	7351.38	7352.16
26	7283.37	7421.5	7351.95	7352.66
27	7283.98	7421.95	7352.39	7353.17
28	7284.58	7422.29	7352.9	7353.67
29	7285.43	7422.74	7353.4	7354.18
30	7285.79	7423.25	7353.89	7354.68
31	7286.41	7423.68	7354.36	7355.19
32	7286.73	7424.16	7354.85	7355.7
33	7287.07	7424.57	7355.38	7356.2
34	7287.65	7425.07	7355.89	7356.71
35	7287.9	7425.59	7356.35	7357.22
36	7288.52	7426.02	7356.91	7357.72
37	7289.14	7426.45	7357.39	7358.22
38	7289.77	7427.01	7357.94	7358.73
39	7290.32	7427.6	7358.44	7359.23
40	7290.88	7427.93	7358.99	7359.73
41	7291.17	7428.34	7359.42	7360.24
42	7291.66	7428.91	7359.86	7360.75
43	7292.25	7429.43	7360.41	7361.26
44	7292.93	7429.91	7361	7361.76
45	7293.58	7430.47	7361.58	7362.27
46	7293.89	7430.89	7362.02	7362.78
47	7294.32	7431.37	7362.62	7363.29
48	7294.87	7431.78	7363.12	7363.8
49	7295.46	7432.28	7363.61	7364.31
50	7295.87	7432.98	7364.07	7364.82
51	7296.53	7433.31	7364.5	7365.33
52	7297.14	7433.9	7365.06	7365.84
53	7297.49	7434.36	7365.65	7366.34
54	7297.91	7434.64	7366.09	7366.85
55	7298.27	7435.09	7366.65	7367.35
56	7298.74	7435.83	7367.15	7367.86
57	7299.22	7436.17	7367.71	7368.37
58	7299.76	7436.79	7368.2	7368.88
59	7300.27	7437.32	7368.69	7369.39
60	7300.96	7437.97	7369.2	7369.9
61	7301.45	7438.21	7369.74	7370.4
62	7301.97	7438.56	7370.27	7370.91
63	7302.28	7439.21	7370.77	7371.41
64	7302.77	7439.53	7371.36	7371.91
65	7303.12	7439.89	7371.91	7372.42
66	7303.66	7440.57	7372.33	7372.92
67	7304.31	7441	7372.79	7373.42
68	7304.72	7441.56	7373.28	7373.92
69	7305.15	7441.98	7373.73	7374.42
70	7305.63	7442.69	7374.25	7374.92
71	7306.34	7443.24	7374.75	7375.43
72	7306.85	7443.61	7375.29	7375.93
73	7307.46	7443.95	7375.7	7376.44
74	7308.03	7444.35	7376.16	7376.95
75	7308.5	7444.84	7376.64	7377.46
76	7308.96	7445.36	7377.23	7377.96
77	7309.44	7446.01	7377.72	7378.47
78	7309.97	7446.52	7378.26	7378.98
79	7310.42	7447.08	7378.78	7379.48
80	7311.17	7447.57	7379.29	7379.99
81	7311.67	7447.96	7379.83	7380.5
82	7312.16	7448.42	7380.41	7381
83	7312.63	7448.86	7380.93	7381.51
84	7313.27	7449.44	7381.38	7382.01
85	7314.03	7449.84	7381.88	7382.52
86	7314.42	7450.24	7382.41	7383.02
87	7314.84	7450.7	7382.93	7383.53
88	7315.2	7451.1	7383.46	7384.04
89	7315.8	7451.51	7383.91	7384.54
90	7316.48	7451.99	7384.42	7385.05
91	7316.87	7452.38	7384.94	7385.55
92	7317.3	7452.93	7385.43	7386.05
93	7317.84	7453.55	7385.93	7386.56
94	7318.52	7453.85	7386.46	7387.06
95	7319.2	7454.41	7386.95	7387.56
96	7319.64	7454.87	7387.52	7388.07
97	7320.37	7455.44	7387.96	7388.59
98	7320.88	7455.9	7388.46	7389.1
99	7321.41	7456.35	7388.91	7389.62
100	7321.95	7456.82	7389.5	7390.13
101	7322.4	7457.29	7389.92	7390.65
102	7323.01	7457.84	7390.37	7391.16
103	7323.65	7458.33	7390.83	7391.67
104	7324.11	7458.75	7391.32	7392.18
105	7324.47	7459.39	7391.84	7392.69
106	7324.94	7459.98	7392.36	7393.2
107	7325.69	7460.37	7392.84	7393.7
108	7326.23	7461.02	7393.41	7394.21
109	7326.71	7461.31	7393.99	7394.72
110	7327.14	7461.72	7394.48	7395.22
111	7327.67	7462.25	7394.99	7395.73
112	7328.12	7462.78	7395.48	7396.25
113	7328.8	7463.3	7395.88	7396.76
114	7329.42	7463.78	7396.45	7397.27
115	7329.95	7464.3	7396.94	7397.78
116	7330.47	7464.9	7397.47	7398.29
117	7331.17	7465.48	7397.97	7398.8
118	7331.57	7466.07	7398.38	7399.3
119	7332.06	7466.6	7398.91	7399.81
120	7332.36	7467.18	7399.44	7400.32
121	7332.95	7467.65	7399.91	7400.83
122	7333.37	7468.26	7400.43	7401.34
123	7333.94	7468.82	7400.93	7401.85
124	7334.47	7469.37	7401.41	7402.36
125	7334.84	7469.77	7401.97	7402.87
126	7335.55	7470.44	7402.44	7403.37
127	7335.86	7471.13	7402.93	7403.88
128	7336.48	7471.69	7403.38	7404.38
129	7336.86	7472.07	7403.89	7404.88
130	7337.37	7472.45	7404.47	7405.39
131	7337.95	7473.02	7404.92	7405.89
132	7338.56	7473.32	7405.46	7406.39
133	7339.09	7473.75	7405.96	7406.9
134	7339.51	7474.11	7406.42	7407.4
135	7339.97	7474.49	7406.93	7407.91
136	7340.67	7475.07	7407.42	7408.41
137	7341.38	7475.45	7407.89	7408.92
