"LabID","CRA","Error","calCurves","resOffsets","resErrors","Material","Species","SiteName","Country","Longitude","Latitude","Region","Location","ID","MedianBP","OneSigma_BP_1","OneSigma_BP_2","OneSigma_BP_3","OneSigma_BP_4","OneSigma_BP_5","TwoSigma_BP_1","TwoSigma_BP_2","TwoSigma_BP_3","TwoSigma_BP_4","TwoSigma_BP_5"
"060129-2",2180,70,"shcal20",0,0,"Terrestrial moss in moraine","Moss","Moraine1","South Shetland Islands",NA,NA,"King George Island ","Barton Peninsula","BP_Moraine_1",2117,"2299 to 2258","2147 to 2010","NA to NA","NA to NA","NA to NA","2332 to 2188","2185 to 1995","1955 to 1933","NA to NA","NA to NA"
"060129-3",1530,70,"shcal20",0,0,"Terrestrial moss in moraine","Moss","Moraine2","South Shetland Islands",NA,NA,"King George Island ","Barton Peninsula","BP_Moraine_2",1385,"1467 to 1467","1451 to 1442","1427 to 1305","NA to NA","NA to NA","1532 to 1286","NA to NA","NA to NA","NA to NA","NA to NA"
"CNA2439-2-1",4165,35,"shcal20",0,0,"Lake sed",NA,"Lake13FW","South Shetland Islands",NA,NA,"King George Island ","Barton Peninsula","BP_Lake13_FW",4671,"4812 to 4753","4707 to 4667","4653 to 4573","NA to NA","NA to NA","4823 to 4743","4737 to 4526","NA to NA","NA to NA","NA to NA"
"Beta-335037",2450,30,"shcal20",0,0,"Lake sed",NA,"Lake12FW","South Shetland Islands",NA,NA,"King George Island ","Barton Peninsula","BP_Lake12_FW",2451,"2664 to 2660","2608 to 2605","2489 to 2356","NA to NA","NA to NA","2699 to 2635","2615 to 2585","2569 to 2564","2537 to 2528","2521 to 2346"
"AA-468016",3264,94,"shcal20",0,0,"Terrestrial moss in moraine","Moss","VN","South Shetland Islands",-58.920621,-62.172472,"King George Island ","Fildes Peninsula ","VNI1",3448,"3570 to 3354","NA to NA","NA to NA","NA to NA","NA to NA","3691 to 3657","3649 to 3212","NA to NA","NA to NA","NA to NA"
"AA-468037",3195,76,"shcal20",0,0,"Terrestrial moss in moraine","Moss","VN","South Shetland Islands",-58.917805,-62.17231,"King George Island ","Fildes Peninsula ","VNI4",3366,"3453 to 3325","3298 to 3252","NA to NA","NA to NA","NA to NA","3564 to 3516","3494 to 3167","NA to NA","NA to NA","NA to NA"
"AA-442798",2870,42,"shcal20",0,0,"Terrestrial moss in moraine","Moss","VN","South Shetland Islands",-58.920325,-62.173932,"King George Island ","Fildes Peninsula ","VNO5",2943,"3000 to 2866","NA to NA","NA to NA","NA to NA","NA to NA","3135 to 3129","3104 to 3097","3075 to 2844","2825 to 2787","NA to NA"
"AA-442789",2799,42,"shcal20",0,0,"Terrestrial moss in moraine","Moss","VN","South Shetland Islands",-58.920621,-62.172472,"King George Island ","Fildes Peninsula ","VNI1",2858,"2923 to 2903","2882 to 2782","NA to NA","NA to NA","NA to NA","2963 to 2759","NA to NA","NA to NA","NA to NA","NA to NA"
"AA-4680510",2715,35,"shcal20",0,0,"Terrestrial moss in moraine","Moss","VN","South Shetland Islands",-58.918569,-62.172359,"King George Island ","Fildes Peninsula ","VNI3",2789,"2845 to 2819","2791 to 2751","NA to NA","NA to NA","NA to NA","2862 to 2740","NA to NA","NA to NA","NA to NA","NA to NA"
"AA-4680011",2609,35,"shcal20",0,0,"Terrestrial moss in moraine","Moss","VN","South Shetland Islands",-58.919002,-62.172318,"King George Island ","Fildes Peninsula ","VNI2",2706,"2755 to 2702","2631 to 2617","2580 to 2574","2559 to 2542","NA to NA","2763 to 2683","2645 to 2612","2599 to 2494","NA to NA","NA to NA"
"AA-4427712",2500,41,"shcal20",0,0,"Terrestrial moss in moraine","Moss","VN","South Shetland Islands",-58.916274,-62.171858,"King George Island ","Fildes Peninsula ","VNI1",2547,"2701 to 2632","2616 to 2581","2573 to 2560","2541 to 2460","2456 to 2430","2710 to 2626","2622 to 2363","NA to NA","NA to NA","NA to NA"
"AA-4680413",2159,44,"shcal20",0,0,"Terrestrial moss in moraine","Moss","VN","South Shetland Islands",-58.919028,-62.172728,"King George Island ","Fildes Peninsula ","VNI2",2087,"2133 to 2041","2030 to 2015","NA to NA","NA to NA","NA to NA","2303 to 2237","2148 to 1998","1947 to 1937","NA to NA","NA to NA"
"AA-4680714",2151,52,"shcal20",0,0,"Terrestrial moss in moraine","Moss","VN","South Shetland Islands",-58.916934,-62.17236,"King George Island ","Fildes Peninsula ","VNI5",2079,"2131 to 2011","NA to NA","NA to NA","NA to NA","NA to NA","2305 to 2234","2151 to 1990","1969 to 1930","NA to NA","NA to NA"
"AA-4428015",2136,47,"shcal20",0,0,"Terrestrial moss in moraine","Moss","VN","South Shetland Islands",-58.919028,-62.172728,"King George Island ","Fildes Peninsula ","VNI2",2063,"2112 to 2005","NA to NA","NA to NA","NA to NA","NA to NA","2298 to 2262","2143 to 1989","1970 to 1929","NA to NA","NA to NA"
"AA-4680816",2037,44,"shcal20",0,0,"Terrestrial moss in moraine","Moss","VN","South Shetland Islands",-58.916784,-62.172866,"King George Island ","Fildes Peninsula ","VNI5",1951,"2000 to 1921","1912 to 1893","NA to NA","NA to NA","NA to NA","2054 to 1865","1854 to 1834","NA to NA","NA to NA","NA to NA"
"AA-4356817",1258,37,"shcal20",0,0,"Terrestrial moss in moraine","Moss","VN","South Shetland Islands",-58.916349,-62.172227,"King George Island ","Fildes Peninsula ","VNI6",1126,"1176 to 1176","1168 to 1127","1125 to 1071","NA to NA","NA to NA","1263 to 1209","1179 to 1057","1012 to 997","NA to NA","NA to NA"
"AA-4356518",894,41,"shcal20",0,0,"Terrestrial moss in moraine","Moss","VN","South Shetland Islands",-58.913515,-62.175722,"King George Island ","Fildes Peninsula ","VNI4",757,"794 to 725","695 to 690","NA to NA","NA to NA","NA to NA","901 to 866","837 to 837","811 to 675","NA to NA","NA to NA"
