Date,Time,Tape_Depth_cm,Pressure_Psia,Probe_depth_m,Probe_depth_interval_cm,Temperature_oC,Specific_conductivity_mScm-3,Conductivity_mScm-1,Salinity_ppt,TDS_g/L,DO_%_,DO_Conc_mgL-1,pH,pHmV,Resistivity_Ohm.cm,Notes
17/11/2011,17:55:06,20,14.736,0.187,-,1.35,0.096,0.053,0.04,0.063,55.1,7.7,6.17,10.9,18947,(Re)frozen snow/ice
17/11/2011,17:56:16,20,14.742,0.192,0.005,1.25,0.094,0.051,0.04,0.061,71.9,10.15,6.35,1.9,19511.8,(Re)frozen snow/ice
17/11/2011,17:57:26,30,14.866,0.279,0.087,0.96,0.093,0.051,0.04,0.061,65.3,9.29,6.46,-3.6,19796,(Re)frozen snow/ice
17/11/2011,17:58:36,40,14.987,0.364,0.085,0.69,0.094,0.05,0.04,0.061,64.8,9.29,6.55,-8.1,19882.9,(Re)frozen snow/ice
17/11/2011,17:59:46,50,15.097,0.441,0.077,0.71,0.093,0.05,0.04,0.061,52.9,7.58,6.62,-11.3,20015.7,(Re)frozen snow/ice
17/11/2011,18:00:56,60,15.238,0.541,0.1,0.39,0.094,0.05,0.04,0.061,59.3,8.57,6.7,-15.5,20122.6,(Re)frozen snow/ice
17/11/2011,18:02:06,70,15.326,0.603,0.062,0.4,0.093,0.049,0.04,0.06,65.2,9.42,6.8,-20.2,20265.3,(Re)frozen snow/ice
17/11/2011,18:03:16,80,15.478,0.71,0.107,0.18,0.093,0.049,0.04,0.06,59.8,8.69,6.81,-21,20458.2,(Re)frozen snow/ice
17/11/2011,18:04:26,90,15.593,0.791,0.081,0.2,0.093,0.049,0.04,0.06,57.5,8.35,6.89,-24.5,20498.6,(Re)frozen snow/ice
17/11/2011,18:05:36,100,15.755,0.905,0.114,0.14,0.092,0.048,0.04,0.06,55.5,8.08,6.94,-27.1,20652.1,(Re)frozen snow/ice
17/11/2011,18:06:46,110,15.861,0.979,0.074,0.14,0.092,0.049,0.04,0.06,43,6.26,6.92,-26.2,20600.8,(Re)frozen snow/ice
17/11/2011,18:07:56,120,16.005,1.081,0.102,0.12,0.092,0.048,0.04,0.06,57,8.3,6.98,-29.3,20663,(Re)frozen snow/ice
17/11/2011,18:09:06,130,16.138,1.175,0.094,0.1,0.092,0.048,0.04,0.06,60.3,8.79,6.99,-29.7,20703.9,Lake ice
17/11/2011,18:10:16,140,16.286,1.279,0.104,0.09,0.092,0.048,0.04,0.06,56.8,8.29,7.01,-30.6,20778.3,Lake ice
17/11/2011,18:11:26,150,16.434,1.383,0.104,0.08,0.092,0.048,0.04,0.06,52.2,7.61,7.03,-31.4,20787,Lake ice
17/11/2011,18:12:36,160,16.557,1.47,0.087,0.08,0.092,0.048,0.04,0.06,54.3,7.92,7.04,-32.1,20832.9,Lake ice
17/11/2011,18:13:46,170,16.711,1.578,0.108,0.06,0.092,0.048,0.04,0.06,55,8.02,7.04,-31.9,20858.8,Lake ice
17/11/2011,18:14:56,180,16.826,1.659,0.081,0.06,0.091,0.048,0.04,0.059,49,7.15,7.02,-30.9,20878.5,Lake ice
17/11/2011,18:16:06,190,16.962,1.755,0.096,0.33,0.09,0.048,0.04,0.058,72.3,10.47,7.04,-32,21033.4,Lake ice influenced
17/11/2011,18:17:16,200,17.127,1.871,0.116,0.48,0.088,0.047,0.04,0.057,62.1,8.96,7.05,-32.4,21411.6,Lake ice influenced
17/11/2011,18:18:26,210,17.253,1.96,0.089,0.57,0.085,0.045,0.04,0.055,56.4,8.12,7.04,-32.1,21983.3,Lake ice influenced
17/11/2011,18:19:36,220,17.404,2.066,0.106,0.66,0.085,0.046,0.04,0.055,53.8,7.73,7.07,-33.3,21929.6,Lake ice influenced
17/11/2011,18:20:46,230,17.527,2.153,0.087,0.71,0.086,0.046,0.04,0.056,50.8,7.28,7.01,-30.6,21604.3,Lake ice influenced
17/11/2011,18:21:56,240,17.663,2.249,0.096,0.76,0.087,0.047,0.04,0.056,52.1,7.46,7.04,-31.8,21444,Lake ice influenced
17/11/2011,18:23:06,250,17.827,2.364,0.115,0.82,0.087,0.047,0.04,0.057,34.7,4.95,7.03,-31.4,21260.6,Lake ice influenced
17/11/2011,18:24:16,260,17.99,2.479,0.115,0.87,0.087,0.047,0.04,0.057,56.3,8.04,7.07,-33.5,21261.3,Lake ice influenced
17/11/2011,18:25:26,270,18.1,2.557,0.078,0.91,0.087,0.047,0.04,0.057,54.2,7.72,7.03,-31.7,21235,Lake ice influenced
17/11/2011,18:26:36,280,18.239,2.654,0.097,0.98,0.087,0.047,0.04,0.056,58.4,8.31,7.04,-31.8,21338.2,Lake ice influenced
17/11/2011,18:27:46,290,18.394,2.764,0.11,1.02,0.086,0.047,0.04,0.056,60.9,8.65,7.03,-31.4,21362.1,Lake ice influenced
17/11/2011,18:28:56,300,18.554,2.877,0.113,0.96,0.104,0.056,0.05,0.067,49.6,7.07,7,-30.1,17814.5,Water/ice free readings
17/11/2011,18:30:06,310,18.692,2.973,0.096,0.93,0.129,0.07,0.06,0.084,44.4,6.32,7.03,-30.8,14324.7,Water/ice free readings
17/11/2011,18:31:16,320,18.809,3.056,0.083,0.92,0.144,0.078,0.07,0.094,50.4,7.18,7.03,-31.6,12818.9,Water/ice free readings
17/11/2011,18:32:26,330,18.95,3.155,0.099,0.91,0.16,0.086,0.07,0.104,48.9,6.97,7.03,-31.4,11605,Water/ice free readings
17/11/2011,18:33:36,340,19.093,3.256,0.101,0.91,0.159,0.086,0.07,0.103,42.9,6.11,7.03,-31.7,11680.7,Water/ice free readings
17/11/2011,18:34:46,350,19.263,3.375,0.119,0.91,0.161,0.087,0.08,0.105,44.4,6.32,7.03,-31.6,11472.2,Water/ice free readings
17/11/2011,18:35:56,360,19.393,3.467,0.092,0.91,0.162,0.087,0.08,0.105,53,7.56,7.02,-30.8,11467.9,Water/ice free readings
17/11/2011,18:37:06,370,19.549,3.577,0.11,0.91,0.161,0.087,0.08,0.105,44.2,6.3,7,-30.1,11483.7,Water/ice free readings
17/11/2011,18:38:16,380,19.657,3.654,0.077,0.92,0.159,0.086,0.07,0.104,46.4,6.61,7.03,-31.3,11618,Water/ice free readings
17/11/2011,18:39:26,390,19.823,3.77,0.116,0.92,0.161,0.087,0.08,0.105,42.6,6.07,7,-29.8,11512,Water/ice free readings
17/11/2011,18:40:36,400,19.951,3.86,0.09,0.93,0.159,0.086,0.07,0.103,45.5,6.48,6.99,-29.7,11665.4,Water/ice free readings
17/11/2011,18:41:46,410,20.111,3.973,0.113,0.94,0.16,0.087,0.07,0.104,45.4,6.46,6.97,-28.6,11554.9,Water/ice free readings
17/11/2011,18:42:56,420,20.234,4.059,0.086,0.95,0.158,0.086,0.07,0.103,42.6,6.06,6.98,-29.1,11677.8,Water/ice free readings
17/11/2011,18:44:06,430,20.381,4.163,0.104,0.96,0.16,0.087,0.07,0.104,43.4,6.17,6.91,-25.9,11548.3,Water/ice free readings
17/11/2011,18:45:16,440,20.542,4.277,0.114,0.97,0.16,0.087,0.07,0.104,46.6,6.63,6.94,-26.9,11545.1,Water/ice free readings
17/11/2011,18:46:26,450,20.685,4.377,0.1,0.98,0.16,0.087,0.07,0.104,42.1,5.98,6.9,-25.2,11526,Water/ice free readings
17/11/2011,18:47:36,460,20.831,4.48,0.103,0.98,0.161,0.087,0.08,0.104,43.1,6.13,6.9,-25.4,11498.9,Water/ice free readings
17/11/2011,18:48:46,470,20.971,4.578,0.098,0.99,0.161,0.087,0.08,0.105,41.8,5.95,6.87,-23.6,11471.7,Water/ice free readings
17/11/2011,18:49:56,480,21.241,4.769,0.191,0.99,0.162,0.088,0.08,0.105,32,4.55,6.84,-22.4,11420.3,Water/ice free readings
17/11/2011,18:51:06,490,21.421,4.896,0.127,0.99,0.164,0.089,0.08,0.107,43.1,6.12,6.74,-17.3,11250.9,Water/ice free readings
17/11/2011,18:52:16,500,21.547,4.984,0.088,1,0.165,0.09,0.08,0.108,36.5,5.19,6.74,-17.2,11164.3,Water/ice free readings
17/11/2011,18:53:26,510,21.66,5.064,0.08,1,0.166,0.09,0.08,0.108,30.3,4.3,6.67,-13.9,11133.7,Water/ice free readings
17/11/2011,18:54:36,520,21.815,5.173,0.109,1.01,0.165,0.09,0.08,0.107,31.6,4.49,6.65,-12.8,11160.7,Water/ice free readings
17/11/2011,18:55:46,530,21.941,5.262,0.089,1.03,0.166,0.09,0.08,0.108,31.8,4.51,6.58,-9.5,11125.4,Water/ice free readings
17/11/2011,18:56:56,540,22.095,5.37,0.108,1.04,0.166,0.09,0.08,0.108,28,3.97,6.55,-8,11116.3,Water/ice free readings
17/11/2011,18:58:06,550,22.203,5.447,0.077,1.05,0.166,0.09,0.08,0.108,27.2,3.86,6.52,-6.6,11106,Water/ice free readings
17/11/2011,18:59:16,560,22.241,5.473,0.026,1.06,0.165,0.089,0.08,0.107,25.5,3.61,6.52,-6.4,11189.1,Sediment/water interface
17/11/2011,19:00:26,570,22.289,5.507,0.034,1.06,0.166,0.09,0.08,0.108,27.1,3.84,6.47,-3.9,11080.3,Sediment
