L15_H2_MAD_Hampel,Sediment_Y_mm,Strat_depth_Y cm,RABD660670,R660R670,RMean,RABA400560,RABD660670RMean,RABD850
0,0,1,1.268348404,1.001258044,0.129062145,108.2918874,10.15300277,0.981023783
1,0.068597561,1.006859756,1.274432567,0.993857571,0.129125519,108.3336268,10.1869172,0.982504673
2,0.137195122,1.013719512,1.278729431,0.996683515,0.129746403,109.5709521,10.18348535,0.980030491
3,0.205792683,1.020579268,1.287042733,0.992279022,0.132345306,109.9045612,10.06951813,0.983318726
4,0.274390244,1.027439024,1.28100724,0.998970815,0.135091426,107.3162168,9.775061269,0.983007083
5,0.342987805,1.03429878,1.28510603,1.003110079,0.134271991,109.1513698,9.829952232,0.984389001
6,0.411585366,1.041158537,1.284448693,0.99495211,0.129155219,116.1163693,10.25081665,0.982346958
7,0.480182927,1.048018293,1.28312949,0.979269547,0.122169769,121.9528852,10.89667343,0.984775455
8,0.548780488,1.054878049,1.267970599,0.983343416,0.116025442,129.4182475,11.36859928,0.987467922
9,0.617378049,1.061737805,1.261726183,0.977429302,0.113974266,131.1384151,11.5292408,0.989220411
10,0.68597561,1.068597561,1.252988346,0.995141553,0.114313217,129.8340162,11.4147923,0.985035711
11,0.754573171,1.075457317,1.249185347,0.996577067,0.117036574,124.5417101,11.06876062,0.986728592
12,0.823170732,1.082317073,1.24143448,0.997317315,0.118102108,121.7127731,10.85513372,0.989882158
13,0.891768293,1.089176829,1.234690403,0.989674836,0.117123396,125.1735733,10.86150464,0.990752137
14,0.960365854,1.096036585,1.229161914,0.984710192,0.116945189,126.9072179,10.8524914,0.983318726
15,1.028963415,1.102896341,1.225142594,0.99265804,0.117710443,124.8036524,10.74550063,0.987864411
16,1.097560976,1.109756098,1.22728164,1.012258727,0.118657009,124.3673978,10.65277774,0.986012656
17,1.166158537,1.116615854,1.228716331,1.028486874,0.119969415,121.1945608,10.4901962,0.984549414
18,1.234756098,1.12347561,1.235622406,1.032310119,0.121242351,118.3426025,10.38832628,0.985164363
19,1.303353659,1.130335366,1.234466197,1.032234613,0.122382924,117.8171226,10.25204529,0.984113579
20,1.37195122,1.137195122,1.229437359,1.031798525,0.124203002,115.5888385,10.02814574,0.983080631
21,1.44054878,1.144054878,1.22803446,1.02855791,0.126083313,113.0508556,9.838684882,0.983147792
22,1.509146341,1.150914634,1.235534058,1.028956487,0.128710574,110.7702581,9.682410686,0.979721305
23,1.577743902,1.15777439,1.243868395,1.032688647,0.133076604,105.5882833,9.403469532,0.982011306
24,1.646341463,1.164634146,1.255734315,1.035062326,0.136001114,104.2131618,9.267072878,0.981455581
25,1.714939024,1.171493902,1.261796165,1.034516906,0.136761865,104.7014134,9.258056141,0.980696954
