L15_H16_MAD_Hampel,Sediment_Y_mm,strat_depth_Y_mm,R570R630,RABD660670,R660R670,RMean,RABD660670RMean
0,0,0,0.954271488,1.030075304,1.020421067,0.119331609,8.677573119
1,0.068597561,0.068597561,0.949906731,1.028849557,1.022851855,0.119216742,8.673165483
2,0.137195122,0.137195122,0.963928211,1.027774293,1.023704172,0.119586832,8.645301104
3,0.205792683,0.205792683,0.9562521,1.029912667,1.020663018,0.120133614,8.63858626
4,0.274390244,0.274390244,0.957505589,1.021545614,1.031380798,0.120554527,8.535826014
5,0.342987805,0.342987805,0.956956565,1.026929643,1.025771753,0.121604572,8.490804995
6,0.411585366,0.411585366,0.953306637,1.026980071,1.02558499,0.121768681,8.469498865
7,0.480182927,0.480182927,0.954563325,1.028693791,1.026768639,0.123398875,8.360140516
8,0.548780488,0.548780488,0.955932998,1.02606909,1.028051163,0.124186356,8.28101282
9,0.617378049,0.617378049,0.955616719,1.024089037,1.02806693,0.124687198,8.227803138
10,0.68597561,0.68597561,0.950971296,1.027925415,1.024455752,0.125293028,8.218673952
11,0.754573171,0.754573171,0.94157361,1.030348924,1.022477308,0.124295281,8.307786626
12,0.823170732,0.823170732,0.948163563,1.024710985,1.025716823,0.122933278,8.387201725
13,0.891768293,0.891768293,0.956912122,1.029704474,1.018973415,0.121158885,8.596515417
14,0.960365854,0.960365854,0.962728504,1.028107332,1.017698504,0.119947898,8.689678454
15,1.028963415,1.028963415,0.964221607,1.023088297,1.025587794,0.120660021,8.569000506
16,1.097560976,1.097560976,0.955345051,1.023957819,1.023164915,0.121469477,8.498022426
17,1.166158537,1.166158537,0.958249675,1.030108411,1.022143956,0.120882749,8.590918687
18,1.234756098,1.234756098,0.952652044,1.02992873,1.019354855,0.118686607,8.763851758
19,1.303353659,1.303353659,0.959756113,1.03056397,1.020346989,0.1156098,9.001206767
20,1.37195122,1.37195122,0.968447761,1.027441873,1.023283501,0.112476983,9.227175643
21,1.44054878,1.44054878,0.969989176,1.025293191,1.025239199,0.108721847,9.557383406
22,1.509146341,1.509146341,0.966785665,1.026069286,1.022905083,0.106497741,9.791569294
23,1.577743902,1.577743902,0.979638146,1.027934427,1.017328805,0.105757606,9.890256866
24,1.646341463,1.646341463,0.979276707,1.021682259,1.026421627,0.108035338,9.585245225
25,1.714939024,1.714939024,0.963490638,1.025759137,1.025090665,0.110292535,9.380783619
26,1.783536585,1.783536585,0.964107933,1.026393812,1.024911376,0.113228475,9.123632139
27,1.852134146,1.852134146,0.960485756,1.024933482,1.029737595,0.114420112,9.024093674
28,1.920731707,1.920731707,0.962281966,1.025753962,1.023945496,0.113173009,9.160753327
29,1.989329268,1.989329268,0.970555866,1.02692811,1.027190762,0.112027728,9.291938659
30,2.057926829,2.057926829,0.981748787,1.025570088,1.025484443,0.109994407,9.501130058
31,2.12652439,2.12652439,0.994835929,1.021195912,1.025616379,0.107834311,9.728037942
32,2.195121951,2.195121951,0.979751948,1.022549647,1.027545973,0.106144532,9.938946678
33,2.263719512,2.263719512,0.978297243,1.02451571,1.020516647,0.104879431,10.09629817
34,2.332317073,2.332317073,0.99283985,1.021975216,1.021097279,0.105509787,9.966702415
35,2.400914634,2.400914634,0.972765966,1.022120825,1.025402712,0.106452728,9.830697613
36,2.469512195,2.469512195,0.981434394,1.021094776,1.028287966,0.110261298,9.414431595
37,2.538109756,2.538109756,0.974770384,1.026218565,1.025117299,0.113365868,9.157660523
38,2.606707317,2.606707317,0.962646298,1.027588539,1.027043518,0.115546296,8.965392713
39,2.675304878,2.675304878,0.962405607,1.025071544,1.029774233,0.118083292,8.745151004
40,2.743902439,2.743902439,0.954461678,1.028492871,1.024256008,0.118547272,8.741649043
41,2.8125,2.8125,0.957687496,1.024903713,1.023401294,0.119089265,8.686003739
42,2.881097561,2.881097561,0.967640605,1.028149153,1.021773712,0.118528917,8.775215656
43,2.949695122,2.949695122,0.959305944,1.027036274,1.021134983,0.119938667,8.672900869
44,3.018292683,3.018292683,0.956078512,1.027160929,1.024652906,0.120688827,8.620379086
45,3.086890244,3.086890244,0.96728061,1.028400718,1.023315742,0.121462737,8.572823417
46,3.155487805,3.155487805,0.964353986,1.024373542,1.0234276,0.122288737,8.477098311
47,3.224085366,3.224085366,0.95737186,1.022326132,1.02735982,0.121893242,8.497579444
48,3.292682927,3.292682927,0.959661046,1.0273249,1.024671513,0.12094778,8.630863336
49,3.361280488,3.361280488,0.960708545,1.029265906,1.023954735,0.120285128,8.706690819
50,3.429878049,3.429878049,0.965831379,1.026292551,1.026041927,0.120531681,8.680210837
51,3.49847561,3.49847561,0.957583634,1.028563288,1.024067607,0.119179436,8.817311072
52,3.567073171,3.567073171,0.957029284,1.028930739,1.021118055,0.119438146,8.781318034
53,3.635670732,3.635670732,0.956323358,1.020194169,1.022361907,0.119375172,8.698220999
54,3.704268293,3.704268293,0.958507354,1.023992656,1.025434551,0.119900271,8.677627079
55,3.772865854,3.772865854,0.957659307,1.027923144,1.019837644,0.120971151,8.608939002
56,3.841463415,3.841463415,0.962967485,1.028701532,1.024785149,0.123943573,8.387249808
57,3.910060976,3.910060976,0.956187623,1.031540771,1.022361907,0.126091833,8.259025851
58,3.978658537,3.978658537,0.954015802,1.038297843,1.021614953,0.12848213,8.149887477
59,4.047256098,4.047256098,0.957455827,1.047363966,1.015203869,0.130176032,8.127588749
60,4.115853659,4.115853659,0.959725514,1.049715762,1.013967451,0.130659174,8.161219574
61,4.18445122,4.18445122,0.957290745,1.052441106,1.011447845,0.129229133,8.362819733
62,4.25304878,4.25304878,0.973068799,1.051627831,1.014320523,0.126083708,8.696619541
63,4.321646341,4.321646341,0.964277534,1.051267385,1.008983944,0.121432561,9.290927125
64,4.390243902,4.390243902,0.976780134,1.048742103,1.013910492,0.118532638,9.849915981
