L5_GEOTEK_MSCL_SATURATED_CALIBRATION,,,,,,,,,,,,,,,
RECORD,SB_DEPTH,SECT_NUM,SECT_DEPTH,FIELD_DEPTH_[0_=_0-0.5_cm],STRAT_DEPTH_ITRAX,CoreThickness,PWAmp,PWVel,Den1_SAT_calibration,MS1,χhf_DCMS1,Imp_SAT_calibration,FP_SAT_calibration,RES_SAT_calibration,CONDUCTIVTY
,cm,,cm,cm,cm,cm,,m/s,g/cc,SI_x_10^-5,x_10^-8_m^3/kg,,,Ohm.m,Sm-1
L5-ST4,105.4,4,12.5,0,0,1.083,0.0166,1079.761,2.1276,19,8.9304,2297.249,0.3557,2.3367,0.428
L5-ST4,105.6,4,12.7,0.2,0.2,1.088,0.029,1117.043,2.2736,36.9,16.2296,2539.742,0.2722,2.5654,0.39
L5-ST4,105.8,4,12.9,0.4,0.4,1.095,0.0404,1125.385,2.3796,67.9,28.5345,2677.939,0.2117,3.1746,0.315
L5-ST4,106,4,13.1,0.6,0.6,1.104,0.0191,1112.903,2.5199,114.1,45.2803,2804.363,0.1315,3.3907,0.295
L5-ST4,106.2,4,13.3,0.8,0.8,1.108,0.0104,1079.922,2.545,176.4,69.3123,2748.406,0.1171,4.1328,0.242
L5-ST4,106.4,4,13.5,1,1,1.113,0.008,1038.246,2.5581,259,101.249,2655.886,0.1097,5.7656,0.173
L5-ST4,106.6,4,13.7,1.2,1.2,1.122,0.0147,977.3521,2.5275,347.9,137.646,2470.255,0.1271,6.4887,0.154
L5-ST4,106.8,4,13.9,1.4,1.4,1.132,0.0176,975.8621,2.5023,435.7,174.1172,2441.937,0.1415,6.3441,0.158
L5-ST4,107,4,14.1,1.6,1.6,1.137,0.0254,978.4854,2.5159,308.5,122.62,2461.775,0.1338,6.953,0.144
L5-ST4,107.2,4,14.3,1.8,1.8,1.148,0.052,949.545,2.4824,186.5,75.1288,2357.153,0.1529,6.7412,0.148
L5-ST4,107.4,4,14.5,2,2,1.159,0.0802,905.4687,2.4588,177.5,72.1884,2226.405,0.1664,5.5411,0.18
