L5_GEOTEK_MSCL_SATURATED_CALIBRATION,,,,,,,,,,,,,,,
RECORD,SB_DEPTH,SECT_NUM,SECT_DEPTH,FIELD_DEPTH_[0_=_0-0.5_cm],STRAT_DEPTH_ITRAX,CoreThickness,PWAmp,PWVel,Den1_SAT_calibration,MS1,χhf_DCMS1,Imp_SAT_calibration,FP_SAT_calibration,RES_SAT_calibration,CONDUCTIVTY
L5-ST4,107.6,4,14.7,2.2,2.2,1.174,0.1198,1109.641,2.4682,185.9,75.3191,2738.776,0.161,4.9065,0.204
L5-ST4,107.8,4,14.9,2.4,2.4,1.185,0.0861,1104.38,2.436,202,82.9226,2690.279,0.1794,4.5532,0.22
L5-ST4,108,4,15.1,2.6,2.6,1.2,0.0698,1102.941,2.4465,241.9,98.8751,2698.37,0.1734,4.3211,0.231
L5-ST4,108.2,4,15.3,2.8,2.8,1.21,0.0677,1121.409,2.3984,352.5,146.9751,2689.548,0.2009,3.0459,0.328
L5-ST4,108.4,4,15.5,3,3,1.22,0.0622,1142.322,2.3868,513.6,215.1798,2726.542,0.2075,3.2523,0.307
L5-ST4,108.6,4,15.7,3.2,3.2,1.236,0.0525,1128.767,2.36,614.4,260.3422,2663.857,0.2229,2.8116,0.356
L5-ST4,108.8,4,15.9,3.4,3.4,1.246,0.0409,1084.421,2.3251,644.5,277.1922,2521.389,0.2428,2.8642,0.349
L5-ST4,109,4,16.1,3.6,3.6,1.261,0.0384,1098.432,2.3215,658,283.4319,2550.06,0.2448,2.2109,0.452
L5-ST4,109.2,4,16.3,3.8,3.8,1.272,0.0229,1101.299,2.305,632.1,274.2335,2538.461,0.2543,2.5737,0.389
L5-ST4,109.4,4,16.5,4,4,1.282,0.0197,1093.857,2.2693,583.7,257.221,2482.24,0.2747,2.242,0.446
L5-ST4,109.6,4,16.7,4.2,4.2,1.298,0.046,1100,2.2739,578.6,254.4537,2501.28,0.2721,2.3163,0.432
L5-ST4,109.8,4,16.9,4.4,4.4,1.309,0.0362,1081.818,2.2939,563.7,245.7429,2481.54,0.2607,2.1594,0.463
L5-ST4,110,4,17.1,4.6,4.6,1.323,0.0217,1073.864,2.2622,531.5,234.9465,2429.312,0.2787,2.1294,0.47
L5-ST4,110.2,4,17.3,4.8,4.8,1.339,0.0209,1080.71,2.2966,533.5,232.3049,2481.906,0.2591,2.108,0.474
L5-ST4,110.4,4,17.5,5,5,1.35,0.02,1091.35,2.3324,554.1,237.57,2545.427,0.2386,2.0643,0.484
L5-ST4,110.6,4,17.7,5.2,5.2,1.365,0.0163,1115.196,2.2593,552,244.3189,2519.61,0.2804,2.4442,0.409
L5-ST4,110.8,4,17.9,5.4,5.4,1.375,0.0156,1134.488,2.2608,542.7,240.0502,2564.825,0.2796,2.3285,0.429
L5-ST4,111,4,18.1,5.6,5.6,1.386,0.0146,1147.351,2.2789,556.1,244.0231,2614.678,0.2692,2.126,0.47
L5-ST4,111.2,4,18.3,5.8,5.8,1.397,0.0155,1147.905,2.2769,588.4,258.4215,2613.665,0.2703,1.9237,0.52
L5-ST4,111.4,4,18.5,6,6,1.402,0.0166,1143.556,2.3024,604.9,262.7207,2632.976,0.2557,2.1606,0.463
L5-ST4,111.6,4,18.7,6.2,6.2,1.407,0.0295,1142.973,2.2767,608.6,267.3134,2602.24,0.2704,2.06,0.485
L5-ST4,111.8,4,18.9,6.4,6.4,1.415,0.0275,1150.406,2.2652,621.1,274.1932,2605.89,0.277,2.0991,0.476
L5-ST4,112,4,19.1,6.6,6.6,1.422,0.0401,1162.715,2.2723,637.9,280.7287,2642.037,0.273,1.9182,0.521
L5-ST4,112.2,4,19.3,6.8,6.8,1.427,0.0461,1167.758,2.2269,668.3,300.1096,2600.425,0.2989,1.8864,0.53
L5-ST4,112.4,4,19.5,7,7,1.435,0.066,1192.851,2.2097,694.4,314.2537,2635.82,0.3088,1.8085,0.553
L5-ST4,112.6,4,19.7,7.2,7.2,1.441,0.0543,1204.849,2.1838,671.2,307.3544,2631.148,0.3235,1.806,0.554
L5-ST4,112.8,4,19.9,7.4,7.4,1.447,0.0453,1213.926,2.1454,635.4,296.1723,2604.324,0.3455,1.993,0.502
L5-ST4,113,4,20.1,7.6,7.6,1.451,0.0327,1207.155,2.1806,636.7,291.9807,2632.35,0.3254,1.9321,0.518
L5-ST4,113.2,4,20.3,7.8,7.8,1.461,0.0331,1163.217,2.187,634.6,290.1703,2543.945,0.3217,1.9256,0.519
L5-ST4,113.4,4,20.5,8,8,1.466,0.0714,1161.648,2.1928,650.3,296.5556,2547.313,0.3184,1.9275,0.519
L5-ST4,113.6,4,20.7,8.2,8.2,1.471,0.0901,1169.316,2.2202,680.7,306.5959,2596.101,0.3028,2.1735,0.46
L5-ST4,113.8,4,20.9,8.4,8.4,1.473,0.0899,1177.458,2.2609,725,320.6681,2662.121,0.2795,2.0515,0.487
L5-ST4,114,4,21.1,8.6,8.6,1.477,0.0805,1187.299,2.2507,758.2,336.8698,2672.279,0.2853,2.1136,0.473
L5-ST4,114.2,4,21.3,8.8,8.8,1.486,0.0719,1205.191,2.2688,737.1,324.8865,2734.327,0.275,2.087,0.479
L5-ST4,114.4,4,21.5,9,9,1.488,0.0591,1212.714,2.2676,675.8,298.0278,2749.919,0.2757,2.0632,0.485
L5-ST4,114.6,4,21.7,9.2,9.2,1.492,0.0631,1198.394,2.2375,704,314.6381,2681.396,0.2929,2.1362,0.468
L5-ST4,114.8,4,21.9,9.4,9.4,1.497,0.0873,1184.335,2.2622,749,331.0995,2679.156,0.2788,2.1807,0.459
L5-ST4,115,4,22.1,9.6,9.6,1.499,0.1388,1176.609,2.2468,817.3,363.754,2643.662,0.2875,2.1408,0.467
L5-ST4,115.2,4,22.3,9.8,9.8,1.503,0.1752,1180.675,2.2328,832.1,372.6787,2636.158,0.2956,2.183,0.458
L5-ST4,115.4,4,22.5,10,10,1.509,0.1506,1185.389,2.2248,842.8,378.8254,2637.219,0.3001,1.9861,0.503
L5-ST4,115.6,4,22.7,10.2,10.2,1.517,0.1003,1192.61,2.2396,850.4,379.7131,2670.953,0.2917,2.0452,0.489
L5-ST4,115.8,4,22.9,10.4,10.4,1.519,0.0726,1194.182,2.2453,825.9,367.8375,2681.28,0.2884,2.0101,0.497
L5-ST4,116,4,23.1,10.6,10.6,1.524,0.0597,1205.696,2.2744,825.9,363.1348,2742.19,0.2718,1.899,0.527
L5-ST4,116.2,4,23.3,10.8,10.8,1.529,0.0566,1211.569,2.2493,848.3,377.1346,2725.217,0.2861,1.9368,0.516
L5-ST4,116.4,4,23.5,11,11,1.53,0.082,1209.486,2.2575,875.6,387.8545,2730.473,0.2814,2.2011,0.454
L5-ST4,116.6,4,23.7,11.2,11.2,1.534,0.1232,1207.874,2.2489,883.8,392.9934,2716.38,0.2863,2.1915,0.456
L5-ST4,116.8,4,23.9,11.4,11.4,1.538,0.11,1207.221,2.2403,872.1,389.2801,2704.525,0.2913,2.1443,0.466
L5-ST4,117,4,24.1,11.6,11.6,1.534,0.071,1209.779,2.2934,859.9,374.9425,2774.53,0.2609,2.1294,0.47
L5-ST4,117.2,4,24.3,11.8,11.8,1.538,0.0616,1214.85,2.2917,858.6,374.6498,2784.12,0.2619,2.2134,0.452
L5-ST4,117.4,4,24.5,12,12,1.534,0.0599,1181.818,2.2526,885.9,393.2815,2662.146,0.2842,2.1963,0.455
L5-ST4,117.6,4,24.7,12.2,12.2,1.519,0.1163,1175.697,2.3335,928.2,397.7694,2743.503,0.238,2.1915,0.456
L5-ST4,117.8,4,24.9,12.4,12.4,1.518,0.1704,1172.201,2.3104,959,415.0824,2708.235,0.2512,2.4234,0.413
L5-ST4,118,4,25.1,12.6,12.6,1.518,0.2207,1188.724,2.2975,959.6,417.6693,2731.106,0.2586,2.3658,0.423
L5-ST4,118.2,4,25.3,12.8,12.8,1.518,0.234,1200,2.2824,954.9,418.373,2738.896,0.2672,2.419,0.413
L5-ST4,118.4,4,25.5,13,13,1.518,0.2736,1205.719,2.2726,949.5,417.804,2740.113,0.2728,2.6974,0.371
L5-ST4,118.6,4,25.7,13.2,13.2,1.514,0.321,1216.064,2.2819,952.3,417.3325,2774.906,0.2675,2.5474,0.393
L5-ST4,118.8,4,25.9,13.4,13.4,1.513,0.2053,1221.146,2.2801,950.4,416.8225,2784.344,0.2685,2.856,0.35
L5-ST4,119,4,26.1,13.6,13.6,1.508,0.2674,1222.042,2.2769,938.5,412.1784,2782.501,0.2703,2.9799,0.336
L5-ST4,119.2,4,26.3,13.8,13.8,1.502,0.2507,1225.122,2.2926,946.6,412.898,2808.686,0.2614,3.0366,0.329
L5-ST4,119.4,4,26.5,14,14,1.5,0.2383,1228.501,2.2563,965,427.698,2771.824,0.2821,3.032,0.33
L5-ST4,119.6,4,26.7,14.2,14.2,1.492,0.1474,1223.954,2.3198,977.6,421.4152,2839.332,0.2458,2.6829,0.373
L5-ST4,119.8,4,26.9,14.4,14.4,1.487,0.1115,1217.854,2.2755,999.2,439.1065,2771.263,0.2711,2.6578,0.376
L5-ST4,120,4,27.1,14.6,14.6,1.477,0.0923,1207.686,2.2648,18.5,8.1686,2735.116,0.2773,2.9446,0.34
L5-ST4,120.2,4,27.3,14.8,14.8,1.468,0.099,1202.293,2.2447,20.4,9.088,2698.798,0.2887,2.7667,0.361
L5-ST4,120.4,4,27.5,15,15,1.457,0.0863,1206.126,2.273,1.7,0.7479,2741.48,0.2726,2.5737,0.389
L5-ST4,120.6,4,27.7,15.2,15.2,1.447,0.0931,1208.856,2.2494,5,2.2228,2719.228,0.286,2.4219,0.413
L5-ST4,120.8,4,27.9,15.4,15.4,1.441,0.1099,1215.008,2.22,22.1,9.9551,2697.267,0.3029,2.3814,0.42
L5-ST4,121,4,28.1,15.6,15.6,1.433,0.0923,1217.502,2.2145,38.3,17.2951,2696.152,0.306,2.2871,0.437
L5-ST4,121.2,4,28.3,15.8,15.8,1.428,0.0597,1228.916,2.2183,61.7,27.8135,2726.157,0.3038,2.3163,0.432
L5-ST4,121.4,4,28.5,16,16,1.417,0.0383,1211.111,2.2113,77,34.8212,2678.127,0.3078,2.2195,0.451
L5-ST4,121.6,4,28.7,16.2,16.2,1.413,0.0469,1184.409,2.1898,101.2,46.2148,2593.592,0.3201,1.9861,0.503
L5-ST4,121.8,4,28.9,16.4,16.4,1.405,0.0669,1176.717,2.204,125,56.7163,2593.426,0.312,2.003,0.499
L5-ST4,122,4,29.1,16.6,16.6,1.401,0.0927,1170.426,2.2038,121.5,55.131,2579.433,0.3121,1.8811,0.532
L5-ST4,122.2,4,29.3,16.8,16.8,1.396,0.0839,1166.249,2.2272,105.7,47.4587,2597.469,0.2987,1.8539,0.539
L5-ST4,122.4,4,29.5,17,17,1.391,0.0731,1161.102,2.2443,70.8,31.5462,2605.896,0.289,1.8678,0.535
L5-ST4,122.6,4,29.7,17.2,17.2,1.386,0.0776,1154.038,2.2303,22.7,10.1781,2573.825,0.297,1.9368,0.516
L5-ST4,122.8,4,29.9,17.4,17.4,1.386,0.0842,1156.928,2.2131,947.4,428.0841,2560.417,0.3068,2.0368,0.491
L5-ST4,123,4,30.1,17.6,17.6,1.386,0.0873,1168.634,2.2355,863,386.05,2612.436,0.294,2.1237,0.471
L5-ST4,123.2,4,30.3,17.8,17.8,1.386,0.0629,1172.589,2.242,818.6,365.1261,2628.903,0.2903,2.4205,0.413
L5-ST4,123.4,4,30.5,18,18,1.389,0.0447,1174.134,2.2963,813.9,354.4396,2696.165,0.2593,2.8745,0.348
L5-ST4,123.6,4,30.7,18.2,18.2,1.392,0.0288,1163.88,2.2775,787.9,345.9505,2650.728,0.27,3.2155,0.311
L5-ST4,123.8,4,30.9,18.4,18.4,1.391,0.0339,1153.4,2.3307,729.1,312.8181,2688.284,0.2396,4.7149,0.212
L5-ST4,124,4,31.1,18.6,18.6,1.391,0.0353,1154.357,2.368,682,288.004,2733.544,0.2183,4.7205,0.212
L5-ST4,124.2,4,31.3,18.8,18.8,1.391,0.0337,1142.974,2.4218,708.9,292.7179,2768.04,0.1876,6.7527,0.148
L5-ST4,124.4,4,31.5,19,19,1.394,0.0357,1126.92,2.4426,784.7,321.2502,2752.665,0.1756,7.2438,0.138
L5-ST4,124.6,4,31.7,19.2,19.2,1.396,0.0527,1120.385,2.4456,838.4,342.8196,2740.015,0.1739,18.0274,0.055
L5-ST4,124.8,4,31.9,19.4,19.4,1.396,0.07,1120.385,2.4411,862.5,353.3202,2735.004,0.1765,38.6802,0.026
L5-ST4,125,4,32.1,19.6,19.6,1.396,0.0834,1132.198,2.4737,869.5,351.4922,2800.762,0.1579,11.0057,0.091
L5-ST4,125.2,4,32.3,19.8,19.8,1.396,0.1104,1143.325,2.4768,850.3,343.3078,2831.772,0.1561,8.8143,0.113
L5-ST4,125.4,4,32.5,20,20,1.396,0.1329,1148.026,2.4819,855,344.497,2849.262,0.1532,4.9369,0.203
L5-ST4,125.6,4,32.7,20.2,20.2,1.396,0.1564,1163.333,2.4952,886.7,355.3617,2902.754,0.1456,5.0177,0.199
L5-ST4,125.8,4,32.9,20.4,20.4,1.395,0.1499,1173.255,2.5447,908.5,357.0222,2985.535,0.1173,3.6753,0.272
L5-ST4,126,4,33.1,20.6,20.6,1.391,0.15,1172.85,2.5536,919.6,360.1218,2994.967,0.1122,2.7251,0.367
L5-ST4,126.2,4,33.3,20.8,20.8,1.39,0.1414,1176.969,2.5732,929,361.0306,3028.563,0.101,2.4338,0.411
L5-ST4,126.4,4,33.5,21,21,1.386,0.1375,1180.579,2.6169,945.6,361.3369,3089.515,0.076,2.2332,0.448
L5-ST4,126.6,4,33.7,21.2,21.2,1.376,0.1249,1187.23,2.6951,962.6,357.1716,3199.661,0.0314,1.9397,0.516
L5-ST4,126.8,4,33.9,21.4,21.4,1.36,0.121,1187.773,2.6864,968.8,360.6266,3190.875,0.0363,1.6925,0.591
L5-ST4,127,4,34.1,21.6,21.6,1.329,0.111,1184.492,2.7124,973.2,358.7943,3212.837,0.0215,1.5218,0.657
L5-ST4,127.2,4,34.3,21.8,21.8,1.321,0.0797,1195.475,2.7492,979.3,356.2087,3286.637,0.0004,1.4451,0.692
L5-ST4,127.4,4,34.5,22,22,1.298,0.0827,1181.074,2.7521,984.3,357.6549,3250.426,-0.0012,1.3542,0.738
L5-ST4,127.6,4,34.7,22.2,22.2,1.261,0.1204,1167.593,2.6904,992.4,368.8629,3141.327,0.034,1.3329,0.75
L5-ST4,127.8,4,34.9,22.4,22.4,1.224,0.1533,1149.296,2.4878,992,398.7527,2859.169,0.1499,1.3473,0.742
L5-ST4,128,4,35.1,22.6,22.6,1.168,0.1737,1121.998,2.3266,970.2,417.0029,2610.444,0.2419,1.4173,0.706
L5-ST4,128.2,4,35.3,22.8,22.8,1.112,0.1409,1107.57,2.1139,889.1,420.6035,2341.256,0.3635,1.4723,0.679
L5-ST4,128.4,4,35.5,23,23,1.078,0.1003,1119.419,1.8824,756.8,402.0335,2107.228,0.4958,1.581,0.633
L5-ST4,128.6,4,35.7,23.2,23.2,1.062,0.0724,1123.809,1.6959,624.4,368.1816,1905.871,0.6023,1.6825,0.594
L5-ST4,128.8,4,35.9,23.4,23.4,1.062,0.0463,1133.404,1.5076,523,346.9203,1708.665,0.71,1.8687,0.535
L5-ST4,129,4,36.1,23.6,23.6,1.062,0.0311,1148.108,1.3461,469.7,348.9309,1545.482,0.8022,2.2989,0.435
L5-ST4,129.2,4,36.3,23.8,23.8,1.062,0.0251,1168.317,1.2888,468.9,363.8351,1505.692,0.835,2.7066,0.369
L5-ST4,129.4,4,36.5,24,24,1.062,0.0058,1182.628,1.2534,511.1,407.7733,1482.297,0.8552,3.0137,0.332
L5-L2B,154.2,5,20.6,0,0,1.293,0,13.2051,2.1949,25.2,11.4812,28.9837,0.3172,3.6219,0.276
L5-L2B,154.4,5,20.8,0.2,0.2,1.35,0,13.7872,2.3,56.1,24.3917,31.7101,0.2572,4.3926,0.228
L5-L2B,154.6,5,21,0.4,0.4,1.41,0,14.4,2.3408,108.5,46.3522,33.707,0.2338,5.5956,0.179
L5-L2B,154.8,5,21.2,0.6,0.6,1.461,0,14.9208,2.2676,160.4,70.7341,33.8351,0.2756,6.0918,0.164
L5-L2B,155,5,21.4,0.8,0.8,1.503,0,15.3497,2.2091,202.8,91.8008,33.9096,0.3091,8.2829,0.121
L5-L2B,155.2,5,21.6,1,1,1.534,0,15.6663,2.2365,217.3,97.1604,35.0379,0.2934,8.6988,0.115
L5-L2B,155.4,5,21.8,1.2,1.2,1.569,0,16.0238,2.2256,214.9,96.5587,35.6623,0.2997,8.7562,0.114
L5-L2B,155.6,5,22,1.4,1.4,1.601,0.0034,897.4216,2.192,208.7,95.2111,1967.123,0.3189,6.7641,0.148
L5-L2B,155.8,5,22.2,1.6,1.6,1.621,0.0068,888.7062,2.1595,204.1,94.5105,1919.205,0.3374,5.9199,0.169
L5-L2B,156,5,22.4,1.8,1.8,1.644,0.004,878.2052,2.1867,203.5,93.0636,1920.35,0.3219,6.1388,0.163
L5-L2B,156.2,5,22.6,2,2,1.667,0.0022,728.9025,2.1611,205.4,95.0453,1575.213,0.3365,4.8645,0.206
L5-L2B,156.4,5,22.8,2.2,2.2,1.684,0.0031,915.2174,2.1213,213.1,100.4587,1941.423,0.3593,3.8308,0.261
L5-L2B,156.6,5,23,2.4,2.4,1.699,0.0049,933.5166,2.0964,223.1,106.4223,1956.992,0.3735,3.2764,0.305
L5-L2B,156.8,5,23.2,2.6,2.6,1.708,0.0019,954.19,2.0805,237.9,114.3467,1985.206,0.3826,3.5164,0.284
L5-L2B,157,5,23.4,2.8,2.8,1.717,0.0034,965.149,2.0928,263.8,126.0499,2019.885,0.3755,2.9933,0.334
L5-L2B,157.2,5,23.6,3,3,1.722,0.0036,964.1659,2.0793,289.1,139.0392,2004.761,0.3833,2.9555,0.338
L5-L2B,157.4,5,23.8,3.2,3.2,1.731,0.0068,1242.642,2.1003,345,164.2626,2609.916,0.3713,2.7195,0.368
L5-L2B,157.6,5,24,3.4,3.4,1.733,0.009,1252.168,2.1394,417.4,195.1004,2678.903,0.3489,2.3381,0.428
L5-L2B,157.8,5,24.2,3.6,3.6,1.738,0.0098,1264,2.152,494.2,229.6495,2720.096,0.3417,2.3463,0.426
L5-L2B,158,5,24.4,3.8,3.8,1.743,0.0093,1274.123,2.1383,539.6,252.3503,2724.453,0.3495,2.1091,0.474
L5-L2B,158.2,5,24.6,4,4,1.743,0.0207,1280.676,2.0952,512.5,244.6033,2683.311,0.3742,2.0826,0.48
L5-L2B,158.4,5,24.8,4.2,4.2,1.748,0.0283,1290.99,2.1096,386.5,183.2116,2723.449,0.366,2.0081,0.498
L5-L2B,158.6,5,25,4.4,4.4,1.749,0.0207,1298.441,2.1079,356.8,169.2663,2737.01,0.3669,1.7019,0.588
L5-L2B,158.8,5,25.2,4.6,4.6,1.754,0.0171,1318.797,2.0816,343.8,165.158,2745.265,0.3819,1.9099,0.524
L5-L2B,159,5,25.4,4.8,4.8,1.755,0.0241,1333.587,2.1121,346.3,163.9574,2816.713,0.3645,1.793,0.558
L5-L2B,159.2,5,25.6,5,5,1.759,0.027,1338.661,2.0959,376.3,179.5379,2805.748,0.3738,1.6463,0.607
L5-L2B,159.4,5,25.8,5.2,5.2,1.759,0.0166,1338.661,2.0964,460.7,219.7587,2806.355,0.3735,1.6456,0.608
L5-L2B,159.6,5,26,5.4,5.4,1.764,0.0141,1333.333,2.0614,564.2,273.6916,2748.593,0.3935,1.5587,0.642
L5-L2B,159.8,5,26.2,5.6,5.6,1.764,0.0187,1319.372,2.0814,621.4,298.5432,2746.194,0.382,1.7987,0.556
L5-L2B,160,5,26.4,5.8,5.8,1.769,0.0262,1326.087,2.0796,640.6,308.0414,2757.718,0.3831,1.7505,0.571
L5-L2B,160.2,5,26.6,6,6,1.769,0.0182,1335.094,2.0877,647.5,310.1497,2787.278,0.3785,1.5917,0.628
L5-L2B,160.4,5,26.8,6.2,6.2,1.769,0.0119,1345.247,2.0605,744.5,361.3274,2771.826,0.394,1.4409,0.694
L5-L2B,160.6,5,27,6.4,6.4,1.774,0.0097,1356.269,2.0511,780,380.2766,2781.896,0.3993,1.4707,0.68
L5-L2B,160.8,5,27.2,6.6,6.6,1.774,0.0108,1348.024,2.0977,798.6,380.6988,2827.779,0.3727,1.495,0.669
L5-L2B,161,5,27.4,6.8,6.8,1.774,0.0154,1324.869,2.0542,788,383.6022,2721.562,0.3976,1.4214,0.704
L5-L2B,161.2,5,27.6,7,7,1.779,0.0186,1324.646,2.0225,779.8,385.572,2679.031,0.4157,1.4188,0.705
L5-L2B,161.4,5,27.8,7.2,7.2,1.784,0.0169,1331.343,2.0418,779.8,381.9137,2718.367,0.4047,1.4033,0.713
L5-L2B,161.6,5,28,7.4,7.4,1.787,0.0184,1337.575,2.0685,780,377.0913,2766.727,0.3894,1.4778,0.677
L5-L2B,161.8,5,28.2,7.6,7.6,1.789,0.0138,1345.113,2.0444,773.1,378.1505,2749.98,0.4032,1.4028,0.713
L5-L2B,162,5,28.4,7.8,7.8,1.795,0.0148,1359.849,2.038,758.9,372.3698,2771.409,0.4068,1.4871,0.672
L5-L2B,162.2,5,28.6,8,8,1.795,0.0167,1328.646,2.0324,738.9,363.5687,2700.277,0.4101,1.4466,0.691
L5-L2B,162.4,5,28.8,8.2,8.2,1.8,0.0122,1306.241,2.0893,722,345.5687,2729.142,0.3775,1.4588,0.685
L5-L2B,162.6,5,29,8.4,8.4,1.8,0.0228,1295.896,2.1009,716.9,341.2352,2722.545,0.3709,1.5394,0.65
L5-L2B,162.8,5,29.2,8.6,8.6,1.802,0.0388,1297.336,2.1065,701.6,333.0624,2732.854,0.3677,1.5241,0.656
L5-L2B,163,5,29.4,8.8,8.8,1.805,0.0573,1302.309,2.1129,692,327.5123,2751.646,0.3641,1.5359,0.651
L5-L2B,163.2,5,29.6,9,9,1.805,0.0689,1309.869,2.132,714.8,335.2714,2792.647,0.3531,1.5642,0.639
L5-L2B,163.4,5,29.8,9.2,9.2,1.806,0.0782,1322.108,2.0995,736.1,350.606,2775.777,0.3717,1.5276,0.655
L5-L2B,163.6,5,30,9.4,9.4,1.805,0.1082,1332.103,2.1412,705.4,329.4398,2852.313,0.3479,1.5854,0.631
L5-L2B,163.8,5,30.2,9.6,9.6,1.805,0.0728,1339.021,2.1072,663.4,314.82,2821.633,0.3673,1.4938,0.669
L5-L2B,164,5,30.4,9.8,9.8,1.805,0.0399,1351.048,2.1172,658.3,310.9347,2860.392,0.3616,1.581,0.633
L5-L2B,164.2,5,30.6,10,10,1.805,0.0262,1362.264,2.0955,686.1,327.4092,2854.682,0.374,1.5648,0.639
L5-L2B,164.4,5,30.8,10.2,10.2,1.8,0.0218,1340.283,2.0949,737.1,351.862,2807.699,0.3744,1.5587,0.642
L5-L2B,164.6,5,31,10.4,10.4,1.801,0.0381,1334.074,2.0781,783.1,376.8409,2772.293,0.384,1.5365,0.651
L5-L2B,164.8,5,31.2,10.6,10.6,1.8,0.0552,1333.333,2.1155,823.7,389.3732,2820.602,0.3626,1.6368,0.611
L5-L2B,165,5,31.4,10.8,10.8,1.8,0.0511,1337.296,2.153,825.5,383.4126,2879.242,0.3411,1.5103,0.662
L5-L2B,165.2,5,31.6,11,11,1.795,0.0385,1337.556,2.1114,782.5,370.6012,2824.161,0.3649,1.5962,0.626
L5-L2B,165.4,5,31.8,11.2,11.2,1.795,0.0234,1335.565,2.0961,789.7,376.7556,2799.417,0.3737,1.4883,0.672
L5-L2B,165.6,5,32,11.4,11.4,1.79,0.0206,1324.944,2.1112,828.2,392.2834,2797.261,0.365,1.5563,0.643
L5-L2B,165.8,5,32.2,11.6,11.6,1.789,0.0205,1316.409,2.1318,841.1,394.5502,2806.314,0.3533,1.5496,0.645
L5-L2B,166,5,32.4,11.8,11.8,1.784,0.0191,1298.399,2.1169,836.3,395.0549,2748.608,0.3618,1.5103,0.662
L5-L2B,166.2,5,32.6,12,12,1.784,0.0237,1281.609,2.1387,804.7,376.2519,2741.012,0.3493,1.4938,0.669
L5-L2B,166.4,5,32.8,12.2,12.2,1.785,0.0389,1277.738,2.1148,789.2,373.1798,2702.158,0.363,1.4905,0.671
L5-L2B,166.6,5,33,12.4,12.4,1.785,0.0767,1286.023,2.128,812.1,381.6266,2736.653,0.3554,1.4466,0.691
L5-L2B,166.8,5,33.2,12.6,12.6,1.785,0.1027,1300.073,2.1125,837.5,396.4574,2746.35,0.3643,1.4113,0.709
L5-L2B,167,5,33.4,12.8,12.8,1.785,0.0963,1309.611,2.0726,823.6,397.3791,2714.274,0.3871,1.5114,0.662
L5-L2B,167.2,5,33.6,13,13,1.785,0.0644,1301.969,2.1237,774.4,364.6405,2765.039,0.3579,1.475,0.678
L5-L2B,167.4,5,33.8,13.2,13.2,1.784,0.038,1292.754,2.0887,751.6,359.8414,2700.172,0.3779,1.5006,0.666
L5-L2B,167.6,5,34,13.4,13.4,1.779,0.0759,1287.265,2.1224,757.2,356.7658,2732.092,0.3586,1.5,0.667
L5-L2B,167.8,5,34.2,13.6,13.6,1.779,0.0981,1289.13,2.1342,772.2,361.8181,2751.29,0.3519,1.4849,0.673
L5-L2B,168,5,34.4,13.8,13.8,1.779,0.1219,1298.54,2.1285,774,363.6311,2763.983,0.3551,1.4445,0.692
L5-L2B,168.2,5,34.6,14,14,1.775,0.1087,1300.366,2.1529,768.5,356.9524,2799.621,0.3412,1.4978,0.668
L5-L2B,168.4,5,34.8,14.2,14.2,1.774,0.0862,1284.577,2.1307,757.3,355.416,2737.102,0.3539,1.48,0.676
L5-L2B,168.6,5,35,14.4,14.4,1.774,0.0914,1275.341,2.127,766.1,360.1839,2712.612,0.356,1.4888,0.672
