LabID,CRA,Error,calCurves,resOffsets,resErrors,Material,Species,SiteName,Country,Longitude,Latitude,Region,Location ,ID
Beta-441409,1380,30,shcal20,0,0,Terrestrial moss fragments,Unknown,ART03,South Shetland Islands,-58.89954,-62.1795,King George Island ,Fildes Peninsula ,ART03A_1
Beta-441410,1380,30,shcal20,0,0,Terrestrial moss fragments,Unknown,ART03,South Shetland Islands,-58.89954,-62.1795,King George Island ,Fildes Peninsula ,ART03B_2
Beta-441405,1980,30,shcal20,0,0,Terrestrial moss fragments,Unknown,ART01,South Shetland Islands,-58.89954,-62.1795,King George Island ,Fildes Peninsula ,ART01A1
Beta-441406,1950,30,shcal20,0,0,Terrestrial moss fragments,Unknown,ART01,South Shetland Islands,-58.89954,-62.1795,King George Island ,Fildes Peninsula ,ART01B1
Beta-441407,1920,30,shcal20,0,0,Terrestrial moss fragments,Unknown,ART01,South Shetland Islands,-58.89954,-62.1795,King George Island ,Fildes Peninsula ,ART01A2
Beta-441408,1940,30,shcal20,0,0,Terrestrial moss fragments,Unknown,ART01,South Shetland Islands,-58.89954,-62.1795,King George Island ,Fildes Peninsula ,ART01B2
Beta-441411,2030,30,shcal20,0,0,Terrestrial moss fragments,Unknown,ART08,South Shetland Islands,-58.86221,-62.18181,King George Island ,Fildes Peninsula ,ART08arA
Beta-441412,2050,30,shcal20,0,0,Terrestrial moss fragments,Unknown,ART08,South Shetland Islands,-58.86221,-62.18181,King George Island ,Fildes Peninsula ,ART08arB
Beta-441413,1870,30,shcal20,0,0,Terrestrial moss fragments,Unknown,ART08,South Shetland Islands,-58.86221,-62.18181,King George Island ,Fildes Peninsula ,ART08abA
Beta-441414,1900,30,shcal20,0,0,Terrestrial moss fragments,Unknown,ART08,South Shetland Islands,-58.86221,-62.18181,King George Island ,Fildes Peninsula ,ART08abB
Beta-441415,2050,30,shcal20,0,0,Terrestrial moss fragments,Unknown,ART02,South Shetland Islands,-58.88949,-62.18224,King George Island ,Fildes Peninsula ,ART021A
Beta-441417,2010,30,shcal20,0,0,Terrestrial moss fragments,Unknown,ART02,South Shetland Islands,-58.88949,-62.18224,King George Island ,Fildes Peninsula ,ART022A
Beta-441418,1980,30,shcal20,0,0,Terrestrial moss fragments,Unknown,ART02,South Shetland Islands,-58.88949,-62.18224,King George Island ,Fildes Peninsula ,ART022B
