L15_GEOTEK_MSCL_SATURATED_CALIBRATION,,,,,,,,,,,,,,,
RECORD,SB_DEPTH,SECT_NUM,SECT_DEPTH,FIELD_DEPTH_[0_=_0-0.5_cm],STRAT_DEPTH_ITRAX,CoreThickness,PWAmp,PWVel,Den1_SAT_calibration,MS1,DCMS1,Imp_SAT_calibration,FP_SAT_calibration,RES_SAT_calibration,CONDUCTIVTY
,cm,,cm,cm,cm,cm,,m/s,g/cc,SI_x_10^-5,x_10^-8_m^3/kg,,,Ohm.m,Sm-1
L15-H2,56.6,3,3.6,0,0,1.061,0,10.8357,1.5853,0,0,17.1775,0.6656,1.302,0.768
L15-H2,56.8,3,3.8,0.2,0.2,1.073,0,10.9583,1.6739,0.4,0.239,18.3429,0.6149,1.2676,0.789
L15-H2,57,3,4,0.4,0.4,1.083,0,11.0604,1.7895,0.9,0.5029,19.7922,0.5489,1.2612,0.793
L15-H2,57.2,3,4.2,0.6,0.6,1.088,0,11.1115,1.8351,2.8,1.5258,20.3905,0.5228,1.2806,0.781
L15-H2,57.4,3,4.4,0.8,0.8,1.093,0,11.1625,1.9179,5.7,2.972,21.4088,0.4755,1.2077,0.828
L15-H2,57.6,3,4.6,1,1,1.093,0,11.1625,1.9394,9.3,4.7952,21.6491,0.4632,1.1829,0.845
L15-H2,57.8,3,4.8,1.2,1.2,1.094,0,11.1727,1.9716,12.6,6.3907,22.0283,0.4448,1.1745,0.851
L15-H2,58,3,5,1.4,1.4,1.093,0,11.1625,2.0098,14.4,7.165,22.434,0.423,1.1328,0.883
L15-H2,58.2,3,5.2,1.6,1.6,1.098,0,11.2136,2.0025,20.5,10.2373,22.4551,0.4271,1.137,0.880
L15-H2,58.4,3,5.4,1.8,1.8,1.108,0,11.3157,2.0258,37.4,18.4619,22.9233,0.4138,1.1918,0.839
L15-H2,58.6,3,5.6,2,2,1.114,0,11.377,2.0096,70.1,34.8825,22.8632,0.4231,1.1157,0.896
L15-H2,58.8,3,5.8,2.2,2.2,1.117,0,11.4076,1.9662,116.7,59.3528,22.4298,0.4479,1.1315,0.884
L15-H2,59,3,6,2.4,2.4,1.117,0,11.4076,1.9877,139.7,70.2809,22.6754,0.4356,1.0942,0.914
L15-H2,59.2,3,6.2,2.6,2.6,1.122,0,11.4587,2.0028,142.4,71.1017,22.9491,0.427,1.0921,0.916
L15-H2,59.4,3,6.4,2.8,2.8,1.122,0,11.4587,2.0129,145,72.0347,23.0654,0.4212,1.0462,0.956
L15-H2,59.6,3,6.6,3,3,1.122,0,11.4587,2.0383,146.7,71.9715,23.3563,0.4067,1.0713,0.933
L15-H2,59.8,3,6.8,3.2,3.2,1.122,0,11.4587,2.008,144.9,72.1605,23.0093,0.424,1.0354,0.966
L15-H2,60,3,7,3.4,3.4,1.117,0,11.4076,2.0493,158.6,77.3906,23.3782,0.4004,1.0066,0.993
L15-H2,60.2,3,7.2,3.6,3.6,1.114,0,11.377,2.0526,178.2,86.8184,23.352,0.3985,0.9813,1.019
L15-H2,60.4,3,7.4,3.8,3.8,1.114,0,11.377,2.0206,164.1,81.2155,22.9878,0.4168,0.998,1.002
