YearBP,TSI,dTSI,dTSI_sigma,upper_err,lower_err,Predicted_TSI,Residuals_TSI,LOESS_100_TSI,LOESS_100_TSI,Predicted_LOESS_100_TSI,ResidualsLOESS_100_TSI,LOESS_100yr,LOESS_100_dTSI,Predicted_dTSI_Wm-2,Residuals_dTSI_Wm-2,LOESS_100yr,dTSI_Wm-2,LOESS_100yr,upper error,lower error,mean,error,plot_age
-57.5,1365.71,0.14,0.47,0.61,-0.33,1365.890609,-0.18060901,-100,1365.977052,-0.24857004,0.21857004,-100,0.407051776,0.380054427,0.029945573,-100,0.541039419,-100,0.94807634,-0.133959154,-0.050024586,0.172389259,10000
-52.5,1365.8,0.23,0.5,0.73,-0.27,1365.880822,-0.080821609,0,1365.782952,-0.24751112,0.35751112,0,0.212952224,0.37985529,0.08014471,0,0.487208404,0,0.700152252,-0.274240533,,,
-47.5,1365.92,0.35,0.54,0.89,-0.19,1365.871115,0.048885022,100,1365.621698,-0.246396094,0.456396094,100,0.051698108,0.379678601,0.110321399,100,0.446112018,100,0.497812744,-0.394418675,,,
-42.5,1366.01,0.44,0.57,1.01,-0.13,1365.861489,0.14851073,200,1365.49618,-0.245230618,0.445230618,200,-0.073819568,0.379524203,0.110475797,200,0.417697732,200,0.343893935,-0.491544895,,,
-37.5,1366.01,0.44,0.57,1.01,-0.13,1365.851945,0.158055373,300,1365.411373,-0.244013039,0.314013039,300,-0.158627263,0.379391904,0.070608096,300,0.402566972,300,0.243968027,-0.561241007,,,
-32.5,1365.91,0.34,0.54,0.88,-0.2,1365.842481,0.067518847,400,1365.360618,-0.242743552,0.092743552,400,-0.209381679,0.379281482,7.19E-04,400,0.399939448,400,0.190596078,-0.6093768,,,
-27.5,1365.79,0.22,0.49,0.71,-0.27,1365.833099,-0.043098918,500,1365.367932,-0.241423011,-0.158576989,500,-0.202068391,0.379192697,-0.039192697,500,0.408973165,500,0.206961147,-0.611116992,,,
-22.5,1365.76,0.19,0.48,0.67,-0.29,1365.823798,-0.063797981,600,1365.479505,-0.24005239,-0.34994761,600,-0.090495386,0.37912531,-0.01912531,600,0.436758802,600,0.345239559,-0.526428502,,,
-17.5,1365.83,0.26,0.51,0.77,-0.25,1365.814578,0.015421579,700,1365.605973,-0.238632425,-0.401367575,700,0.035972655,0.379079093,9.21E-04,700,0.455416495,700,0.491357647,-0.419391803,,,
-12.5,1365.93,0.36,0.54,0.9,-0.18,1365.80544,0.124559663,800,1365.681334,-0.237163821,-0.352836179,800,0.111334302,0.379053827,-0.019053827,800,0.462838684,800,0.57414331,-0.351466245,,,
-7.5,1365.95,0.38,0.55,0.93,-0.17,1365.796384,0.153616169,900,1365.716558,-0.235646684,-0.284353316,900,0.146557801,0.379049296,-0.039049296,900,0.468057035,900,0.614576891,-0.321451569,,,
-2.5,1365.89,0.32,0.53,0.85,-0.21,1365.787409,0.102591005,1000,1365.720824,-0.234081962,-0.225918038,1000,0.150824438,0.379065239,-0.039065239,1000,0.4699273,1000,0.620727311,-0.319071234,,,
2.5,1365.79,0.22,0.49,0.71,-0.27,1365.778516,0.011484104,1100,1365.601774,-0.232469043,-0.137530957,1100,0.031773851,0.379101263,-0.039101263,1100,0.457037876,1100,0.488559513,-0.424799334,,,
7.5,1365.73,0.16,0.48,0.64,-0.32,1365.769705,-0.039704599,1200,1365.502125,-0.230808247,-0.049191753,1200,-0.067875307,0.37915744,-0.01915744,1200,0.44655044,1200,0.379074181,-0.514865535,,,
12.5,1365.73,0.16,0.47,0.63,-0.31,1365.760975,-0.030975179,1300,1365.442315,-0.229101088,0.049101088,1300,-0.127685455,0.379233589,-9.23E-03,1300,0.432914741,1300,0.305295328,-0.560689922,,,
