Depth_cm,Age_BP_Sh20_min,Age_BP_Sh20_max,Age_BP_Sh20_median,Age_BP_Sh20_mean,Mo_TSN,Mo_Ca_Ti,Mo_Fe_Mn,Mo_Br_Ti,Mo_Ti_inc+coh,Mo_Ti_(inc_coh),Cr_TSN,Ca_Ti-Cr,Zr_Ti-Cr,Br_Ti-Cr,S_Ti-Cr,Cr_Ti_inc+coh,Cr_Ti_inc_coh
0,-66.07,-60.42,-63.23,-63.25,0.321237059,0.418220425,1.838163051,-0.110356737,-1.895179901,1.702443602,0.42973371,0.315011607,-1.697825618,-2.163665862,-1.634156538,-0.691013807,3.312453615
0.1,-65.75,-59.81,-62.75,-62.76,0.287164669,0.468139956,1.831832547,0,-2.194051588,1.46296275,0.397930431,0.374689859,-1.514490005,-1.31991534,-1.762274488,-0.780311566,3.150901468
0.2,-65.57,-59,-62.28,-62.27,0.365821142,0.165694159,1.751120479,0.090701669,-1.800694911,1.869894155,0.447686526,0.323200418,-1.289046776,-1.523916036,-1.695312174,-0.675099429,3.198137901
0.3,-65.3,-58.19,-61.82,-61.79,0.383695653,0.182525369,2.055554742,-0.153976945,-1.679549926,1.985132722,0.453329554,0.339324302,-1.23270383,-1.109691015,-1.662532983,-0.681437986,3.328811328
0.4,-65.07,-57.04,-61.37,-61.3,0.382588119,0.235584398,1.889332047,-0.095109204,-1.71906948,1.966278058,0.450114395,0.254320141,-1.571015577,-2.468642668,-2.106914832,-0.601543018,3.553151251
0.5,-64.88,-55.82,-60.98,-60.81,0.381743883,0.258195269,2.129280783,0.010665339,-1.712412485,1.936178954,0.464789462,0.344089383,-1.509104128,NA,-1.904404041,-0.631963074,3.359038665
0.6,-64.79,-54.61,-60.59,-60.32,0.412945008,0.253777514,1.903850351,-0.242478751,-1.708425281,1.993801687,0.495491336,0.357448242,-1.839588945,-1.54499306,-1.780003255,-0.610388304,3.418796682
0.7,-64.67,-53.25,-60.19,-59.83,0.366593549,0.246121809,2.100173028,-0.235116011,-1.728902967,1.983720906,0.499150491,0.33440022,-1.40780661,-1.260360532,-1.875784485,-0.59504848,3.454918142
0.8,-64.57,-51.94,-59.77,-59.34,0.271156974,0.30820858,1.900084477,0.214843848,-1.907465107,1.800156519,0.481435499,0.375868261,-1.62195482,-1.14786002,-1.734994333,-0.672189792,3.221047801
0.9,-64.52,-50.68,-59.42,-58.86,0.244250161,0.414419283,1.795527847,0.432517505,-2.12755222,1.558386513,0.390356167,0.367554812,-1.805884837,-1.203824845,-1.752639325,-0.820410889,3.142962703
1,-64.44,-49.47,-59.01,-58.37,0.266905206,0.293447552,2.026096313,0.391884682,-1.962205365,1.737534841,0.322659162,0.373234473,NA,-0.946355381,-1.554575681,-0.969579254,2.959315084
1.1,-64.34,-48.1,-58.65,-57.88,0.303497638,0.359460934,1.994598868,0.30522611,-1.871580492,1.833053367,0.385068332,0.390545516,-2.006198537,-0.695770767,-1.566865843,-0.846433921,3.122521591
1.2,-64.23,-46.68,-58.22,-57.39,0.305880483,0.327915671,2.061824416,0.188976644,-1.850457278,1.839265451,0.395530124,0.436764896,-1.417649598,-0.829377891,-1.62176958,-0.860532187,3.124608793
1.3,-64.05,-45.33,-57.79,-56.9,0.330796279,0.369841513,2.186353826,0.114345663,-1.813637248,1.860431695,0.410390213,0.40551196,-2.122761817,-0.76261037,-1.321129471,-0.833286493,3.02184352
1.4,-63.88,-43.98,-57.42,-56.41,0.34217988,0.320070611,2.020936462,0.152339743,-1.75201615,1.884367032,0.394866685,0.367829915,-1.79652294,-1.170981853,-1.584434028,-0.762674125,3.135487949
1.5,-63.79,-42.63,-57,-55.93,0.353346047,0.4153029,1.880066579,-0.06957382,-1.797066989,1.873021292,0.399113536,0.371232249,-1.139076152,-0.889997749,-1.629162384,-0.792939758,3.109211008
1.6,-63.74,-41.25,-56.57,-55.44,0.346168131,0.301668195,1.919028018,0.041392685,-1.7362793,1.926335373,0.41317621,0.383315049,-1.464939597,-1.132716081,-2.182794945,-0.763548132,3.0823646
1.7,-63.65,-39.87,-56.17,-54.95,0.399678761,0.218748587,2.076721996,-0.087251139,-1.580571898,2.073719104,0.443491295,0.348782386,NA,-0.910138088,-1.82944362,-0.725703423,3.275793754
1.8,-63.58,-38.5,-55.77,-54.46,0.372471236,0.284377688,2.065727216,-0.207125493,-1.721751194,1.913297183,0.44155499,0.364834885,NA,-1.224513141,-1.845540972,-0.691378031,3.297564594
1.9,-63.5,-37.2,-55.4,-53.97,0.384260867,0.261550913,2.504097993,-0.17055877,-1.697879808,1.938080967,0.439506793,0.278549695,-1.822458675,-1.572581201,-1.838849091,-0.669887756,3.314907437
2,-63.43,-35.85,-54.98,-53.48,0.442481314,0.322101775,2.129282048,-0.169965706,-1.71510079,1.957414231,0.485188636,0.371810431,-1.112022299,-1.216110897,-1.721260875,-0.669556521,3.326687774
2.1,-62.79,-35.4,-54.38,-52.9,0.453922358,0.199147284,2.362585279,-0.390338161,-1.540152637,2.144520738,0.512039094,0.401318863,-1.336555026,-1.304665882,-1.714291649,-0.636396786,3.3690139
2.2,-62.23,-34.96,-53.64,-52.32,0.479743936,0.204799098,2.471854518,-0.508835668,-1.446988086,2.24360541,0.504194992,0.343487725,-1.691646631,-1.435583781,-2.134553785,-0.558092879,3.524374816
2.3,-61.63,-34.66,-53.02,-51.73,0.472000815,0.212774275,1.939359227,-0.503680283,-1.465534077,2.186713877,0.504594095,0.375760346,-1.588731477,-1.230114849,-1.823741672,-0.592215646,3.3938631
2.4,-61.14,-34.18,-52.3,-51.15,0.491726595,0.255430172,2.106368852,-0.59085177,-1.417449983,2.239028606,0.496432345,0.344579749,-1.48784512,-1.511326216,-1.678462632,-0.61111722,3.449792297
2.5,-60.78,-33.67,-51.64,-50.56,0.482206216,0.353605436,1.910149896,-0.153334108,-1.522686294,2.113429422,0.524603573,0.352144005,-1.523919803,-2.398981067,-2.018769825,-0.533949076,3.421387501
