Depth_cm,Age_BP_Sh20_min,Age_BP_Sh20_max,Age_BP_Sh20_median,Age_BP_Sh20_mean,Mo_TSN,Mo_Ca_Ti,Mo_Fe_Mn,Mo_Br_Ti,Mo_Ti_inc+coh,Mo_Ti_(inc_coh),Cr_TSN,Ca_Ti-Cr,Zr_Ti-Cr,Br_Ti-Cr,S_Ti-Cr,Cr_Ti_inc+coh,Cr_Ti_inc_coh
2.6,-60.38,-33.22,-50.99,-49.98,0.49116303,0.351609948,2.094699517,-0.516629796,-1.476691898,2.12845784,0.567971065,0.447495933,-2.336277754,-1.305788432,-1.520337943,-0.538572891,3.525930119
2.7,-59.98,-32.84,-50.27,-49.4,0.455332742,0.36314171,2.014438577,-0.271646218,-1.561637955,2.069191948,0.519827382,0.387334417,-1.807873132,-1.455690614,-1.901777635,-0.569514076,3.346769144
2.8,-59.69,-32.56,-49.48,-48.81,0.436552015,0.305736424,2.2955671,-0.341792202,-1.568684605,2.043005767,0.508955996,0.354838137,-1.311293071,-1.270759525,-2.371990911,-0.574031268,3.286023362
2.9,-59.41,-32.19,-48.7,-48.23,0.477646876,0.241146245,1.865862912,-0.190419799,-1.553060382,2.124043679,0.439804592,0.33975022,-1.602521761,NA,-1.973589623,-0.70076623,3.26643815
3,-59.11,-31.62,-48.06,-47.64,0.467647389,0.328659368,2.032911659,-0.158566914,-1.569075418,2.110431746,0.467292292,0.317096054,-1.423817189,-0.978104398,-1.724847185,-0.671473831,3.404098813
3.1,-58.88,-30.78,-47.47,-47.06,0.465583077,0.316678662,2.195203923,-0.050227113,-1.510444353,2.172187364,0.439480836,0.391287666,-1.34101034,-1.244100327,-1.674225019,-0.77313182,3.324772458
3.2,-58.58,-29.73,-46.85,-46.48,0.456889549,0.316979906,2.14006693,-0.17293274,-1.522648857,2.129188224,0.43768142,0.409886691,NA,-1.217146366,-1.485991678,-0.784261878,3.217263022
3.3,-58.23,-28.83,-46.27,-45.89,0.436533478,0.288348964,1.989498295,-0.305742098,-1.517613553,2.140341479,0.462660195,0.370868385,-1.576282771,-1.171043524,-2.024915488,-0.669564355,3.39633382
3.4,-58.06,-27.91,-45.75,-45.31,0.429287667,0.304782023,2.083480681,0.003752028,-1.590121513,2.074686493,0.474002894,0.376660752,-1.638978382,-1.045518563,-1.713080103,-0.633500287,3.318801753
3.5,-57.83,-27.11,-45.09,-44.72,0.49025405,0.285765679,2.144375771,-0.350821092,-1.421634916,2.217474092,0.449028718,0.357218138,-1.730326671,-1.235031448,-1.92345127,-0.664484079,3.417614915
3.6,-57.63,-26.29,-44.49,-44.14,0.475347427,0.284430734,2.079597406,-0.31202538,-1.471946223,2.179497646,0.510021032,0.388577339,-2.222158849,-1.386015652,-1.696189027,-0.602431819,3.422807792
3.7,-57.35,-25.09,-43.88,-43.56,0.514185948,0.343218659,2.105082319,-0.258399752,-1.541332937,2.101025712,0.481015514,0.330003136,-1.703877339,-1.298111993,-1.855968321,-0.647470884,3.406051929
3.8,-57.07,-24.24,-43.3,-42.97,0.470437088,0.283349353,2.11778631,-0.547159121,-1.455141961,2.192952239,0.505655045,0.37857296,-1.530079578,-1.664161694,-1.655018315,-0.631849649,3.364499574
3.9,-56.91,-23.16,-42.75,-42.39,0.522330801,0.298205962,2.286203769,-0.467575937,-1.476557915,2.174009889,0.458079146,0.275129426,-1.694422377,-1.960690266,-2.013935778,-0.602197115,3.384347051
4,-56.74,-22.03,-42.22,-41.8,0.583647502,0.201002491,1.94305357,-0.669796408,-1.323007488,2.310391946,0.487754963,0.264635906,-1.455606113,-1.610508073,-2.040632765,-0.557273275,3.481837866
4.1,-55.83,-21.77,-41.52,-41.15,0.571069458,0.415529779,1.905568156,-0.596307662,-1.376029182,2.296552274,0.460264378,0.245529404,-1.399600087,NA,-1.781663334,-0.679812105,3.414473257
4.2,-55.26,-21.46,-40.92,-40.49,0.550334359,0.333191969,2.075358651,-0.281752488,-1.329842904,2.287286407,0.464411967,0.357656843,-1.479390193,-1.389989782,-1.819338255,-0.682875421,3.213987965
4.3,-54.35,-21.21,-40.28,-39.83,0.507582375,0.325266425,1.911968463,-0.286081482,-1.461581435,2.145104906,0.457141201,0.27445991,-2.013714765,-1.322043999,-1.81414241,-0.608671974,3.468882703
4.4,-53.6,-20.9,-39.56,-39.18,0.531865199,0.398445688,1.813718176,-1.597863877,-1.446886889,2.198612469,0.472332294,0.362896585,NA,-1.371067862,-1.829705711,-0.674297642,3.368636524
4.5,-52.79,-20.65,-39,-38.52,0.539318362,0.283462244,2.078474149,-1.677045123,-1.382401776,2.265631508,0.427807985,0.368062117,-1.356384433,NA,-1.923682318,-0.750613427,3.570604742
4.6,-52.31,-20.32,-38.27,-37.87,0.538573945,0.249699447,2.12118847,-0.55744313,-1.369884704,2.269763544,0.511174309,0.349664862,-1.643811449,-2.539076099,-2.022446303,-0.607406318,3.351036918
4.7,-51.75,-19.9,-37.58,-37.21,0.506846407,0.301941422,1.929538078,-0.723364443,-1.526974223,2.156676298,0.508222742,0.404480356,-1.385804808,-1.470815598,-1.892889286,-0.65104579,3.326304077
4.8,-51.03,-19.58,-36.8,-36.55,0.521229781,0.272643681,2.003431276,-0.36753021,-1.424735477,2.250834661,0.50296655,0.305617378,-1.477280308,-1.555508108,-2.181049195,-0.580461012,3.561528557
4.9,-50.55,-19.18,-36.1,-35.9,0.491277002,0.260174804,2.034688677,-0.483896657,-1.433698019,2.230549021,0.493389702,0.309288959,NA,NA,-1.900367129,-0.579601969,3.48764462
5,-50.26,-18.67,-35.43,-35.24,0.500670243,0.311926845,2.263493471,-0.423088264,-1.493593402,2.176568896,0.524168343,0.380155815,-1.676610483,-2.270845137,-1.604059816,-0.563030199,3.497054926
5.1,-49.76,-18.38,-34.52,-34.58,0.469161508,0.331350516,1.925300096,-0.681701052,-1.511022285,2.155027242,0.522804461,0.367199422,-1.553116173,-1.942568072,-1.752688528,-0.537114026,3.409132731
5.2,-49.62,-17.88,-33.79,-33.93,0.47421006,0.289524833,2.112882018,-0.27889555,-1.441494904,2.224698948,0.529537049,0.329037446,NA,-1.313458985,-1.607540121,-0.542509337,3.401220123
5.3,-49.33,-17.41,-33.04,-33.27,0.445092867,0.24291566,2.270812136,-0.362585279,-1.524264219,2.125832428,0.509473885,0.348819185,-1.244164624,-1.410496046,-1.741489265,-0.62099321,3.282972215
5.4,-48.93,-16.8,-32.4,-32.62,0.389520617,0.338907688,2.085889029,-0.226508991,-1.66544697,1.98186928,0.46051138,0.31194677,-1.473284171,-1.786548623,-1.786548623,-0.633737262,3.410610438
5.5,-48.74,-16.16,-31.65,-31.96,0.404220051,0.206214414,2.139670496,-0.16542592,-1.547482327,2.138245352,0.415845495,0.293383405,-2.150244602,-1.023139804,-1.758134137,-0.676434767,3.258013135
5.6,-48.54,-15.65,-30.93,-31.3,0.392681463,0.279818673,2.150475628,-0.085391896,-1.610154634,2.061809436,0.434833179,0.349566929,-1.572312138,-2.459607858,-1.651493384,-0.695380952,3.371531731
5.7,-48.26,-14.96,-30.18,-30.65,0.37630424,0.277881037,2.001578406,-0.001844141,-1.591654024,2.041408003,0.431981652,0.347606138,-2.43548033,-1.312095422,-1.72427587,-0.696916599,3.280669849
5.8,-47.97,-14.2,-29.69,-29.99,0.407191961,0.278612772,2.054740012,-0.183738278,-1.542868864,2.087764805,0.455735595,0.376194195,NA,-1.101845231,-1.804275767,-0.698915476,3.293951322
5.9,-47.79,-13.48,-29.09,-29.33,0.510471062,0.25186874,1.926405634,-0.334964987,-1.406094693,2.232553286,0.502708228,0.33574877,-1.692077775,-1.395692684,-1.932811869,-0.555164004,3.457510411
6,-47.67,-12.42,-28.46,-28.68,0.452338833,0.26418045,2.01961694,-0.410174465,-1.505365349,2.142667394,0.516440396,0.320815705,-1.396443085,NA,-1.846412094,-0.597632702,3.42619033
6.1,-46.47,-12.25,-27.78,-28.11,0.41627976,0.265342017,1.895900889,-0.352182518,-1.583198774,2.072569022,0.496408638,0.329251492,-1.375066919,-1.270668885,-1.861733492,-0.590564179,3.331088332
6.2,-45.38,-12.04,-27.15,-27.55,0.436812291,0.329224196,2.061902541,-0.326477118,-1.564536163,2.103874982,0.444539711,0.28571891,-1.522068288,-1.384435281,-1.593950295,-0.693179325,3.271122527
6.3,-44.6,-11.86,-26.51,-26.98,0.444033399,0.218686945,2.228814154,-0.35274544,-1.494856022,2.184699761,0.47406934,0.287811116,-2.055269089,-1.364651159,-1.786423776,-0.618190677,3.494249999
6.4,-43.65,-11.63,-25.95,-26.42,0.468224239,0.257288156,2.407018478,-0.374790309,-1.493544479,2.190807109,0.458839013,0.296029917,-1.415160989,-1.60867614,-2.134102074,-0.645282183,3.385698848
6.5,-42.89,-11.52,-25.39,-25.85,0.472143747,0.241915972,2.12641185,-0.406219392,-1.486340892,2.180459819,0.481437311,0.297358557,-1.601040919,-1.629069643,-1.682945023,-0.614505771,3.416226846
6.6,-41.73,-11.35,-24.75,-25.29,0.4369786,0.250447992,2.196872823,-0.442039885,-1.541068301,2.136645084,0.454312962,0.381646414,-1.562642679,-1.320822848,-1.738733938,-0.752421685,3.183270876
6.7,-40.7,-11.2,-24.13,-24.72,0.393578023,0.363097021,2.151763728,-0.184667169,-1.679392365,1.955272975,0.454104996,0.332607699,-2.595275712,-1.260821961,-1.613004479,-0.700247407,3.22902764
6.8,-39.98,-11.11,-23.51,-24.16,0.450701991,0.363366685,2.013943666,-0.234623038,-1.600475707,2.054512221,0.433469428,0.364776267,NA,NA,NA,-0.717261291,3.322133117
6.9,-39.38,-10.9,-22.92,-23.59,0.44837715,0.342575092,2.217712761,-0.3818913,-1.558138451,2.119280021,0.437439875,0.307713354,-1.402609887,-0.997683757,-1.715539106,-0.72872261,3.273142799
7,-39.02,-10.61,-22.26,-23.03,0.427345503,0.300571637,2.243038049,-0.299201385,-1.591463807,2.09345846,0.428792022,0.266275557,-2.331519318,-1.386140269,-2.094158402,-0.658577253,3.325525656
7.1,-38.49,-10.38,-21.49,-22.46,0.438634949,0.322172397,1.943805845,-0.554533478,-1.581361581,2.036415058,0.44013738,0.349740891,-1.716212089,-1.261367229,-1.79975814,-0.700470016,3.231382391
7.2,-38.19,-10.03,-21.06,-21.9,0.465377131,0.268845312,2.002688364,-0.510459443,-1.462840403,2.184428007,0.462261721,0.352950748,-1.483671186,-1.182641191,-2.274787414,-0.669336189,3.380236769
7.3,-37.65,-9.76,-20.52,-21.33,0.473142395,0.231027265,1.949007416,-0.47501813,-1.449510851,2.21277978,0.498010143,0.300097032,-1.83375331,NA,-1.823287877,-0.562701204,3.456826367
7.4,-37.25,-9.44,-19.94,-20.77,0.417914956,0.248323645,2.201961877,-0.301029996,-1.556991311,2.099779743,0.466470685,0.304713601,-1.473071001,-1.467608106,-1.622510066,-0.632417625,3.374492588
7.5,-36.88,-9.05,-19.43,-20.2,0.428019602,0.244384699,2.186796038,-0.288620738,-1.49270473,2.16107447,0.424109028,0.250917164,-1.565679193,-1.543015209,-1.97144454,-0.687606876,3.399845871
7.6,-36.55,-8.7,-18.87,-19.64,0.383178384,0.236502141,2.012001916,-0.119922396,-1.672939322,2.013736404,0.426791035,0.275571535,-1.564534559,NA,-1.574294397,-0.731838078,3.239602979
7.7,-36.12,-8.15,-18.22,-19.07,0.405457456,0.229995192,2.657346151,-0.307067951,-1.608036274,2.086091717,0.435321115,0.308289758,-2.304705898,-1.614509818,-1.827584643,-0.699400425,3.28827001
7.8,-35.64,-7.64,-17.63,-18.51,0.314117034,0.275768747,2.054577545,-0.019778648,-1.863913308,1.856037799,0.413593048,0.29057071,-1.731135299,-1.48809725,-1.692217233,-0.786761307,3.192014428
7.9,-35.32,-7.12,-16.98,-17.94,0.308849786,0.284823097,2.122060825,0.127318438,-1.952382573,1.774764921,0.334199248,0.328525101,-1.472617163,-0.959145886,-1.715655212,-0.936712018,3.007161343
8,-34.85,-6.11,-16.31,-17.38,0.299569661,0.144447978,2.065608439,0.076236865,-1.835279129,1.891907671,0.311175325,0.337722367,NA,-0.747363013,-1.373137279,-1.026995248,2.963422122
8.1,-33.39,-6.02,-15.79,-16.79,0.311876477,0.238882089,2.280135439,0.102662342,-1.909520371,1.791283808,0.343668623,0.299249102,NA,-1.028028724,-1.357547257,-0.958458647,3.032001245
8.2,-31.92,-5.98,-15.26,-16.2,0.335677359,0.250170026,2.1950652,0.106404432,-1.824218841,1.887712738,0.353462905,0.315730071,-1.251464398,-0.88171859,-1.473313148,-0.970359534,3.003587265
8.3,-30.46,-5.94,-14.7,-15.61,0.323824226,0.185503582,1.887981156,-0.273383742,-1.748005941,1.936010618,0.391277229,0.264983627,-1.837535832,-1.16466863,-1.626682466,-0.82190495,3.178079643
8.4,-29.07,-5.9,-14.17,-15.02,0.307035175,0.290108352,1.719124036,0.038506997,-1.864090461,1.78964036,0.361167986,0.316912067,-2.525821952,-1.270549447,-1.338301231,-0.863379583,3.161651376
8.5,-27.62,-5.83,-13.61,-14.43,0.328733411,0.261030155,2.309560741,-0.03013656,-1.770769759,1.899614018,0.35686151,0.335418676,-1.392515024,-1.206553011,-1.69354502,-0.860714327,2.997994078
8.6,-26.12,-5.74,-13.05,-13.84,0.379684765,0.219510685,1.919481882,-0.180485507,-1.645061625,2.035597284,0.463819418,0.202749659,-1.454649452,-1.216410286,-1.828230115,-0.626060268,3.349425749
8.7,-24.67,-5.62,-12.49,-13.25,0.404308385,0.299722535,1.944915366,-0.190244674,-1.605807948,2.104804732,0.461073183,0.2999314,-1.860737174,-1.518314493,-1.875460431,-0.646983802,3.401020251
8.8,-23.24,-5.42,-12,-12.66,0.412115532,0.26732702,2.20408379,-0.449297823,-1.550170534,2.119021057,0.50220827,0.334878375,NA,-1.509123423,-1.882239848,-0.547108625,3.453536536
8.9,-21.86,-5.3,-11.46,-12.08,0.448194373,0.272900379,2.072804991,-0.283240704,-1.525609075,2.159974817,0.48920394,0.313375346,-1.671372523,-1.521610202,-1.887581005,-0.58837122,3.435116278
9,-20.48,-5.16,-10.9,-11.49,0.419473164,0.24468936,2.020046794,-0.418315768,-1.536158472,2.170647643,0.51210283,0.336068564,-1.729884416,-1.491002327,-1.935938899,-0.584591421,3.34180249
9.1,-19.14,-4.97,-10.37,-10.9,0.366562925,0.340861405,2.173939775,0.028742437,-1.731588765,1.933378831,0.415810902,0.357905232,-2.410415673,-2.176332467,-1.724034796,-0.754828653,3.304163436
9.2,-17.8,-4.83,-9.85,-10.31,0.376214575,0.215549444,2.176133835,-0.295277667,-1.690006958,1.981893407,0.416016376,0.366245048,-1.336780821,-1.665482243,-1.713786922,-0.767613548,3.297692654
9.3,-16.42,-4.72,-9.32,-9.72,0.392541057,0.28910354,2.08497845,-0.231430378,-1.653408539,2.022118397,0.480572821,0.310097016,-1.675778342,-1.666233024,-1.522810881,-0.647954895,3.42009344
9.4,-15.15,-4.58,-8.82,-9.13,0.402747953,0.189244732,2.407882668,-0.751728053,-1.567334609,2.10881298,0.41336651,0.435056955,-1.597120342,-1.119999087,-1.487975873,-0.815140153,3.225492222
9.5,-13.73,-4.46,-8.35,-8.54,0.421224525,0.20232661,2.254610975,-0.238882089,-1.57143579,2.095988441,0.440560622,0.297568012,-2.123670194,-1.09564147,-1.87379272,-0.676664953,3.321390834
9.6,-12.4,-4.26,-7.81,-7.95,0.420280978,0.246448577,1.849747937,-0.000959767,-1.630986574,1.987109573,0.419583486,0.325533185,-1.432269016,-0.995725635,-1.611429507,-0.752981764,3.109298606
9.7,-11.29,-3.98,-7.32,-7.36,0.305219117,0.225114137,2.333574985,0.119579553,-1.871352605,1.754310453,0.379962701,0.260496449,-1.324374607,-1.113022912,-1.451479405,-0.819059689,3.065011835
9.8,-10.03,-3.58,-6.77,-6.77,0.319052542,0.187990482,2.441478435,0.020203386,-1.751842507,1.836451782,0.363599983,0.243834343,-1.479772094,-1.613665673,-1.692846919,-0.773328441,3.158090648
9.9,-9.09,-3.06,-6.23,-6.18,0.425550258,0.338126454,1.828092627,0.002757435,-1.795282105,1.84531326,0.389599062,0.20319271,-1.165890558,-1.290829295,-1.490832711,-0.761378956,3.244369078
10,-8.34,-2.35,-5.65,-5.6,0.418893071,0.215420784,1.898046955,-0.190743547,-1.643359109,1.967797401,0.423422185,0.227883011,-1.513342475,-1.208932739,-1.629326369,-0.699801588,3.31628236
10.1,-7.63,-1.42,-4.74,-4.68,0.404965697,0.160881794,2.028464228,-0.103688437,-1.689384828,1.878298529,0.424090015,0.25323895,NA,-1.505936032,-1.645815118,-0.672081148,3.257263596
10.2,-7.2,0.31,-3.89,-3.76,0.441744573,0.101073942,2.952140195,-0.508341482,-1.502842685,2.108161282,0.4392189,0.249824968,-1.266332512,-1.236369288,-1.662338021,-0.656142705,3.268129266
10.3,-6.94,2.36,-3.1,-2.84,0.431471824,0.257886121,2.232820921,-0.340330532,-1.555525066,2.081260911,0.525958116,0.334276733,-1.841984805,-1.106291993,-1.730011045,-0.602977968,3.415679249
10.4,-6.6,4.66,-2.33,-1.92,0.379598517,0.218634715,1.878067611,-0.078781159,-1.646037635,1.992025321,0.431192914,0.252762464,-1.305899056,-1.543647216,-1.691249938,-0.672227731,3.189978384
10.5,-6.47,7.11,-1.56,-1,0.28628839,0.203930789,2.037927942,-0.058208175,-1.851854702,1.773035508,0.39596851,0.335526692,-1.254959048,-1.679051776,-1.585147273,-0.798019557,2.959400906
10.6,-6.23,9.69,-0.73,-0.08,0.291346608,0.130830171,2.12985887,-0.037694791,-1.715804918,1.913923732,0.376710944,0.295585124,-1.75190608,-0.764968552,-1.570485987,-0.837298591,3.076449413
10.7,-6.08,12.33,0.04,0.84,0.272601199,0.322960201,1.835603314,0.143151705,-1.948631142,1.705500284,0.321329865,0.278770774,-1.311264699,-1.442936818,-1.317998081,-0.94255774,3.112482943
10.8,-5.93,14.72,0.83,1.76,0.242732888,0.270918321,2.020740986,0.362900752,-2.00935329,1.612306051,0.297166641,0.368571221,-1.526922615,-0.901013013,-1.310714132,-1.032288768,2.854240157
10.9,-5.75,17.21,1.64,2.68,0.306131517,0.142667504,2.000473971,0.004237053,-1.831861413,1.777836158,0.334762235,0.219204188,NA,-1.189478108,-1.718697031,-0.852463536,3.191660472
17,31.64,174.82,77.02,84.32,0.634851017,0.40075463,1.942134222,-1.982836353,-1.236846389,2.399193204,0.629274978,0.339399792,-1.744162545,-1.88884534,-2.221283799,-0.390439509,3.607319355
17.1,32.85,187.57,78.94,87.64,0.621173608,0.299418512,2.133233462,NA,-1.212516416,2.40930145,0.620019419,0.370130473,-1.476155082,NA,-2.476155082,-0.38587686,3.780848687
17.2,34.12,200.48,81.29,90.96,0.610719317,0.39344616,2.050059062,NA,-1.219639735,2.406599155,0.639402387,0.248382194,-1.925235672,-2.152479453,-2.42718051,-0.270817632,3.744045171
17.3,34.95,213.9,83.88,94.29,0.640783408,0.332730785,1.947368516,-1.14036298,-1.17350424,2.472601665,0.669383039,0.40854484,-1.569178765,-2.398482538,NA,-0.291103773,3.761792312
17.4,35.46,227.18,86.29,97.61,0.628004088,0.31924646,2.054109945,NA,-1.241606633,2.354259275,0.614739567,0.403052,-2.027989946,-1.864487814,-2.210330154,-0.388032078,3.788177579
17.5,35.98,240.27,88.41,100.93,0.64499599,0.378847067,2.067461981,NA,-1.187839002,2.38214271,0.660607503,0.42093789,-1.815134817,-2.31858501,-2.823734988,-0.372772804,3.748536094
17.6,36.51,253.35,90.59,104.25,0.642130662,0.359330281,1.951386967,NA,-1.237075102,2.298348655,0.684692868,0.443942103,-1.967763918,NA,-2.85985852,-0.297295919,3.821836279
17.7,37.39,266.19,92.64,107.58,0.69224963,0.280452983,2.049527092,NA,-1.070975485,2.469146128,0.680202304,0.357700518,-1.953607111,-2.302941787,-2.254637107,-0.289038916,3.624715808
17.8,38.12,278.62,94.56,110.9,0.698031131,0.346486169,2.226624451,NA,-1.12430847,2.437267863,0.706573673,0.407340053,-1.989004616,-2.082909119,-2.591064607,-0.27285277,3.735085027
17.9,38.98,291.06,96.75,114.22,0.678177068,0.445306577,2.00076879,NA,-1.180956238,2.407052854,0.677366779,0.372508949,-2.098225877,-2.305351369,-2.330174953,-0.294228488,3.749543864
18,39.74,303.48,98.81,117.54,0.686363927,0.319856853,2.03246294,NA,-1.114212372,2.457996571,0.644685192,0.441897542,-1.934990849,NA,-2.2925022,-0.343706998,3.818373457
18.1,40.53,315.97,100.86,120.87,0.715595403,0.302238048,1.96460488,NA,-1.042600737,2.574950267,0.654929164,0.325080618,-1.740070137,NA,NA,-0.267793497,3.815713243
18.2,41.1,328.47,102.92,124.19,0.776194879,0.400526269,2.252520797,-1.764608677,-1.011518777,2.596983064,0.715813277,0.280306349,-2.042214435,NA,-2.682062987,-0.184331771,3.900845137
18.3,41.77,341.16,105.12,127.51,0.723487645,0.371039832,2.186558013,-1.849068256,-1.049813569,2.530309493,0.696945854,0.390824484,-1.742066643,NA,-2.766200322,-0.267797517,3.826733364
18.4,42.35,354.21,107.23,130.83,0.620435319,0.357057958,1.947145818,-0.987410873,-1.17929213,2.386524797,0.709052986,0.430745773,-1.802332257,-2.418632687,-2.553331261,-0.262306852,3.860190343
18.5,42.89,367.26,109.42,134.16,0.637136262,0.352679707,2.17177479,NA,-1.230086639,2.379732262,0.644109744,0.443047181,-1.972987826,NA,NA,-0.366132219,3.675392974
18.6,43.25,380.33,111.76,137.48,0.664426633,0.264724336,1.976437693,NA,-1.114075638,2.482945751,0.574549267,0.227613528,-1.723960592,-2.385606274,-2.168897164,-0.366577799,3.750554342
18.7,43.83,393.41,113.95,140.8,0.705231262,0.299298011,2.068729509,NA,-1.08770374,2.522451433,0.628356948,0.370016044,-2.063403734,NA,-2.091432457,-0.375286914,3.765923158
