Age_BP,T_anomaly,T_lower_err,T_upper_err,err1,err2,ave_err,age1,wmean,lower,upper,plot_at,JRI_warmth_age,definition,age2,age3,age4,age5,age6,age7,age8,age9,warmphase_plot,RRR,MCA,HH,EHWP
-100,0.242499369,0.201557917,0.304312934,0.040941452,0.061813565,0.051377509,-100,0.011,-0.08,0.102,3.97,2200,greater_than_0.102,6800,3000,2500,5700,6200,9300,3400,0,-2,-50,600,2800,9500
0,-0.298547781,-0.24814361,-0.374648196,-0.050404171,-0.076100415,0.063252293,12000,0.011,-0.08,0.102,3.97,2500,,7300,3300,5300,6000,6700,12800,3600,100,-2,0,1200,4500,11000
100,-0.010917361,-0.009074171,-0.013700218,-0.00184319,-0.002782857,0.002313024,,,,,,,,,,,,,,,,,,,,
200,-0.273936753,-0.227687691,-0.343763769,-0.046249062,-0.069827016,0.058038039,,,,,,,,,,,,,,,,,,,,
300,-0.40534469,-0.336909873,-0.508667847,-0.068434817,-0.103323157,0.085878987,,,,,,,,,,,,,,,,,,,,
400,-0.685115153,-0.569446361,-0.859752349,-0.115668792,-0.174637196,0.145152994,,,,,,,,,,,,,,,,,,,,
500,-0.986705319,-0.820118707,-1.238218439,-0.166586612,-0.25151312,0.209049866,,,,,,,,,,,,,,,,,,,,
600,-0.351281846,-0.291974522,-0.440824278,-0.059307324,-0.089542432,0.074424878,,,,,,,,,,,,,,,,,,,,
700,-0.868753685,-0.722080985,-1.090200703,-0.1466727,-0.221447018,0.184059859,,,,,,,,,,,,,,,,,,,,
800,-0.45690351,-0.379763957,-0.573369111,-0.077139553,-0.116465601,0.096802577,,,,,,,,,,,,,,,,,,,,
900,-0.507619987,-0.421917912,-0.637013318,-0.085702075,-0.129393331,0.107547703,,,,,,,,,,,,,,,,,,,,
1000,-0.529862059,-0.440404829,-0.664924937,-0.08945723,-0.135062878,0.112260054,,,,,,,,,,,,,,,,,,,,
1100,-0.421001722,-0.349923509,-0.528315887,-0.071078213,-0.107314165,0.089196189,,,,,,,,,,,,,,,,,,,,
1200,-0.523281301,-0.434935107,-0.656666731,-0.088346194,-0.13338543,0.110865812,,,,,,,,,,,,,,,,,,,,
1300,-0.531905586,-0.442103344,-0.667489363,-0.089802242,-0.135583777,0.11269301,,,,,,,,,,,,,,,,,,,,
1400,0.108105374,0.089853817,0.135661645,0.018251557,0.027556271,0.022903914,,,,,,,,,,,,,,,,,,,,
1500,-0.093444562,-0.077668207,-0.117263764,-0.015776355,-0.023819202,0.019797779,,,,,,,,,,,,,,,,,,,,
1600,-0.643806289,-0.53511172,-0.807913774,-0.108694569,-0.164107485,0.136401027,,,,,,,,,,,,,,,,,,,,
1700,-0.279110276,-0.231987762,-0.350256033,-0.047122514,-0.071145757,0.059134136,,,,,,,,,,,,,,,,,,,,
1800,0.006508665,0.0054098,0.008167737,0.001098865,0.001659072,0.001378969,,,,,,,,,,,,,,,,,,,,
1900,-0.077767035,-0.064637535,-0.097590005,-0.0131295,-0.01982297,0.016476235,,,,,,,,,,,,,,,,,,,,
2000,-0.151102248,-0.125591479,-0.189618507,-0.025510769,-0.038516259,0.032013514,,,,,,,,,,,,,,,,,,,,
2100,0.037518985,0.031184611,0.047082648,0.006334374,0.009563663,0.007949019,,,,,,,,,,,,,,,,,,,,
2200,0.260186154,0.216258622,0.326508115,0.043927532,0.066321961,0.055124747,,,,,,,,,,,,,,,,,,,,
2300,-0.128293549,-0.106633599,-0.160995826,-0.02165995,-0.032702277,0.027181114,,,,,,,,,,,,,,,,,,,,
2400,0.270244056,0.224618436,0.339129796,0.04562562,0.06888574,0.05725568,,,,,,,,,,,,,,,,,,,,
2500,0.279245662,0.23210029,0.350425928,0.047145372,0.071180266,0.059162819,,,,,,,,,,,,,,,,,,,,
2600,0.121457192,0.100951433,0.152416869,0.020505759,0.030959677,0.025732718,,,,,,,,,,,,,,,,,,,,
2700,0.328088693,0.272697096,0.411719145,0.055391597,0.083630452,0.069511025,,,,,,,,,,,,,,,,,,,,
2800,0.1474659,0.12256906,0.185055247,0.02489684,0.037589347,0.031243094,,,,,,,,,,,,,,,,,,,,
2900,0.089354228,0.074268449,0.112130796,0.015085779,0.022776568,0.018931174,,,,,,,,,,,,,,,,,,,,
3000,0.243974443,0.202783953,0.306164007,0.04119049,0.062189564,0.051690027,,,,,,,,,,,,,,,,,,,,
3100,0.584285735,0.485640091,0.733221314,0.098645644,0.148935579,0.123790612,,,,,,,,,,,,,,,,,,,,
3200,0.278777721,0.231711352,0.349838708,0.047066369,0.071060987,0.059063678,,,,,,,,,,,,,,,,,,,,
3300,-0.058513835,-0.048634876,-0.073429126,-0.009878959,-0.014915291,0.012397125,,,,,,,,,,,,,,,,,,,,
3400,0.178370371,0.148255892,0.223837328,0.030114479,0.045466957,0.037790718,,,,,,,,,,,,,,,,,,,,
3500,0.149278132,0.124075331,0.187329421,0.025202801,0.038051289,0.031627045,,,,,,,,,,,,,,,,,,,,
3600,0.10385914,0.08632448,0.130333039,0.01753466,0.026473899,0.02200428,,,,,,,,,,,,,,,,,,,,
3700,0.373014495,0.310038022,0.468096621,0.062976473,0.095082126,0.0790293,,,,,,,,,,,,,,,,,,,,
3800,0.315736709,0.262430511,0.396218615,0.053306198,0.080481906,0.066894052,,,,,,,,,,,,,,,,,,,,
3900,0.450488212,0.37443176,0.56531854,0.076056452,0.114830328,0.09544339,,,,,,,,,,,,,,,,,,,,
4000,0.252922925,0.210221652,0.317393474,0.042701273,0.064470549,0.053585911,,,,,,,,,,,,,,,,,,,,
4100,0.451424236,0.375209755,0.566493159,0.076214481,0.115068923,0.095641702,,,,,,,,,,,,,,,,,,,,
4200,0.335051264,0.278484168,0.420456488,0.056567096,0.085405224,0.07098616,,,,,,,,,,,,,,,,,,,,
4300,0.270501687,0.224832571,0.339453097,0.045669116,0.06895141,0.057310263,,,,,,,,,,,,,,,,,,,,
4400,0.375422316,0.312039328,0.471118201,0.063382988,0.095695885,0.079539437,,,,,,,,,,,,,,,,,,,,
4500,0.382591075,0.317997777,0.480114291,0.064593298,0.097523216,0.081058257,,,,,,,,,,,,,,,,,,,,
4600,0.239590799,0.199140404,0.300662963,0.040450395,0.061072164,0.05076128,,,,,,,,,,,,,,,,,,,,
4700,0.272310002,0.226335586,0.341722355,0.045974416,0.069412353,0.057693385,,,,,,,,,,,,,,,,,,,,
4800,0.231946258,0.1927865,0.291069814,0.039159758,0.059123556,0.049141657,,,,,,,,,,,,,,,,,,,,
4900,0.079113642,0.065756793,0.099279864,0.013356849,0.020166222,0.016761536,,,,,,,,,,,,,,,,,,,,
5000,0.129972963,0.108029476,0.163103326,0.021943487,0.033130363,0.027536925,,,,,,,,,,,,,,,,,,,,
5100,0.212380355,0.176523931,0.266516523,0.035856424,0.054136168,0.044996296,,,,,,,,,,,,,,,,,,,,
5200,0.425526538,0.353684395,0.533994086,0.071842143,0.108467548,0.090154846,,,,,,,,,,,,,,,,,,,,
5300,-0.061214366,-0.050879473,-0.076818028,-0.010334893,-0.015603662,0.012969278,,,,,,,,,,,,,,,,,,,,
5400,-0.046347371,-0.03852249,-0.058161406,-0.007824881,-0.011814035,0.009819458,,,,,,,,,,,,,,,,,,,,
5500,0.022559035,0.018750367,0.028309378,0.003808668,0.005750343,0.004779506,,,,,,,,,,,,,,,,,,,,
5600,0.21870842,0.181783622,0.274457625,0.036924798,0.055749205,0.046337002,,,,,,,,,,,,,,,,,,,,
5700,0.403710183,0.335551321,0.5066167,0.068158862,0.102906517,0.08553269,,,,,,,,,,,,,,,,,,,,
5800,0.039344408,0.032701845,0.049373374,0.006642563,0.010028966,0.008335765,,,,,,,,,,,,,,,,,,,,
5900,0.159111315,0.132248365,0.199669101,0.02686295,0.040557786,0.033710368,,,,,,,,,,,,,,,,,,,,
