Age_Mar20,Fcurta_F kerg,LOESS_100_age,LOESS_100_Fcurta_F kerg
105.5,1.564705882,100,1.655603281
303.7,1.393939394,200,1.569444609
494.8,0.735849057,300,1.483285937
690.7,1.622641509,400,1.369451054
985.3,2.291666667,500,1.062311453
1083.1,1.008,600,0.839373344
1279.7,0.889908257,700,1.212064299
1472.7,1.275,800,1.6250779
1666.9,1.776699029,900,1.870857564
1861.5,1.243478261,1000,2.09795368
2055.9,1.327433628,1100,2.002796484
2250.9,0.954954955,1200,1.066459914
2449.9,1.32,1300,0.937781665
2640.8,2.677419355,1400,0.941862095
2835.4,1.356521739,1500,1.129942126
3030.5,1.112903226,1600,1.347042469
3226.4,0.932432432,1700,1.603868622
3421.1,1.550458716,1800,1.678399952
3614.4,1.224637681,1900,1.41199356
3810.1,1.078125,2000,1.26220268
4003.9,0.664516129,2100,1.303292141
4198.7,0.826589595,2200,1.242788516
4393.1,0.762886598,2300,1.052181439
4585.1,0.51627907,2400,1.045039023
4781.1,0.459090909,2500,1.228463843
4977.7,0.584745763,2600,1.676242586
5170.9,0.740740741,2700,2.381423834
5367.7,0.535519126,2800,2.275584109
5564.3,1.325842697,2900,1.602711899
5758.8,0.852459016,3000,1.275856665
5950.3,1.328767123,3100,1.151610686
6147.1,1.086666667,3200,1.048877089
6339.6,2.162162162,3300,0.968158268
6530.3,1.592307692,3400,1.16605716
6724.9,0.945054945,3500,1.463187207
6918.6,0.888297872,3600,1.417467099
7163.8,0.871165644,3700,1.254846941
7453.8,0.455958549,3800,1.16055242
7743.7,0.374358974,3900,1.074657453
8032.5,0.621621622,4000,0.886259997
8323.9,0.814285714,4100,0.70435856
8617.3,1.606382979,4200,0.744471263
8906.8,1.482758621,4300,0.812411476
9199.4,0.9125,4400,0.793394566
9490.9,0.680851064,4500,0.745138041
9781.3,0.980769231,4600,0.625582719
10068.8,1.588235294,4700,0.518046302
10352.2,1.074074074,4800,0.48275397
10643.9,2.068965517,4900,0.475672605
10939.9,1.472222222,5000,0.535084613
11231.2,2.355555556,5100,0.603397022
11485.9,0.808988764,5200,0.683494137
11685,2.326923077,5300,0.706354498
11785.3,1.48,5400,0.606116196
,,5500,0.673294286
,,5600,1.067359454
,,5700,1.232355584
,,5800,0.995569353
,,5900,0.956839107
,,6000,1.203658518
,,6100,1.267625244
,,6200,1.144895054
,,6300,1.382218416
,,6400,1.936279899
,,6500,1.981673384
,,6600,1.682195337
,,6700,1.360480783
,,6800,1.037428293
,,6900,0.923049492
,,7000,0.894848017
,,7100,0.88261042
,,7200,0.875623377
,,7300,0.818039564
,,7400,0.676161484
,,7500,0.532986624
,,7600,0.443037458
,,7700,0.414806918
,,7800,0.386885194
,,7900,0.422561492
,,8000,0.508178752
,,8100,0.59349741
,,8200,0.666250401
,,8300,0.732367111
,,8400,0.805427227
,,8500,1.019734255
,,8600,1.289706056
,,8700,1.542960871
,,8800,1.571067834
,,8900,1.52836512
,,9000,1.471461171
,,9100,1.301117803
,,9200,1.106224221
,,9300,0.926107203
,,9400,0.83255529
,,9500,0.753087387
,,9600,0.705534252
,,9700,0.793526932
,,9800,0.896804538
,,9900,1.025571994
,,10000,1.23157348
