LabID,CRA,Error,calCurves,resOffsets,resErrors,Material,Species,SiteName,Country,Longitude,Latitude,Region,Location ,ID
HD1141711148,5410,185,shcal20,0,0,Aquatic moss,Moss,Hochlandsee,South Shetland Islands,-58.9397,-62.1822,King George Island ,Fildes Peninsula ,Hochlandsee
Lu3680,4960,120,shcal20,0,0,Aquatic moss,Moss,Hotel Lake,South Shetland Islands,-58.9783,-62.1946,King George Island ,Fildes Peninsula ,Hotel Lake
SUERC18932,2215,37,shcal20,0,0,Aquatic moss,Moss,Gaoshan Lake,South Shetland Islands,-58.9647,-62.2208,King George Island ,Fildes Peninsula ,Gaoshan Lake
SUERC18928,320,35,shcal20,0,0,Aquatic moss,Moss,Belén Lake,South Shetland Islands,-58.982,-62.2285,King George Island ,Fildes Peninsula ,Belén Lake
SUERC18931,4829,38,shcal20,0,0,Aquatic moss,Moss,Belén Lake,South Shetland Islands,-58.982,-62.2285,King George Island ,Fildes Peninsula ,Belén Lake
Beta501582,-6,1,normal,0,0,Aquatic moss,Moss,Lake Kitezh,South Shetland Islands,-58.9667,-62.1895,King George Island ,Fildes Peninsula ,Lake Kitezh
Beta516809,-7,1,normal,0,0,Aquatic moss,Moss,Lake Kitezh,South Shetland Islands,-58.9667,-62.1895,King George Island ,Fildes Peninsula ,Lake Kitezh
HD1116310998,6180,150,shcal20,0,0,Aquatic moss,Moss,Lake Kitezh,South Shetland Islands,-58.9667,-62.1895,King George Island ,Fildes Peninsula ,Lake Kitezh
SUERC18933,2087,37,shcal20,0,0,Aquatic moss,Moss,Long Lake,South Shetland Islands,-58.9671,-62.205,King George Island ,Fildes Peninsula ,Long Lake
SUERC22325,-7,1,normal,0,0,Aquatic moss,Moss,Yanou Lake,South Shetland Islands,-58.9599,-62.2207,King George Island ,Fildes Peninsula ,Yanou Lake
SUERC18934,907,37,shcal20,0,0,Aquatic moss,Moss,Yanou Lake,South Shetland Islands,-58.9599,-62.2207,King George Island ,Fildes Peninsula ,Yanou Lake
Beta316286,1430,30,shcal20,0,0,Aquatic moss,Moss,Yanou Lake,South Shetland Islands,-58.9599,-62.2207,King George Island ,Fildes Peninsula ,Yanou Lake
Beta316287,3370,30,shcal20,0,0,Aquatic moss,Moss,Yanou Lake,South Shetland Islands,-58.9599,-62.2207,King George Island ,Fildes Peninsula ,Yanou Lake
Beta316288,4170,30,shcal20,0,0,Aquatic moss,Moss,Yanou Lake,South Shetland Islands,-58.9599,-62.2207,King George Island ,Fildes Peninsula ,Yanou Lake
SUERC18935,4273,37,shcal20,0,0,Aquatic moss,Moss,Yanou Lake,South Shetland Islands,-58.9599,-62.2207,King George Island ,Fildes Peninsula ,Yanou Lake
SUERC22310,4847,37,shcal20,0,0,Aquatic moss,Moss,Yanou Lake,South Shetland Islands,-58.9599,-62.2207,King George Island ,Fildes Peninsula ,Yanou Lake
SUERC22311,5051,38,shcal20,0,0,Aquatic moss,Moss,Yanou Lake,South Shetland Islands,-58.9599,-62.2207,King George Island ,Fildes Peninsula ,Yanou Lake
Beta338225,-7,1,normal,0,0,Aquatic moss,Moss,Ardley Lake,South Shetland Islands,-58.94,-62.2129,King George Island ,Fildes Peninsula ,Ardley Lake
Beta338226,860,30,shcal20,0,0,Aquatic moss,Moss,Ardley Lake,South Shetland Islands,-58.94,-62.2129,King George Island ,Fildes Peninsula ,Ardley Lake
Beta338227,1440,40,shcal20,0,0,Aquatic moss,Moss,Ardley Lake,South Shetland Islands,-58.94,-62.2129,King George Island ,Fildes Peninsula ,Ardley Lake
SUERC22307,4091,36,shcal20,0,0,Aquatic moss,Moss,Ardley Lake,South Shetland Islands,-58.94,-62.2129,King George Island ,Fildes Peninsula ,Ardley Lake
SUERC22308,4484,38,shcal20,0,0,Aquatic moss,Moss,Ardley Lake,South Shetland Islands,-58.94,-62.2129,King George Island ,Fildes Peninsula ,Ardley Lake
SUERC22309,4469,38,shcal20,0,0,Aquatic moss,Moss,Ardley Lake,South Shetland Islands,-58.94,-62.2129,King George Island ,Fildes Peninsula ,Ardley Lake
Beta384259,-44,1.1,normal,0,0,Aquatic moss,Moss,L15,South Shetland Islands,-58.67757,-62.24056,King George Island ,Potter Peninsula,L15
Beta384260,-40.7,2.4,normal,0,0,Aquatic moss,Moss,L15,South Shetland Islands,-58.67757,-62.24056,King George Island ,Potter Peninsula,L15
Beta386311,710,40,shcal20,0,0,Aquatic moss,Moss,L15,South Shetland Islands,-58.67757,-62.24056,King George Island ,Potter Peninsula,L15
Beta335037,2450,30,shcal20,0,0,Aquatic moss,Moss,Lake12,South Shetland Islands,-58.67757,-62.24056,King George Island ,Barton Peninsula,Lake12
