"id","ages","ageSds","position","thickness","calCurves","LabID"
"ART_07A_2015",7045,85,18,1,"marine20666","ETH-69688"
"ART_07B_2015",6590,70,18,1,"marine20666","ETH-69689"
"ART_07C_2015",6730,75,18,1,"marine20666","ETH-69690"
"ART_09A_2015",6265,75,27,1,"marine20666","ETH-69691"
"ART_09B_2015",5895,70,27,1,"marine20666","ETH-69692"
"ART_10A_2015",6235,70,28,1,"marine20666","ETH-69693"
"ART_10B_2015",5925,70,28,1,"marine20666","ETH-69694"
"ART_10C_2015",6520,75,28,1,"marine20666","ETH-69695"
