Age_Sh20,R850_R900,LOESS_100_age,LOESS_100_R850_R900,Predicted,Residuals,age,mean
-60.1,1.004456428,3500,1.029778628,0.992062805,0.012393623,,
-60,0.997307611,3600,1.028029519,0.992078133,0.005229478,,
-59.9,0.996207663,3700,1.026148583,0.992093585,0.004114078,,
-59.8,0.993095375,3800,1.024650774,0.992108797,0.000986578,,
-59.7,0.996747611,3900,1.022832553,0.992124109,0.004623502,,
-59.6,1.00517915,4000,1.020889978,0.992139271,0.013039879,,
-59.6,1.006167155,4100,1.018563982,0.992139271,0.014027884,,
-59.5,1.006419905,4200,1.015827481,0.992154386,0.014265519,,
-59.4,1.00804145,4300,1.011946056,0.9921693,0.01587215,,
-59.3,1.001305734,4400,1.004939957,0.99218412,0.009121614,,
-59.2,1.003853716,4500,1.000313704,0.99219881,0.011654906,,
-59.1,1.007461486,4600,1.000181701,0.99221357,0.015247916,,
-59.1,0.998162309,4700,1.001371401,0.99221357,0.005948739,,
-59,1.000454002,4800,0.999727795,0.992228033,0.008225969,,
-58.9,0.99720348,4900,0.99667602,0.99224256,0.00496092,,
-58.8,0.999445527,5000,0.992952816,0.992256968,0.007188559,,
-58.7,0.989789309,5100,0.989215332,0.99227123,-0.002481921,,
-58.6,0.988886293,5200,0.98585871,0.992285439,-0.003399146,,
-58.5,0.990057066,5300,0.98317095,0.992299583,-0.002242517,,
-58.4,0.984740882,5400,0.981466694,0.992313521,-0.007572639,,
-58.4,0.997236196,5500,0.981041636,0.992313521,0.004922675,,
-58.3,1.001704043,5600,0.982463018,0.99232759,0.009376453,,
-58.2,1.002293482,5700,0.986749206,0.99234136,0.009952122,,
-58.1,1.001003744,5800,0.999200742,0.992355202,0.008648542,,
-58,0.990410737,5900,1.010402695,0.992368793,-0.001958056,,
-57.9,0.988117473,6000,1.018096721,0.992382404,-0.004264931,,
-57.8,0.978039059,6100,1.020268633,0.992395865,-0.014356806,,
-57.7,0.979697119,6200,1.018128966,0.99240925,-0.012712131,,
-57.6,0.982532179,6300,1.013254155,0.99242251,-0.009890331,,
-57.5,0.99479666,6400,1.004769114,0.992435588,0.002361072,,
-57.4,1.001272058,6500,0.994175783,0.992448885,0.008823173,,
-57.4,1.003085046,6600,0.986231082,0.992448885,0.010636161,,
-57.4,1.00551485,6700,0.981484312,0.992448885,0.013065965,,
-57.3,0.999142188,6800,0.977852227,0.99246187,0.006680318,,
-57.2,0.9970082,6900,0.971386439,0.992474741,0.004533459,,
-57.1,1.001492256,7000,0.969099676,0.992487736,0.00900452,,
-57,0.99364024,7100,0.957369901,0.992500313,0.001139927,,
-56.8,0.98572255,7200,0.901861948,0.992525605,-0.006803055,,
-56.7,0.985143651,7300,0.866976938,0.99253817,-0.007394519,,
-56.6,0.981780938,7400,0.885252663,0.992550537,-0.010769599,,
-56.5,0.990396956,7500,0.930114202,0.99256273,-0.002165774,,
-56.4,0.990715781,7600,0.967310652,0.992574887,-0.001859106,,
-56.3,0.995913222,7700,0.985101724,0.992587129,0.003326093,,
-56.2,0.993743385,7800,0.97736802,0.992599104,0.001144281,,
-56.1,0.992535184,7900,0.974761096,0.99261117,-7.60E-05,,
-56.1,0.993189777,8000,0.991590484,0.99261117,0.000578607,,
-56,0.98840644,8100,0.980927177,0.992622911,-0.004216471,,
