Age_Sh20,TOC_pc,age1,upper95,lower95,0-6ka,age2,plot_at,age_3
79.23160741,0.449701304,-100,0.354,0.403,0.378,1800,0,5800
134.4779273,0.435257326,10000,0.354,0.403,0.378,2900,0,10000
262.4865375,0.379092351,,,,,,,
306.6044204,0.450455384,,,,,,,
394.3886625,0.202779734,,,,,,,
463.6720741,0.27512537,,,,,,,
519.8462284,0.410887029,,,,,,,
891.2822727,0.446357744,,,,,,,
987.3023594,0.391127385,,,,,,,
1404.022234,0.404950244,,,,,,,
1509.977502,0.452904,,,,,,,
1566.079022,0.416971403,,,,,,,
2007.019424,0.093860411,,,,,,,
2051.684214,0.400364508,,,,,,,
2140.440329,0.419026694,,,,,,,
2153.687977,0.394294227,,,,,,,
2642.429268,0.35659562,,,,,,,
2721.899323,0.186340052,,,,,,,
2753.08609,0.414951113,,,,,,,
2880.897926,0.1622605,,,,,,,
3246.029311,0.42649729,,,,,,,
3296.980432,0.426038495,,,,,,,
3351.515944,0.491831169,,,,,,,
3430.747506,0.415518206,,,,,,,
3467.214102,0.466291943,,,,,,,
3577.557154,0.419404028,,,,,,,
3620.908562,0.539860013,,,,,,,
3703.203947,0.474853379,,,,,,,
3786.507692,0.09471303,,,,,,,
3806.738856,0.347343114,,,,,,,
3830.581781,0.24560358,,,,,,,
3905.307286,0.360208184,,,,,,,
3959.532719,0.388373904,,,,,,,
4011.589426,0.354465743,,,,,,,
4084.583776,0.392360897,,,,,,,
4128.74736,0.494205128,,,,,,,
4174.401302,0.460507789,,,,,,,
4462.677878,0.444421348,,,,,,,
4507.934237,0.355551663,,,,,,,
4542.930188,0.468387073,,,,,,,
4581.055549,0.375074216,,,,,,,
4658.305142,0.163436241,,,,,,,
4737.905589,0.589332657,,,,,,,
4800.582447,0.429823046,,,,,,,
5054.574254,0.480715852,,,,,,,
5102.023024,0.476530584,,,,,,,
5147.592055,0.225405427,,,,,,,
5168.740534,0.439560745,,,,,,,
5252.593336,0.409907097,,,,,,,
5377.622318,0.329125538,,,,,,,
5435.53073,0.369954671,,,,,,,
5471.424043,0.408988339,,,,,,,
5499.9736,0.391633289,,,,,,,
5563.676143,0.404826769,,,,,,,
