Age_Sh20,90_60S_median,90_60S_5%,90_60S_95%,global_median,global_5,global_95,age1,median,lower95,upper95,age2,age3,age4,age5,age6,age7,age8,age9,plot_at
4300,0.04,-1.57,1.17,0.35,0.13,0.92,,,,,,,,,,,,,
4400,0.03,-1.58,1.14,0.36,0.15,0.96,,,,,,,,,,,,,
4500,0.04,-1.53,1.18,0.37,0.15,0.97,,,,,,,,,,,,,
4600,0.03,-1.68,1.16,0.38,0.16,0.97,,,,,,,,,,,,,
4700,0.03,-1.65,1.17,0.39,0.18,1.01,,,,,,,,,,,,,
4800,0.03,-1.6,1.22,0.41,0.18,1.04,,,,,,,,,,,,,
4900,0.05,-1.65,1.23,0.42,0.2,1.09,,,,,,,,,,,,,
5000,0.04,-1.76,1.27,0.43,0.2,1.1,,,,,,,,,,,,,
5100,0.02,-1.93,1.24,0.43,0.21,1.08,,,,,,,,,,,,,
5200,0.02,-2.03,1.29,0.44,0.2,1.1,,,,,,,,,,,,,
5300,0.03,-1.8,1.35,0.45,0.2,1.14,,,,,,,,,,,,,
5400,0.02,-1.81,1.39,0.45,0.22,1.14,,,,,,,,,,,,,
5500,0.02,-2.11,1.43,0.45,0.21,1.15,,,,,,,,,,,,,
5600,0.04,-2.02,1.46,0.47,0.24,1.21,,,,,,,,,,,,,
5700,0.05,-1.84,1.5,0.48,0.23,1.27,,,,,,,,,,,,,
5800,0.03,-2.28,1.48,0.49,0.25,1.28,,,,,,,,,,,,,
5900,-0.01,-2.32,1.36,0.49,0.25,1.26,,,,,,,,,,,,,
6000,0,-2.07,1.45,0.51,0.27,1.29,,,,,,,,,,,,,
6100,0.02,-1.8,1.54,0.53,0.28,1.37,,,,,,,,,,,,,
6200,0.05,-1.64,1.56,0.53,0.29,1.38,,,,,,,,,,,,,
6300,0.06,-1.93,1.53,0.53,0.28,1.4,,,,,,,,,,,,,
6400,0.04,-2.15,1.51,0.54,0.29,1.36,,,,,,,,,,,,,
6500,0.03,-2.08,1.41,0.53,0.29,1.38,,,,,,,,,,,,,
6600,0.04,-1.95,1.49,0.54,0.3,1.4,,,,,,,,,,,,,
6700,0.03,-2.27,1.43,0.53,0.29,1.34,,,,,,,,,,,,,
6800,0,-2.46,1.42,0.53,0.29,1.33,,,,,,,,,,,,,
6900,0,-2.44,1.51,0.52,0.27,1.31,,,,,,,,,,,,,
7000,0.01,-2.37,1.48,0.51,0.27,1.3,,,,,,,,,,,,,
7100,-0.01,-2.67,1.35,0.51,0.25,1.3,,,,,,,,,,,,,
7200,-0.04,-2.9,1.29,0.49,0.23,1.26,,,,,,,,,,,,,
7300,-0.05,-2.94,1.21,0.48,0.23,1.24,,,,,,,,,,,,,
7400,-0.08,-2.92,1.16,0.47,0.19,1.19,,,,,,,,,,,,,
7500,-0.11,-3.18,1.1,0.45,0.17,1.16,,,,,,,,,,,,,
7600,-0.11,-3.44,1.16,0.44,0.17,1.09,,,,,,,,,,,,,
7700,-0.12,-3.55,1.15,0.43,0.14,1.06,,,,,,,,,,,,,
7800,-0.14,-3.68,1.17,0.42,0.16,1.01,,,,,,,,,,,,,
7900,-0.17,-3.78,1.13,0.4,0.12,0.95,,,,,,,,,,,,,
8000,-0.18,-3.7,1.12,0.39,0.12,0.9,,,,,,,,,,,,,
8100,-0.15,-3.45,1.21,0.38,0.12,0.87,,,,,,,,,,,,,
8200,-0.12,-3.12,1.21,0.35,0.09,0.83,,,,,,,,,,,,,
8300,-0.09,-3.09,1.29,0.34,0.1,0.78,,,,,,,,,,,,,
8400,-0.08,-3.2,1.36,0.33,0.07,0.75,,,,,,,,,,,,,
8500,-0.07,-2.71,1.43,0.32,0.06,0.73,,,,,,,,,,,,,
8600,-0.02,-2.43,1.5,0.31,0.06,0.73,,,,,,,,,,,,,
8700,0.01,-2.07,1.6,0.3,0.05,0.7,,,,,,,,,,,,,
8800,0.03,-2.11,1.69,0.29,0.05,0.68,,,,,,,,,,,,,
8900,0.06,-2,1.77,0.29,0.03,0.69,,,,,,,,,,,,,
9000,0.07,-1.93,1.76,0.28,0.04,0.67,,,,,,,,,,,,,
9100,0.07,-2.2,1.8,0.28,0.03,0.64,,,,,,,,,,,,,
9200,0.06,-2.12,1.81,0.27,0.01,0.63,,,,,,,,,,,,,
9300,0.09,-1.99,1.81,0.27,0.01,0.64,,,,,,,,,,,,,
9400,0.1,-2.11,1.78,0.26,0,0.63,,,,,,,,,,,,,
9500,0.09,-2.19,1.85,0.24,-0.03,0.6,,,,,,,,,,,,,
9600,0.09,-2.2,1.85,0.23,-0.07,0.58,,,,,,,,,,,,,
9700,0.12,-2.43,1.88,0.21,-0.11,0.53,,,,,,,,,,,,,
9800,0.09,-2.7,1.87,0.18,-0.2,0.51,,,,,,,,,,,,,
9900,0.08,-2.74,1.98,0.15,-0.28,0.47,,,,,,,,,,,,,
10000,0.07,-2.78,1.95,0.12,-0.4,0.44,,,,,,,,,,,,,
10100,0.08,-2.51,1.92,0.09,-0.45,0.41,,,,,,,,,,,,,
10200,0.08,-2.49,1.97,0.07,-0.52,0.38,,,,,,,,,,,,,
10300,0.14,-1.98,2.02,0.05,-0.57,0.37,,,,,,,,,,,,,
10400,0.15,-1.89,2.15,0.01,-0.73,0.33,,,,,,,,,,,,,
10500,0.2,-1.81,2.15,-0.02,-0.83,0.3,,,,,,,,,,,,,
10600,0.11,-2.36,2.16,-0.07,-1.01,0.24,,,,,,,,,,,,,
10700,0.1,-2.78,2.1,-0.12,-1.19,0.21,,,,,,,,,,,,,
10800,0.03,-3.29,2.09,-0.17,-1.34,0.16,,,,,,,,,,,,,
10900,0.01,-3.27,2.05,-0.23,-1.49,0.1,,,,,,,,,,,,,
11000,0.01,-3.27,2.02,-0.27,-1.75,0.04,,,,,,,,,,,,,
11100,-0.02,-3.34,2.01,-0.34,-1.98,-0.02,,,,,,,,,,,,,
11200,-0.01,-3.33,2.02,-0.41,-2.18,-0.1,,,,,,,,,,,,,
11300,-0.04,-3.91,1.86,-0.47,-2.4,-0.15,,,,,,,,,,,,,
11400,-0.08,-4.36,1.7,-0.54,-2.73,-0.21,,,,,,,,,,,,,
11500,-0.12,-4.48,1.67,-0.6,-3.05,-0.27,,,,,,,,,,,,,
11600,-0.18,-5.21,1.43,-0.69,-3.41,-0.36,,,,,,,,,,,,,
11700,-0.22,-5.77,1.32,-0.8,-3.72,-0.43,,,,,,,,,,,,,
11800,-0.26,-4.9,1.38,-0.88,-4.06,-0.5,,,,,,,,,,,,,
11900,-0.47,-5.62,0.97,-0.97,-4.55,-0.51,,,,,,,,,,,,,
12000,-0.69,-6.5,0.7,-1.06,-4.91,-0.57,,,,,,,,,,,,,
