Age_Mar20,SST_degC,LOESS_100_age,LOESS_100_Temp,age1,upper95,lower95,6ka_mean,age2,plot_at1,age2,age3,age4,age5,age6,age7,age8,plot_at2,age9
259,0.55,0,0.55,-100,0.719,0.403,0.561,2100,3,6700,8300,800,2100,3400,6700,5100,3,5900
406,0.61,100,0.55,10000,0.719,0.403,0.561,2300,3,8100,9000,1200,2400,4200,9000,5600,3,6500
547,0.32,200,0.55,,,,,,,,,,,,,,,
678,0.11,300,0.5669,,,,,,,,,,,,,,,
804,1.1,400,0.58369078,,,,,,,,,,,,,,,
929,0.45,500,0.416687083,,,,,,,,,,,,,,,
1058,2.19,600,0.235038168,,,,,,,,,,,,,,,
1195,0.54,700,0.319941112,,,,,,,,,,,,,,,
1345,0.42,800,0.930426857,,,,,,,,,,,,,,,
1513,1.21,900,0.642007861,,,,,,,,,,,,,,,
1698,-0.06,1000,1.407674419,,,,,,,,,,,,,,,
1883,0.41,1100,1.67599029,,,,,,,,,,,,,,,
2051,0.55,1200,0.649843431,,,,,,,,,,,,,,,
2197,1.17,1300,0.456687798,,,,,,,,,,,,,,,
2319,0.9,1400,0.678630952,,,,,,,,,,,,,,,
2430,-0.37,1500,1.06969125,,,,,,,,,,,,,,,
2554,0.63,1600,0.612756757,,,,,,,,,,,,,,,
2628,-0.25,1700,0.053431351,,,,,,,,,,,,,,,
2787,0.41,1800,0.199135135,,,,,,,,,,,,,,,
2948,1.11,1900,0.414870923,,,,,,,,,,,,,,,
3091,-0.51,2000,0.5075,,,,,,,,,,,,,,,
3209,-0.65,2100,0.758099258,,,,,,,,,,,,,,,
3342,0.55,2200,1.092013379,,,,,,,,,,,,,,,
3517,1.06,2300,0.897707071,,,,,,,,,,,,,,,
3693,0.59,2400,0.012255158,,,,,,,,,,,,,,,
3861,0.63,2500,0.194516129,,,,,,,,,,,,,,,
4021,1.61,2600,0.120200122,,,,,,,,,,,,,,,
4060,1.07,2700,0.048867925,,,,,,,,,,,,,,,
4212,-0.1,2800,0.467869401,,,,,,,,,,,,,,,
4494,0.37,2900,0.900990818,,,,,,,,,,,,,,,
4625,0.85,3000,0.520909091,,,,,,,,,,,,,,,
4749,0.35,3100,-0.435432518,,,,,,,,,,,,,,,
4868,0.29,3200,-0.553515414,,,,,,,,,,,,,,,
4981,0.26,3300,0.169097985,,,,,,,,,,,,,,,
5089,1.41,3400,0.719028571,,,,,,,,,,,,,,,
5166,0.34,3500,0.980048232,,,,,,,,,,,,,,,
