Age_Mar20,SST_degC,LOESS_100_age,LOESS_100_Temp,age1,upper95,lower95,6ka_mean,age2,plot_at1,age2,age3,age4,age5,age6,age7,age8,plot_at2,age9
5192,0.76,3600,0.838352273,,,,,,,,,,,,,,,
5265,0.51,3700,0.618556209,,,,,,,,,,,,,,,
5289,0.46,3800,0.615476191,,,,,,,,,,,,,,,
5449,1.09,3900,0.872436577,,,,,,,,,,,,,,,
5534,0.35,4000,1.397396298,,,,,,,,,,,,,,,
5635,0.42,4100,0.765179656,,,,,,,,,,,,,,,
5712,0.61,4200,0.059976754,,,,,,,,,,,,,,,
5786,0.38,4300,0.046666667,,,,,,,,,,,,,,,
5856,-0.11,4400,0.213333333,,,,,,,,,,,,,,,
5924,1.04,4500,0.411320102,,,,,,,,,,,,,,,
5989,0.74,4600,0.734345758,,,,,,,,,,,,,,,
6051,0.87,4700,0.547598285,,,,,,,,,,,,,,,
6112,-0.07,4800,0.324285714,,,,,,,,,,,,,,,
6171,1.35,4900,0.281891143,,,,,,,,,,,,,,,
6228,1.64,5000,0.51475483,,,,,,,,,,,,,,,
6284,0.05,5100,1.07048382,,,,,,,,,,,,,,,
6339,1.54,5200,0.598384273,,,,,,,,,,,,,,,
6393,0.22,5300,0.550609927,,,,,,,,,,,,,,,
6446,0.61,5400,0.896999283,,,,,,,,,,,,,,,
6500,0.2,5500,0.658030658,,,,,,,,,,,,,,,
6553,0.9,5600,0.397738845,,,,,,,,,,,,,,,
6607,0.08,5700,0.540133485,,,,,,,,,,,,,,,
6665,1.31,5800,0.256780541,,,,,,,,,,,,,,,
6720,0.52,5900,0.56566,,,,,,,,,,,,,,,
6776,1.39,6000,0.814110484,,,,,,,,,,,,,,,
6834,0.43,6100,0.399859008,,,,,,,,,,,,,,,
6893,0.88,6200,1.374669794,,,,,,,,,,,,,,,
6954,0.56,6300,0.772971825,,,,,,,,,,,,,,,
7017,0.94,6400,0.564331482,,,,,,,,,,,,,,,
7082,1.14,6500,0.460001747,,,,,,,,,,,,,,,
7151,1.38,6600,0.521463419,,,,,,,,,,,,,,,
7222,1.38,6700,0.901802956,,,,,,,,,,,,,,,
7296,1.44,6800,0.915251998,,,,,,,,,,,,,,,
7354,1.53,6900,0.724267616,,,,,,,,,,,,,,,
7374,1.17,7000,0.822273518,,,,,,,,,,,,,,,
7455,1.8,7100,1.204663545,,,,,,,,,,,,,,,
7540,1.06,7200,1.383160987,,,,,,,,,,,,,,,
7630,1.63,7300,1.45404576,,,,,,,,,,,,,,,
7724,1.47,7400,1.444898084,,,,,,,,,,,,,,,
7823,0.5,7500,1.413694444,,,,,,,,,,,,,,,
7926,1.5,7600,1.423929078,,,,,,,,,,,,,,,
8008,0.95,7700,1.483487084,,,,,,,,,,,,,,,
8240,0.31,7800,0.796455521,,,,,,,,,,,,,,,
8333,1.46,7900,1.200294577,,,,,,,,,,,,,,,
8462,0.94,8000,1.038486039,,,,,,,,,,,,,,,
8597,1.1,8100,0.696206897,,,,,,,,,,,,,,,
8879,2.11,8200,0.427906934,,,,,,,,,,,,,,,
9059,4.81,8300,1.028242398,,,,,,,,,,,,,,,
,,8400,1.189922481,,,,,,,,,,,,,,,
,,8500,0.988792696,,,,,,,,,,,,,,,
,,8600,1.137212644,,,,,,,,,,,,,,,
,,8700,1.468900709,,,,,,,,,,,,,,,
,,8800,1.827056738,,,,,,,,,,,,,,,
,,8900,2.473014539,,,,,,,,,,,,,,,
,,9000,3.925,,,,,,,,,,,,,,,
