Age_cal BP,T_anomaly,T_upper_err,T_lower_err,age1,wmean,95_upper,95_lower,plot_at,JRI_warmth_age,definition,age2,age3,age4,age5,age6,age7,age8,age9
-100,0.242499369,0.201557917,0.304312934,-100,0.011,-0.08,0.102,3.97,2200,greater_than_0.102,6800,3000,2500,5700,6200,9300,3400,0
0,-0.298547781,-0.24814361,-0.374648196,12000,0.011,-0.08,0.102,3.97,2500,upper_95,7300,3300,5300,6000,6700,12800,3600,100
100,-0.010917361,-0.009074171,-0.013700218,,,,,,,,,,,,,,,
200,-0.273936753,-0.227687691,-0.343763769,,,,,,,,,,,,,,,
300,-0.40534469,-0.336909873,-0.508667847,,,,,,,,,,,,,,,
400,-0.685115153,-0.569446361,-0.859752349,,,,,,,,,,,,,,,
500,-0.986705319,-0.820118707,-1.238218439,,,,,,,,,,,,,,,
600,-0.351281846,-0.291974522,-0.440824278,,,,,,,,,,,,,,,
700,-0.868753685,-0.722080985,-1.090200703,,,,,,,,,,,,,,,
800,-0.45690351,-0.379763957,-0.573369111,,,,,,,,,,,,,,,
900,-0.507619987,-0.421917912,-0.637013318,,,,,,,,,,,,,,,
1000,-0.529862059,-0.440404829,-0.664924937,,,,,,,,,,,,,,,
1100,-0.421001722,-0.349923509,-0.528315887,,,,,,,,,,,,,,,
1200,-0.523281301,-0.434935107,-0.656666731,,,,,,,,,,,,,,,
1300,-0.531905586,-0.442103344,-0.667489363,,,,,,,,,,,,,,,
1400,0.108105374,0.089853817,0.135661645,,,,,,,,,,,,,,,
1500,-0.093444562,-0.077668207,-0.117263764,,,,,,,,,,,,,,,
1600,-0.643806289,-0.53511172,-0.807913774,,,,,,,,,,,,,,,
1700,-0.279110276,-0.231987762,-0.350256033,,,,,,,,,,,,,,,
1800,0.006508665,0.0054098,0.008167737,,,,,,,,,,,,,,,
1900,-0.077767035,-0.064637535,-0.097590005,,,,,,,,,,,,,,,
2000,-0.151102248,-0.125591479,-0.189618507,,,,,,,,,,,,,,,
2100,0.037518985,0.031184611,0.047082648,,,,,,,,,,,,,,,
2200,0.260186154,0.216258622,0.326508115,,,,,,,,,,,,,,,
2300,-0.128293549,-0.106633599,-0.160995826,,,,,,,,,,,,,,,
2400,0.270244056,0.224618436,0.339129796,,,,,,,,,,,,,,,
2500,0.279245662,0.23210029,0.350425928,,,,,,,,,,,,,,,
2600,0.121457192,0.100951433,0.152416869,,,,,,,,,,,,,,,
2700,0.328088693,0.272697096,0.411719145,,,,,,,,,,,,,,,
2800,0.1474659,0.12256906,0.185055247,,,,,,,,,,,,,,,
2900,0.089354228,0.074268449,0.112130796,,,,,,,,,,,,,,,
3000,0.243974443,0.202783953,0.306164007,,,,,,,,,,,,,,,
3100,0.584285735,0.485640091,0.733221314,,,,,,,,,,,,,,,
3200,0.278777721,0.231711352,0.349838708,,,,,,,,,,,,,,,
3300,-0.058513835,-0.048634876,-0.073429126,,,,,,,,,,,,,,,
3400,0.178370371,0.148255892,0.223837328,,,,,,,,,,,,,,,
3500,0.149278132,0.124075331,0.187329421,,,,,,,,,,,,,,,
3600,0.10385914,0.08632448,0.130333039,,,,,,,,,,,,,,,
3700,0.373014495,0.310038022,0.468096621,,,,,,,,,,,,,,,
3800,0.315736709,0.262430511,0.396218615,,,,,,,,,,,,,,,
3900,0.450488212,0.37443176,0.56531854,,,,,,,,,,,,,,,
4000,0.252922925,0.210221652,0.317393474,,,,,,,,,,,,,,,
4100,0.451424236,0.375209755,0.566493159,,,,,,,,,,,,,,,
4200,0.335051264,0.278484168,0.420456488,,,,,,,,,,,,,,,
4300,0.270501687,0.224832571,0.339453097,,,,,,,,,,,,,,,
4400,0.375422316,0.312039328,0.471118201,,,,,,,,,,,,,,,
4500,0.382591075,0.317997777,0.480114291,,,,,,,,,,,,,,,
4600,0.239590799,0.199140404,0.300662963,,,,,,,,,,,,,,,
4700,0.272310002,0.226335586,0.341722355,,,,,,,,,,,,,,,
4800,0.231946258,0.1927865,0.291069814,,,,,,,,,,,,,,,
4900,0.079113642,0.065756793,0.099279864,,,,,,,,,,,,,,,
5000,0.129972963,0.108029476,0.163103326,,,,,,,,,,,,,,,
5100,0.212380355,0.176523931,0.266516523,,,,,,,,,,,,,,,
5200,0.425526538,0.353684395,0.533994086,,,,,,,,,,,,,,,
5300,-0.061214366,-0.050879473,-0.076818028,,,,,,,,,,,,,,,
5400,-0.046347371,-0.03852249,-0.058161406,,,,,,,,,,,,,,,
