id,ages,ageSds,position,thickness,calCurves,LabID,altitude
FP_Hochlandsee,5410,185,0,1,shcal20,HD11417-11148,101
FP_Hotel Lake,4960,120,0,1,shcal20,Lu-3680,40
FP_Gaoshan Lake,2215,37,0,1,shcal20,SUERC-18932,34.5
FP_Belén Lake_1,320,35,0,1,shcal20,SUERC-18928,19.9
FP_Belén Lake_2,4829,38,0,1,shcal20,SUERC-18931,19.9
FP_Kiteschee Lake_3,6180,150,0,1,shcal20,HD11163-10998,15.5
FP_Long Lake,2087,37,0,1,shcal20,SUERC-18933,15
FP_Yanou Lake_2,907,37,0,1,shcal20,SUERC-18934,14.5
FP_Yanou Lake_3,1430,30,0,1,shcal20,Beta-316286,14.5
FP_Yanou Lake_4,3370,30,0,1,shcal20,Beta-316287,14.5
FP_Yanou Lake_5,4170,30,0,1,shcal20,Beta-316288,14.5
FP_Yanou Lake_6,4273,37,0,1,shcal20,SUERC-18935,14.5
FP_Yanou Lake_7,4847,37,0,1,shcal20,SUERC-22310,14.5
FP_Yanou Lake_8,5051,38,0,1,shcal20,SUERC-22311,14.5
FP_Ardley Lake_2,860,30,0,1,shcal20,Beta-338226,18
FP_Ardley Lake_3,1440,40,0,1,shcal20,Beta-338227,18
FP_Ardley Lake_4,4091,36,0,1,shcal20,SUERC-22307,18
FP_Ardley Lake_5,4484,38,0,1,shcal20,SUERC-22308,18
FP_Ardley Lake_6,4469,38,0,1,shcal20,SUERC-22309,18
