filename,position_mm,Section_depth_cm,Strat_depth_cm,sample_surface,validity,E_gain,E_offset,F_slope,F_offset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Mn,Fe,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Mo,Cs,Ba,La,Ce,Pr,Nd,Sm,Gd,Tb,Dy,Ho,Er,Tm,Lu,Hf,Ac,Th,U,S1,D1,D2,D3,D4,D6,S2,Cra_+_Cra,Cra_+_Fea,Fex1,Fex2,Fex3,W_La_el,W_Lb1_el,W_Lb2_el,W_La_inel,W_Lb1_inel,W_Lb2_inel,Cr_inc,Cr_coh,inc&coh,inc_coh,coh_inc
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000000.spe,312,0,0,6.59,0,0.018543,-0.012284,0.010373,0.119708,6197,1.57,0,14,90,0,23,0,269,465,3773,12,1954,177,0,6416,0,66,74,94,0,19,0,56,0,482,59,82,192,0,298,47,0,39,376,124,0,95,0,50,0,125,17,25,45,0,7,1337,58,59,0,0,14,771,11,9,138,60,271,103,119,112,18,7,0,5728,6410,12138,0.47190641,1.119064246
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000001.spe,314,0.2,0.2,6.8,1,0.018543,-0.012284,0.010349,0.119708,5708,1.58,0,0,85,0,0,0,450,533,3971,0,2153,110,810,6661,103,84,58,0,0,0,0,0,0,489,12,93,133,0,126,110,0,72,541,74,42,95,115,0,6,88,26,30,31,0,63,340,0,48,11,0,0,118,0,76,140,69,220,98,70,102,34,125,0,4244,5451,9695,0.437751418,1.284401508
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000002.spe,316,0.4,0.4,6.87,1,0.018544,-0.012284,0.010301,0.119708,5247,1.5,9,0,56,0,7,0,546,446,3010,28,1624,116,86,5513,0,0,60,70,0,14,6,37,0,404,54,84,137,0,67,71,16,55,432,145,0,79,0,130,31,256,31,63,50,0,28,754,134,39,0,0,397,317,0,0,39,55,229,99,92,24,29,9,43,3402,5600,9002,0.377916019,1.646090535
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000003.spe,318,0.6,0.6,6.87,1,0.018546,-0.012284,0.010318,0.119708,4924,1.91,0,0,26,0,0,0,486,255,2440,0,1351,157,0,4538,0,0,80,106,12,0,0,0,48,380,108,137,250,0,80,70,0,0,342,121,0,0,0,69,13,105,0,28,0,27,0,770,68,31,0,0,121,404,0,0,42,28,212,35,0,14,47,0,27,3944,4934,8878,0.444244199,1.251014199
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000004.spe,320,0.8,0.8,6.87,1,0.018549,-0.012284,0.010339,0.119708,5647,1.64,0,0,42,0,15,0,550,353,2747,0,1598,139,0,5533,0,0,30,165,0,0,78,108,65,424,29,17,127,0,153,40,0,6,505,80,0,67,0,90,37,158,17,0,58,0,10,840,121,17,0,0,207,580,11,0,84,17,195,119,68,96,18,0,69,4580,6329,10909,0.419836832,1.381877729
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000005.spe,322,1,1,6.88,1,0.018546,-0.012284,0.010277,0.119708,5771,1.38,0,0,53,0,0,0,528,448,3326,54,1633,72,668,6197,45,7,36,11,0,17,0,34,0,335,7,143,160,0,239,81,0,70,677,0,0,127,0,0,22,143,87,27,11,0,44,379,34,0,10,6,0,58,0,0,180,48,106,75,87,55,36,38,43,3737,6119,9856,0.379159903,1.637409687
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000006.spe,324,1.2,1.2,6.89,1,0.018547,-0.012284,0.010277,0.119708,5977,1.35,5,0,44,0,0,0,543,437,3112,30,1846,41,174,6015,15,0,96,91,0,5,50,0,42,452,8,124,231,0,80,69,56,79,567,59,15,143,23,95,72,176,35,40,57,0,17,755,50,37,0,0,229,335,0,89,47,49,130,137,96,122,16,0,74,4068,6288,10356,0.392815759,1.545722714
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000007.spe,326,1.4,1.4,6.87,1,0.018546,-0.012284,0.010246,0.119708,5389,1.42,17,0,34,0,14,0,559,400,3196,44,1631,102,0,5097,0,32,60,0,34,0,0,127,18,464,72,173,250,0,61,80,15,71,381,135,0,0,0,84,0,116,41,64,0,16,43,764,78,0,0,0,193,505,0,0,29,67,285,128,52,56,6,31,60,3738,5299,9037,0.413632843,1.417602996
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000008.spe,328,1.6,1.6,6.85,1,0.018548,-0.012284,0.010282,0.119708,5651,1.49,0,0,87,0,0,0,522,501,4211,63,1746,196,0,5792,0,25,97,109,39,15,0,190,36,473,103,126,279,0,282,132,0,0,301,106,0,55,17,96,0,82,0,38,43,60,31,812,37,63,5,12,0,405,0,0,37,38,219,104,49,0,28,0,41,3821,5622,9443,0.404638356,1.47134258
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000009.spe,330,1.8,1.8,6.8,1,0.018551,-0.012284,0.01032,0.119708,6672,1.32,0,6,119,0,0,0,426,751,5245,22,3092,211,89,8065,17,16,63,19,70,13,23,54,90,551,75,94,197,0,0,86,107,28,433,124,0,63,0,73,73,182,55,33,37,23,82,770,98,0,0,0,106,361,14,0,151,59,222,116,57,21,19,34,105,3738,6767,10505,0.355830557,1.810326378
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000010.spe,332,2,2,6.77,1,0.018552,-0.012284,0.010333,0.119708,6866,1.53,0,0,122,0,0,0,426,784,5602,24,2609,123,0,8140,0,0,36,113,11,0,0,10,60,483,18,110,228,0,41,94,31,72,531,127,0,145,0,101,149,251,124,0,12,0,29,1129,151,0,0,0,277,632,12,44,181,64,123,110,115,11,9,0,33,3914,7060,10974,0.356661199,1.803781298
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000011.spe,334,2.2,2.2,6.76,1,0.01855,-0.012284,0.010471,0.119708,7168,1.48,0,0,191,0,20,0,430,737,5652,0,2490,67,0,7637,47,0,35,31,0,0,0,73,26,477,51,56,218,0,69,90,48,99,451,137,42,0,0,68,64,231,53,17,33,0,37,1134,92,5,10,0,173,705,0,0,119,20,284,115,44,0,0,20,52,4738,7215,11953,0.396385845,1.522794428
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000012.spe,336,2.4,2.4,6.74,1,0.018552,-0.012284,0.010489,0.119708,6477,1.79,7,0,115,0,11,0,528,717,4766,41,2386,83,0,6585,0,0,56,48,0,0,0,73,113,456,60,184,217,0,146,69,14,88,468,93,0,85,0,120,0,230,70,81,19,5,0,1072,139,0,0,0,434,599,15,0,110,0,276,105,71,65,27,0,0,3632,6415,10047,0.361500946,1.766244493
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000013.spe,338,2.6,2.6,6.72,1,0.018547,-0.012284,0.010489,0.119708,6430,1.29,14,0,145,0,17,0,484,550,4388,0,2313,216,0,5732,17,0,38,49,78,0,29,37,0,557,45,119,208,0,87,64,0,0,606,79,0,246,0,95,14,213,83,118,0,0,10,854,86,28,0,0,241,585,0,9,145,111,159,103,60,0,49,6,58,3503,7081,10584,0.330971277,2.02141022
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000014.spe,340,2.8,2.8,6.69,1,0.018547,-0.012284,0.010489,0.119708,6615,1.29,0,0,124,0,0,0,448,650,4786,5,2235,119,185,6269,0,55,76,58,0,26,0,0,71,417,0,82,248,0,264,104,0,16,418,109,0,60,18,111,109,128,12,0,51,17,0,929,61,0,25,0,0,322,19,43,95,9,197,106,55,8,5,0,44,4371,7084,11455,0.381580096,1.620681766
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000015.spe,342,3,3,6.68,1,0.018549,-0.012284,0.010502,0.119708,6351,1.61,0,0,126,0,19,0,441,610,4639,0,2437,92,0,6322,79,0,77,4,0,0,0,48,41,483,77,45,225,0,0,61,115,123,204,233,43,39,0,22,0,301,37,126,55,48,50,1329,112,126,0,0,466,819,0,0,172,137,379,101,26,15,26,18,34,4423,6120,10543,0.419520061,1.383676238
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000016.spe,344,3.2,3.2,6.63,1,0.018546,-0.012284,0.010464,0.119708,6647,1.5,0,0,145,0,32,0,340,565,4877,27,2317,191,0,6394,13,0,44,30,0,0,0,7,62,462,78,202,276,0,241,96,0,0,433,164,0,167,0,81,48,250,48,34,16,22,50,1050,90,36,0,0,280,774,15,64,153,90,177,138,53,66,0,14,41,4149,5906,10055,0.412630532,1.423475536
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000017.spe,346,3.4,3.4,6.66,1,0.018544,-0.012284,0.010426,0.119708,7685,1.33,0,0,166,0,17,0,381,769,6020,0,2753,208,0,7582,41,104,134,43,69,0,0,0,87,545,30,76,210,0,279,89,0,64,486,250,0,319,131,135,18,168,12,98,15,0,17,1271,79,145,27,0,8,1537,9,99,188,143,252,155,65,0,119,38,83,5514,7260,12774,0.431658055,1.316648531
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000018.spe,348,3.6,3.6,6.69,1,0.018542,-0.012284,0.010414,0.119708,7308,1.54,0,0,180,0,33,0,429,736,5943,50,2709,124,152,7479,0,20,80,0,0,0,6,16,56,402,19,137,183,0,272,120,0,98,639,127,0,231,0,103,0,163,0,67,37,0,11,936,84,82,29,0,91,660,0,33,135,108,268,65,73,91,45,53,43,4960,7294,12254,0.404765791,1.470564516
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000019.spe,350,3.8,3.8,6.68,1,0.018551,-0.012284,0.010414,0.119708,6912,1.18,17,0,192,0,34,0,412,802,6080,18,2969,224,559,7653,36,10,72,60,0,28,23,69,26,349,0,133,235,0,224,93,0,0,464,154,49,89,9,40,47,181,61,61,28,0,44,816,71,20,33,0,0,128,0,0,102,78,215,112,72,81,24,0,49,4307,7186,11493,0.374749848,1.668446715
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000020.spe,352,4,4,6.69,1,0.018546,-0.012284,0.010368,0.119708,6751,1.58,0,0,139,0,22,0,394,631,5000,79,2605,129,65,7010,0,0,60,0,0,0,26,88,21,416,96,127,202,0,9,101,62,50,387,150,0,44,0,129,38,195,14,7,17,7,45,967,77,0,6,0,275,577,0,0,51,0,250,79,91,106,0,120,36,4803,6846,11649,0.41231007,1.425359151
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000021.spe,354,4.2,4.2,6.69,1,0.018542,-0.012284,0.010335,0.119708,6844,1.24,0,0,113,0,9,0,420,735,5673,30,2555,96,0,7171,39,58,48,0,41,62,72,23,36,463,26,125,163,0,252,120,0,64,514,117,0,94,0,19,94,173,100,28,54,5,77,1141,69,0,70,36,40,848,0,47,175,110,97,139,98,9,17,187,13,4977,6602,11579,0.429829864,1.326501909
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000022.spe,356,4.4,4.4,6.71,1,0.018543,-0.012284,0.010335,0.119708,6361,1.21,9,0,145,0,30,0,501,680,4906,58,2312,177,0,6480,0,27,80,23,63,37,0,114,5,513,37,121,189,0,180,80,0,16,411,210,0,88,0,141,48,183,43,45,55,0,11,1024,135,48,40,22,335,651,11,0,83,21,334,157,82,0,0,28,63,4068,6670,10738,0.378841497,1.639626352
