"LabID","CRA","Error","calCurves","resOffsets","resErrors","Material","Species","SiteName","Country","Longitude","Latitude","Region","Location","ID","MedianBP","OneSigma_BP_1","OneSigma_BP_2","OneSigma_BP_3","TwoSigma_BP_1","TwoSigma_BP_2","TwoSigma_BP_3"
"Birm-23",7683,86,"marine20",666,76,"Bivalve shells","Unknown","PC-SJ-1973","South Shetland Islands",-58.6728,-62.2389,"King George Island ","Potter Peninsula ","S&J",7325,"7452 to 7201","NA to NA","NA to NA","7570 to 7057","NA to NA","NA to NA"
"Birm-48a",9670,230,"marine20",666,76,"Bivalve shells","Unknown","PC-SJ-1973","South Shetland Islands",-58.6728,-62.2389,"King George Island ","Potter Peninsula ","S&J",9550,"9888 to 9239","NA to NA","NA to NA","10197 to 8947","NA to NA","NA to NA"
"Beta-441402",7860,40,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7489,"7589 to 7397","NA to NA","NA to NA","7678 to 7285","NA to NA","NA to NA"
"Beta-441403",7890,40,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7516,"7609 to 7418","NA to NA","NA to NA","7712 to 7312","NA to NA","NA to NA"
"ETH-67269",8010,85,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7630,"7753 to 7502","NA to NA","NA to NA","7900 to 7403","NA to NA","NA to NA"
"ETH-67267",7805,85,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7439,"7560 to 7321","NA to NA","NA to NA","7671 to 7184","NA to NA","NA to NA"
"Beta - 431964",7780,30,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7417,"7510 to 7317","NA to NA","NA to NA","7605 to 7224","NA to NA","NA to NA"
"ETH-67270",8170,85,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7782,"7914 to 7661","NA to NA","NA to NA","8027 to 7526","NA to NA","NA to NA"
"ETH-67272",8115,80,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7730,"7849 to 7602","NA to NA","NA to NA","7970 to 7489","NA to NA","NA to NA"
"ETH-71994",7920,20,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7542,"7631 to 7446","NA to NA","NA to NA","7734 to 7350","NA to NA","NA to NA"
"ETH-67268",7705,80,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7346,"7472 to 7233","NA to NA","NA to NA","7581 to 7091","NA to NA","NA to NA"
