"LabID","CRA","Error","calCurves","resOffsets","resErrors","Material","Species","SiteName","Country","Longitude","Latitude","Region","Location","ID","MedianBP","OneSigma_BP_1","OneSigma_BP_2","OneSigma_BP_3","TwoSigma_BP_1","TwoSigma_BP_2","TwoSigma_BP_3"
"ETH-67273",8005,85,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7625,"7748 to 7497","NA to NA","NA to NA","7893 to 7394","NA to NA","NA to NA"
"ETH-67275",7950,70,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7572,"7677 to 7452","NA to NA","NA to NA","7811 to 7344","NA to NA","NA to NA"
"ETH-67274",8020,90,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7640,"7766 to 7508","NA to NA","NA to NA","7912 to 7407","NA to NA","NA to NA"
"ETH-67276",8145,70,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7758,"7875 to 7637","NA to NA","NA to NA","7990 to 7530","NA to NA","NA to NA"
"ETH-72000",8015,20,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7632,"7731 to 7535","NA to NA","NA to NA","7829 to 7440","NA to NA","NA to NA"
"ETH-67277",8300,75,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7910,"8029 to 7773","NA to NA","NA to NA","8168 to 7663","NA to NA","NA to NA"
"ETH-71996",8005,20,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7622,"7714 to 7519","NA to NA","NA to NA","7819 to 7431","NA to NA","NA to NA"
"ETH-71997",7995,20,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7613,"7702 to 7509","NA to NA","NA to NA","7810 to 7425","NA to NA","NA to NA"
"Beta - 441404",8100,40,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7715,"7818 to 7608","NA to NA","NA to NA","7923 to 7515","NA to NA","NA to NA"
"ETH-67278",8090,75,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7706,"7823 to 7583","NA to NA","NA to NA","7942 to 7473","NA to NA","NA to NA"
"ETH-72001",7995,65,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7615,"7724 to 7497","NA to NA","NA to NA","7853 to 7402","NA to NA","NA to NA"
"ETH-71995",8195,25,"marine20",666,76,"Bivalve shells","Unknown","PC-Pingfo-II","South Shetland Islands",-58.6729,-62.2389,"King George Island ","Potter Peninsula ","nPII",7804,"7911 to 7708","NA to NA","NA to NA","7996 to 7605","NA to NA","NA to NA"
"SUERC-14413",7831,39,"marine20",666,76,"Bivalve shells","Unknown","PC-RiverSection","South Shetland Islands",-58.67113,-62.23895,"King George Island ","Potter Peninsula ","PC",7463,"7563 to 7368","NA to NA","NA to NA","7654 to 7265","NA to NA","NA to NA"
"SUERC-14414",7883,39,"marine20",666,76,"Bivalve shells","Unknown","PC-RiverSection","South Shetland Islands",-58.67113,-62.23895,"King George Island ","Potter Peninsula ","PC",7509,"7605 to 7415","NA to NA","NA to NA","7703 to 7306","NA to NA","NA to NA"
"SUERC-14416",7853,38,"marine20",666,76,"Bivalve shells","Unknown","PC-RiverSection","South Shetland Islands",-58.67113,-62.23895,"King George Island ","Potter Peninsula ","PC",7483,"7582 to 7390","NA to NA","NA to NA","7670 to 7281","NA to NA","NA to NA"
"SUERC-14417",7842,37,"marine20",666,76,"Bivalve shells","Unknown","PC-RiverSection","South Shetland Islands",-58.67113,-62.23895,"King George Island ","Potter Peninsula ","PC",7473,"7572 to 7380","NA to NA","NA to NA","7661 to 7274","NA to NA","NA to NA"
"Beta-441400",1880,30,"shcal20",0,0,"Terrestrial moss","Unknown","PC-InlandMoraine","South Shetland Islands",-58.6466,-62.2473,"King George Island ","Potter Peninsula ","IM",1776,"1821 to 1766","1752 to 1728","NA to NA","1865 to 1855","1834 to 1703","NA to NA"
"Beta-441401",1850,30,"shcal20",0,0,"Terrestrial moss","Unknown","PC-InlandMoraine","South Shetland Islands",-58.6466,-62.2473,"King George Island ","Potter Peninsula ","IM",1735,"1811 to 1795","1788 to 1772","1748 to 1702","1826 to 1761","1757 to 1697","1654 to 1616"
