Continent,Country,Region,Location,SiteName,Feature,FeatureID,Type,Interpretation,Latitude,Longitude,Altitude_masl,MapID,Section_depth_m,Core_Depth_cm_as_published,Core_Depth_cm_min,Core_Depth_cm_max,Core_Depth_cm_mid,Material_dated__and_stratigraphic_position,Reference,LabID,ages,ageSds,Dating_method,delta13C_ppm,calCurves,DR,DRerr,Oxcal_v4.4_2020_cal_BP,from,to,%,from,to,%,μ,σ,m,calCurves13,DR13,DRerr13,Oxcal_v4.4_SHCal13_calBP_Marine13_DR791±121,from,to,%,from,to,%,μ,σ,m,Notes
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,Barton_Peninsula,Moraine,Moraine1.1,Advance,Maximum age of late Holocene glacial readvance,-62.228,-58.786,20,51,NA,NA,NA,NA,NA,Peat layer  buried ~1m in ice-cored moraine,Oliva et al 2019,060129-2,2180,70,14C,NA,shcal20,NA,NA,R_Date 060129-2,2300,2010,68.3,2333,1934,95.4,2136,105,2118,shcal13,NA,NA,R_Date 060129-2,2150,2099,68.3,2296,2087,95.4,2138,52,2123,NA
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,Barton_Peninsula,Moraine,Moraine1.2,Advance,Minimum age of late Holocene glacial readvance,-62.228,-58.786,20,51,NA,NA,NA,NA,NA,Terrestrial moss buried 3m in ice-cored moraine,Oliva et al 2019,060129-3,1530,70,14C,NA,shcal20,NA,NA,R_Date 060129-3,1451,1305,68.3,1533,1285,95.4,1393,70,1385,shcal13,NA,NA,R_Date 060129-3,1376,1351,68.3,1404,1321,95.4,1363,16,1364,NA
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,Lake_5,SedimentCore_FWa,SedimentCore_Fwa,Advance,Constraint on ice advance of >50 m,NA,NA,50,14,NA,NA,NA,NA,NA,Bulk freshwater sediment ,Oliva et al 2019,CNA2534-2-1,1490,35,14C,NA,shcal20,NA,NA,R_Date CNA2534-2-1,1360,1300,68.3,1410,1290,95.4,1340,30,1340,shcal13,NA,NA,R_Date CNA2534-2-1,1358,1307,68.3,1406,1296,95.4,1340,27,1337,NA
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,Lake_5,SedimentCore_FWb,SedimentCore_FWb,Advance,Constraint on ice advance of >50 m,NA,NA,50,14,NA,NA,NA,NA,NA,Bulk freshwater sediment ,Oliva et al 2019,Beta-335038,2830,30,14C,NA,shcal20,NA,NA,R_Date Beta-335038,2960,2850,68.3,3000,2780,95.4,2890,50,2900,shcal13,NA,NA,R_Date Beta-335038,2945,2850,68.3,2970,2784,95.4,2886,49,2886,NA
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,Lake_6,SedimentCore_FW,SedimentCore_FW,Advance,Constraint on ice advance of >50 m,NA,NA,50,14,NA,NA,NA,NA,NA,Bulk freshwater sediment ,Oliva et al 2019,Beta-335036,7150,30,14C,NA,shcal20,NA,NA,R_Date Beta-335036,7980,7870,68.3,8020,7840,95.4,7930,40,7940,shcal13,NA,NA,R_Date Beta-335036,7971,7874,68.3,8005,7853,95.4,7931,39,7941,NA
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,Lake_11,SedimentCore_FW,SedimentCore_FW,Advance,Constraint on ice advance of >50 m,NA,NA,50,14,NA,NA,NA,NA,NA,Bulk freshwater sediment ,Oliva et al 2019,CNA2438-2-1,3495,35,14C,NA,shcal20,NA,NA,R_Date CNA2438-2-1,3830,3640,68.3,3850,3590,95.4,3730,60,3730,shcal13,NA,NA,R_Date CNA2438-2-1,3824,3641,68.3,3835,3611,95.4,3724,64,3718,NA
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,Lake_13,SedimentCore_FW,SedimentCore_FW,Advance,Constraint on ice advance of >200 m,-62.2241,-58.7597,103,14,NA,NA,NA,NA,NA,Bulk freshwater sediment (21 cm),Oliva et al 2016b ,CNA2439-2-1,4165,35,14C,NA,shcal20,NA,NA,R_Date CNA2439-2-1,4813,4573,68.3,4824,4526,95.4,4672,90,4671,shcal13,NA,NA,R_Date CNA2439-2-1,4803,4578,68.3,4813,4530,95.4,4670,82,4649,NA
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,Lake_12,SedimentCore_FW,SedimentCore_FW,Advance,Constraint on ice advance of >200 m,-62.224,-58.7637,102,14,NA,NA,NA,NA,NA,Moss (34 cm),Oliva et al 2016b ,Beta-335037,2450,30,14C,NA,shcal20,NA,NA,R_Date Beta-335037,2662,2355,68.3,2699,2346,95.4,2481,104,2450,shcal13,NA,NA,R_Date Beta-335037,2457,2359,68.3,2677,2352,95.4,2433,73,2418,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Norte_Moraines,Moraine,VN1_Inner1.1,Advance,Maximum readvance age - reworked into moraine  ,-62.1725,-58.9206,50,46,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Hall 2007,AA-468016,3264,94,14C,NA,shcal20,NA,NA,R_Date AA-468016,3570,3355,68.3,3692,3213,95.4,3453,119,3449,shcal13,NA,NA,R_Date AA-468016,3572,3356,68.3,3690,3211,95.4,3449,117,3450,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Norte_Moraines,Moraine,VN2_Inner4.1,Advance,Maximum readvance age - reworked into moraine  ,-62.1723,-58.9178,50,46,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Hall 2007,AA-468037,3195,76,14C,NA,shcal20,NA,NA,R_Date AA-468037,3454,3250,68.3,3565,3167,95.4,3359,97,3367,shcal13,NA,NA,R_Date AA-468037,3455,3250,68.3,3562,3175,95.4,3361,99,3368,NA
