Continent,Country,Region,Location,SiteName,Feature,FeatureID,Type,Interpretation,Latitude,Longitude,Altitude_masl,MapID,Section_depth_m,Core_Depth_cm_as_published,Core_Depth_cm_min,Core_Depth_cm_max,Core_Depth_cm_mid,Material_dated__and_stratigraphic_position,Reference,LabID,ages,ageSds,Dating_method,delta13C_ppm,calCurves,DR,DRerr,Oxcal_v4.4_2020_cal_BP,from,to,%,from,to,%,μ,σ,m,calCurves13,DR13,DRerr13,Oxcal_v4.4_SHCal13_calBP_Marine13_DR791±121,from,to,%,from,to,%,μ,σ,m,Notes
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Norte_Moraines,Moraine,VN3_Outer5.1,Advance,Maximum age for crosscut moraine readvance,-62.1739,-58.9203,50,46,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Hall 2007,AA-442798,2870,42,14C,NA,shcal20,NA,NA,R_Date AA-442798,3001,2866,68.3,3136,2788,95.4,2948,72,2943,shcal13,NA,NA,R_Date AA-442798,2993,2867,68.3,3070,2795,95.4,2939,67,2934,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Norte_Moraines,Moraine,VN4_Inner1.2,Advance,Maximum readvance age - reworked into moraine  ,-62.1725,-58.9206,50,46,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Hall 2007,AA-442789,2799,42,14C,NA,shcal20,NA,NA,R_Date AA-442789,2924,2782,68.3,2963,2759,95.4,2862,59,2858,shcal13,NA,NA,R_Date AA-442789,2919,2784,68.3,2956,2762,95.4,2855,54,2851,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Norte_Moraines,Moraine,VN5_Inner3.1,Advance,Maximum readvance age - reworked into moraine  ,-62.1724,-58.9186,50,46,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Hall 2007,AA-4680510,2715,35,14C,NA,shcal20,NA,NA,R_Date AA-4680510,2846,2751,68.3,2863,2740,95.4,2797,37,2789,shcal13,NA,NA,R_Date AA-4680510,2841,2749,68.3,2854,2744,95.4,2792,33,2783,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Norte_Moraines,Moraine,VN6_Inner2.1,Advance,Maximum readvance age - reworked into moraine  ,-62.1723,-58.919,50,46,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Hall 2007,AA-4680011,2609,35,14C,NA,shcal20,NA,NA,R_Date AA-4680011,2756,2541,68.3,2765,2493,95.4,2659,87,2707,shcal13,NA,NA,R_Date AA-4680011,2754,2540,68.3,2764,2492,95.4,2656,87,2704,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Norte_Moraines,Moraine,VN7_Inner1.3,Advance,Maximum readvance age - reworked into moraine  ,-62.1719,-58.9163,50,46,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Hall 2007,AA-4427712,2500,41,14C,NA,shcal20,NA,NA,R_Date AA-4427712,2702,2430,68.3,2711,2364,95.4,2546,103,2547,shcal13,NA,NA,R_Date AA-4427712,2700,2433,68.3,2711,2362,95.4,2545,104,2544,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Norte_Moraines,Moraine,VN8_Inner2.2,Advance,Maximum readvance age - reworked into moraine  ,-62.1727,-58.919,50,46,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Hall 2007,AA-4680413,2159,44,14C,NA,shcal20,NA,NA,R_Date AA-4680413,2133,2015,68.3,2305,1936,95.4,2103,83,2087,shcal13,NA,NA,R_Date AA-4680413,2152,2017,68.3,2305,2000,95.4,2116,81,2103,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Norte_Moraines,Moraine,VN9_Inner5.2,Advance,Maximum readvance age - reworked into moraine  ,-62.1724,-58.9169,50,46,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Hall 2007,AA-4680714,2151,52,14C,NA,shcal20,NA,NA,R_Date AA-4680714,2131,2011,68.3,2307,1930,95.4,2095,89,2080,shcal13,NA,NA,R_Date AA-4680714,2152,2012,68.3,2305,1934,95.4,2108,87,2095,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Norte_Moraines,Moraine,VN10_Inner2.3,Advance,Maximum readvance age - reworked into moraine  ,-62.1727,-58.919,50,46,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Hall 2007,AA-4428015,2136,47,14C,NA,shcal20,NA,NA,R_Date AA-4428015,2111,2005,68.3,2299,1929,95.4,2073,78,2064,shcal13,NA,NA,R_Date AA-4428015,2147,2008,68.3,2301,1931,95.4,2085,79,2075,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Norte_Moraines,Moraine,VN11_Inner5.3,Advance,Maximum readvance age - reworked into moraine  ,-62.1729,-58.9168,50,46,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Hall 2007,AA-4680816,2037,44,14C,NA,shcal20,NA,NA,R_Date AA-4680816,2001,1894,68.3,2055,1834,95.4,1949,53,1951,shcal13,NA,NA,R_Date AA-4680816,2003,1906,68.3,2055,1836,95.4,1952,52,1954,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Norte_Moraines,Moraine,VN12_Inner6.1,Advance,Maximum readvance age - reworked into moraine  ,-62.1722,-58.9163,50,46,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Hall 2007,AA-4356817,1258,37,14C,NA,shcal20,NA,NA,R_Date AA-4356817,1168,1070,68.3,1264,996,95.4,1131,59,1126,shcal13,NA,NA,R_Date AA-4356817,1177,1074,68.3,1268,998,95.4,1134,57,1131,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Norte_Moraines,Moraine,VN13_Outer4.2,Advance,Maximum readvance age - reworked into moraine  ,-62.1757,-58.9135,50,46,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Hall 2007,AA-4356518,894,41,14C,NA,shcal20,NA,NA,R_Date AA-4356518,795,690,68.3,903,675,95.4,764,52,757,shcal13,NA,NA,R_Date AA-4356518,796,722,68.3,904,676,95.4,764,50,757,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Norte_Moraines,Moraine,VN14_Outer2.4,Advance,Maximum readvance age - reworked into moraine  ,-62.1729,-58.9202,50,46,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Hall 2007,AA-4679819,855,32,14C,NA,shcal20,NA,NA,R_Date AA-4679819,738,680,68.3,787,672,95.4,720,30,718,shcal13,NA,NA,R_Date AA-4679819,739,684,68.3,772,674,95.4,721,28,720,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Norte_Moraines,Moraine,VN15_Outer3.2,Advance,Maximum readvance age - reworked into moraine  ,-62.1736,-58.918,50,46,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Hall 2007,AA-4680920,713,37,14C,NA,shcal20,NA,NA,R_Date AA-4680920,662,566,68.3,673,557,95.4,615,36,616,shcal13,NA,NA,R_Date AA-4680920,662,568,68.3,673,559,95.4,616,36,618,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Norte_Moraines,Moraine,VN16_Outer2.5,Advance,Maximum age for younger set of moraines,-62.1729,-58.9202,50,46,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Hall 2007,AA-4680221,677,45,14C,NA,shcal20,NA,NA,R_Date AA-4680221,653,558,68.3,664,549,95.4,606,34,605,shcal13,NA,NA,R_Date AA-4680221,650,560,68.3,665,550,95.4,606,33,605,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Norte_Moraines,Moraine,VN17_Outer1.4,Advance,Moss on moraine surface; minimum age,-62.1724,-58.9215,50,46,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Hall 2007,AA-4427622,264,37,14C,NA,shcal20,NA,NA,R_Date AA-4427622,309,152,68.3,440,141,95.4,244,78,222,shcal13,NA,NA,R_Date AA-4427622,310,153,68.3,440,145,95.4,248,77,272,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Klotz_Moraine,Moraine,VK1.1,Advance,Maximum readvance age - reworked into moraine  ,-62.18,-58.9,30,46,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Hall 2007,AA-46810,1948,40,14C,NA,shcal20,NA,NA,R_Date AA-46810,1921,1750,68.3,1990,1738,95.4,1846,58,1850,shcal13,NA,NA,R_Date AA-46810,1905,1753,68.3,1988,1737,95.4,1848,56,1852,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Klotz_Moraine,Moraine,VK2.1,Advance,Maximum readvance age - reworked into moraine  ,-62.18,-58.9,30,46,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Hall 2007,AA-43571,1453,38,14C,NA,shcal20,NA,NA,R_Date AA-43571,1350,1288,68.3,1374,1183,95.4,1315,35,1313,shcal13,NA,NA,R_Date AA-43571,1350,1291,68.3,1375,1271,95.4,1318,29,1314,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Klotz_Moraine,Moraine,VK3.1,Advance,Maximum readvance age - reworked into moraine  ,-62.18,-58.9,30,46,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Hall 2007,AA-46811,1403,41,14C,NA,shcal20,NA,NA,R_Date AA-46811,1306,1183,68.3,1347,1177,95.4,1260,47,1277,shcal13,NA,NA,R_Date AA-46811,1309,1191,68.3,1346,1183,95.4,1268,43,1281,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Klotz_Moraine,Moraine,VK4.1,Advance,Maximum readvance age - reworked into moraine  ,-62.18,-58.9,30,46,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Hall 2007,AA-44275,1338,42,14C,NA,shcal20,NA,NA,R_Date AA-44275,1274,1179,68.3,1298,1088,95.4,1213,52,1220,shcal13,NA,NA,R_Date AA-44275,1271,1185,68.3,1299,1093,95.4,1214,51,1221,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Klotz_Moraine,Moraine,VK5.1,Advance,Maximum age for outer moraines,-62.18,-58.9,30,46,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Hall 2007,AA-43570,1116,48,14C,NA,shcal20,NA,NA,R_Date AA-43570,1052,929,68.3,1176,819,95.4,986,56,979,shcal13,NA,NA,R_Date AA-43570,1051,930,68.3,1073,821,95.4,985,53,979,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Norte_Moraines,Moraine,VN1.2,Advance,In thrust-up marine sediments ,-62.1726,-58.918,50,46,NA,NA,NA,NA,NA,Marine shells in moraine,Hall 2007,AA-435641,47600,4760,14C,NA,marine20666,666,76,R_Date AA-435641,54870,48050,68.3,NA,45410,95.4,50200,2830,50290,marine13791,791,121,R_Date AA-435641,NA,46170,68.3,NA,48440,95.4,NA,NA,NA,Not included in density analysis - outside of Marine20666 range of 936-51121
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Norte_Moraines,Moraine,VN2.2,Advance,In thrust-up marine sediments ,-62.1729,-58.9169,50,46,NA,NA,NA,NA,NA,Marine shells in moraine,Hall 2007,AA-435692,44900,4490,14C,NA,marine20666,666,76,R_Date AA-435692,52150,44800,68.3,NA,43470,95.4,48980,3250,48830,marine13791,791,121,R_Date AA-435692,49780,45200,68.3,NA,42870,95.4,46520,2100,46640,Not included BChron in density analysis - creates data artefacts
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Norte_Moraines,Moraine,VN3.2,Advance,In thrust-up marine sediments ,-62.1743,-58.9144,50,46,NA,NA,NA,NA,NA,Marine shells in moraine,Hall 2007,AA-435633,39400,1300,14C,NA,marine20666,666,76,R_Date AA-435633,44030,42340,68.3,45460,41830,95.4,43410,960,43260,marine13791,791,121,R_Date AA-435633,43540,41390,68.3,45100,40360,95.4,42640,1170,42530,Not included BChron in density analysis - creates data artefacts
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Norte_Moraines,Moraine,VN3.3,Advance,In thrust-up marine sediments ,-62.1743,-58.9144,50,46,NA,NA,NA,NA,NA,Marine shells in moraine,Hall 2007,AA-435624,35640,760,14C,NA,marine20666,666,76,R_Date AA-435624,41370,40000,68.3,41980,39470,95.4,40710,660,40730,marine13791,791,121,R_Date AA-435624,40010,38170,68.3,40850,36940,95.4,38990,940,39000,Not included BChron in density analysis - creates data artefacts
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle_Norte_Moraines,Moraine,VN4.2,Advance,In thrust-up marine sediments ,-62.1751,-58.9145,50,46,NA,NA,NA,NA,NA,Marine shells in moraine,Hall 2007,AA-435615,33230,570,14C,NA,marine20666,666,76,R_Date AA-435615,38890,37180,68.3,39460,36500,95.4,38040,790,38020,marine13791,791,121,R_Date AA-435615,36590,35220,68.3,37730,34770,95.4,36100,740,36010,Not included BChron in density analysis - creates data artefacts
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas_Beach_Moraine,Moraine,ART_03A_2015,Advance,Moss in glaciofluvial sed. over 3–6; max. readvance age,-62.1795,-58.8995,72,ART03,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Heredia Barion et al. submitted a,Beta-441409,1380,30,14C,-22.7,shcal20,NA,NA,R_Date Beta-441409,1294,1182,68.3,1305,1177,95.4,1242,42,1252,shcal13,NA,NA,R_Date Beta-441409,1299,1190,68.3,1304,1185,95.4,1251,39,1270,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas_Beach_Moraine,Moraine,ART_03B_2015,Advance,Moss in glaciofluvial sed. over 3–6; max. readvance age,-62.1795,-58.8995,72,ART03,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Heredia Barion et al. submitted a,Beta-441410,1380,30,14C,-20.5,shcal20,NA,NA,R_Date Beta-441410,1294,1182,68.3,1305,1177,95.4,1242,42,1252,shcal13,NA,NA,R_Date Beta-441410,1299,1190,68.3,1304,1185,95.4,1251,39,1270,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas_Beach_Moraine,Moraine,ART_01A_2015,Advance,Moss in glaciofluvial sediments; max. readvance age,-62.1795,-58.8995,72,ART01,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Heredia Barion et al. submitted a,Beta-441405,1980,30,14C,-22.6,shcal20,NA,NA,R_Date Beta-441405,1925,1835,68.3,1994,1755,95.4,1890,48,1888,shcal13,NA,NA,R_Date Beta-441405,1925,1837,68.3,1995,1824,95.4,1891,44,1889,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas_Beach_Moraine,Moraine,ART_01B_2015,Advance,Moss in glaciofluvial sediments; max. readvance age,-62.1795,-58.8995,72,ART01,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Heredia Barion et al. submitted a,Beta-441406,1950,30,14C,-22.4,shcal20,NA,NA,R_Date Beta-441406,1889,1755,68.3,1927,1747,95.4,1848,48,1853,shcal13,NA,NA,R_Date Beta-441406,1895,1824,68.3,1927,1747,95.4,1852,44,1856,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas_Beach_Moraine,Moraine,ART_01A_2015 bis,Advance,Moss in glaciofluvial sediments; max. readvance age,-62.1795,-58.8995,72,ART01,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Heredia Barion et al. submitted a,Beta-441407,1920,30,14C,-19.6,shcal20,NA,NA,R_Date Beta-441407,1870,1748,68.3,1887,1733,95.4,1809,45,1812,shcal13,NA,NA,R_Date Beta-441407,1873,1748,68.3,1890,1735,95.4,1813,45,1817,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas_Beach_Moraine,Moraine,ART_01B_2015 bis,Advance,Moss in glaciofluvial sediments; max. readvance age,-62.1795,-58.8995,72,ART01,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Heredia Barion et al. submitted a,Beta-441408,1940,30,14C,-16.8,shcal20,NA,NA,R_Date Beta-441408,1885,1753,68.3,1922,1745,95.4,1835,48,1842,shcal13,NA,NA,R_Date Beta-441408,1888,1754,68.3,1918,1745,95.4,1839,46,1846,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas_Beach_Moraine,Moraine,ART_08_arriba_A_2015,Advance,Moss above till; max. glacial readvance age,-62.1818,-58.8622,16,ART08,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Heredia Barion et al. submitted a,Beta-441411,2030,30,14C,-17.9,shcal20,NA,NA,R_Date Beta-441411,1997,1894,68.3,2007,1877,95.4,1945,39,1949,shcal13,NA,NA,R_Date Beta-441411,1998,1917,68.3,2009,1879,95.4,1948,37,1951,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas_Beach_Moraine,Moraine,ART_08_arriba_B_2015,Advance,Moss above till; max. glacial readvance age,-62.1818,-58.8622,16,ART08,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Heredia Barion et al. submitted a,Beta-441412,2050,30,14C,-24.5,shcal20,NA,NA,R_Date Beta-441412,2003,1927,68.3,2042,1886,95.4,1960,37,1959,shcal13,NA,NA,R_Date Beta-441412,2002,1930,68.3,2041,1889,95.4,1963,35,1962,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas_Beach_Moraine,Moraine,ART_08_abajo_A_2015,Advance,Moss in till; max. glacial readvance age,-62.1818,-58.8622,16,ART08,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Heredia Barion et al. submitted a,Beta-441413,1870,30,14C,-20.9,shcal20,NA,NA,R_Date Beta-441413,1816,1722,68.3,1834,1637,95.4,1763,45,1768,shcal13,NA,NA,R_Date Beta-441413,1815,1723,68.3,1836,1701,95.4,1767,42,1771,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas_Beach_Moraine,Moraine,ART_08_abajo_B_2015,Advance,Moss in till; max. glacial readvance age,-62.1818,-58.8622,16,ART08,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Heredia Barion et al. submitted a,Beta-441414,1900,30,14C,-28.6,shcal20,NA,NA,R_Date Beta-441414,1829,1745,68.3,1874,1710,95.4,1790,41,1789,shcal13,NA,NA,R_Date Beta-441414,1829,1745,68.3,1875,1719,95.4,1792,41,1790,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas_Beach_Moraine,Moraine,ART_02_ARTIGAS_1_A,Advance,"Moss in till, overlying 6-7 m amsl raised beach",-62.1822,-58.8895,7,ART02,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Heredia Barion et al. submitted a,Beta-441415,2050,30,14C,-20.5,shcal20,NA,NA,R_Date Beta-441415,2003,1927,68.3,2042,1886,95.4,1960,37,1959,shcal13,NA,NA,R_Date Beta-441415,2002,1930,68.3,2041,1889,95.4,1963,35,1962,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas_Beach_Moraine,Moraine,ART_02_ARTIGAS_2_A,Advance,"Moss in till, overlying 6-7 m amsl raised beach",-62.1822,-58.8895,7,ART02,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Heredia Barion et al. submitted a,Beta-441417,2010,30,14C,-21.9,shcal20,NA,NA,R_Date Beta-441417,1993,1885,68.3,2000,1837,95.4,1927,44,1923,shcal13,NA,NA,R_Date Beta-441417,1994,1886,68.3,2001,1839,95.4,1929,42,1925,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas_Beach_Moraine,Moraine,ART_02_ARTIGAS_2_B,Advance,"Moss in till, overlying 6-7 m amsl raised beach",-62.1822,-58.8895,7,ART02,NA,NA,NA,NA,NA,Terrestrial moss in moraine,Heredia Barion et al. submitted a,Beta-441418,1980,30,14C,-23.7,shcal20,NA,NA,R_Date Beta-441418,1925,1835,68.3,1994,1755,95.4,1890,48,1888,shcal13,NA,NA,R_Date Beta-441418,1925,1837,68.3,1995,1824,95.4,1891,44,1889,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas_Beach_Moraine,Moraine,ART_07A_2015,Advance,Shell in fine sediments; max. glacial readvance age,-62.181,-58.861,18,ART07,NA,NA,NA,NA,NA,Laternula sp. bivalve shells in moraine,Heredia Barion et al. submitted a,ETH-69688,7045,85,14C,-0.9,marine20666,666,76,R_Date ETH-69688,6790,6480,68.3,6940,6330,95.4,6640,150,6630,marine13791,791,121,R_Date ETH-69688,6886,6528,68.3,7086,6374,95.4,6713,177,6710,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas_Beach_Moraine,Moraine,ART_07B_2015,Advance,Shell in fine sediments; max. glacial readvance age,-62.181,-58.861,18,ART07,NA,NA,NA,NA,NA,Laternula sp. bivalve shells in moraine,Heredia Barion et al. submitted a,ETH-69689,6590,70,14C,4,marine20666,666,76,R_Date ETH-69689,6270,6000,68.3,6400,5880,95.4,6140,130,6140,marine13791,791,121,R_Date ETH-69689,6365,6048,68.3,6504,5894,95.4,6200,155,6205,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas_Beach_Moraine,Moraine,ART_07C_2015,Advance,Shell in fine sediments; max. glacial readvance age,-62.181,-58.861,18,ART07,NA,NA,NA,NA,NA,Laternula sp. bivalve shells in moraine,Heredia Barion et al. submitted a,ETH-69690,6730,75,14C,0,marine20666,666,76,R_Date ETH-69690,6440,6160,68.3,6570,6000,95.4,6290,140,6300,marine13791,791,121,R_Date ETH-69690,6518,6207,68.3,6671,6016,95.4,6364,159,6363,NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas_Beach_Moraine,Moraine,ART_09A_2015,Advance,Shell in till; max. glacial readvance age,-62.1807,-58.8613,27,ART09,NA,NA,NA,NA,NA,Laternula sp. bivalve shells in moraine,Heredia Barion et al. submitted a,ETH-69691,6265,75,14C,-2.2,marine20666,666,76,R_Date ETH-69691,5920,5640,68.3,6090,5530,95.4,5790,140,5790,marine13791,791,121,R_Date ETH-69691,5996,5667,68.3,6185,5570,95.4,5858,161,5854,NA
