filename,position_mm,section_depth_mm,strat_depth_cm,sample_surface,validity,E_gain,E_offset,F_slope,F_offset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Mn,Fe,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Mo,Cs,Ba,La,Ce,Pr,Nd,Sm,Gd,Tb,Dy,Ho,Er,Tm,Lu,Hf,Ac,Th,U,S1,D1,D2,D3,D4,D6,S2,Cra_&_Cra,Cra_&_Fea,Fex1,Fex2,Fex3,W_La_el,W_Lb1_el,W_Lb2_el,W_La_inel,W_Lb1_inel,W_Lb2_inel,Cr_inc,Cr_coh,inc&coh,inc_coh,coh_inc
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000000.spe,340,0,0,6.29,1,0.018549,-0.012284,0.010389,0.119708,6046,1.23,12,0,122,0,24,5,415,463,3874,0,1619,136,137,5003,49,0,27,51,0,16,0,60,8,406,21,47,262,0,168,82,0,66,404,156,55,49,26,47,78,162,110,90,32,80,0,938,70,0,0,0,0,366,0,0,114,55,166,88,48,34,40,24,61,4355,6226,10581,0.411586807,1.429621125
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000001.spe,342,2,0.2,6.3,1,0.018548,-0.012284,0.01042,0.119708,7528,1.28,18,0,153,0,26,0,381,637,5036,43,2402,143,404,7261,0,43,46,100,11,0,22,39,147,399,27,91,238,0,77,69,57,71,701,141,0,33,0,114,71,204,102,25,8,22,0,972,123,0,0,12,13,449,6,67,92,95,199,157,78,36,45,0,79,5529,8213,13742,0.402343181,1.485440405
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000002.spe,344,4,0.4,6.34,1,0.01855,-0.012284,0.010436,0.119708,6938,1.5,0,0,89,0,11,0,370,521,4371,0,2162,127,0,6043,106,61,111,81,0,0,0,65,64,391,102,161,153,0,0,63,93,119,530,165,45,90,107,42,42,146,0,57,0,67,0,1156,39,116,0,0,13,553,0,0,143,120,188,87,89,64,54,0,61,4791,7752,12543,0.381966037,1.618033813
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000003.spe,346,6,0.6,6.35,1,0.018552,-0.012284,0.010587,0.119708,7494,1.45,0,9,120,0,14,0,427,577,4952,31,2372,70,0,6801,53,15,79,28,0,0,0,8,86,441,43,153,187,0,174,191,0,97,519,143,0,153,0,78,0,235,46,79,27,11,13,1309,81,54,0,0,152,849,0,0,170,120,218,78,50,20,36,0,49,5131,8256,13387,0.383282289,1.609043072
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000004.spe,348,8,0.8,6.37,1,0.018552,-0.012284,0.010536,0.119708,7872,1.44,0,0,123,8,33,0,440,647,5396,9,2496,23,1415,7801,89,0,114,71,0,13,0,36,44,439,56,82,178,0,158,92,34,187,845,75,108,35,0,56,0,238,53,125,30,7,39,437,67,81,0,0,0,0,0,26,88,71,407,137,90,73,50,0,0,4781,8805,13586,0.351906374,1.841664924
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000005.spe,350,10,1,6.36,1,0.018555,-0.012284,0.010582,0.119708,6796,1.31,0,6,111,0,15,0,513,527,4849,29,2211,5,427,5870,23,0,111,44,0,0,0,22,0,462,0,93,176,0,0,99,137,171,589,106,0,88,0,60,0,144,0,53,10,24,0,762,80,84,0,0,180,300,5,0,117,79,212,89,76,0,34,0,45,3819,6988,10807,0.353382067,1.829798377
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000006.spe,352,12,1.2,6.34,1,0.018553,-0.012284,0.01063,0.119708,6332,1.41,0,0,82,0,8,0,485,439,3758,70,1639,91,0,5331,0,0,40,51,0,0,35,5,54,287,72,23,245,0,38,84,79,68,545,58,0,0,0,71,0,146,0,29,14,0,0,811,78,59,0,0,139,468,0,32,61,11,266,60,38,37,30,0,29,3579,6679,10258,0.348898421,1.866163733
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000007.spe,354,14,1.4,6.33,1,0.018555,-0.012284,0.010644,0.119708,6234,1.76,0,9,91,0,42,5,497,500,3508,24,1768,91,0,4997,7,0,119,70,0,20,28,115,79,299,86,112,339,0,70,74,29,77,436,121,0,28,0,89,0,282,0,139,10,40,0,1043,140,152,0,0,502,650,0,0,65,79,363,81,110,82,13,0,0,4048,6280,10328,0.391944229,1.551383399
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000008.spe,356,16,1.6,6.36,1,0.018549,-0.012284,0.010687,0.119708,7376,1.24,5,0,61,0,47,0,393,512,4155,0,1965,128,222,5861,153,71,144,100,0,0,0,104,32,400,23,187,272,0,106,129,80,142,776,176,100,76,146,22,0,178,58,163,17,9,0,1239,94,116,0,13,39,518,0,0,175,159,355,170,72,75,85,0,21,5088,8554,13642,0.372965841,1.681210692
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000009.spe,358,18,1.8,6.38,1,0.01855,-0.012284,0.010711,0.119708,7706,1.27,0,0,79,0,26,0,336,514,4422,39,2249,80,463,6439,67,32,85,125,26,0,0,0,13,369,0,145,377,0,87,105,105,52,560,242,81,0,10,53,13,214,89,107,0,13,24,1138,111,27,0,0,0,94,0,165,137,97,424,158,110,30,31,0,0,5051,8674,13725,0.368014572,1.717283706
