filename,position_mm,section_depth_mm,strat_depth_cm,sample_surface,validity,E_gain,E_offset,F_slope,F_offset,kcps,MSE,TSN_SUM,Mg_%TSN,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Mn,Fe,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Mo,Cs,Ba,La,Ce,Pr,Nd,Sm,Gd,Tb,Dy,Ho,Er,Tm,Lu,Hf,Ac,Th,U,Cr_inc,Cr_coh,inc&coh,SUM,SUM,SUM&REE,LnK_Ti,LnCa_Ti,LnSr_Ti
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000000.spe,340,0,0,6.29,1,0.018549,-0.012284,0.010389,0.119708,6046,1.23,2.357338626,0.04810969,0,0.489115183,0,0.09621938,0.020045704,1.663793449,1.856232209,15.53141162,0,6.490799022,0.545243154,0.549252295,20.05773163,0.196447901,0,0.108246803,0.204466183,0,0.064146253,0,0.24054845,0.032073127,1.627711181,0.084191958,0.18842962,1.0503949,0,0.673535661,0.328749549,0,0.264603296,1.6196929,0.625425971,0.220502746,0.196447901,0.104237662,0.18842962,0.312712986,0.649480816,0.441005493,0.360822676,0.128292507,0.320731267,0,17.45980836,24.96091088,42.42071924,100,89.8207914,95.13290302,-1.2518369,0.87247889,-1.383210794
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000001.spe,342,2,0.2,6.3,1,0.018548,-0.012284,0.01042,0.119708,7528,1.28,2.408965216,0.054374094,0,0.462179797,0,0.078540358,0,1.150918318,1.924238763,15.21266312,0.129893668,7.255920735,0.431971967,1.220396327,21.93390527,0,0.129893668,0.138956017,0.302078299,0.033228613,0,0.066457226,0.117810536,0.444055099,1.205292412,0.081561141,0.274891252,0.718946351,0,0.23260029,0.208434026,0.17218463,0.214475592,2.117568874,0.425930401,0,0.099685839,0,0.344369261,0.214475592,0.616239729,0.308119865,0.075519575,0.024166264,0.066457226,0,16.70190913,24.80969067,41.51159981,100,90.63859352,95.43559691,-1.327287347,0.740310393,-1.795095586
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000002.spe,344,4,0.4,6.34,1,0.01855,-0.012284,0.010436,0.119708,6938,1.5,2.319859683,0,0,0.305862946,0,0.037803285,0,1.271565056,1.790501065,15.02165097,0,7.430063922,0.436456114,0,20.76775036,0.364286205,0.209636401,0.381469517,0.278369647,0,0,0,0.22338305,0.219946388,1.343734965,0.350539556,0.553302632,0.525809334,0,0,0.216509726,0.319609595,0.408962815,1.821431026,0.567049282,0.154649804,0.309299608,0.367722868,0.144339817,0.144339817,0.501752698,0,0.195889752,0,0.230256375,0,16.46504914,26.64100625,43.1060554,100,91.22620111,96.37775792,-1.423038956,0.703958097,-1.710081438
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000003.spe,346,6,0.6,6.35,1,0.018552,-0.012284,0.010587,0.119708,7494,1.45,2.361918279,0,0.028463898,0.379518644,0,0.044277175,0,1.350453841,1.824852146,15.66146937,0.098042316,7.501818527,0.221385876,0,21.50921914,0.167620734,0.04743983,0.249849774,0.08855435,0,0,0,0.025301243,0.271988361,1.394731016,0.135994181,0.483886271,0.591416553,0,0.550302034,0.604067175,0,0.30677757,1.641418135,0.452259717,0,0.483886271,0,0.246687119,0,0.743224011,0.145482147,0.249849774,0.085391695,0.034789209,0.04111452,16.22758468,26.1108827,42.33846738,100,91.93522882,96.80888074,-1.413646494,0.736058054,-1.682443885
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000004.spe,348,8,0.8,6.37,1,0.018552,-0.012284,0.010536,0.119708,7872,1.44,2.589503901,0,0,0.349620534,0.022739547,0.093800631,0,1.25067508,1.839060857,15.33782439,0.02558199,7.094738637,0.065376197,4.022057361,22.17390069,0.252977459,0,0.324038544,0.201813479,0,0.036951764,0,0.102327961,0.125067508,1.247832637,0.159176828,0.233080356,0.505954919,0,0.449106052,0.26150479,0.096643074,0.531536909,2.401864643,0.213183252,0.306983883,0.099485518,0,0.159176828,0,0.676501521,0.150649498,0.355305421,0.085273301,0.019897104,0.110855291,13.58972172,25.02771382,38.61743555,100,87.72348711,92.97632245,-1.350098435,0.770968488,-1.737945316
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000005.spe,350,10,1,6.36,1,0.018555,-0.012284,0.010582,0.119708,6796,1.31,2.570741186,0,0.021596717,0.39953927,0,0.053991793,0,1.846519329,1.896911669,17.45374703,0.104384134,7.958390325,0.017997264,1.536966381,21.12878842,0.082787416,0,0.39953927,0.158375927,0,0,0,0.079187963,0,1.662947232,0,0.334749118,0.633503707,0,0,0.356345835,0.493125045,0.615506443,2.120077748,0.381542006,0,0.316751854,0,0.215967173,0,0.518321215,0,0.190771003,0.035994529,0.086386869,0,13.74631056,25.15297675,38.89928731,100,90.76740335,95.97581168,-1.433999632,0.785327596,-1.56563529
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000006.spe,352,12,1.2,6.34,1,0.018553,-0.012284,0.01063,0.119708,6332,1.41,2.34987327,0,0,0.340178386,0,0.033188135,0,2.012030699,1.821198921,15.59012653,0.290396183,6.799419208,0.377515038,0,22.11574362,0,0,0.165940676,0.211574362,0,0,0.145198092,0.020742585,0.224019913,1.190624352,0.298693217,0.095415889,1.016386642,0,0.157643642,0.34847542,0.327732836,0.28209915,2.260941713,0.240613981,0,0,0,0.2945447,0,0.605683468,0,0.12030699,0.058079237,0,0,14.847542,27.70794441,42.55548641,100,91.69052064,96.1709189,-1.317342166,0.829800601,-1.742359363
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000007.spe,354,14,1.4,6.33,1,0.018555,-0.012284,0.010644,0.119708,6234,1.76,2.375,0,0.036691263,0.370989441,0,0.171225896,0.020384035,2.026173101,2.038403522,14.30143911,0.097843369,7.207794855,0.370989441,0,20.3718048,0.028537649,0,0.485140038,0.285376493,0,0.081536141,0.114150597,0.46883281,0.322067757,1.218965306,0.350605406,0.456602389,1.382037588,0,0.285376493,0.301683721,0.118227404,0.313914142,1.777487871,0.493293652,0,0.114150597,0,0.362835827,0,1.149659587,0,0.566676179,0.04076807,0.163072282,0,16.50291492,25.60234824,42.10526316,100,89.93844021,95.1363692,-1.262996145,0.68519711,-1.77716067
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000008.spe,356,16,1.6,6.36,1,0.018549,-0.012284,0.010687,0.119708,7376,1.24,2.24710453,0.016310553,0,0.198988746,0,0.153319198,0,1.28200946,1.67020062,13.55406948,0,6.410047301,0.417550155,0.72418855,19.11923014,0.49910292,0.231609852,0.469743924,0.326211059,0,0,0,0.339259501,0.104387539,1.304844234,0.075028543,0.610014679,0.887294079,0,0.345783722,0.420812266,0.260968847,0.463219703,2.531397814,0.574131463,0.326211059,0.247920405,0.476268145,0.071766433,0,0.580655684,0.189202414,0.531724025,0.05545588,0.029358995,0,16.59761866,27.90409395,44.50171261,100,88.72614582,95.40042407,-1.344922899,0.748820183,-1.591782977
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000009.spe,358,18,1.8,6.38,1,0.01855,-0.012284,0.010711,0.119708,7706,1.27,2.285318761,0,0,0.251865077,0,0.082892304,0,1.071223618,1.638717082,14.09806797,0.124338456,7.170184276,0.255053242,1.47612064,20.52859784,0.21360709,0.102021297,0.27099407,0.398520691,0.082892304,0,0,0,0.041446152,1.17643308,0,0.462284002,1.201938405,0,0.277370401,0.334757381,0.334757381,0.165784608,1.785372697,0.771536058,0.258241408,0,0.031881655,0.168972773,0.041446152,0.682267423,0.283746732,0.341133712,0,0.041446152,0.076515973,16.10342409,27.6541478,43.75757189,100,90.5566537,95.75655168,-1.476017687,0.676106409,-1.807444308
