filename,position_mm,section_depth_mm,strat_depth_cm,sample_surface,validity,E_gain,E_offset,F_slope,F_offset,kcps,MSE,TSN_SUM,Mg_%TSN,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Mn,Fe,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Mo,Cs,Ba,La,Ce,Pr,Nd,Sm,Gd,Tb,Dy,Ho,Er,Tm,Lu,Hf,Ac,Th,U,Cr_inc,Cr_coh,inc&coh,SUM,SUM,SUM&REE,LnK_Ti,LnCa_Ti,LnSr_Ti
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000010.spe,360,20,2,6.39,1,0.018548,-0.012284,0.010711,0.119708,6947,1.38,2.488348701,0.040423095,0.016842956,0.424442498,0,0.08084619,0,1.182375531,2.105369534,15.49888836,0.212221249,7.555750185,0.72424712,1.327224955,20.82799973,0,0.10779492,0.495182915,0.144849424,0.040423095,0,0,0.249275753,0.235801388,1.364279458,0.330121943,0.67034966,0.862359361,0,0.239169979,0.444654046,0.10779492,0.043791686,2.041366301,0.485077141,0,0.178535337,0.023580139,0.754564441,0.218958432,0.619820791,0,0.158323789,0,0,0,14.78137843,25.40591525,40.18729367,100,89.99191538,95.0683824,-1.277817885,0.718459416,-1.711682467
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000011.spe,362,22,2.2,6.4,1,0.018547,-0.012284,0.010746,0.119708,7494,1.32,2.419929593,0,0,0.335480806,0,0.071252561,0,1.021286702,1.775376303,15.95166701,0.077190274,7.906065374,0.362200517,0.706587893,21.23920078,0.267197102,0.198913398,0.519549921,0,0.056408277,0,0,0.184069115,0.302823383,1.629902325,0.178131402,0.127660838,0.955971855,0,0.154380548,0.356262803,0.204851112,0.207819969,2.051479975,0.371107087,0,0.166255975,0.213757682,0.029688567,0,0.406733367,0,0.320636523,0.047501707,0.157349405,0.121723124,14.14363329,27.17988303,41.32351631,100,91.76439153,96.09298459,-1.493617832,0.701933105,-1.579110144
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000012.spe,364,24,2.4,6.44,1,0.018543,-0.012284,0.010791,0.119708,7596,1.62,2.436964952,0.054044316,0.01501231,0.333273284,0,0.057046778,0,1.098901099,1.927580616,15.70287636,0,7.512159971,0.753617967,0,23.23905603,0,0,0.066054164,0.039032006,0.213174803,0,0,0.453371765,0,1.417162073,0.117096019,0.192157569,0.762625353,0,0.330270822,0.228187113,0,0.099081247,1.924578154,0.429352069,0,0.090073861,0,0.270221582,0.027022158,0.717588423,0.360295442,0.213174803,0.138113253,0.054044316,0.129105867,15.36059569,25.67405272,41.03464841,100,92.18759383,96.54716868,-1.360257387,0.737320866,-1.667866705
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000013.spe,366,26,2.6,6.48,1,0.018544,-0.012284,0.01081,0.119708,7097,1.71,2.327135434,0,0,0.177942151,0,0.094204668,0.017445309,1.325843481,1.573566868,12.7385646,0,6.971145459,0.282614005,2.14228394,19.12354768,0.544293639,0.289592129,0.352395241,0.27214682,0.101182792,0,0,0.202365584,0,1.723596525,0.457067095,0.146540595,0.907156066,0,0,0.198876522,0.708279544,0.446599909,2.766826,0.432643662,0.383796797,0.628031122,0.348906179,0.125606224,0.188409337,0.596629566,0.13607341,0.464045218,0.160496842,0,0,17.10686996,25.86441506,42.97128502,100,86.6857402,94.1104637,-1.48843462,0.602854422,-1.397366442
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000014.spe,368,28,2.8,6.5,1,0.018543,-0.012284,0.010778,0.119708,8014,1.92,2.027987083,0,0,0.252903709,0,0.074934432,0,1.017859373,1.383164731,11.48682403,0,4.76770326,0.892968652,0,18.55251655,0.343449482,0.390283502,0.33096041,0.421506182,0.206069689,0,0,0,0.340327214,1.136505558,0,0.515174223,0.892968652,0,1.504933183,0.277881853,0,0.04683402,2.772573998,0.374672162,0,1.18021731,0.399650306,0.168602473,0.218558761,0.321593606,0.187336081,0.231047833,0,0,0,23.50755589,25.80242288,49.30997877,100,88.62869989,94.80766829,-1.237490535,0.87933595,-1.433906438
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000015.spe,370,30,3,6.53,1,0.018548,-0.012284,0.01072,0.119708,6966,1.38,2.016842562,0,0,0.07885022,0,0.107523028,0,1.433640371,1.261603527,10.69137307,0.168452744,5.949607541,0.530446937,1.211426114,18.70900685,0,0,0.222214258,0.358410093,0.236550661,0,0,0.032256908,0.229382459,1.361958353,0.096770725,0.361994194,0.817175012,0,0.663058672,0.358410093,0,0.401419304,2.89595355,0.132611734,0.100354826,0.272391671,0,0.666642773,0.060929716,0.666642773,0.07885022,0.218630157,0,0.043009211,0,20.12831081,29.45414143,49.58245224,100,89.03623526,94.88907208,-1.550941706,0.586111903,-1.474401629
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000016.spe,372,32,3.2,6.57,1,0.01855,-0.012284,0.010698,0.119708,7216,1.69,2.401845098,0,0,0.267976775,0,0.032752717,0.056572875,1.057019503,1.777579276,13.98541015,0.071460473,8.131606372,0.553818669,2.137859163,21.53044514,0,0,0.235224058,0.318594611,0,0,0.047640316,0.133988388,0.11314575,1.500669942,0.401965163,0.524043472,0.640166741,0,0.172696144,0.32454965,0.095280631,0.181628703,2.075331249,0.32752717,0.11016823,0.151853506,0,0.348369808,0,0.571683787,0.119100789,0.229269019,0,0.098258151,0.041685276,15.40568706,26.22897127,41.63465833,100,90.22778026,94.7625428,-1.520506008,0.542256165,-1.689846853
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000017.spe,374,34,3.4,6.58,1,0.018554,-0.012284,0.010671,0.119708,7283,3.06,2.618263363,0,0.022464969,0.269579624,0,0.101092359,0.033697453,1.159754009,1.971301002,16.78975597,0.188144113,8.8427733,0.612170397,0,23.71177445,0.07862739,0,0.440875011,0.395945073,0.109516722,0,0,0,0.146022296,1.595012777,0.188144113,0.463339979,0.474572464,0,0.190952234,0.272387745,0.174103507,0,1.016539833,0.657100334,0,0,0.084243633,0.311701441,0,0.547583612,0,0.67114094,0.092667996,0,0.193760355,15.16385387,23.02940103,38.19325489,100,92.75223948,96.48704052,-1.500906817,0.641168388,-1.712718802
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000018.spe,376,36,3.6,6.62,1,0.018543,-0.012284,0.010671,0.119708,6962,2.11,2.564435408,0,0,0.201256327,0,0.030493383,0,1.12520583,1.756418857,13.99646277,0.057937428,8.275904129,0.103677502,2.951759468,24.35506495,0,0,0.03659206,0.109776179,0,0,0,0,0.338476551,1.579557236,0.021345368,0.524486186,0.615966335,0,0.192108312,0.128072208,0.222601695,0.493992804,2.418125267,0,0,0.253095078,0,0.66170641,0,0.408611331,0,0.015246691,0.060986766,0,0.070134781,13.01457584,25.98036226,38.9949381,100,90.33664695,94.93809843,-1.55007118,0.525456463,-1.656203598
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000019.spe,378,38,3.8,6.62,1,0.01854,-0.012284,0.010671,0.119708,7662,1.44,2.753254309,0,0,0.28526149,0,0.071315372,0.047543582,1.119915478,1.891178024,16.95721078,0.158478605,8.53935552,0.28526149,0.839936609,25.26941363,0.150554675,0.184891706,0.237717908,0.266772319,0.100369783,0.087163233,0.026413101,0,0.105652404,1.246698362,0.216587427,0.507131537,0.515055468,0,0.6022187,0.200739567,0.050184892,0.372424723,2.089276281,0.01320655,0,0.390913893,0.026413101,0.039619651,0.044902272,0.396196513,0.171685156,0.105652404,0.015847861,0,0.050184892,13.64500792,22.67564712,36.32065504,100,91.76967776,95.67089276,-1.507485611,0.686007619,-1.924186792
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000020.spe,380,40,4,6.62,1,0.018534,-0.012284,0.010606,0.119708,7651,3.07,2.47655923,0,0,0.273247134,0,0.045071692,0.03662075,1.208484746,1.912729936,16.03143751,0.312684864,7.808670667,0.188737711,0.208456576,23.25417617,0,0,0.143666019,0.233809403,0,0,0,0.177469788,0.18592073,1.501450745,0.14929998,0.535226344,0.549311248,0,0.856362151,0.081692442,0,0.473252768,1.997239359,0,0,0.600016902,0,0.467618806,0,0.123947153,0,0.211273557,0,0.033803769,0.019718865,16.49342235,23.88517986,40.37860221,100,92.38851799,96.34355897,-1.406703233,0.719316898,-1.648802936
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000021.spe,382,42,4.2,6.63,1,0.018531,-0.012284,0.010606,0.119708,7856,1.64,2.521771317,0,0,0.309572736,0,0.045368418,0,0.99276774,1.715993702,16.32729311,0,7.392383443,0.656507699,1.030129967,23.71433909,0.146780177,0.200154786,0.256198127,0,0,0,0,0.066718262,0.280216701,1.214272371,0.085399376,0.394972112,0.720557231,0,1.016786315,0.250860666,0,0,1.889461183,0.2188359,0,0.531077366,0.240185744,0.045368418,0.141442716,0.173467482,0.042699688,0.130767794,0.021349844,0.040030957,0.05337461,16.5808225,23.07384377,39.65466628,100,91.70024819,95.36441515,-1.460457875,0.792387926,-1.80630518
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000022.spe,384,44,4.4,6.64,1,0.018529,-0.012284,0.01059,0.119708,7717,2.11,2.354998712,0,0.027353046,0.303618808,0,0.098470965,0,1.137886704,1.64391805,14.43693755,0.035558959,7.412675401,0.648267185,0.4185016,22.06843732,0,0.051970787,0.235236194,0,0.098470965,0,0,0,0.166853579,1.392270029,0.311824722,0.492354824,0.399354468,0,0.697502667,0.279001067,0,0.101206269,1.974889904,0.426707514,0,0.8370032,0,0.429442818,0.415766296,0.503296042,0.180530102,0,0.060176701,0.076588528,0.175059493,19.3686917,23.09417654,42.46286824,100,90.84767089,95.9955141,-1.506108979,0.666598603,-1.672255897
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000023.spe,386,46,4.6,6.6,0,0.01854,-0.012284,0.01059,0.119708,6986,1.39,2.485141268,0,0,0.268025448,0,0.114868049,0.064797361,1.195805844,1.767200754,13.71347785,0.161993402,7.590127238,0.456526861,1.814326107,24.91753063,0.323986805,0,0.129594722,0.020617342,0,0,0,0,0.153157399,1.581644675,0.247408106,0.447690858,0.848256362,0,0.326932139,0.114868049,0.129594722,0.262134779,1.552191329,0.315150801,0.07068803,0.341658812,0.041234684,0,0,0.418237512,0.111922714,0.259189444,0,0,0,17.58953817,22.649623,40.23916117,100,91.50270971,95.11958058,-1.457451555,0.591530779,-1.568383116
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000024.spe,388,48,4.8,6.64,1,0.018537,-0.012284,0.010528,0.119708,6741,1.72,2.744469203,0,0.023197147,0.182677531,0,0.06959144,0,1.252645925,1.661495636,15.67837156,0.147881811,7.971119552,0.539333662,0,26.90869023,0,0,0.185577174,0.324760055,0.115985734,0.046394294,0,0,0.182677531,1.432423812,0.092788587,0.411749355,0.458143648,0,0.698814046,0.234871111,0,0.168179314,2.418302549,0.249369328,0,0.487140082,0,0.478441152,0,0.611824746,0.115985734,0.301562908,0.031896077,0.06089251,0.020297503,12.9382086,23.49870966,36.43691826,100,91.32716676,96.39284368,-1.568106771,0.676457201,-1.716456971
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000025.spe,390,50,5,6.6,1,0.018537,-0.012284,0.010528,0.119708,7194,1.58,2.837905049,0,0,0.294750259,0,0.018587854,0.026554077,1.059507687,1.869407047,18.12846863,0.103560902,8.340635705,0.642608673,0.22305425,25.94067819,0.055763562,0.16463528,0.217743435,0.318648929,0.124804164,0,0,0,0.156669057,1.739292068,0.191189357,0.531081548,0.334581375,0,0.831142622,0.377067899,0,0,1.133859104,0.589500518,0,0.286784036,0.185878542,0.297405667,0.063729786,0.326615152,0,0.188533949,0,0,0,14.52242492,20.71483576,35.23726068,100,92.63389894,96.08327359,-1.495518143,0.776344118,-1.567661264
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000026.spe,392,52,5.2,6.59,1,0.018542,-0.012284,0.010449,0.119708,7585,1.45,3.236264185,0,0,0.449030045,0,0.032794329,0.017658485,1.112484549,2.391463384,20.49897833,0.184152771,10.59761358,0.582730002,0,26.80810272,0.169016927,0,0.088292425,0,0,0,0,0.121086754,0.017658485,1.654852299,0.169016927,0.557503595,0.499482859,0,0.307762165,0.174062208,0.022703766,0.047930173,0.993920436,0.320375369,0,0.196765975,0,0.012613204,0.14379052,0.557503595,0.18163013,0.100905628,0,0.055498095,0.032794329,11.60666986,19.29315608,30.89982594,100,94.44514518,97.19734618,-1.488723369,0.659746205,-1.856917082
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000027.spe,394,54,5.4,6.59,1,0.018545,-0.012284,0.010484,0.119708,6224,1.31,3.073939394,0,0,0.640772871,0,0,0,1.564143007,2.129337539,20.11369611,0.05586225,9.927050473,0.391035752,0,25.64405889,0,0,0.078864353,0,0.065720294,0,0,0,0.187302839,1.836882229,0.285883281,0.581624606,0.673633018,0,0.407465825,0.266167192,0,0.121582545,0.834647739,0.456756046,0,0,0,0.226735016,0.059148265,0.519190326,0.101866456,0.17415878,0.069006309,0,0.05586225,11.83951104,20.6920347,32.53154574,100,94.15746583,96.91771819,-1.539452485,0.706137579,-1.687193708
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000028.spe,396,56,5.6,6.57,1,0.018546,-0.012284,0.010442,0.119708,6818,1.24,3.459017997,0.011310618,0,0.689947688,0,0.042414817,0,1.283755125,2.621235685,21.42513785,0.325180263,10.95150573,0.353456808,0.777604977,25.27923088,0,0,0.214901739,0,0.022621236,0,0,0,0.062208398,1.371412413,0.144210377,0.475045949,0.6022904,0,0,0.277110137,0.480701258,0.166831613,1.244167963,0.55139262,0.045242471,0.011310618,0,0.401526933,0.223384702,0.542909656,0.254488901,0.178142231,0.059380744,0,0,8.505584618,20.40435459,28.90993921,100,92.54064753,96.91785664,-1.429831114,0.671087942,-2.077635789
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000029.spe,398,58,5.8,6.55,1,0.018548,-0.012284,0.010424,0.119708,6225,1.57,3.52212785,0,0,0.647290265,0,0,0,1.373905318,2.370224648,22.97563143,0.174514532,9.925117401,0.047594872,0.545754537,26.37707831,0,0,0.101535728,0.187206498,0.028556923,0,0.015864957,0,0,1.54841985,0.161822566,0.33951009,0.355375048,0,0.777382917,0.298261201,0,0.31729915,1.101028049,0.377585988,0.015864957,0,0,0.206244447,0,0.764690951,0.174514532,0.298261201,0,0.019037949,0.082497779,9.188983374,19.20294454,28.39192791,100,93.03211067,96.58586115,-1.432083917,0.839365496,-1.857833696
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000030.spe,400,60,6,6.52,1,0.018547,-0.012284,0.01038,0.119708,6803,1.46,3.343669742,0,0.022758307,0.668525262,0,0.031292672,0,1.106622667,2.497724169,22.29460628,0.193445608,10.16158398,0.426718252,0,26.25739645,0.136549841,0,0.270254893,0,0.036982249,0,0.059740555,0.182066454,0.179221666,1.578857533,0.091033227,0.281634046,0.318616295,0,0.850591716,0.213359126,0,0.082498862,1.152139281,0.105257169,0,0.162152936,0,0,0,0.315771507,0.028447883,0.170687301,0.065430132,0.093878015,0.056895767,9.145994538,20.76126536,29.9072599,100,94.23645881,96.46677287,-1.403234348,0.785730445,-1.861912828
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000031.spe,402,62,6.2,6.53,1,0.01855,-0.012284,0.010342,0.119708,7242,1.22,3.643767313,0,0.017738584,0.788099944,0,0,0,0.879326947,2.65825351,23.83305458,0.149510922,11.31975065,0.549896103,0.458669099,25.51061781,0,0,0.243272009,0.121636004,0,0,0,0.114033754,0.053215752,1.474836552,0.065886169,0.357305763,0.164715422,0,0.154579089,0.230601591,0.078556586,0.250874259,0.85905428,0.608180021,0.124170088,0,0,0.375044346,0.101363337,0.648725356,0.124170088,0.164715422,0,0,0.076022503,8.288986873,19.15513659,27.44412346,100,93.7940297,97.35948507,-1.448879713,0.74452442,-2.038001874
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000032.spe,404,64,6.4,6.59,1,0.018551,-0.012284,0.010316,0.119708,7488,1.34,3.730987414,0.016629843,0,0.622431283,0,0.033259687,0,0.95265246,2.986244744,22.04879671,0.256574727,11.74304516,0.216187965,1.712873875,26.41769415,0.137790131,0,0.102154753,0.220939349,0.016629843,0,0,0.076022141,0.028508303,1.318509016,0.168674126,0.351602404,0.187679662,0,0.118784596,0.125911672,0.175801202,0.422873162,1.175967501,0.294585798,0,0,0,0,0.090276293,0.710331884,0.199558121,0.142541515,0,0.06176799,0.064143682,6.673318604,20.12923764,26.80255624,100,92.58071413,95.91856128,-1.369244505,0.629996865,-2.1867596
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000033.spe,406,66,6.6,6.62,1,0.018553,-0.012284,0.010316,0.119708,7671,1.99,3.889378938,0,0,0.847006549,0,0.037027609,0,0.83080697,2.832612066,24.13968665,0.458216658,13.03603249,0.242993682,0.124968179,27.26389114,0,0,0.02082803,0.071740992,0.055541413,0,0,0.15042466,0.092569022,1.219596862,0.032399158,0.326305802,0.284649742,0,0.078683669,0.284649742,0.203651848,0.180509592,0.55078568,0.210594525,0,0,0,0.143481984,0,0.499872718,0,0.060169864,0.009256902,0,0,7.102358196,18.6086876,25.7110458,100,95.68165513,97.81537109,-1.526517976,0.616139982,-2.36919689
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000034.spe,408,68,6.8,6.63,1,0.018546,-0.012284,0.010357,0.119708,8008,1.18,3.998648649,0,0,0.751943224,0,0.050692802,0.042244001,0.756167624,2.519854681,24.70217979,0.356961811,12.3669314,0.595640419,0.768840825,26.95800946,0.088712403,0.130956404,0.268249409,0.122507604,0,0,0,0,0.130956404,1.053987834,0.025346401,0.29993241,0.378083812,0,0.475245015,0.251351808,0,0,0.515376816,0.485806016,0,0,0.154190605,0.162639405,0.164751605,0.171088205,0.082375803,0.067590402,0,0.0126732,0.080263603,6.966035823,18.04241298,25.0084488,100,94.30762082,96.36279148,-1.590824854,0.691865403,-2.46244518
