Position_mm,Section_depth _mm,strat_depth_cm,Validity,Bottom_Measurement,Top_Measurement,Corrected_Measurement
340,0,0,1,11.74,-0.27,12.01
342,2,0.2,1,24.45,-0.15,24.6
344,4,0.4,1,46.5,1.37,45.13
346,6,0.6,1,52.74,2.43,50.31
348,8,0.8,1,54.78,2.65,52.13
350,10,1,1,61.24,2.7,58.53
352,12,1.2,1,58.53,2.72,55.81
354,14,1.4,1,58.63,2.73,55.9
356,16,1.6,1,57.59,2.46,55.14
358,18,1.8,1,63.35,2.35,61
360,20,2,1,91.82,2.23,89.59
362,22,2.2,1,105.84,1.97,103.88
364,24,2.4,1,85.7,1.83,83.87
366,26,2.6,1,63.84,1.62,62.22
368,28,2.8,1,53.06,1.56,51.49
370,30,3,1,56.29,1.71,54.58
372,32,3.2,1,67.33,1.65,65.68
374,34,3.4,1,78.04,1.69,76.36
376,36,3.6,1,84.25,1.65,82.61
378,38,3.8,1,84.74,1.74,83
380,40,4,1,85.89,1.69,84.2
382,42,4.2,0,93.22,1.66,91.56
384,44,4.4,1,116.16,1.62,114.54
386,46,4.6,1,150.44,1.69,148.74
388,48,4.8,1,188.79,1.42,187.38
390,50,5,1,194.49,1.51,192.98
392,52,5.2,1,155.46,1.44,154.02
394,54,5.4,1,125.15,1.37,123.78
396,56,5.6,1,133.65,1.23,132.43
398,58,5.8,1,179.28,1.06,178.22
400,60,6,1,265.43,0.95,264.48
402,62,6.2,1,353.54,0.8,352.74
404,64,6.4,1,435.14,0.71,434.43
406,66,6.6,1,562.63,0.54,562.09
408,68,6.8,1,697.9,0.61,697.28
410,70,7,1,769.77,0.52,769.26
412,72,7.2,1,808.92,0.42,808.51
414,74,7.4,1,928.51,0.34,928.17
416,76,7.6,1,1039.42,0.5,1038.91
418,78,7.8,1,1177.37,0.47,1176.9
420,80,8,1,1365.71,0.52,1365.19
422,82,8.2,1,1435.35,0.6,1434.74
424,84,8.4,1,1464.21,0.87,1463.34
426,86,8.6,1,1465.05,1.1,1463.95
428,88,8.8,1,1456.68,0.96,1455.72
430,90,9,1,1443.61,1.17,1442.44
432,92,9.2,1,1433.52,1.18,1432.34
434,94,9.4,1,1449.35,1.1,1448.25
436,96,9.6,1,1480.94,1.02,1479.92
438,98,9.8,1,1212.31,0.61,1211.69
440,100,10,1,1416.79,0.22,1416.57
442,102,10.2,1,1534.07,0.31,1533.76
444,104,10.4,1,1685.43,0.33,1685.1
446,106,10.6,1,1838.74,0.37,1838.37
448,108,10.8,1,2043.83,0.55,2043.28
450,110,11,1,2206.11,0.49,2205.62
452,112,11.2,1,2212.79,0.63,2212.16
454,114,11.4,1,2161.7,0.63,2161.07
456,116,11.6,1,2010.98,0.73,2010.25
458,118,11.8,1,1994.26,0.6,1993.66
460,120,12,1,1984.52,0.76,1983.76
462,122,12.2,1,1992.34,0.5,1991.83
464,124,12.4,1,2073.53,0.49,2073.04
466,126,12.6,1,2186.79,0.34,2186.44
468,128,12.8,1,2285.51,0.39,2285.12
470,130,13,1,2282.89,0.31,2282.58
472,132,13.2,1,2244.17,0.27,2243.9
474,134,13.4,1,2158.95,0.29,2158.66
476,136,13.6,1,2042.01,0.27,2041.74
478,138,13.8,1,1987.26,0.28,1986.98
480,140,14,1,2012.9,0.33,2012.57
482,142,14.2,1,1937.9,0.31,1937.59
484,144,14.4,1,1844.16,0.33,1843.83
486,146,14.6,1,1963.27,0.46,1962.81
488,148,14.8,1,1894.23,0.23,1893.99
490,150,15,1,1992.58,0.05,1992.53
492,152,15.2,1,2225.09,0.07,2225.01
494,154,15.4,1,2263.67,0.12,2263.55
496,156,15.6,1,2066.49,0.09,2066.4
498,158,15.8,1,1791.36,0.01,1791.35
500,160,16,1,1610.67,0.06,1610.61
502,162,16.2,1,1579.72,0.09,1579.63
504,164,16.4,1,1633.41,-0.01,1633.42
506,166,16.6,1,1644.46,0.01,1644.44
508,168,16.8,1,1500.14,0.01,1500.12
510,170,17,1,1059.77,-0.2,1059.96
512,172,17.2,1,1175.86,-0.02,1175.89
514,174,17.4,1,1362.77,0.1,1362.67
516,176,17.6,1,1654.37,0.04,1654.34
518,178,17.8,1,1994.14,0.12,1994.01
520,180,18,1,2370.42,0.17,2370.24
522,182,18.2,1,2163.93,0.23,2163.7
524,184,18.4,1,1349.98,0.38,1349.6
526,186,18.6,1,759.73,0.36,759.38
528,188,18.8,0,352.49,0.36,352.13
530,190,19,1,170.1,0.47,169.63
532,192,19.2,1,83.78,0.37,83.42
534,194,19.4,1,49.5,0.58,48.92
536,196,19.6,1,32.69,0.59,32.1
538,198,19.8,1,23.75,0.81,22.94
540,200,20,1,19.01,0.98,18.03
542,202,20.2,1,16.36,0.91,15.45
544,204,20.4,1,15.13,1.06,14.07
546,206,20.6,1,14.59,1.05,13.54
548,208,20.8,1,14.46,1.06,13.4
550,210,21,1,15.42,1.11,14.31
552,212,21.2,1,17.9,1.14,16.76
554,214,21.4,1,21.37,1.07,20.3
556,216,21.6,1,27.77,1.15,26.62
558,218,21.8,1,40.23,1.37,38.87
560,220,22,1,65.34,1.34,64
562,222,22.2,1,102.53,1.33,101.2
564,224,22.4,0,149.76,1.4,148.36
566,226,22.6,0,239.12,1.4,237.72
568,228,22.8,1,371.65,1.46,370.19
570,230,23,1,579.22,1.59,577.63
572,232,23.2,1,853.95,1.61,852.34
574,234,23.4,1,1217.11,1.69,1215.42
576,236,23.6,1,1545.29,1.55,1543.74
578,238,23.8,1,1864.37,1.55,1862.82
580,240,24,1,1906.06,1.39,1904.66
582,242,24.2,1,2048.65,1.38,2047.28
584,244,24.4,1,2044.27,1.42,2042.86
586,246,24.6,1,1986.89,1.42,1985.47
588,248,24.8,1,1941.19,1.42,1939.76
590,250,25,1,1892.33,1.45,1890.88
592,252,25.2,1,1766.36,1.4,1764.96
594,254,25.4,1,1697.41,1.4,1696.01
596,256,25.6,1,1285.07,1.15,1283.92
598,258,25.8,1,1515.66,1.15,1514.51
600,260,26,1,1586.88,1.33,1585.55
602,262,26.2,1,1642.22,1.37,1640.85
604,264,26.4,1,1597.63,1.38,1596.25
606,266,26.6,1,1574.33,1.39,1572.94
608,268,26.8,1,1690.51,1.54,1688.97
610,270,27,1,1793.33,1.47,1791.85
612,272,27.2,1,1922.4,1.42,1920.98
614,274,27.4,1,1886.78,1.62,1885.16
616,276,27.6,1,1825.1,1.4,1823.7
618,278,27.8,1,1883.76,1.34,1882.42
620,280,28,1,1916.74,1.42,1915.32
622,282,28.2,1,1943.08,1.47,1941.61
624,284,28.4,1,1919.15,1.54,1917.61
626,286,28.6,1,1983.05,1.42,1981.64
628,288,28.8,1,2030.84,1.49,2029.35
630,290,29,1,2086.5,1.42,2085.07
632,292,29.2,1,2104.01,1.46,2102.54
634,294,29.4,1,2001.43,1.46,1999.97
636,296,29.6,1,2103.7,1.46,2102.24
638,298,29.8,1,2153.23,1.42,2151.81
640,300,30,1,2070.16,1.34,2068.82
642,302,30.2,1,2033.13,1.45,2031.68
644,304,30.4,1,2118.46,1.44,2117.02
646,306,30.6,1,2125.67,1.57,2124.1
648,308,30.8,1,2066.02,1.55,2064.47
650,310,31,1,1876.21,1.56,1874.64
652,312,31.2,1,1691.33,1.54,1689.8
654,314,31.4,1,1474.15,1.42,1472.73
656,316,31.6,1,1202.54,1.6,1200.94
658,318,31.8,1,1079.08,1.57,1077.51
660,320,32,1,1074.58,1.72,1072.86
662,322,32.2,1,1064.64,1.86,1062.78
664,324,32.4,1,1312.24,1.87,1310.37
666,326,32.6,1,1506.29,2.06,1504.23
668,328,32.8,1,1811.17,1.88,1809.29
670,330,33,1,1989.48,1.69,1987.78
672,332,33.2,1,2030.94,1.76,2029.18
674,334,33.4,1,2006.93,1.69,2005.24
676,336,33.6,1,1947.69,1.69,1946
678,338,33.8,1,1701.8,1.5,1700.3
680,340,34,1,1230.12,1.62,1228.5
682,342,34.2,0,854.59,1.55,853.05
684,344,34.4,1,599.12,1.55,597.57
686,346,34.6,1,380.46,1.64,378.83
688,348,34.8,1,190.4,1.69,188.7
690,350,35,1,102.94,1.88,101.06
692,352,35.2,1,62.07,1.77,60.3
694,354,35.4,1,42.76,1.83,40.93
696,356,35.6,1,33.77,1.99,31.78
698,358,35.8,1,28.98,2.01,26.98
700,360,36,1,26.22,2.14,24.08
702,362,36.2,1,24.64,2.14,22.5
704,364,36.4,1,23.83,2.13,21.7
706,366,36.6,1,23.64,2.2,21.43
708,368,36.8,1,24.05,2.08,21.97
710,370,37,1,24.74,2.19,22.55
712,372,37.2,1,25.69,2.21,23.48
714,374,37.4,1,28.49,2.11,26.38
716,376,37.6,1,33.26,2.23,31.03
718,378,37.8,1,41.87,2.15,39.72
720,380,38,1,55.56,2.13,53.43
722,382,38.2,1,81.07,2.13,78.94
724,384,38.4,1,136.61,2.26,134.35
726,386,38.6,0,213.85,2.16,211.69
728,388,38.8,0,296.68,2.19,294.49
730,390,39,0,371.71,1.93,369.78
732,392,39.2,1,296.45,2.04,294.41
734,394,39.4,1,364.37,2.25,362.12
736,396,39.6,1,445.28,2.18,443.1
738,398,39.8,1,586.99,2.31,584.68
740,400,40,1,827.4,2.28,825.12
742,402,40.2,1,1265.66,2.33,1263.33
744,404,40.4,1,1585.65,2.3,1583.35
746,406,40.6,1,1598.02,2.23,1595.79
748,408,40.8,1,1614.01,2.2,1611.81
750,410,41,1,1470.66,2.26,1468.4
752,412,41.2,1,1229.06,2.03,1227.03
754,414,41.4,1,1347.4,2.01,1345.39
756,416,41.6,1,1508.48,2.06,1506.42
758,418,41.8,1,1894,1.99,1892.01
760,420,42,1,2041.1,1.97,2039.13
762,422,42.2,1,2038.73,1.98,2036.75
764,424,42.4,1,1965.73,1.96,1963.77
766,426,42.6,1,2008.61,1.99,2006.62
768,428,42.8,1,1876.65,1.94,1874.71
770,430,43,1,1557.76,1.81,1555.95
772,432,43.2,1,1034.67,1.79,1032.88
774,434,43.4,1,1012.2,1.74,1010.46
776,436,43.6,1,1115.26,1.86,1113.4
778,438,43.8,1,1568.35,1.91,1566.44
780,440,44,1,1928.74,1.74,1927.01
782,442,44.2,1,2040.63,1.78,2038.85
784,444,44.4,1,2129.46,1.87,2127.6
786,446,44.6,1,2094.77,1.88,2092.88
788,448,44.8,1,2003.87,1.87,2002.01
790,450,45,1,2049.81,1.81,2048
792,452,45.2,1,2123.48,1.72,2121.76
794,454,45.4,1,2107.7,1.74,2105.97
796,456,45.6,1,2099.1,1.64,2097.46
798,458,45.8,1,2012.48,1.57,2010.91
800,460,46,1,1700.05,1.66,1698.39
802,462,46.2,1,1247.18,1.65,1245.53
804,464,46.4,1,847.75,1.67,846.08
806,466,46.6,1,642.43,1.83,640.6
808,468,46.8,1,520.65,1.89,518.76
810,470,47,0,379.7,1.78,377.92
812,472,47.2,1,257.91,1.86,256.05
814,474,47.4,1,183.83,1.96,181.87
816,476,47.6,1,139.91,1.93,137.98
818,478,47.8,1,104.99,1.87,103.12
820,480,48,1,89.04,1.91,87.13
822,482,48.2,1,86.09,2.09,84.01
824,484,48.4,1,93.83,1.96,91.87
826,486,48.6,1,99.67,2.03,97.64
828,488,48.8,1,100.14,1.91,98.23
830,490,49,1,106.01,1.86,104.16
832,492,49.2,1,88.67,1.86,86.81
834,494,49.4,1,89.97,1.79,88.18
836,496,49.6,1,107.54,1.79,105.74
838,498,49.8,0,145.51,2.01,143.5
840,500,50,0,207.43,1.84,205.58
842,502,50.2,0,341.21,1.84,339.36
844,504,50.4,1,567.56,1.84,565.71
846,506,50.6,0,905.01,1.84,903.17
848,508,50.8,1,1259.87,1.81,1258.06
850,510,51,1,1404.55,1.72,1402.83
852,512,51.2,1,1248.7,1.74,1246.96
854,514,51.4,1,1163.98,1.79,1162.19
856,516,51.6,1,1076.8,1.82,1074.98
858,518,51.8,1,1080.27,1.69,1078.57
860,520,52,1,1082.23,1.79,1080.44
862,522,52.2,1,1003.05,1.69,1001.36
864,524,52.4,1,838.27,1.56,836.7
866,526,52.6,1,643.37,1.51,641.85
868,528,52.8,1,526.88,1.52,525.35
870,530,53,1,501.14,1.42,499.72
872,532,53.2,1,535.76,1.4,534.36
874,534,53.4,1,678.48,1.39,677.09
876,536,53.6,1,928.66,1.55,927.11
878,538,53.8,1,1180.56,1.46,1179.1
880,540,54,1,1427.79,1.35,1426.44
882,542,54.2,1,1600.61,1.45,1599.16
884,544,54.4,1,1627.48,1.32,1626.16
886,546,54.6,0,1179.73,1.33,1178.4
