depth	min	max	median	wmean
0.125	-61.9	-46.2	-54.1	-54
0.175	-61.5	-46	-53.8	-53.7
0.225	-61.1	-45.7	-53.4	-53.3
0.275	-60.6	-45.5	-53.1	-53
0.325	-60.2	-45.3	-52.8	-52.7
0.375	-59.8	-45.1	-52.5	-52.4
0.425	-59.4	-44.9	-52.1	-52
0.475	-59	-44.7	-51.8	-51.7
0.525	-58.6	-44.5	-51.5	-51.4
0.575	-58.1	-44.1	-51.1	-51.1
0.625	-57.7	-43.9	-50.8	-50.7
0.675	-57.3	-43.7	-50.5	-50.4
0.725	-56.9	-43.5	-50.2	-50.1
0.775	-56.4	-43.2	-49.8	-49.8
0.825	-56	-43	-49.5	-49.4
0.875	-55.6	-42.8	-49.2	-49.1
0.925	-55.2	-42.6	-48.8	-48.8
0.975	-54.8	-42.4	-48.5	-48.5
1.025	-54.4	-42.1	-48.2	-48.1
1.075	-54	-41.9	-47.9	-47.8
1.125	-53.6	-41.6	-47.6	-47.5
1.175	-53.1	-41.4	-47.2	-47.2
1.225	-52.7	-41.1	-46.9	-46.8
1.275	-52.3	-40.9	-46.6	-46.5
1.325	-51.9	-40.7	-46.2	-46.2
1.375	-51.5	-40.5	-45.9	-45.9
1.425	-51.1	-40.2	-45.6	-45.5
1.475	-50.7	-40	-45.3	-45.2
1.525	-50.2	-39.8	-44.9	-44.9
1.575	-49.8	-39.5	-44.6	-44.6
1.625	-49.4	-39.2	-44.3	-44.2
1.675	-49	-39	-44	-43.9
1.725	-48.6	-38.8	-43.6	-43.6
1.775	-48.2	-38.6	-43.3	-43.3
1.825	-47.8	-38.3	-43	-42.9
1.875	-47.4	-38.1	-42.6	-42.6
1.925	-46.9	-37.8	-42.3	-42.3
1.975	-46.5	-37.6	-42	-42
2.025	-46.1	-37.4	-41.7	-41.6
2.075	-45.7	-37.1	-41.3	-41.3
2.125	-45.3	-36.9	-41	-41
2.175	-44.9	-36.6	-40.7	-40.7
2.225	-44.5	-36.4	-40.4	-40.3
2.275	-44.1	-36.1	-40.1	-40
2.325	-43.7	-35.9	-39.7	-39.7
2.375	-43.3	-35.6	-39.4	-39.4
2.425	-42.9	-35.3	-39.1	-39
2.475	-42.5	-35.1	-38.7	-38.7
2.525	-42.1	-34.8	-38.4	-38.4
2.575	-41.7	-34.6	-38.1	-38.1
2.625	-41.3	-34.3	-37.8	-37.7
2.675	-40.9	-34.1	-37.5	-37.4
2.725	-40.5	-33.8	-37.1	-37.1
2.775	-40.1	-33.6	-36.8	-36.8
2.825	-39.7	-33.3	-36.5	-36.5
2.875	-39.3	-33	-36.2	-36.1
