Date,Time,Tape_Depth_cm,Pressure_Psia,Probe_depth_m,Probe_depth_interval_cm,Temp__oC,Specific_conductivity_mScm-3,Conductivity_mScm-1,Salinity_ppt,TDS_g/L,DO_%_,DO_Conc_mgL-1,pH,pHmV,Resistivity_Ohm.cm,Notes
27/11/2011,19:34:24,20,14.514,0.34,,0.24,0.088,0.046,0.04,0.057,92.7,13.46,6.40,-0.9,21602.8,(Re)frozen snow/ice
27/11/2011,19:35:34,20,14.472,0.31,-0.030,0.24,0.090,0.047,0.04,0.058,67.2,9.76,6.39,0.0,21134.9,(Re)frozen snow/ice
27/11/2011,19:36:44,20,14.478,0.31,0.005,0.20,0.089,0.047,0.04,0.058,62.3,9.06,6.30,4.1,21293.6,(Re)frozen snow/ice
27/11/2011,19:37:54,30,14.600,0.40,0.086,0.16,0.089,0.047,0.04,0.058,67.0,9.74,6.27,5.6,21340.3,(Re)frozen snow/ice
27/11/2011,19:39:04,40,14.726,0.49,0.088,0.14,0.089,0.047,0.04,0.058,61.4,8.94,6.23,7.4,21426.4,(Re)frozen snow/ice
27/11/2011,19:40:14,50,14.871,0.59,0.103,0.12,0.089,0.047,0.04,0.058,63.3,9.22,6.20,9.0,21438.9,(Re)frozen snow/ice
27/11/2011,19:41:24,60,14.990,0.67,0.083,0.13,0.089,0.047,0.04,0.058,62.3,9.08,6.19,9.5,21443.6,(Re)frozen snow/ice
27/11/2011,19:42:34,70,15.116,0.67,-0.001,0.12,0.089,0.047,0.04,0.058,64.8,9.44,6.17,10.6,21474.1,(Re)frozen snow/ice
27/11/2011,19:43:44,80,15.253,0.76,0.090,0.12,0.089,0.047,0.04,0.058,33.6,4.90,6.14,11.8,21462.6,Lake ice
27/11/2011,19:44:54,90,15.415,0.86,0.097,0.13,0.088,0.046,0.04,0.057,46.5,6.77,6.13,12.4,21568.6,Lake ice
27/11/2011,19:46:04,100,15.544,0.97,0.114,0.15,0.088,0.046,0.04,0.057,52.1,7.58,6.15,11.4,21554.6,Lake ice
27/11/2011,19:47:14,110,15.681,1.06,0.091,0.18,0.088,0.046,0.04,0.057,53.0,7.71,6.14,11.9,21537.8,Water/ice free readings
27/11/2011,19:48:24,120,15.798,1.24,0.179,0.64,0.087,0.046,0.04,0.056,46.6,6.68,6.11,13.4,21612.9,Water/ice free readings
27/11/2011,19:49:34,130,15.932,1.34,0.094,0.88,0.086,0.046,0.04,0.056,70.2,10.01,6.08,15.2,21514.5,Water/ice free readings
27/11/2011,19:50:44,140,16.083,1.44,0.107,1.00,0.086,0.047,0.04,0.056,53.2,7.61,6.10,13.9,21424.4,Water/ice free readings
27/11/2011,19:51:54,150,16.235,1.55,0.107,1.04,0.086,0.047,0.04,0.056,56.8,8.06,6.10,14.2,21331.8,Water/ice free readings
27/11/2011,19:53:04,160,16.372,1.65,0.096,1.13,0.086,0.047,0.04,0.056,53.3,7.55,6.09,14.8,21332.1,Water/ice free readings
27/11/2011,19:54:14,170,16.503,1.74,0.092,1.19,0.086,0.047,0.04,0.056,54.6,7.73,6.07,15.7,21204.5,Water/ice free readings
27/11/2011,19:55:24,180,16.647,1.84,0.102,1.27,0.089,0.048,0.04,0.058,48.1,6.78,6.04,17.1,20625.7,Water/ice free readings
27/11/2011,19:56:34,190,16.764,1.92,0.082,1.31,0.089,0.049,0.04,0.058,58.2,8.21,5.99,19.4,20591.0,Water/ice free readings
27/11/2011,19:57:44,200,16.939,2.05,0.124,1.35,0.098,0.054,0.05,0.064,49.6,6.98,5.97,20.3,18556.5,Water/ice free readings
27/11/2011,19:58:54,210,17.060,2.13,0.084,1.24,0.115,0.063,0.05,0.075,38.3,5.41,5.93,22.2,15880.0,Sediment/water interface
27/11/2011,20:00:04,212,17.095,2.16,0.025,1.23,0.121,0.066,0.06,0.079,36.5,5.15,5.93,22.5,15133.7,Sediment
Notes: ,,,,,,,,,,,,,,,,
DO%: Run for 10-15 minutes to stabilise inside sealed beaker with damp sponge,,,,,,,,,,,,,,,,
Calibrated using atmospheric pressure of 979.4 mbar (from Garmin barGPS); Air temp = 1oC; stable temp/press,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Notes: ,,,,,,,,,,,,,,,,
DO%: Run for 10-15 minutes to stabilise inside sealed beaker with damp sponge,,,,,,,,,,,,,,,,
Calibrated using atmospheric pressure of 1012.0 mbar (from Garmin barGPS); Air temp = -1oC; stable temp/press,,,,,,,,,,,,,,,,
