id,ages,ageSds,Latitude,Longitude,position,thickness,calCurves,LabID,Altitude,Type,Context,Location ,Blank
JRI-14-34,5740,130,-63.9383,-57.8157,0,0,normal,JRI-14-34,32,Moraine,expanded,Santa Martha area,BLK1-2015Dec10
JRI-14-35,7650,220,-63.9379,-57.8169,0,0,normal,JRI-14-35,32,Moraine,expanded,Santa Martha area,BLK1-2015Dec10
JRI-14-36,6790,330,-63.9371,-57.8142,0,0,normal,JRI-14-36,26,Moraine,expanded,Santa Martha area,BLK1-2015Dec10
JRI-14-44,6940,340,-63.9957,-57.8136,0,0,normal,JRI-14-44,12,Moraine,expanded,Dreadnought,BLK1-2015Dec10
JRI-14-45,6260,160,-63.9961,-57.8139,0,0,normal,JRI-14-45,15.4,Moraine,expanded,Dreadnought,BLK1-2015Dec10
JRI-14-01,3720,140,-64.1091,-58.4023,0,0,normal,JRI-14-01,68,Moraine,expanded,Rhum Glacier,BLK1-2016Jan11
JRI-14-02,1440,70,-64.1083,-58.4009,0,0,normal,JRI-14-02,74,Moraine,expanded,Rhum Glacier,BLK1-2016Jan11
JRSM-13-43,3930,230,-63.9385,-57.8191,0,0,normal,JRSM-13-43,30,Moraine,expanded,,BLK-2016May06
JRSM-13-38,8250,280,-63.9540,-57.8424,0,0,normal,JRSM-13-38,55,Moraine,expanded,Alpha Glacier,BLK-2016May06
JRI-14-46,7290,410,-63.9961,-57.8140,0,0,normal,JRI-14-46,15.4,Moraine,expanded,Dreadnought,BLK-2016May06
JRI-14-14,4450,120,-64.1150,-58.4457,0,0,normal,JRI-14-14,49,Moraine,expanded,Rhum Glacier,NA
JRI-14-33,4280,110,-63.9372,-57.8143,0,0,normal,JRI-14-33,28,Moraine,expanded,Santa Martha area,NA
JRSM-13-39,2090,110,-63.9541,-57.8425,0,0,normal,JRSM-13-39,52,Moraine,expanded,Alpha Glacier,BLK1-2016Jun24
JRSM-13-42,1680,140,-63.9380,-57.8231,0,0,normal,JRSM-13-42,38,Moraine,expanded,Santa Martha area,BLK1-2016Jun24
JRI-14-18,4660,170,-64.0868,-58.4018,0,0,normal,JRI-14-18,142,Moraine,expanded,Rhum Glacier,BLK1-2016Jun24
JRI-14-21,4220,130,-64.0868,-58.4018,0,0,normal,JRI-14-21,143,Moraine,expanded,Rhum Glacier,BLK1-2016Jun24
JRI-14-22,1750,130,-64.1083,-58.4010,0,0,normal,JRI-14-22,72,Moraine,expanded,Rhum Glacier,BLK1-2016Jun24
JRI-14-23,3610,110,-64.1084,-58.3996,0,0,normal,JRI-14-23,74,Moraine,expanded,Rhum Glacier,BLK1-2016Jun24
JRI-14-24,4780,170,-64.1113,-58.4052,0,0,normal,JRI-14-24,101,Moraine,expanded,Rhum Glacier,BLK1-2016Jun24
JRI-14-32,2810,140,-63.9540,-57.8423,0,0,normal,JRI-14-32,54,Moraine,expanded,Alpha Glacier,BLK1-2016Jun24
JRI-14-15,3870,150,-64.1151,-58.4468,0,0,normal,JRI-14-15,54,Moraine,expanded,Rhum Glacier,BLK1-2016Aug05
JRI-14-19,4680,180,-64.0868,-58.4018,0,0,normal,JRI-14-19,148,Moraine,expanded,Rhum Glacier,BLK1-2016Aug05
JRI-14-25,4540,130,-64.1112,-58.4057,0,0,normal,JRI-14-25,101,Moraine,expanded,Rhum Glacier,BLK1-2016Aug05
JRI-14-26,3500,110,-64.1113,-58.4057,0,0,normal,JRI-14-26,93,Moraine,expanded,Rhum Glacier,BLK1-2016Aug05
JRI-14-47,5100,170,-63.9961,-57.8140,0,0,normal,JRI-14-47,15.4,Moraine,expanded,Dreadnought,BLK1-2016Aug05
JRI-14-27,310,20,-64.0999,-58.4200,0,0,normal,JRI-14-27,53,Moraine,expanded,Rhum Glacier,BLK2-2016Aug05
JRI-14-28,230,10,-64.0999,-58.4191,0,0,normal,JRI-14-28,56,Moraine,expanded,Rhum Glacier,BLK2-2016Aug05
JRI-14-29,120,10,-64.1016,-58.4103,0,0,normal,JRI-14-29,47,Ice edge,expanded,Rhum Glacier,BLK2-2016Aug05
JRI-14-30,100,10,-64.1002,-58.4157,0,0,normal,JRI-14-30,42,Ice edge,expanded,Rhum Glacier,BLK2-2016Aug05
JRI-14-43,100,10,-63.95399,-57.85955,0,0,normal,JRI-14-43,66,Moraine,expanded,Alpha Glacier,BLK1-2017-Sept05
JRI-14-50,220,20,-63.95379,-57.85667,0,0,normal,JRI-14-50,77,Moraine,expanded,Alpha Glacier,BLK1-2017-Sept05
