Sample ID,Sample type,Latitude (ºS),Longitude (ºW),x (UTM21),y (UTM21),Elevation (m a.s.l.)1,Dimensions (l; w; h) (m)2,Thickness (cm),Topographic shielding correction3,Weight (g)4,Weight (g)5,4Heheat  (10-8)6,3He/4Hecrush (10-6),3He/4Heheat (10-6)6,3Hecosmo (106)7,TºC,4Heheat (10-8),3He/4Heheat (10-6) ,3Hecosmo (106) ,4Heheat (10-8)  Total,3He/4Heheat (10-6)   Total,3Hecosmo (106)  Total,Exposure age (ka)8,Internal uncertainty (ka),External uncertainty (ka),,
01-Potter,Cobble,62.243,58.6715,413154,3097633,96.6,0.15; 0.25; 0.06,5.6,0.887,0.827,0.526,45.8 ± 1.6,0.97 ± 0.12,0.129 ± 0.008,1.25 ± 0.32,900,39.9 ± 1.6,0.106 ± 0.008,0.84 ± 0.31,,,,9.4,2.4,2.6,,
,,,,,,,,,,,,,,,,1750,5.93 ± 0.24,0.288 ± 0.034,0.41 ± 0.07,45.8 ± 1.6,0.129 ± 0.008,1.25 ± 0.32,,,,,
02-Potter,Boulder,62.2435,58.6767,412887,3097567,60.8, 0.90; 0.50; 0.30 ,1.7,0.97,0.509,0.282,76.4 ± 1.8,0.47 ± 0.03,0.318 ± 0.015,5.96 ± 0.48,600,30.9 ± 1.2,0.195 ± 0.016,1.39 ± 0.27,,,,41.2,3.3,5.6,,
,,,,,,,,,,,,,,,,900,29.9  ± 1.2,0.385 ± 0.028,2.87 ± 0.34,,,,,,,,
,,,,,,,,,,,,,,,,1750, 15.62 ± 0.63,0.433 ± 0.038,1.70 ± 0.21,76.4 ± 1.8,0.318 ± 0.015,5.96 ± 0.48,,,,,
04-Potter,Boulder,62.2435,58.6766,412887,3097567,60.9,1.00; 0.45; 0.35,2.2,0.97,0.511,0.426,78.3 ± 2.7,0.44 ± 0.06,0.261 ± 0.015,4.91 ± 0.62,900, 67.6 ± 2.7,0.244 ± 0.016,3.93 ± 0.60,,,,34.1,4.3,5.7,,
,,,,,,,,,,,,,,,,1750, 10.71 ± 0.43,0.367 ± 0.036,0.98 ± 0.14,78.3 ± 2.7,0.261 ± 0.015,4.91 ± 0.62,,,,,
05-Potter,Boulder,62.242,58.6758,412927,3097729,35,0.70; 0.70; 0.30,1.3,0.974,0.985,0.656,38.6 ±1.3,1.62 ± 0.26,0.283 ± 0.016,2.64 ± 0.29,900, 29.9 ± 1.2,0.215 ± 0.016,1.50 ± 0.26,,,,18.6,2,2.9,,
,,,,,,,,,,,,,,,,1750, 8.72 ± 0.35,0.515 ± 0.041 ,1.14 ± 0.12,38.6 ±1.3,0.283 ± 0.016,2.64 ± 0.29,,,,,
