Continent,Country,Region,Location,Site_name,Feature,Latitude_(oS),Longitude_(oW),Elevation_(m_amsl),Dating_method,Material_dated,Strat._Depth_(cm),Interpretation,Reference_and_map_ID,Map_ID,Sample_ID,Measured_age_(14C_yr_BP_±_1σ),1s,,Oxcal_v4.4_SHCal20,from,to,%,from,to,%,μ,σ,m,Oxcal_v4.4_SHCal13,from,to,%,from,to,%,μ,σ,m
Antarctica,South Shetland Islands,King George Island , Fildes Peninsula,FP_Yanou Lake,Isolation basin,-62.2207,-58.9599,14.5,14C,Campylium polygamum freshwater moss ,190.5,Age model construction,Watcham et al 2011 ,24,SUERC-22310,4847,37,shcal20, R_Date SUERC-22310,5592,5479,68.3,5646,5334,95.4,5527,53,5525, R_Date SUERC-22310,5595,5477,68.3,5641,5333,95.4,5524,56,5521
Antarctica,South Shetland Islands,King George Island , Fildes Peninsula,FP_Yanou Lake,Isolation basin,-62.2207,-58.9599,14.5,14C,Campylium polygamum freshwater moss ,201,Minimum age of second lake isolation,Watcham et al 2011 ,24,SUERC-22311,5051,38,shcal20, R_Date SUERC-22311,5886,5661,68.3,5898,5606,95.4,5764,80,5753, R_Date SUERC-22311,5873,5660,68.3,5895,5649,95.4,5761,75,5744
Antarctica,South Shetland Islands,King George Island , Ardley Island,FP_Ardley Lake,Freshwater lake,-62.2129,-58.94,18,14C,Drepanocladus longifolius aquatic moss ,0-1,Age model construction,Roberts et al 2017 ,15,Beta-338226,-7,1,normal,,,,,,,,,,,,,,,-6.3,-7.8,95.4,-7.1,1.1,-7
Antarctica,South Shetland Islands,King George Island , Ardley Island,FP_Ardley Lake,Freshwater lake,-62.2129,-58.94,18,14C,Drepanocladus longifolius aquatic moss ,9,Age model construction,Roberts et al 2017 ,15,Beta-338226,860,30,shcal20, R_Date Beta-338226,762,681,68.3,788,674,95.4,723,30,723, R_Date Beta-338226,743,685,68.3,774,676,95.4,724,28,724
Antarctica,South Shetland Islands,King George Island , Ardley Island,FP_Ardley Lake,Freshwater lake,-62.2129,-58.94,18,14C,Drepanocladus longifolius aquatic moss ,13,Age model construction,Roberts et al 2017 ,15,Beta-338227,1440,40,shcal20, R_Date Beta-338227,1349,1278,68.3,1370,1181,95.4,1301,42,1304, R_Date Beta-338227,1345,1277,68.3,1370,1190,95.4,1306,34,1305
Antarctica,South Shetland Islands,King George Island , Ardley Island,FP_Ardley Lake,Freshwater lake,-62.2129,-58.94,18,14C,Aquatic moss ,187,Age model construction,Watcham et al 2011 ,24,SUERC-22307,4091,36,shcal20, R_Date SUERC-22307,4778,4438,68.3,4800,4418,95.4,4556,100,4539, R_Date SUERC-22307,4777,4439,68.3,4800,4420,95.4,4545,95,4527
Antarctica,South Shetland Islands,King George Island , Ardley Island,FP_Ardley Lake,Freshwater lake,-62.2129,-58.94,18,14C,Yellow-green lacustrine algae ,253.5,Age model construction,Watcham et al 2011 ,24,SUERC-22308,4484,38,shcal20, R_Date SUERC-22308,5276,4969,68.3,5288,4878,95.4,5098,116,5097, R_Date SUERC-22308,5275,4965,68.3,5285,4875,95.4,5084,117,5058
Antarctica,South Shetland Islands,King George Island , Ardley Island,FP_Ardley Lake,Freshwater lake,-62.2129,-58.94,18,14C,Yellow-green lacustrine algae ,281,Onset of brackish conditions,Watcham et al 2011 ,24,SUERC-22309,4469,38,shcal20, R_Date SUERC-22309,5268,4885,68.3,5283,4870,95.4,5070,120,5042, R_Date SUERC-22309,5257,4879,68.3,5280,4868,95.4,5051,118,5022
Antarctica,South Shetland Islands,King George Island , Barton Peninsula,BP_BP_Lake 12,Freshwater lake,-62.224,-58.7637,102,14C,Moss ,34,Constraint on ice advance of >200 m,Oliva et al 2016b ,14,Beta-335037,2450,30,shcal20, R_Date Beta-335037,2662,2355,68.3,2699,2346,95.4,2481,104,2450, R_Date Beta-335037,2485,2355,68.3,2698,2346,95.4,2471,100,2440
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Lake 48,Freshwater lake,-62.599,-61.1372,120,14C,Freshwater moss ,129-136,Minimum age for deglaciation,Björck et al 1996 ,3,Ua-3923,4570,60,shcal20,R_Date Ua-3923,5313,5052,68.3,5445,4967,95.4,5177,115,5169, R_Date Ua-3923,5306,5054,68.3,5445,4968,95.4,5171,111,5165
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Lake 9,Freshwater lake,-62.6549,-61.0034,100,14C,Bulk freshwater sediment ,70-76,Minimum age for deglaciation,Björck et al 1996 ,3,Lu-3466,2830,250,shcal20, R_Date Lu-3466,3337,2547,68.3,3569,2332,95.4,2937,314,2940, R_Date Lu-3466,3335,2549,68.3,3558,2343,95.4,2938,311,2939
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Lake 29,Freshwater lake,-62.6396,-61.0624,100,14C,Freshwater moss ,64-72,Minimum age for deglaciation,Björck et al 1996 ,3,Lu-3463,3210,220,shcal20, R_Date Lu-3463,3686,3077,68.3,3968,2847,95.4,3391,281,3386, R_Date Lu-3463,3640,3076,68.3,3958,2844,95.4,3383,278,3380
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Cerro Negro Lake,Freshwater lake,-62.6543,-60.9924,100,14C,Aquatic moss ,4.5,Age model construction,Oliva et al 2016a ,13,ULA-4246,1855,15,shcal20, R_Date ULA-4246,1747,1705,68.3,1815,1701,95.4,1744,35,1734, R_Date ULA-4246,1784,1710,68.3,1815,1705,95.4,1750,33,1739
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Cerro Negro Lake,Freshwater lake,-62.6543,-60.9924,100,14C,Aquatic moss ,16.9,Age model construction,Oliva et al 2016a ,13,ULA-4701,1955,20,shcal20, R_Date ULA-4701,1882,1833,68.3,1923,1753,95.4,1856,34,1857, R_Date ULA-4701,1883,1835,68.3,1920,1756,95.4,1860,29,1861
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Cerro Negro Lake,Freshwater lake,-62.6543,-60.9924,100,14C,Aquatic moss ,31.1,Age model construction,Oliva et al 2016a ,13,ULA-4250,2690,15,shcal20, R_Date ULA-4250,2777,2745,68.3,2848,2736,95.4,2771,28,2762, R_Date ULA-4250,2771,2748,68.3,2840,2740,95.4,2765,18,2761
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Cerro Negro Lake,Freshwater lake,-62.6543,-60.9924,100,14C,Aquatic moss ,41.6,Onset of organic sedimentation,Oliva et al 2016a ,13,ULA-4245,3010,20,shcal20, R_Date ULA-4245,3207,3075,68.3,3316,3004,95.4,3140,60,3141, R_Date ULA-4245,3175,3075,68.3,3226,3006,95.4,3129,52,3130
