Continent,Country,Region,Location,Site_name,Feature,Latitude_(oS),Longitude_(oW),Altitude_(m_amsl)_(min.)_or_Depth_in_section_(m),Dating_method,Material_dated_and_stratigraphic_position,Interpretation,Retreat_/_Advance,Reference,Map_ID,Sample_ID,Measured_age_(14C_yr_BP_or_normal_dist_not_for_calibration_for_non_C14_age),±1s,calCurves,DR,DR_err,δ13C_(‰),Oxcal_v4.4_SHCal20_(a_cal_BP)_(Marine_data_DR_=_666±76)_Whole_range_dataset_,from,to,%,from,to,%,μ,σ,m,Oxcal_v4.4_SHCal13_(a_cal_BP)_(Marine_data_DR_=_791±121),from,to,%,from,to,%,μ,σ,m,Notes
Antarctica,South Shetland Islands,Elephant Island,Elephant Island,EI_Walker Point,Moss peat bank,-61.148,-54.7008,200,14C,Moss peat bank (147.5-149.5 cm),Minimum age for deglaciation,Retreat,Bjorck et al 1991b ,54,Lu-2952,5350,60,shcal20,,,, R_Date Lu-2952,6190,5999,68.3,6276,5936,95.4,6099,87,6096, R_Date Lu-2952,6177,6006,68.3,6181,5998,95.4,6087,55,6082,
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,ByP_Lake 48,Freshwater lake,-62.599,-61.1372,120,14C,Freshwater moss (129-136 cm),Minimum age for deglaciation,Retreat,Björck et al 1996 ,3,Ua-3923,4570,60,shcal20,,,,R_Date Ua-3923,5313,5052,68.3,5445,4967,95.4,5177,115,5169,R_Date Ua-3923,5301,5070,68.3,5307,5053,95.4,5168,77,5150,
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,ByP_Lake 9,Freshwater lake,-62.6549,-61.0034,100,14C,Bulk freshwater sediment (70-76 cm),Minimum age for deglaciation,Retreat,Björck et al 1996 ,3,Lu-3466,2830,250,shcal20,,,, R_Date Lu-3466,3337,2547,68.3,3569,2332,95.4,2937,314,2940, R_Date Lu-3466,2925,2853,68.3,2954,2800,95.4,2888,35,2886,
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,ByP_Lake 29,Freshwater lake,-62.6396,-61.0624,100,14C,Freshwater moss (64-72 cm),Minimum age for deglaciation,Retreat,Björck et al 1996 ,3,Lu-3463,3210,220,shcal20,,,, R_Date Lu-3463,3686,3077,68.3,3968,2847,95.4,3391,281,3386, R_Date Lu-3463,3442,3366,68.3,3447,3360,95.4,3397,27,3392,
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,ByP_Chester Lake,Freshwater lake,-62.6358,-61.0984,95,14C,Aquatic moss (146.4 cm),Minimum age for deglaciation,Retreat,Oliva et al 2016a ,13,ULA-4253,4575,20,shcal20,,,, R_Date ULA-4253,5311,5059,68.3,5316,5051,95.4,5180,86,5159, R_Date ULA-4253,5303,5073,68.3,5310,5053,95.4,5171,79,5151,
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,ByP_Chester Cone Lake (Lake 2),Freshwater lake,-62.6358,-61.0984,95,14C,Freshwater moss (44-50 cm),Minimum age for deglaciation,Retreat,Björck et al 1996 ,3,Lu-3144,2830,130,shcal20,,,, R_Date Lu-3144,3063,2764,68.3,3339,2544,95.4,2946,163,2935, R_Date Lu-3144,2925,2853,68.3,2954,2800,95.4,2888,35,2886,
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,ByP_Escondido Lake,Freshwater lake,-62.6431,-61.0594,92,14C,Aquatic moss (143.1 cm),Minimum age for deglaciation,Retreat,Oliva et al 2016a ,13,ULA-4243,4600,20,shcal20,,,, R_Date ULA-4243,5319,5073,68.3,5439,5052,95.4,5220,102,5241, R_Date ULA-4243,5313,5087,68.3,5319,5065,95.4,5207,91,5173,
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,ByP_Lake 49,Freshwater lake,-62.6452,-61.0794,80,14C,Freshwater moss (93-100 cm),Minimum age for deglaciation,Retreat,Björck et al 1996 ,3,Lu-3473,3730,400,shcal20,,,, R_Date Lu-3473,4575,3489,68.3,5282,3079,95.4,4116,529,4094, R_Date Lu-3473,4081,3981,68.3,4090,3929,95.4,4029,42,4034,
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss (205.2-205.4 cm),Minimum age for deglaciation,Retreat,Toro et al 2013 ,23,Poz-39090,6700,50,shcal20,,,, R_Date Poz-39090,7581,7482,68.3,7617,7428,95.4,7531,51,7531, R_Date Poz-39090,7572,7511,68.3,7578,7491,95.4,7536,24,7534,
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,ByP_Midge Lake,Freshwater lake,-62.6361,-61.0875,70,14C,Freshwater moss (151 cm),Minimum age for deglaciation,Retreat,Björck et al 1991a ,1,Ua-1220,3735,250,shcal20,,,, R_Date Ua-1220,4412,3719,68.3,4815,3453,95.4,4083,340,4071, R_Date Ua-1220,4082,3984,68.3,4139,3932,95.4,4032,41,4035,
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,ByP_Lake 30,Freshwater lake,-62.637,-61.0922,65,14C,Freshwater moss (117-124 cm),Minimum age for deglaciation,Retreat,Björck et al 1996 ,3,Ua-3925,4480,60,shcal20,,,, R_Date Ua-3925,5280,4889,68.3,5289,4873,95.4,5088,124,5083, R_Date Ua-3925,5212,4972,68.3,5276,4888,95.4,5059,99,5022,
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,ByP_Lake 22,Freshwater lake,-62.656,-61.097,50,14C,Freshwater moss (81-86 cm),Minimum age for deglaciation,Retreat,Björck et al 1996 ,3,Lu-3464,3430,180,shcal20,,,, R_Date Lu-3464,3875,3410,68.3,4150,3215,95.4,3671,231,3660, R_Date Lu-3464,3683,3592,68.3,3692,3575,95.4,3632,33,3629,
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,ByP_Lake Åsa,Freshwater lake,-62.6267,-61.1032,35,14C,Aquatic moss (205-210 cm),Minimum age for deglaciation,Retreat,Björck et al 1993 ,2,Lu-3088,4600,100,shcal20,,,, R_Date Lu-3088,5445,5047,68.3,5567,4880,95.4,5219,162,5215, R_Date Lu-3088,5313,5087,68.3,5319,5065,95.4,5207,91,5173,
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,ByP_Domo Lake,Freshwater lake,-62.6465,-60.974,45,TL,Polymineral sand grains from freshwater sediment (56.8 cm),Minimum age for deglaciation,Retreat,Oliva et al 2016a ,13,DO-1,2203,720,normal,,,,TL_1,,,,,,,2203,720,,,,,,,,,2203,720,,
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,ByP_Chester Lake,Freshwater lake,-62.6358,-61.0984,95,TL,Polymineral sand grains from freshwater sediment (112 cm),Minimum age for deglaciation,Retreat,Oliva et al 2016a ,13,CN-1,7473,2480,normal,,,,TL_2,,,,,,,7473,2480,,,,,,,,,7473,2480,,
Antarctica,South Shetland Islands,Livingston Island ,Byers Peninsula,ByP_Chester Lake,Freshwater lake,-62.6358,-61.0984,95,TL,Polymineral sand grains from freshwater sediment (147.7 cm),Minimum age for deglaciation,Retreat,Oliva et al 2016a ,13,CH-1,5843,1710,normal,,,,TL_3,,,,,,,5843,1710,,,,,,,,,5843,1710,,
Antarctica,South Shetland Islands,King George Island ,Admiralty Bay,"AB_Rescuers Hills, Admiralty Bay",Peat bank,-62.175,-58.4583,45,14C,Peat at base of peat bank (58-60 cm),Minimum age for deglaciation,Retreat,Tatur et al 1999b ,21,Gd-4635,3200,130,shcal20,,,, R_Date Gd-4635,3562,3209,68.3,3692,3004,95.4,3365,169,3369, R_Date Gd-4635,3438,3360,68.3,3447,3347,95.4,3386,30,3383,
Antarctica,South Shetland Islands,King George Island ,Arctowski,"Ar_Penguin Ridge, Arctowski",Peat bank,-62.1679,-58.4737,45.5,14C,Peat bank (50 cm),Minimum age for deglaciation,Retreat,Birkenmajer et al 1985 ,53,U-4325,4950,140,shcal20,,,, R_Date U-4325,5891,5479,68.3,5985,5320,95.4,5662,167,5662, R_Date U-4325,5645,5605,68.3,5660,5593,95.4,5629,20,5628,
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,BP_Bedrock_1,Bedrock,-62.224,-58.748,265,Cosmo,Glacially striated bedrock,Maximum age for deglaciation,Retreat,Seong et al 2009 ,52,BP-3,15443,2500,normal,,,,COS_1,,,,,,,15443,2500,,,,,,,,,15443,2500,,
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,BP_Bedrock_2,Bedrock,-62.225,-58.771,165,Cosmo,Glacially striated bedrock,Ice retreat and downwasting,Retreat,Seong et al 2009 ,52,BP-2,11843,2300,normal,,,,COS_2,,,,,,,11843,2300,,,,,,,,,11843,2300,,
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,BP_Bedrock_3,Bedrock,-62.227,-58.768,164,Cosmo,Glacially striated bedrock,Ice retreat and downwasting,Retreat,Seong et al 2009 ,52,BP-6,7543,1600,normal,,,,COS_3,,,,,,,7543,1600,,,,,,,,,7543,1600,,
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,BP_Bedrock_4,Bedrock,-62.225,-58.771,124,Cosmo,Glacially striated bedrock,Ice retreat and downwasting,Retreat,Seong et al 2009 ,52,BP-5,3743,900,normal,,,,COS_4,,,,,,,3743,900,,,,,,,,,3743,900,,
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,BP_Bedrock_5,Bedrock,-62.227,-58.771,123,Cosmo,Glacially striated bedrock,Ice retreat and downwasting,Retreat,Seong et al 2009 ,52,BP-1,3343,700,normal,,,,COS_5,,,,,,,3343,700,,,,,,,,,3343,700,,
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,BP_Bedrock_6,Bedrock,-62.223,-58.764,120,Cosmo,Glacially striated bedrock,Ice retreat and downwasting,Retreat,Seong et al 2009 ,52,BP-7,1943,1000,normal,,,,COS_6,,,,,,,1943,1000,,,,,,,,,1943,1000,,
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,BP_Bedrock_7,Bedrock,-62.225,-58.779,107,Cosmo,Glacially striated bedrock,Ice retreat and downwasting,Retreat,Seong et al 2009 ,52,BP-4,4943,1200,normal,,,,COS_7,,,,,,,4943,1200,,,,,,,,,4943,1200,,
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,BP_Bedrock_8,Bedrock,-62.216,-58.756,62,Cosmo,Glacially striated bedrock,Ice retreat and downwasting,Retreat,Seong et al 2009 ,52,BP-8,1843,1000,normal,,,,COS_8,,,,,,,1843,1000,,,,,,,,,1843,1000,,
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,BP_Bedrock_9,Bedrock,-62.214,-58.744,41,Cosmo,Glacially striated bedrock,Ice retreat and downwasting,Retreat,Seong et al 2009 ,52,BP-9,943,700,normal,,,,COS_9,,,,,,,943,700,,,,,,,,,943,700,,
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,BP_Periglacial sorted circles,Periglacial sorted circles,-62.2271,-58.7545,175,14C,Buried plant debris (lichen/moss) in sorted circles (600 m from present ice margin),Minimum age for deglaciation,Retreat,Jeong et al 2006 ,56,SNU 03-429,4710,70,shcal20,,,, R_Date SNU 03-429,5477,5315,68.3,5589,5081,95.4,5406,103,5408, R_Date SNU 03-429,5459,5322,68.3,5466,5319,95.4,5399,45,5399,
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,BP_Periglacial sorted circles,Periglacial sorted circles,-62.227,-58.7459,175,14C,Buried plant debris (lichen/moss) in sorted circles (100 m from present ice margin),Minimum ice retreat and downwasting,Retreat,Jeong et al 2006 ,56,SNU 03-279,2770,40,shcal20,,,, R_Date SNU 03-279,2865,2771,68.3,2936,2755,95.4,2834,50,2827, R_Date SNU 03-279,2845,2788,68.3,2864,2769,95.4,2817,26,2817,
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,BP_Lake 6,Freshwater lake,-62.2396,-58.7443,39,14C,Bulk freshwater sediment (94 cm),Minimum age for deglaciation,Retreat,Oliva et al 2016b ,14,Beta-335036,7150,30,shcal20,,,, R_Date Beta-335036,7975,7871,68.3,8015,7850,95.4,7934,43,7943, R_Date Beta-335036,7965,7932,68.3,7976,7868,95.4,7936,29,7945,
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,BP_Lake 5,Freshwater lake,-62.2386,-58.7579,35,14C,Bulk freshwater sediment (42 cm),Minimum age constraint on ice retreat,Retreat,Oliva et al 2016b ,14,Beta-335038,2830,30,shcal20,,,, R_Date Beta-335038,2954,2852,68.3,2996,2781,95.4,2894,54,2896, R_Date Beta-335038,2925,2853,68.3,2954,2800,95.4,2888,35,2886,
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,BP_Lake 11,Freshwater lake,-62.2319,-58.7286,67,14C,Bulk freshwater sediment (18 cm),Minimum age constraint on ice retreat,Retreat,Oliva et al 2016b ,14,CNA2438-2-1,3495,35,shcal20,,,, R_Date CNA2438-2-1,3825,3644,68.3,3841,3594,95.4,3734,64,3731, R_Date CNA2438-2-1,3818,3645,68.3,3826,3640,95.4,3723,55,3710,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,FP_Petrel Cave_palaeonotch,Wave-cut palaeonotch,-62.2184,-58.9673,47,14C,Bulk organic sediments,Minimum age for deglaciation,Retreat,Sun et al 2005 ,58,NIG-99050,4620,65,shcal20,,,, R_Date NIG-99050,5450,5054,68.3,5473,4984,95.4,5256,137,5276, R_Date NIG-99050,5319,5145,68.3,5441,5076,95.4,5274,89,5304,
