Continent,Country,Region,Location,Site_name,Feature,Latitude_(oS),Longitude_(oW),Altitude_(m_amsl)_(min.)_or_Depth_in_section_(m),Dating_method,Material_dated_and_stratigraphic_position,Interpretation,Retreat_/_Advance,Reference,Map_ID,Sample_ID,Measured_age_(14C_yr_BP_or_normal_dist_not_for_calibration_for_non_C14_age),±1s,calCurves,DR,DR_err,δ13C_(‰),Oxcal_v4.4_SHCal20_(a_cal_BP)_(Marine_data_DR_=_666±76)_Whole_range_dataset_,from,to,%,from,to,%,μ,σ,m,Oxcal_v4.4_SHCal13_(a_cal_BP)_(Marine_data_DR_=_791±121),from,to,%,from,to,%,μ,σ,m,Notes
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,FP_Periglacial sorted circles,Periglacial sorted circles,-62.1827,-58.9063,NA,14C,Buried plant debris (lichen/moss) in sorted circles (~500m from present ice margin),Minimum age for Ice retreat,Retreat,Jeong et al 2006 ,56,Beta-195311,1880,40,shcal20,,,, R_Date Beta-195311,1825,1723,68.3,1879,1625,95.4,1771,54,1774, R_Date Beta-195311,1810,1744,68.3,1821,1732,95.4,1780,25,1784,Elevation not stated - entered as NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,FP_Periglacial sorted circles,Periglacial sorted circles,-62.2112,-58.9856,NA,14C,Buried plant debris (lichen/moss) in sorted circles (~5km from present ice margin),Minimum age for Ice retreat,Retreat,Jeong et al 2006 ,56,Beta-195313,2640,40,shcal20,,,, R_Date Beta-195313,2774,2622,68.3,2846,2498,95.4,2707,80,2736, R_Date Beta-195313,2754,2737,68.3,2759,2722,95.4,2742,13,2744,Elevation not stated - entered as NA
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,FP_Hochlandsee,Freshwater lake,-62.1822,-58.9397,101,14C,Freshwater moss (175-176 cm),Minimum age for deglaciation,Retreat,Mäusbacher 1991 ,11,HD11417-11148,5410,185,shcal20,,,, R_Date HD11417-11148,6386,5931,68.3,6600,5725,95.4,6147,205,6147, R_Date HD11417-11148,6267,6123,68.3,6276,6019,95.4,6173,67,6189,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,FP_Jurasee,Freshwater lake,-62.2244,-59,47,14C,Bulk freshwater sediment (352-354 cm),Minimum age for deglaciation,Retreat,Mäusbacher et al 1989 ,12,HD11166-11024,8700,300,shcal20,,,, R_Date HD11166-11024,10177,9438,68.3,10510,9000,95.4,9751,385,9745, R_Date HD11166-11024,9610,9547,68.3,9668,9544,95.4,9596,36,9589,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,FP_Mondsee,Freshwater lake,-62.1703,-58.9417,45,14C,Bulk freshwater sediment (317-319 cm),Minimum age for deglaciation,Retreat,Schmidt et al 1990 ,16,HD11415-11133,7200,250,shcal20,,,, R_Date HD11415-11133,8281,7726,68.3,8514,7515,95.4,8006,239,7997, R_Date HD11415-11133,7997,7959,68.3,8013,7944,95.4,7978,18,7977,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,FP_Hotel Lake,Freshwater lake,-62.1946,-58.9783,40,14C,"Bulk freshwater sediment, gyttja rich in moss (280-290 cm)",Minimum age for deglaciation,Retreat,Tatur et al 1999b ,21,Gd-4413,6120,120,shcal20,,,, R_Date Gd-4413,7157,6795,68.3,7255,6669,95.4,6959,154,6955, R_Date Gd-4413,6965,6897,68.3,7003,6863,95.4,6937,38,6936,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,FP_Gaoshan Lake,Freshwater lake,-62.2208,-58.9647,34.5,14C,Bulk freshwater sediment (314 cm),Minimum age for deglaciation,Retreat,Watcham et al 2011 ,24,SUERC-18923,6366,39,shcal20,,,, R_Date SUERC-18923,7310,7169,68.3,7418,7161,95.4,7248,62,7252, R_Date SUERC-18923,7275,7179,68.3,7309,7173,95.4,7245,36,7256,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,FP_Profound Lake (Tiefersee),Freshwater lake,-62.1844,-58.9069,17.5,14C,Bulk freshwater sediment (164-167 cm),Minimum age for deglaciation,Retreat,Mäusbacher et al 1989 ,,HD11420-11161,5380,165,shcal20,,,, R_Date HD11420-11161,6290,5937,68.3,6485,5737,95.4,6116,181,6119, R_Date HD11420-11161,6189,6021,68.3,6207,6002,95.4,6107,60,6116,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,FP_Kiteschee ,Freshwater lake,-62.1895,-58.9667,15.5,14C,"Marine algae (190-195 cm, below marine-fresh transition)",Maximum age of lake isolation,Retreat,Mäusbacher et al 1989 ,12,HD11162-10997,6950,195,marine20666,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,FP_Long Lake,Isolation basin,-62.2049,-58.9671,12,14C,Bulk freshwater sediment (312 cm),Minimum age for deglaciation,Retreat,Yoon et al 2006 ,26,NZA13465,5723,70,shcal20,,,, R_Date NZA13465,6604,6395,68.3,6647,6311,95.4,6482,89,6477, R_Date NZA13465,6490,6415,68.3,6500,6406,95.4,6456,27,6457,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,FP_Ardley Lake,Freshwater lake,-62.2129,-58.94,18,14C,Bulk minerogenic marine sediment (355 cm),Minimum age for deglaciation,Retreat,Watcham et al 2011 ,24,SUERC-22317,7552,39,shcal20,,,, R_Date SUERC-22317,8385,8216,68.3,8403,8195,95.4,8312,60,8333, R_Date SUERC-22317,8375,8335,68.3,8388,8218,95.4,8344,34,8352,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,FP_Yanou Lake,Isolation basin,-62.2207,-58.9599,11,14C,Bulk minerogenic freshwater sediment (347 cm),Minimum age for deglaciation,Retreat,Watcham et al. 2011,,Beta-271293,10630,70,marine20666,,,,R_Date Beta-271293,11024,10673,68.3,11150,10510,95.4,10831,168,10833,,,,,,,,,,,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,FP_Ardley Island,Raised beach,-62.2116,-58.9229,11,OSL,Cobble of coarse-grained intrusive rock,Minimum age for beach and deglaciation,Retreat,Simms et al 2012 ,40,Al-03,2236,216,normal,,,,OSL_1,,,,,,,2236,216,,,,,,,,,2236,216,,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,FP_Ardley Island,Raised beach,-62.2116,-58.9229,11,OSL,Cobble of coarse-grained intrusive rock,Minimum age for beach and deglaciation,Retreat,Simms et al 2012 ,40,Al-02,1733,129,normal,,,,OSL_2,,,,,,,1733,129,,,,,,,,,1733,129,,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,FP_Ardley Island,Raised beach,-62.2116,-58.9229,11,OSL,Cobble of coarse-grained intrusive rock,Minimum age for beach and deglaciation,Retreat,Simms et al 2012 ,40,Al-01,1656,299,normal,,,,OSL_3,,,,,,,1656,299,,,,,,,,,1656,299,,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,FP_Fildes 1,BIC glacier foreland,-62.1673,-58.9628,43,Cosmo,Granitic erratic boulder,Minimum age for retreat,Retreat,Heredia Barion et al. submitted a,GE,Fildes1_cosmo,6630,520,normal,,,,Fildes1_cosmo,,,,,,,6630,520,,,,,,,,,6630,520,,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,FP_Fildes 2,BIC glacier foreland,-62.1455,-58.9267,40,Cosmo,Granitic erratic boulder,Minimum age for retreat,Retreat,Heredia Barion et al. submitted a,GE,Fildes2_cosmo,6510,520,normal,,,,Fildes2_cosmo,,,,,,,6510,520,,,,,,,,,6510,520,,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,FP_Fildes 3,BIC glacier foreland,-62.1455,-58.927,39,Cosmo,Granitic erratic boulder,Minimum age for retreat,Retreat,Heredia Barion et al. submitted a,GE,Fildes3_cosmo,6610,550,normal,,,,Fildes3_cosmo,,,,,,,6610,550,,,,,,,,,6610,550,,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"PC_Pingfo I, Stranger Point",Raised beach,-62.2574,-58.619,17.3,14C,Penguin bone (Pygoscelis sp.) in raised beach (Bed 5),Minimum age for beach and deglaciation,Retreat,del Valle et al 2003,31,del-Vallee_2002-1,5750,40,marine20666,666,76,,R_Date del-Vallee_2002-1,5351,5070,68.3,5475,4941,95.4,5217,136,5223,,,,,,,,,,,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,"PC_Pingfo I, Stranger Point",Raised beach,-62.2574,-58.619,17.3,14C,Penguin bone (Pygoscelis sp.) in raised beach (Bed 3),Minimum age for beach and deglaciation,Retreat,del Valle et al 2003,31,del-Vallee_2002-2,5840,40,marine20666,666,76,,R_Date del-Vallee_2002-2,5471,5226,68.3,5570,5065,95.4,5331,127,5340,,,,,,,,,,,
Antarctica,South Shetland Islands,King George Island ,Potter Peninsula,PC_Northern Potter Peninsula,Raised beach,,,17,14C,Penguin bone at base of rookery sediments on raised beach surface,Minimum age for beach and deglaciation,Retreat,Hall 2010 ,34,AA-55745,1592,47,marine20666,666,76,,R_Date AA-55745,481,288,68.3,555,142,95.4,371,101,376,,,,,,,,,,,
Antarctica,South Shetland Islands,King George Island ,Weaver Peninsula,WP_Weaver Peninsula,Periglacial sorted circles,-62.2061,-58.7934,100,14C,Plant debris (lichen/moss) buried 30 cm in sorted circles,Minimum age for deglaciation,Retreat,Jeong et al 2006 ,56,SNU 03-423,2320,120,shcal20,,,, R_Date SNU 03-423,2463,2104,68.3,2705,2010,95.4,2312,179,2292, R_Date SNU 03-423,2342,2313,68.3,2350,2204,95.4,2309,43,2325,
