Continent,Country,Region,Location,Site_name,Feature,Latitude,Longitude,Elevation_m.a.s.l.(min.)_or_depth_in_section_m,Dating_method,Material_dated__and_stratigraphic_position,Interpretation,Retreat_Advance,Reference,Map_ID,Sample_ID,Measured_age_(14C_yr_BP_or_normal_dist_not_for_calibration_for_non_C14_age),±_1s,calCurves,DR,DR_err,δ13C_(‰),Oxcal_v4.4_SHCal20_(a_cal_BP)_(Marine_data_DR_=_666±76)_Whole_range_dataset_,from,to,%,from,to,%,μ,σ,m,Oxcal_v4.4_SHCal13_(a_cal_BP)_(Marine_data_DR_=_791±121),from,to,%,from,to,%,μ,σ,m,Notes
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,Barton Peninsula,BP_Moraine,-62.228,-58.786,20,14C,Peat layer  buried ~1m in ice-cored moraine,Maximum age of late Holocene glacial readvance,Advance,Oliva et l (2019),51,060129-2,2180,70,shcal20,,,, R_Date 060129-2,2300,2010,68.3,2333,1934,95.4,2136,105,2118, R_Date 060129-2,2150,2099,68.3,2296,2087,95.4,2138,52,2123,
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,Barton Peninsula,BP_Moraine,-62.228,-58.786,20,14C,Terrestrial moss buried 3m in ice-cored moraine,Minimum age of late Holocene glacial readvance,Advance,Oliva et l (2019),51,060129-3,1530,70,shcal20,,,, R_Date 060129-3,1451,1305,68.3,1533,1285,95.4,1393,70,1385, R_Date 060129-3,1376,1351,68.3,1404,1321,95.4,1363,16,1364,
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,Lake 5,BP_Lake5_FWa,,,50,14C,Bulk freshwater sediment ,Constraint on ice advance of >50 m,Advance,Oliva et l (2019),14,CNA2534-2-1,1490,35,shcal20,,,,R_Date CNA2534-2-1,1360,1300,68.3,1410,1290,95.4,1340,30,1340,,,,,,,,,,,
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,Lake 5,BP_Lake5_FWb,,,50,14C,Bulk freshwater sediment ,Constraint on ice advance of >50 m,Advance,Oliva et l (2019),14,Beta-335038,2830,30,shcal20,,,,R_Date Beta-335038,2960,2850,68.3,3000,2780,95.4,2890,50,2900,,,,,,,,,,,
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,Lake 6,BP_Lake6_FW,,,50,14C,Bulk freshwater sediment ,Constraint on ice advance of >50 m,Advance,Oliva et l (2019),14,Beta-335036,7150,30,shcal20,,,,R_Date Beta-335036,7980,7870,68.3,8020,7840,95.4,7930,40,7940,,,,,,,,,,,
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,Lake 11,BP_Lake11_FW,,,50,14C,Bulk freshwater sediment ,Constraint on ice advance of >50 m,Advance,Oliva et l (2019),14,CNA2438-2-1,3495,35,shcal20,,,,R_Date CNA2438-2-1,3830,3640,68.3,3850,3590,95.4,3730,60,3730,,,,,,,,,,,
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,Lake 13,BP_Lake13_FW,-62.2241,-58.7597,103,14C,Bulk freshwater sediment (21 cm),Constraint on ice advance of >200 m,Advance,Oliva et al 2016b ,14,CNA2439-2-1,4165,35,shcal20,,,, R_Date CNA2439-2-1,4813,4573,68.3,4824,4526,95.4,4672,90,4671, R_Date CNA2439-2-1,4803,4578,68.3,4813,4530,95.4,4670,82,4649,
Antarctica,South Shetland Islands,King George Island ,Barton Peninsula,Lake 12,BP_Lake12_FW,-62.224,-58.7637,102,14C,Moss (34 cm),Constraint on ice advance of >200 m,Advance,Oliva et al 2016b ,14,Beta-335037,2450,30,shcal20,,,, R_Date Beta-335037,2662,2355,68.3,2699,2346,95.4,2481,104,2450, R_Date Beta-335037,2457,2359,68.3,2677,2352,95.4,2433,73,2418,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Norte Moraines,VN1_Inner 1,-62.1725,-58.9206,50,14C,Terrestrial moss in moraine,Maximum readvance age - reworked into moraine  ,Advance,Hall 2007,46,AA-468016,3264,94,shcal20,,,,R_Date AA-468016,3570,3355,68.3,3692,3213,95.4,3453,119,3449,R_Date AA-468016,3572,3356,68.3,3690,3211,95.4,3449,117,3450,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Norte Moraines,VN2_Inner 4,-62.1723,-58.9178,50,14C,Terrestrial moss in moraine,Maximum readvance age - reworked into moraine  ,Advance,Hall 2007,46,AA-468037,3195,76,shcal20,,,,R_Date AA-468037,3454,3250,68.3,3565,3167,95.4,3359,97,3367,R_Date AA-468037,3455,3250,68.3,3562,3175,95.4,3361,99,3368,
