Continent,Country,Region,Location,Site_name,Feature,Latitude,Longitude,Elevation_m.a.s.l.(min.)_or_depth_in_section_m,Dating_method,Material_dated__and_stratigraphic_position,Interpretation,Retreat_Advance,Reference,Map_ID,Sample_ID,Measured_age_(14C_yr_BP_or_normal_dist_not_for_calibration_for_non_C14_age),±_1s,calCurves,DR,DR_err,δ13C_(‰),Oxcal_v4.4_SHCal20_(a_cal_BP)_(Marine_data_DR_=_666±76)_Whole_range_dataset_,from,to,%,from,to,%,μ,σ,m,Oxcal_v4.4_SHCal13_(a_cal_BP)_(Marine_data_DR_=_791±121),from,to,%,from,to,%,μ,σ,m,Notes
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Norte Moraines,VN3_Outer 5,-62.1739,-58.9203,50,14C,Terrestrial moss in moraine,Maximum age for crosscut moraine readvance,Advance,Hall 2007,46,AA-442798,2870,42,shcal20,,,,R_Date AA-442798,3001,2866,68.3,3136,2788,95.4,2948,72,2943,R_Date AA-442798,2993,2867,68.3,3070,2795,95.4,2939,67,2934,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Norte Moraines,VN4_Inner 1,-62.1725,-58.9206,50,14C,Terrestrial moss in moraine,Maximum readvance age - reworked into moraine  ,Advance,Hall 2007,46,AA-442789,2799,42,shcal20,,,,R_Date AA-442789,2924,2782,68.3,2963,2759,95.4,2862,59,2858,R_Date AA-442789,2919,2784,68.3,2956,2762,95.4,2855,54,2851,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Norte Moraines,VN5_Inner 3,-62.1724,-58.9186,50,14C,Terrestrial moss in moraine,Maximum readvance age - reworked into moraine  ,Advance,Hall 2007,46,AA-4680510,2715,35,shcal20,,,,R_Date AA-4680510,2846,2751,68.3,2863,2740,95.4,2797,37,2789,R_Date AA-4680510,2841,2749,68.3,2854,2744,95.4,2792,33,2783,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Norte Moraines,VN6_Inner 2,-62.1723,-58.919,50,14C,Terrestrial moss in moraine,Maximum readvance age - reworked into moraine  ,Advance,Hall 2007,46,AA-4680011,2609,35,shcal20,,,,R_Date AA-4680011,2756,2541,68.3,2765,2493,95.4,2659,87,2707,R_Date AA-4680011,2754,2540,68.3,2764,2492,95.4,2656,87,2704,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Norte Moraines,VN7_Inner 1,-62.1719,-58.9163,50,14C,Terrestrial moss in moraine,Maximum readvance age - reworked into moraine  ,Advance,Hall 2007,46,AA-4427712,2500,41,shcal20,,,,R_Date AA-4427712,2702,2430,68.3,2711,2364,95.4,2546,103,2547,R_Date AA-4427712,2700,2433,68.3,2711,2362,95.4,2545,104,2544,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Norte Moraines,VN8_Inner 2,-62.1727,-58.919,50,14C,Terrestrial moss in moraine,Maximum readvance age - reworked into moraine  ,Advance,Hall 2007,46,AA-4680413,2159,44,shcal20,,,,R_Date AA-4680413,2133,2015,68.3,2305,1936,95.4,2103,83,2087,R_Date AA-4680413,2152,2017,68.3,2305,2000,95.4,2116,81,2103,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Norte Moraines,VN9_Inner 5,-62.1724,-58.9169,50,14C,Terrestrial moss in moraine,Maximum readvance age - reworked into moraine  ,Advance,Hall 2007,46,AA-4680714,2151,52,shcal20,,,,R_Date AA-4680714,2131,2011,68.3,2307,1930,95.4,2095,89,2080,R_Date AA-4680714,2152,2012,68.3,2305,1934,95.4,2108,87,2095,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Norte Moraines,VN10_Inner 2,-62.1727,-58.919,50,14C,Terrestrial moss in moraine,Maximum readvance age - reworked into moraine  ,Advance,Hall 2007,46,AA-4428015,2136,47,shcal20,,,,R_Date AA-4428015,2111,2005,68.3,2299,1929,95.4,2073,78,2064,R_Date AA-4428015,2147,2008,68.3,2301,1931,95.4,2085,79,2075,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Norte Moraines,VN11_Inner 5,-62.1729,-58.9168,50,14C,Terrestrial moss in moraine,Maximum readvance age - reworked into moraine  ,Advance,Hall 2007,46,AA-4680816,2037,44,shcal20,,,,R_Date AA-4680816,2001,1894,68.3,2055,1834,95.4,1949,53,1951,R_Date AA-4680816,2003,1906,68.3,2055,1836,95.4,1952,52,1954,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Norte Moraines,VN12_Inner 6,-62.1722,-58.9163,50,14C,Terrestrial moss in moraine,Maximum readvance age - reworked into moraine  ,Advance,Hall 2007,46,AA-4356817,1258,37,shcal20,,,,R_Date AA-4356817,1168,1070,68.3,1264,996,95.4,1131,59,1126,R_Date AA-4356817,1177,1074,68.3,1268,998,95.4,1134,57,1131,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Norte Moraines,VN13_Outer 4,-62.1757,-58.9135,50,14C,Terrestrial moss in moraine,Maximum readvance age - reworked into moraine  ,Advance,Hall 2007,46,AA-4356518,894,41,shcal20,,,,R_Date AA-4356518,795,690,68.3,903,675,95.4,764,52,757,R_Date AA-4356518,796,722,68.3,904,676,95.4,764,50,757,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Norte Moraines,VN14_Outer 2,-62.1729,-58.9202,50,14C,Terrestrial moss in moraine,Maximum readvance age - reworked into moraine  ,Advance,Hall 2007,46,AA-4679819,855,32,shcal20,,,,R_Date AA-4679819,738,680,68.3,787,672,95.4,720,30,718,R_Date AA-4679819,739,684,68.3,772,674,95.4,721,28,720,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Norte Moraines,VN15_Outer 3,-62.1736,-58.918,50,14C,Terrestrial moss in moraine,Maximum readvance age - reworked into moraine  ,Advance,Hall 2007,46,AA-4680920,713,37,shcal20,,,,R_Date AA-4680920,662,566,68.3,673,557,95.4,615,36,616,R_Date AA-4680920,662,568,68.3,673,559,95.4,616,36,618,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Norte Moraines,VN16_Outer 2,-62.1729,-58.9202,50,14C,Terrestrial moss in moraine,Maximum age for younger set of moraines,Advance,Hall 2007,46,AA-4680221,677,45,shcal20,,,,R_Date AA-4680221,653,558,68.3,664,549,95.4,606,34,605,R_Date AA-4680221,650,560,68.3,665,550,95.4,606,33,605,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Norte Moraines,VN17_Outer 1,-62.1724,-58.9215,50,14C,Terrestrial moss in moraine,Moss on moraine surface; minimum age,Advance,Hall 2007,46,AA-4427622,264,37,shcal20,,,,R_Date AA-4427622,309,152,68.3,440,141,95.4,244,78,222,R_Date AA-4427622,310,153,68.3,440,145,95.4,248,77,272,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Klotz Moraine,VK Moraine 1,-62.18,-58.9,30,14C,Terrestrial moss in moraine,Maximum readvance age - reworked into moraine  ,Advance,Hall 2007,46,AA-46810,1948,40,shcal20,,,,R_Date AA-46810,1921,1750,68.3,1990,1738,95.4,1846,58,1850,R_Date AA-46810,1905,1753,68.3,1988,1737,95.4,1848,56,1852,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Klotz Moraine,VK Moraine 2,-62.18,-58.9,30,14C,Terrestrial moss in moraine,Maximum readvance age - reworked into moraine  ,Advance,Hall 2007,46,AA-43571,1453,38,shcal20,,,,R_Date AA-43571,1350,1288,68.3,1374,1183,95.4,1315,35,1313,R_Date AA-43571,1350,1291,68.3,1375,1271,95.4,1318,29,1314,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Klotz Moraine,VK Moraine 3,-62.18,-58.9,30,14C,Terrestrial moss in moraine,Maximum readvance age - reworked into moraine  ,Advance,Hall 2007,46,AA-46811,1403,41,shcal20,,,,R_Date AA-46811,1306,1183,68.3,1347,1177,95.4,1260,47,1277,R_Date AA-46811,1309,1191,68.3,1346,1183,95.4,1268,43,1281,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Klotz Moraine,VK Moraine 4,-62.18,-58.9,30,14C,Terrestrial moss in moraine,Maximum readvance age - reworked into moraine  ,Advance,Hall 2007,46,AA-44275,1338,42,shcal20,,,,R_Date AA-44275,1274,1179,68.3,1298,1088,95.4,1213,52,1220,R_Date AA-44275,1271,1185,68.3,1299,1093,95.4,1214,51,1221,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Klotz Moraine,VK Moraine 5,-62.18,-58.9,30,14C,Terrestrial moss in moraine,Maximum age for outer moraines,Advance,Hall 2007,46,AA-43570,1116,48,shcal20,,,,R_Date AA-43570,1052,929,68.3,1176,819,95.4,986,56,979,R_Date AA-43570,1051,930,68.3,1073,821,95.4,985,53,979,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Norte Moraines,VN_Marine 1,-62.1726,-58.918,50,14C,Marine shells in moraine,In thrust-up marine sediments ,Advance,Hall 2007,46,AA-435641,47600,4760,marine20666,666,76,,R_Date AA-435641,54870,48050,68.3,...,45410,95.4,50200,2830,50290,R_Date AA-435641,,46170,68.3,,48440,95.4,,,,Not included in density analysis - outside of Marine20666 range of 936-51121
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Norte Moraines,VN_Marine 2,-62.1729,-58.9169,50,14C,Marine shells in moraine,In thrust-up marine sediments ,Advance,Hall 2007,46,AA-435692,44900,4490,marine20666,666,76,,R_Date AA-435692,52150,44800,68.3,...,43470,95.4,48980,3250,48830,R_Date AA-435692,49780,45200,68.3,,42870,95.4,46520,2100,46640,Not included BChron in density analysis - creates data artefacts
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Norte Moraines,VN_ Marine 3,-62.1743,-58.9144,50,14C,Marine shells in moraine,In thrust-up marine sediments ,Advance,Hall 2007,46,AA-435633,39400,1300,marine20666,666,76,,R_Date AA-435633,44030,42340,68.3,45460,41830,95.4,43410,960,43260,R_Date AA-435633,43540,41390,68.3,45100,40360,95.4,42640,1170,42530,Not included BChron in density analysis - creates data artefacts
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Norte Moraines,VN_Marine 3,-62.1743,-58.9144,50,14C,Marine shells in moraine,In thrust-up marine sediments ,Advance,Hall 2007,46,AA-435624,35640,760,marine20666,666,76,,R_Date AA-435624,41370,40000,68.3,41980,39470,95.4,40710,660,40730,R_Date AA-435624,40010,38170,68.3,40850,36940,95.4,38990,940,39000,Not included BChron in density analysis - creates data artefacts
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Norte Moraines,VN_Marine 4,-62.1751,-58.9145,50,14C,Marine shells in moraine,In thrust-up marine sediments ,Advance,Hall 2007,46,AA-435615,33230,570,marine20666,666,76,,R_Date AA-435615,38890,37180,68.3,39460,36500,95.4,38040,790,38020,R_Date AA-435615,36590,35220,68.3,37730,34770,95.4,36100,740,36010,Not included BChron in density analysis - creates data artefacts
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas Beach Moraine,ART03 Moraine,-62.1795,-58.8995,72,14C,Terrestrial moss in moraine,Moss in glaciofluvial sed. over 3–6; max. readvance age,Advance,Heredia Barion et al. submitted a,ART03,Beta-441409,1380,30,shcal20,,,-22.7,R_Date Beta-441409,1294,1182,68.3,1305,1177,95.4,1242,42,1252,R_Date Beta-441409,1299,1190,68.3,1304,1185,95.4,1251,39,1270,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas Beach Moraine,ART03 Moraine,-62.1795,-58.8995,72,14C,Terrestrial moss in moraine,Moss in glaciofluvial sed. over 3–6; max. readvance age,Advance,Heredia Barion et al. submitted a,ART03,Beta-441410,1380,30,shcal20,,,-20.5,R_Date Beta-441410,1294,1182,68.3,1305,1177,95.4,1242,42,1252,R_Date Beta-441410,1299,1190,68.3,1304,1185,95.4,1251,39,1270,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas Beach Moraine,ART01 Moraine,-62.1795,-58.8995,72,14C,Terrestrial moss in moraine,Moss in glaciofluvial sediments; max. readvance age,Advance,Heredia Barion et al. submitted a,ART01,Beta-441405,1980,30,shcal20,,,-22.6,R_Date Beta-441405,1925,1835,68.3,1994,1755,95.4,1890,48,1888,R_Date Beta-441405,1925,1837,68.3,1995,1824,95.4,1891,44,1889,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas Beach Moraine,ART01 Moraine,-62.1795,-58.8995,72,14C,Terrestrial moss in moraine,Moss in glaciofluvial sediments; max. readvance age,Advance,Heredia Barion et al. submitted a,ART01,Beta-441406,1950,30,shcal20,,,-22.4,R_Date Beta-441406,1889,1755,68.3,1927,1747,95.4,1848,48,1853,R_Date Beta-441406,1895,1824,68.3,1927,1747,95.4,1852,44,1856,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas Beach Moraine,ART01 Moraine,-62.1795,-58.8995,72,14C,Terrestrial moss in moraine,Moss in glaciofluvial sediments; max. readvance age,Advance,Heredia Barion et al. submitted a,ART01,Beta-441407,1920,30,shcal20,,,-19.6,R_Date Beta-441407,1870,1748,68.3,1887,1733,95.4,1809,45,1812,R_Date Beta-441407,1873,1748,68.3,1890,1735,95.4,1813,45,1817,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas Beach Moraine,ART01 Moraine,-62.1795,-58.8995,72,14C,Terrestrial moss in moraine,Moss in glaciofluvial sediments; max. readvance age,Advance,Heredia Barion et al. submitted a,ART01,Beta-441408,1940,30,shcal20,,,-16.8,R_Date Beta-441408,1885,1753,68.3,1922,1745,95.4,1835,48,1842,R_Date Beta-441408,1888,1754,68.3,1918,1745,95.4,1839,46,1846,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas Beach Moraine,ART08 Moraine,-62.1818,-58.8622,16,14C,Terrestrial moss in moraine,Moss above till; max. glacial readvance age,Advance,Heredia Barion et al. submitted a,ART08,Beta-441411,2030,30,shcal20,,,-17.9,R_Date Beta-441411,1997,1894,68.3,2007,1877,95.4,1945,39,1949,R_Date Beta-441411,1998,1917,68.3,2009,1879,95.4,1948,37,1951,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas Beach Moraine,ART08 Moraine,-62.1818,-58.8622,16,14C,Terrestrial moss in moraine,Moss above till; max. glacial readvance age,Advance,Heredia Barion et al. submitted a,ART08,Beta-441412,2050,30,shcal20,,,-24.5,R_Date Beta-441412,2003,1927,68.3,2042,1886,95.4,1960,37,1959,R_Date Beta-441412,2002,1930,68.3,2041,1889,95.4,1963,35,1962,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas Beach Moraine,ART08 Moraine,-62.1818,-58.8622,16,14C,Terrestrial moss in moraine,Moss in till; max. glacial readvance age,Advance,Heredia Barion et al. submitted a,ART08,Beta-441413,1870,30,shcal20,,,-20.9,R_Date Beta-441413,1816,1722,68.3,1834,1637,95.4,1763,45,1768,R_Date Beta-441413,1815,1723,68.3,1836,1701,95.4,1767,42,1771,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas Beach Moraine,ART08 Moraine,-62.1818,-58.8622,16,14C,Terrestrial moss in moraine,Moss in till; max. glacial readvance age,Advance,Heredia Barion et al. submitted a,ART08,Beta-441414,1900,30,shcal20,,,-28.6,R_Date Beta-441414,1829,1745,68.3,1874,1710,95.4,1790,41,1789,R_Date Beta-441414,1829,1745,68.3,1875,1719,95.4,1792,41,1790,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas Beach Moraine,ART02 Moraine,-62.1822,-58.8895,7,14C,Terrestrial moss in moraine,"Moss in till, overlying 6-7 m amsl raised beach",Advance,Heredia Barion et al. submitted a,ART02,Beta-441415,2050,30,shcal20,,,-20.5,R_Date Beta-441415,2003,1927,68.3,2042,1886,95.4,1960,37,1959,R_Date Beta-441415,2002,1930,68.3,2041,1889,95.4,1963,35,1962,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas Beach Moraine,ART02 Moraine,-62.1822,-58.8895,7,14C,Terrestrial moss in moraine,"Moss in till, overlying 6-7 m amsl raised beach",Advance,Heredia Barion et al. submitted a,ART02,Beta-441417,2010,30,shcal20,,,-21.9,R_Date Beta-441417,1993,1885,68.3,2000,1837,95.4,1927,44,1923,R_Date Beta-441417,1994,1886,68.3,2001,1839,95.4,1929,42,1925,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas Beach Moraine,ART02 Moraine,-62.1822,-58.8895,7,14C,Terrestrial moss in moraine,"Moss in till, overlying 6-7 m amsl raised beach",Advance,Heredia Barion et al. submitted a,ART02,Beta-441418,1980,30,shcal20,,,-23.7,R_Date Beta-441418,1925,1835,68.3,1994,1755,95.4,1890,48,1888,R_Date Beta-441418,1925,1837,68.3,1995,1824,95.4,1891,44,1889,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas Beach Moraine,ART07 Moraine,-62.181,-58.861,18,14C,Laternula sp. bivalve shells in moraine,Shell in fine sediments; max. glacial readvance age,Advance,Heredia Barion et al. submitted a,ART07,ETH-69688,7045,85,marine20666,666,76,-0.9,R_Date ETH-69688,6790,6480,68.3,6940,6330,95.4,6640,150,6630,R_Date ETH-69688,6886,6528,68.3,7086,6374,95.4,6713,177,6710,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas Beach Moraine,ART07 Moraine,-62.181,-58.861,18,14C,Laternula sp. bivalve shells in moraine,Shell in fine sediments; max. glacial readvance age,Advance,Heredia Barion et al. submitted a,ART07,ETH-69689,6590,70,marine20666,666,76,4,R_Date ETH-69689,6270,6000,68.3,6400,5880,95.4,6140,130,6140,R_Date ETH-69689,6365,6048,68.3,6504,5894,95.4,6200,155,6205,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas Beach Moraine,ART07 Moraine,-62.181,-58.861,18,14C,Laternula sp. bivalve shells in moraine,Shell in fine sediments; max. glacial readvance age,Advance,Heredia Barion et al. submitted a,ART07,ETH-69690,6730,75,marine20666,666,76,0,R_Date ETH-69690,6440,6160,68.3,6570,6000,95.4,6290,140,6300,R_Date ETH-69690,6518,6207,68.3,6671,6016,95.4,6364,159,6363,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas Beach Moraine,ART09 Moraine,-62.1807,-58.8613,27,14C,Laternula sp. bivalve shells in moraine,Shell in till; max. glacial readvance age,Advance,Heredia Barion et al. submitted a,ART09,ETH-69691,6265,75,marine20666,666,76,-2.2,R_Date ETH-69691,5920,5640,68.3,6090,5530,95.4,5790,140,5790,R_Date ETH-69691,5996,5667,68.3,6185,5570,95.4,5858,161,5854,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas Beach Moraine,ART09 Moraine,-62.1807,-58.8613,27,14C,Laternula sp. bivalve shells in moraine,Shell in till; max. glacial readvance age,Advance,Heredia Barion et al. submitted a,ART09,ETH-69692,5895,70,marine20666,666,76,3.4,R_Date ETH-69692,5550,5280,68.3,5660,5080,95.4,5390,140,5400,R_Date ETH-69692,5596,5295,68.3,5754,5046,95.4,5440,166,5450,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas Beach Moraine,ART10 Moraine,-62.1803,-58.8597,28,14C,Laternula sp. bivalve shells in moraine,Shell in till; max. glacial readvance age,Advance,Heredia Barion et al. submitted a,ART10,ETH-69693,6235,70,marine20666,666,76,0.9,R_Date ETH-69693,5890,5620,68.3,6020,5480,95.4,5760,130,5760,R_Date ETH-69693,5959,5649,68.3,6170,5551,95.4,5825,156,5820,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas Beach Moraine,ART10 Moraine,-62.1803,-58.8597,28,14C,Laternula sp. bivalve shells in moraine,Shell in till; max. glacial readvance age,Advance,Heredia Barion et al. submitted a,ART10,ETH-69694,5925,70,marine20666,666,76,-1.2,R_Date ETH-69694,5560,5300,68.3,5700,5130,95.4,5420,130,5430,R_Date ETH-69694,5619,5313,68.3,5838,5131,95.4,5476,164,5483,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Artigas Beach Moraine,ART10 Moraine,-62.1803,-58.8597,28,14C,Laternula sp. bivalve shells in moraine,Shell in till; max. glacial readvance age,Advance,Heredia Barion et al. submitted a,ART10,ETH-69695,6520,75,marine20666,666,76,-2.8,R_Date ETH-69695,6200,5930,68.3,6330,5780,95.4,6070,130,6070,R_Date ETH-69695,6280,5975,68.3,6444,5819,95.4,6125,154,6129,
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Norte Moraines,VN1_Marine_inner,-62.1732,-58.9164,42,14C,Laternula sp. bivalve shells in moraine,Reworked shells  from previous max. glacial readvance age: shell in fine silty/sand thrust-up marine sediments,Advance,Heredia Barion et al. submitted a,46,ETH-69684,44300,4430,marine20666,666,76,-1.4,R_Date ETH-69684,45510,45040,68.3,45730,44830,95.4,45280,230,45280,R_Date ETH-69684,49429,44570,68.3,,42527,95.4,46277,2202,46366,Not included BChron in density analysis - creates data artefacts
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Norte Moraines,VN2_Marine_inner,-62.1732,-58.9164,42,14C,Laternula sp. bivalve shells in moraine,Reworked shells  from previous max. glacial readvance age: shell in fine silty/sand thrust-up marine sediments,Advance,Heredia Barion et al. submitted a,46,ETH-69685,43700,4370,marine20666,666,76,2.8,R_Date ETH-69685,44970,44580,68.3,45210,44430,95.4,44800,200,44790,R_Date ETH-69685,49030,43897,68.3,,42139,95.4,46021,2309,46080,Not included BChron in density analysis - creates data artefacts
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Norte Moraines,VN3_Marine_inner,-62.1732,-58.9164,42,14C,Laternula sp. bivalve shells in moraine,Reworked shells  from previous max. glacial readvance age: shell in fine silty/sand thrust-up marine sediments,Advance,Heredia Barion et al. submitted a,46,ETH-69686,48500,4850,marine20666,666,76,2.8,R_Date ETH-69686,50090,49170,68.3,50800,48710,95.4,49720,560,49690,R_Date ETH-69686,,46941,68.3,,49233,95.4,,,,Not included in density analysis - outside of Marine20666 range of 936-51121
Antarctica,South Shetland Islands,King George Island ,Fildes Peninsula,Valle Norte Moraines,VN4_Marine_inner,-62.1732,-58.9164,42,14C,Laternula sp. bivalve shells in moraine,Reworked shells  from previous max. glacial readvance age: shell in fine silty/sand thrust-up marine sediments,Advance,Heredia Barion et al. submitted a,46,ETH-69687,51700,5170,marine20666,666,76,-,R_Date ETH-69687,51900,51490,68.3,52120,51300,95.4,51700,200,51700,R_Date ETH-69687,,48922,68.3,,49857,95.4,,,,Not included BChron in density analysis - creates data artefacts
