ID,position_mm,Section depth_mm,strat_depth_cm,plot_midpoint cm,depth,min_age,max_age,median_age,wmean_age_SH20,sample surface,validity,kcps,MSE,inc+coh,inc_coh,coh_inc,TSN SUM,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Mn,Fe,Cu,Zn,Ga,Ge,Br,Rb,Sr,Y,Zr,Nb,Mo,Tc,Pd,Ag,Cd,In,Sn,Sb,I,Cs,Ba,La,Pr,Nd,Sm,Tb,Ho,Er,Tm,Lu,Hf,Os,At,Ac,Th,U,Cr inc,Cr coh,SUM,LnSi_Ti,LnCa_Ti,LnFe_Mn,LnSr_Ti,LnFe_Ti
MAT1A-201,1457.2,22,2.2,2.3,2.3,-42.6,-34.9,-38.7,-38.7,6.8,1,7432.271729,1.6,9378.95,0.441318847,2.265935405,4.530699065,0.004471304,0.06777555,1.0844088,0.005294965,0.023415511,0.006118626,0.773182533,4.797473478,17.46291171,0.132844785,12.29396703,0.266748562,0.79212674,32.22892133,0.119430874,0.12154886,0.118254215,0.005647962,0.01400224,0.145670366,0.7681229,0.106840624,0.443600388,0.042595051,0.291223066,2.158815999,0.013178579,0.03118146,0.06577523,0.181558461,0.022121186,0.095191701,0.143787712,0.042242053,0.677990831,0.287575424,0.10095733,0.947681041,0.187794753,0.005530297,0.183911779,0.068599211,0.249687009,0.088484746,0.100251334,0.019650203,0.014825902,0.045889695,0.036947088,0.042124387,6.758140126,15.31350898,100,-2.39354744,0.358080175,0,-2.686303825,0.997110139
MAT1A-221,1459.2,24,2.4,2.5,2.5,-41,-33.9,-37.4,-37.4,6.8,1,7135.106689,3.39,9149.75,0.464686484,2.151988563,4.529795896,0.005911235,0.073347569,1.062454007,0.008082709,0.027384701,0.014476494,0.74650453,4.60099164,17.29567032,0.142231552,12.78250274,0.317035214,0.691011304,31.64670117,0.099887807,0.115450038,0.112192827,0.039207171,0.027987888,0.143799838,0.749520466,0.088185975,0.4671082,0.036070597,0.292787087,2.648595177,0.012425657,0.047169242,0.059594899,0.253700554,0.024489402,0.090598724,0.164790754,0.04777243,0.705125885,0.278551868,0.05814725,0.803927955,0.297733222,0.006393785,0.174321113,0.084204939,0.238379598,0.096148046,0.11062454,0.012546295,0.011943107,0.028711713,0.052356653,0.029194262,7.003848335,15.07220151,100,-2.441405504,0.306531189,2.366907577,-3.088032669,0.961594004
MAT1A-241,1461.2,26,2.6,2.7,2.7,-39.3,-32.7,-36,-36,6.81,1,7115.372706,1.33,9089.7,0.436800051,2.289377024,4.475873791,0.006021972,0.06611879,1.089116577,0.002089255,0.019663581,0.00983179,0.757293652,4.88345027,17.26019956,0.148828727,13.06214798,0.29778035,0.931193444,31.18643901,0.125355327,0.140717499,0.099178185,0.024825271,0.023473399,0.181642327,0.900714894,0.106306233,0.4126894,0.057147281,0.286719586,1.97532958,0.0046701,0.03613183,0.07926881,0.196390012,0.031584627,0.12240579,0.119210458,0.044857544,0.661433696,0.257961599,0.080129091,0.853890992,0.247515322,0.025685552,0.186558222,0.080251989,0.229940997,0.065258508,0.072878146,0.027774808,0.031215934,0.042522493,0.062063177,0.044120159,6.792169471,15.54983673,100,-2.429026191,0.327814174,4.999193272,-2.91834561,0.960729168
MAT1A-261,1463.2,28,2.8,2.9,2.9,-37.7,-31.7,-34.7,-34.7,6.83,1,7435.696486,4.17,9571.3,0.380452733,2.62844741,4.484902782,0.002096614,0.066043351,1.104915745,0.006056886,0.024111065,0.015608129,0.699220875,4.870085623,17.80747723,0.16737971,12.84432522,0.271278597,0.775164905,30.92098443,0.098191437,0.134765709,0.127427559,0.047523258,0.03016795,0.143734559,0.825949562,0.085611751,0.447161242,0.028770208,0.272443383,1.940183594,0.018986007,0.080603173,0.058588722,0.154101152,0.032730479,0.092833423,0.133717402,0.076642901,0.773650683,0.264056925,0.112751259,1.029670587,0.204652853,0.003494357,0.194752174,0.083515137,0.249264147,0.087475408,0.115663223,0.0179377,0.027838379,0.035642443,0.057656894,0.040068629,6.145060085,16.15196726,100,-2.377627338,0.293958763,2.773579246,-3.036222137,1.009869852
MAT1A-281,1465.2,30,3,3.1,3.1,-36.1,-30.5,-33.4,-33.3,6.86,1,7506.097925,1.42,9588.05,0.415461041,2.406964555,4.480108051,0.004772381,0.067511727,1.079954837,0.005237979,0.023629105,0.010126759,0.740766607,4.948726007,17.59181013,0.109881156,13.03104375,0.266554923,1.069595279,31.82130344,0.110346754,0.143869819,0.137700644,0.025840696,0.052263389,0.105225175,0.788490414,0.109066359,0.466296516,0.042718627,0.282734458,1.143043382,0.029332681,0.054940578,0.056104573,0.153298181,0.05691937,0.096262411,0.146430608,0.042718627,0.665688911,0.229656272,0.086135652,0.957618931,0.177276484,0,0.160514952,0.060294956,0.21289474,0.065300136,0.108484362,0.010475958,0.01489914,0.021184714,0.041205434,0.052961786,6.551547532,15.76934269,100,-2.376581669,0.282054391,0,-3.127919788,1.040665559
MAT1A-301,1467.2,32,3.2,3.3,3.3,-34.6,-29.3,-32,-32,6.87,1,7438.90647,2.75,9682.45,0.415728448,2.405416337,4.413903506,0.005849677,0.074407896,1.034222952,0.006200658,0.019069948,0.004679742,0.766190737,5.033062376,17.03238849,0.134776566,12.817228,0.251302138,0.913719599,32.04979713,0.116525572,0.144604024,0.121439301,0.033460154,0.045276503,0.135946501,0.761978969,0.108453018,0.419772845,0.054168012,0.276455751,1.336534277,0.013688245,0.063293509,0.054401999,0.151038669,0.027844464,0.099795495,0.133840617,0.035449045,0.706290041,0.273296925,0.118865443,0.988595469,0.185902746,0,0.184615817,0.083065418,0.211056358,0.069962141,0.098157586,0.019303935,0.012635303,0.042585651,0.038958851,0.034162116,6.652838029,16.00284528,100,-2.402338079,0.33017242,4.008494507,-3.141422355,0.995247345
MAT1A-321,1469.2,34,3.4,3.5,3.5,-33.2,-28.1,-30.7,-30.6,6.88,1,7348.1209,1.11,9592.45,0.432532127,2.311966992,4.414143415,0.006022325,0.065418983,1.055796252,0.005668071,0.024679724,0.006258495,0.688080165,5.412535175,16.33774144,0.1189114,13.31335338,0.266635492,0.918699792,31.98657612,0.101316764,0.141701767,0.077581718,0.036015866,0.023498876,0.13981241,0.753144894,0.100254,0.421917012,0.041211597,0.27690887,1.347701893,0.023144622,0.105213562,0.028576523,0.215032432,0.021845689,0.089035944,0.122690114,0.058924318,0.704139699,0.245970651,0.076282785,0.966642223,0.197319711,0.021963774,0.187518672,0.073921089,0.22258986,0.0520754,0.078762566,0.023616961,0.014524431,0.039440325,0.038377562,0.070496629,6.840180481,15.81427149,100,-2.414653827,0.332644481,4.14810073,-2.910632943,0.978606153
MAT1A-341,1471.2,36,3.6,3.7,3.7,-31.8,-26.9,-29.3,-29.3,6.89,1,7478.439233,1.33,9715.05,0.424723929,2.35447059,4.47716687,0.005172901,0.065523417,1.05538683,0.004713088,0.013564497,0.011495336,0.707308045,5.017024593,17.37979902,0.114378597,13.22917792,0.267151617,0.897325955,31.69367688,0.085525302,0.102423447,0.098055219,0.017702818,0.018507492,0.131391694,0.747311816,0.107136535,0.415901269,0.034945822,0.282095554,1.574171359,0.006897202,0.103458027,0.05264864,0.148519746,0.019197212,0.094376711,0.159440315,0.054602848,0.702135144,0.282440414,0.086674836,0.855597884,0.256690861,0.013104683,0.161394522,0.080237448,0.214847836,0.061500049,0.095411292,0.019197212,0.027818714,0.028508434,0.039888817,0.022990673,6.658443669,15.6771098,100,-2.411344083,0.309951345,3.907063732,-2.843765001,0.988433852
MAT1A-361,1473.2,38,3.8,3.9,3.9,-30.5,-25.5,-28,-27.9,6.9,1,7748.190918,1.57,9551.65,0.418263484,2.390837445,4.809849607,0.002176658,0.059966915,1.027817683,0.01099212,0.021331244,0.011862784,0.677266989,4.483152671,18.44924035,0.121675156,12.50119716,0.253471769,0.994188324,32.19983893,0.103064734,0.148230377,0.167711462,0.04614514,0.017739759,0.11579818,0.723303295,0.076509512,0.32388664,0.033194027,0.255104262,2.681206739,0.018283923,0.074115189,0.054634104,0.136694093,0.026446389,0.165643638,0.136041095,0.053110444,0.693483087,0.293739933,0.091310783,0.936289234,0.21265944,0.003156153,0.179683079,0.069870707,0.223107396,0.077706674,0.113730356,0.016433764,0.015780767,0.041900657,0.030799704,0.038635671,6.131426581,14.65924426,100,-2.36648304,0.329195869,2.841500978,-2.80740546,1.002507227
MAT1A-381,1475.2,40,4,4.1,4.1,-29.3,-24.2,-26.6,-26.6,6.9,1,7606.962988,1.52,9686.25,0.410078174,2.438559435,4.54936637,0.003857823,0.076362209,1.038889128,0.00714832,0.018381393,0.014296639,0.748531191,4.961160796,17.25252631,0.114713511,12.70937201,0.264714759,1.225312767,32.19988971,0.108926776,0.123450346,0.099395683,0.025302782,0.034380014,0.129010151,0.710406819,0.106317072,0.385782333,0.030181794,0.290244473,1.587267368,0.019289117,0.06501567,0.071596662,0.137860451,0.017927532,0.12583312,0.143760652,0.054349923,0.726291974,0.313504878,0.08986459,1.011430504,0.195047009,0.004652081,0.177913735,0.071937058,0.210591767,0.064561808,0.105749745,0.015431293,0.025075852,0.034606945,0.035287737,0.035514668,6.392526715,15.58855633,100,-2.460673286,0.292802994,3.451757682,-2.936484392,0.968560921
MAT1A-401,1477.2,42,4.2,4.3,4.3,-28.1,-22.7,-25.2,-25.3,6.9,1,7614.502343,2,10012.7,0.418671541,2.388507225,4.415851868,0.003844884,0.073165877,1.030768117,0.003618714,0.020468352,0.006445835,0.585666273,5.394711249,15.76391056,0.159449594,12.77044234,0.25466701,1.046034568,32.56232104,0.086962225,0.114668006,0.08424819,0.014022517,0.025330999,0.158884169,0.690948239,0.108448341,0.423728814,0.020581437,0.234085574,2.062667083,0.025896423,0.128690523,0.028610459,0.205927454,0.0215992,0.086962225,0.115459599,0.04670403,0.678735078,0.295829884,0.090920194,0.996051078,0.204796606,0,0.154134607,0.054280713,0.218932208,0.06547611,0.098157622,0.021486115,0.016736553,0.025557169,0.030532901,0.042746061,6.683086582,15.96260059,100,-2.464444083,0.322651178,3.422985993,-2.94188269,1.014799714
MAT1A-421,1479.2,44,4.4,4.5,4.5,-27.1,-21.2,-23.9,-23.9,6.9,1,7743.716113,2.07,10083.5,0.432742722,2.31084187,4.478454902,0.003875239,0.067318445,1.094146174,0.009743459,0.018379707,0.015611679,0.764307938,5.187949113,16.86083462,0.150912896,13.23560349,0.207934276,0.663662433,31.44623936,0.104631465,0.148144868,0.116367904,0.048385132,0.033769944,0.127329296,0.779808895,0.103745696,0.396492355,0.039195279,0.246243786,2.12363121,0.015611679,0.064439696,0.082487239,0.193761972,0.027126676,0.114817808,0.11105329,0.055582006,0.722123188,0.263959166,0.111828338,0.860635318,0.185568608,0.012843651,0.192433318,0.061339504,0.236611048,0.083594451,0.116700068,0.020704851,0.019819082,0.046059989,0.048385132,0.029119656,6.744245269,15.58488435,100,-2.500352427,0.307209786,3.045209345,-2.813410717,1.001387505
MAT1A-441,1481.2,46,4.6,4.7,4.7,-26,-19.7,-22.5,-22.6,6.91,1,7658.420484,1.79,10158.35,0.420728381,2.376830383,4.354255366,0.003052086,0.075736937,1.064499611,0.00565201,0.018990754,0.014469146,0.740865504,5.053801486,16.42508091,0.150908674,12.31403473,0.300913026,0.938459782,32.49566773,0.124683346,0.147969628,0.131126638,0.036738067,0.020799398,0.119370456,0.715657538,0.080597666,0.388858305,0.027242689,0.255583904,1.313979343,0.01672995,0.074945656,0.055954901,0.223706566,0.021590679,0.147856588,0.106144753,0.08263239,0.758047615,0.290513327,0.068728445,1.012727197,0.256601265,0.018538594,0.201098525,0.090884325,0.245410285,0.082293269,0.111005481,0.026564448,0.035607665,0.038885831,0.063754676,0.038998871,6.801063934,16.1649754,100,-2.491197142,0.346982234,3.364519837,-3.084791284,1.000710533
MAT1A-461,1483.2,48,4.8,4.9,4.9,-24.9,-18.1,-21.2,-21.2,6.91,1,7436.736499,1.3,10069.75,0.446210962,2.241092407,4.249817523,0.003271441,0.059002771,1.020572689,0.002687255,0.018693947,0.008178602,0.760960495,5.257322186,15.68772696,0.118005543,11.8417978,0.276553584,0.92885551,32.86769826,0.136465816,0.137751025,0.124431587,0.039958312,0.041009847,0.145462278,0.742967571,0.086693181,0.350394676,0.044865474,0.274333678,1.411159352,0.01156688,0.063559421,0.053044076,0.155042926,0.014721484,0.078514579,0.162637342,0.065545653,0.823468382,0.329247148,0.104101919,1.073032579,0.25318615,0.011333206,0.203063003,0.06402677,0.241502433,0.076878859,0.126885168,0.026054689,0.027456735,0.053511424,0.031546036,0.032831245,7.260028134,16.27039393,100,-2.446024862,0.304743839,5.140183669,-2.978986342,1.00308794
MAT1A-481,1485.2,50,5,5.1,5.1,-22.6,-15.8,-18.9,-18.9,6.91,1,7580.779419,1.76,9658.3,0.425337397,2.351074719,4.530781815,0.000571303,0.072669685,1.121695443,0.005255984,0.021480976,0.00891232,0.717213232,5.054085213,17.40244723,0.1472818,13.06854602,0.227606939,0.945162953,32.16341995,0.133456278,0.106262276,0.091179888,0.023766186,0.031992943,0.142140077,0.921282506,0.133456278,0.409852455,0.026051397,0.270454631,1.125808822,0.01336848,0.096892914,0.053473919,0.141797295,0.049703323,0.137569656,0.12717195,0.039305616,0.627747251,0.27696748,0.074726375,0.926881271,0.190129491,0,0.133113496,0.097578477,0.206583005,0.110261394,0.077354366,0.021252455,0.032564246,0.043990297,0.049703323,0.028565128,6.586318675,15.48492732,100,-2.507266038,0.309203453,3.918804086,-3.19387012,0.960177924
MAT1A-501,1487.2,52,5.2,5.3,5.3,-18.9,-12.9,-15.6,-15.7,6.92,1,7754.925733,1.53,9866.8,0.412590016,2.423713522,4.584024202,0.004642972,0.066549266,1.091651162,0.009838679,0.025425799,0.016139855,0.637413732,4.911601129,17.38295565,0.137188769,12.82598915,0.294939271,0.989837419,31.87908816,0.12226493,0.159187613,0.110768047,0.054278554,0.028410567,0.128345013,0.729941532,0.085231701,0.361820178,0.033716821,0.289633017,2.006206106,0.035706666,0.123480947,0.037917605,0.135972752,0.051183239,0.142384476,0.102587573,0.054389101,0.644157096,0.267523627,0.05660004,0.933569019,0.192904433,0.009285944,0.217114216,0.099602805,0.263322842,0.094186004,0.110878594,0.040128544,0.040791826,0.051625427,0.057042228,0.039686356,6.371705286,15.44318826,100,-2.525728644,0.326857429,2.748256622,-2.991965791,1.041808973
MAT1A-521,1489.2,54,5.4,5.5,5.5,-15.3,-9.9,-12.4,-12.4,6.92,1,7527.816993,1.27,9581.75,0.484414941,2.064345907,4.604456388,0.002833263,0.061878453,1.073919819,0.008839779,0.025952685,0.017339567,0.80226661,4.789120272,17.18362374,0.169429098,12.78266043,0.347811305,0.923416915,31.60198328,0.092704349,0.121830288,0.109363933,0.027539312,0.014279643,0.166595835,0.751494546,0.113103839,0.398016716,0.039325684,0.259866837,2.566935827,0.01813288,0.046352175,0.073664825,0.155829438,0.036719082,0.087604477,0.144383057,0.064938377,0.76838079,0.310072248,0.057345233,0.965122539,0.263266752,0.015526279,0.168635784,0.062105114,0.230287576,0.064258394,0.090437739,0.018359541,0.027879303,0.056098598,0.073324834,0.031052557,7.087349483,14.6307409,100,-2.445468048,0.369379544,4.009849594,-2.968716192,1.022579995
MAT1A-541,1491.2,56,5.6,5.7,5.7,-11.6,-7,-9.1,-9.2,6.92,1,7695.683398,1.68,9782.3,0.451886043,2.212947301,4.570688897,0.000447309,0.063070528,0.997386599,0.00156558,0.027285831,0.011853681,0.702274677,4.761824885,16.5470675,0.162037581,12.91480894,0.317253703,0.965404026,32.99516795,0.090915496,0.096618682,0.108360535,0.005815013,0.038804031,0.148506492,0.685836081,0.078726333,0.413648731,0.056920034,0.250716533,1.976992676,0.021023509,0.079173642,0.044954525,0.182613781,0.019234275,0.127930291,0.116635746,0.070898431,0.743427078,0.295671058,0.104893893,0.921567772,0.235172555,0.005255877,0.136429157,0.043165291,0.216273762,0.092928385,0.114622857,0.008834347,0.015655805,0.028292276,0.047750205,0.029746029,6.809492338,15.06904769,100,-2.523779844,0.303167161,2.999127863,-3.427975871,0.961536338
MAT1A-561,1493.2,58,5.8,5.9,5.9,-8,-3.9,-5.9,-5.9,6.91,1,7726.951954,2.68,10019.55,0.438040904,2.282891827,4.494143949,0.004330514,0.066290171,1.057755728,0.006995445,0.02809282,0.018765559,0.768055466,4.735694315,17.10031024,0.194651038,12.87916979,0.287257408,0.689551026,31.74866143,0.091718059,0.122808927,0.115591404,0.02898113,0.043638253,0.11314855,0.794038548,0.128471906,0.386970262,0.015767511,0.239177602,2.140495189,0.018099326,0.022873995,0.06917718,0.176662751,0.027426587,0.118589452,0.135467351,0.087387545,0.776383377,0.333227476,0.111149851,0.99024413,0.253501609,0.015989589,0.1851017,0.070287568,0.226408139,0.080281061,0.09915766,0.015101279,0.020875297,0.02898113,0.051855125,0.028203858,6.777920154,15.47325852,100,-2.51966061,0.34170148,3.307386692,-3.075896113,0.989422314
MAT1A-581,1495.2,60,6,6.1,6.1,-4.4,-0.9,-2.7,-2.6,6.92,1,7685.779004,1.35,9889,0.433978133,2.304263566,4.503069067,0.002694761,0.069165534,1.051405935,0.007073748,0.026161639,0.007186029,0.722420524,4.711789692,17.18527717,0.160562846,12.79090788,0.268465569,1.044444469,31.90383745,0.09386751,0.144057434,0.068716407,0.018975609,0.03413364,0.147089041,0.771263068,0.095439454,0.359975163,0.036266992,0.247693453,1.875553689,0.020210708,0.095664017,0.048617981,0.200647416,0.046821473,0.137769659,0.123173036,0.050975896,0.67683415,0.303609745,0.133053827,1.051181372,0.212886123,0.04401443,0.183692878,0.074891901,0.220745842,0.054905756,0.088477988,0.018638764,0.031663442,0.051649587,0.045586374,0.032786259,6.720734053,15.48634261,100,-2.534668159,0.350145221,3.118381499,-3.230085488,0.980829253
MAT1A-601,1497.2,62,6.2,6.3,6.3,-0.8,2.2,0.6,0.6,6.91,1,7342.211084,1.32,9447.75,0.462318908,2.16300909,4.516308116,0.004921612,0.065269945,1.031429177,0.005038793,0.013710204,0.007148055,0.813706454,4.664984725,17.28423127,0.170029963,12.76478563,0.232721921,0.936043657,31.50757167,0.087182834,0.130422708,0.097846326,0.028006314,0.019803628,0.114720423,0.759217183,0.114134517,0.417985444,0.033865375,0.329630797,2.371162168,0.009726042,0.067496388,0.073824174,0.146945261,0.035388731,0.13440687,0.111322168,0.067144844,0.773747655,0.299749584,0.128664989,0.991353197,0.200497083,0.007851142,0.19358339,0.066676119,0.240338701,0.064449676,0.093276258,0.019334903,0.012772754,0.026131414,0.038904168,0.048864572,7.000289438,15.14168968,100,-2.46896649,0.346403926,0,-3.028582278,1.007703553
