Position_mm,section_depth_mm,strat_depth_cm,Validity,Bottom_Measurement,Top_Measurement,Corrected_Measurement
1588,152.8,15.28,1,986.91,0.44,986.47
1590,154.8,15.48,1,950.25,0.44,949.81
1592,156.8,15.68,1,911.67,0.49,911.18
1594,158.8,15.88,1,1016.07,0.54,1015.54
1596,160.8,16.08,1,1093.02,0.49,1092.53
1598,162.8,16.28,1,1066.42,0.52,1065.9
1600,164.8,16.48,1,1037.63,0.49,1037.14
1602,166.8,16.68,1,975.67,0.47,975.21
1604,168.8,16.88,1,998.36,0.49,997.87
1606,170.8,17.08,1,1009.55,0.66,1008.89
1608,172.8,17.28,1,562.39,0.52,561.88
1610,174.8,17.48,1,549.3,0.49,548.81
1612,176.8,17.68,1,505.18,0.61,504.57
1614,178.8,17.88,1,227.09,0.61,226.47
1616,180.8,18.08,1,225.91,0.54,225.37
1618,182.8,18.28,1,260.86,0.71,260.14
1620,184.8,18.48,1,316.69,0.64,316.05
1622,186.8,18.68,1,375.28,0.74,374.54
1624,188.8,18.88,1,432.61,0.61,431.99
1626,190.8,19.08,1,447.33,0.83,446.5
1628,192.8,19.28,1,424.91,0.91,424
1630,194.8,19.48,1,381.1,0.81,380.29
1632,196.8,19.68,1,320.8,0.84,319.96
1634,198.8,19.88,0,264.13,0.71,263.42
1636,200.8,20.08,0,243.12,0.78,242.33
1638,202.8,20.28,1,374.39,0.88,373.51
1640,204.8,20.48,1,479.25,0.88,478.37
1642,206.8,20.68,1,520.78,0.84,519.95
1644,208.8,20.88,1,534.14,0.98,533.16
1646,210.8,21.08,1,547.04,0.81,546.23
1648,212.8,21.28,1,543.59,0.84,542.76
1650,214.8,21.48,1,509.22,0.88,508.33
1652,216.8,21.68,1,532.9,0.78,532.11
1654,218.8,21.88,1,536.28,0.76,535.52
1656,220.8,22.08,1,585.52,0.83,584.69
1658,222.8,22.28,1,621.33,0.81,620.52
1660,224.8,22.48,1,733.73,0.81,732.92
1662,226.8,22.68,1,762.72,0.96,761.76
1664,228.8,22.88,1,618.2,0.93,617.27
1666,230.8,23.08,0,403.14,0.88,402.25
1668,232.8,23.28,0,259.43,0.84,258.59
1670,234.8,23.48,0,181.67,0.81,180.86
