Position_mm,Section_depth_cm,Strat_depth_(cm),Validity,Bottom_Measurement,Top_Measurement,Corrected_Measurement
310,0,0,0,105.73,0.05,105.69
315,0.5,0.5,1,163,0.1,162.9
320,1,1,1,158.69,-0.03,158.72
325,1.5,1.5,1,132.71,0,132.71
330,2,2,1,164.25,-0.12,164.37
335,2.5,2.5,1,92.86,-0.37,93.23
340,3,3,1,52.76,-0.25,53
345,3.5,3.5,1,74.36,-0.37,74.73
350,4,4,1,73.62,-0.34,73.96
355,4.5,4.5,1,84.52,-0.37,84.89
360,5,5,1,122.89,-0.47,123.36
365,5.5,5.5,1,129.15,-0.27,129.42
370,6,6,1,245.97,-0.45,246.42
375,6.5,6.5,1,293.46,-0.49,293.95
380,7,7,1,446.42,-0.49,446.91
385,7.5,7.5,1,724.04,-0.52,724.55
390,8,8,1,998.11,-0.54,998.66
395,8.5,8.5,1,967.13,-0.47,967.6
400,9,9,1,1002.02,-0.79,1002.81
405,9.5,9.5,1,1268.32,-0.49,1268.81
410,10,10,1,1317.04,-0.64,1317.69
415,10.5,10.5,1,1304.13,-0.42,1304.54
420,11,11,1,1337.69,-0.52,1338.21
425,11.5,11.5,1,1350.46,-0.47,1350.93
430,12,12,1,1378.76,-0.64,1379.4
435,12.5,12.5,1,1324.08,-0.59,1324.67
440,13,13,1,1393.13,-0.59,1393.72
445,13.5,13.5,1,1283.48,-0.69,1284.17
450,14,14,1,1204.76,-0.72,1205.48
455,14.5,14.5,1,916.05,-0.72,916.76
460,15,15,1,913.76,-0.74,914.5
465,15.5,15.5,1,776.49,-0.86,777.35
470,16,16,1,724.06,-0.91,724.97
475,16.5,16.5,1,1034.78,-0.74,1035.52
480,17,17,1,1654.56,-0.74,1655.3
485,17.5,17.5,1,1363.67,-0.74,1364.42
490,18,18,1,1035.17,-0.79,1035.96
495,18.5,18.5,1,696.67,-0.86,697.54
500,19,19,1,628.14,-0.74,628.88
505,19.5,19.5,1,786.81,-0.66,787.47
510,20,20,1,922.52,-0.74,923.26
515,20.5,20.5,1,659.05,-0.67,659.72
520,21,21,1,867.55,-0.81,868.36
525,21.5,21.5,1,1792.53,-0.66,1793.2
530,22,22,1,2169.24,-0.59,2169.83
535,22.5,22.5,1,1151.29,-0.79,1152.08
540,23,23,1,689.1,-0.69,689.78
545,23.5,23.5,1,821.68,-0.81,822.49
550,24,24,1,1008,-0.81,1008.81
555,24.5,24.5,1,1143.47,-0.79,1144.25
560,25,25,1,1462.38,-0.86,1463.24
565,25.5,25.5,1,1775.45,-0.74,1776.19
570,26,26,1,1377.18,-0.81,1378
575,26.5,26.5,1,1356.16,-0.84,1356.99
580,27,27,1,2315.06,-0.86,2315.92
585,27.5,27.5,1,1462.67,-1.06,1463.73
590,28,28,1,1191.65,-0.94,1192.58
595,28.5,28.5,1,1221.4,-0.94,1222.33
600,29,29,1,1639.45,-1.01,1640.45
605,29.5,29.5,1,1429.89,-1.08,1430.97
610,30,30,1,981.45,-1.18,982.63
615,30.5,30.5,1,870.5,-1.21,871.71
620,31,31,1,419.97,-1.33,421.29
625,31.5,31.5,0,229.25,-1.41,230.65
630,32,32,1,132.13,-1.42,133.55
