filename,position_mm,Section_depth_cm,Strat_depth_cm,sample_surface,validity,kcps,MSE,TSN_SUM,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Mn,Fe,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Mo,Cs,Ba,La,Ce,Pr,Nd,Sm,Gd,Tb,Dy,Ho,Er,Tm,Lu,Hf,Ac,Th,U,Cr_inc,Cr_coh,inc+coh,SUM,SUM,REE_SUM,SUM+RRE_SUM,LnK_Ti,LnCa_Ti,LnSr_Ti
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000017.spe,346,3.4,3.4,6.66,1,7685,1.33,2.668702051,0,0,0.486946319,0,0.049867996,0,1.117629803,2.255793488,17.65913758,0,8.075682018,0.610149604,0,22.24112643,0.120269874,0.305074802,0.393077149,0.126136697,0.202405397,0,0,0,0.255206806,1.598709299,0.088002347,0.222939278,0.616016427,0,0.818421825,0.261073629,0,0.18773834,1.425638017,0.733352889,0,0.935758287,0.384276914,0.39601056,0.052801408,0.492813142,0.035200939,0.287474333,0.044001173,0,0.049867996,16.17483133,21.29656791,37.47139924,100,91.02082722,5.192138457,96.21296568,-1.275355536,0.782396033,-1.61966071
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000018.spe,348,3.6,3.6,6.69,1,7308,1.54,2.68287906,0,0,0.547511863,0,0.100377175,0,1.304903273,2.238715172,18.07701667,0.152086629,8.240053534,0.377174839,0.462343351,22.7491179,0,0.060834651,0.243338606,0,0,0,0.018250395,0.048667721,0.170337024,1.222776493,0.057792919,0.416717362,0.55663706,0,0.827351259,0.365007909,0,0.298089792,1.943667113,0.386300037,0,0.702640224,0,0.313298455,0,0.495802409,0,0.203796082,0.112544105,0,0.033459058,15.08699355,22.18639737,37.27339092,100,91.56527558,4.70860202,96.2738776,-1.303104723,0.785634493,-1.907882753
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000019.spe,350,3.8,3.8,6.68,1,6912,1.18,2.874619334,0.051455899,0,0.58114898,0,0.102911799,0,1.247048853,2.427507718,18.40305103,0.054482717,8.986621466,0.678007143,1.691991041,23.16423512,0.108965434,0.030268176,0.217930867,0.181609056,0,0.084750893,0.069616805,0.208850415,0.078697258,1.056359344,0,0.402566741,0.711302137,0,0.678007143,0.281494037,0,0,1.404443368,0.466129911,0.148314063,0.269386767,0.027241358,0.121072704,0.142260427,0.547853986,0.184635874,0.184635874,0.084750893,0,0.133179975,13.03650342,21.7507113,34.78721472,100,90.73793813,3.77746837,94.5154065,-1.308871867,0.7167795,-2.140908553
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000020.spe,352,4,4,6.69,1,6751,1.58,2.576530174,0,0,0.463117212,0,0.073299127,0,1.31272073,2.102352236,16.65889252,0.263210502,8.679283001,0.429799427,0.216565603,23.35576731,0,0,0.19990671,0,0,0,0.086626241,0.293196508,0.069967349,1.386019857,0.319850736,0.42313587,0.673019258,0,0.029986007,0.336509629,0.206570267,0.166588925,1.289398281,0.499766776,0,0.146598254,0,0.429799427,0.126607583,0.649696808,0.046644899,0.02332245,0.056640235,0.02332245,0.149930033,16.00253215,22.80935563,38.81188779,100,92.75338176,3.921503298,96.67488505,-1.417882092,0.652005237,-1.834502694
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000021.spe,354,4.2,4.2,6.69,1,6844,1.24,2.698678642,0,0,0.361623144,0,0.028801843,0,1.344086022,2.352150538,18.1547619,0.096006144,8.176523297,0.307219662,0,22.94866871,0.124807988,0.185611879,0.153609831,0,0.131208397,0.198412698,0.230414747,0.073604711,0.115207373,1.481694828,0.083205325,0.400025602,0.521633385,0,0.806451613,0.384024578,0,0.204813108,1.644905274,0.374423963,0,0.300819252,0,0.060803891,0.300819252,0.553635433,0.320020481,0.089605735,0.17281106,0.016001024,0.246415771,15.92741935,21.12775218,37.05517153,100,91.60586278,4.233870968,95.83973374,-1.245937003,0.797665855,-1.708080449
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000022.spe,356,4.4,4.4,6.71,1,6361,1.21,2.677966102,0.031297816,0,0.504242593,0,0.104326054,0,1.742245097,2.364723884,17.06078731,0.201697037,8.040061205,0.615523717,0,22.5344276,0,0.093893448,0.27820281,0.079983308,0.219084713,0.1286688,0,0.396439004,0.017387676,1.783975518,0.1286688,0.42078175,0.657254138,0,0.625956322,0.27820281,0,0.055640562,1.429266936,0.730282376,0,0.306023091,0,0.490332452,0.166921686,0.636388928,0.14953401,0.156489081,0.191264432,0,0.038252886,14.14661288,23.19515927,37.34177215,100,90.98622896,4.399081931,95.38531089,-1.223775432,0.752345995,-1.505592385
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000023.spe,358,4.6,4.6,6.69,1,5956,2.07,2.894997889,0,0,0.528560493,0,0.043742937,0,1.851784347,2.238180294,17.54820836,0.153100281,8.508001312,0.156745525,0,25.32351547,0,0,0.123938322,0.430138884,0,0,0,0.196843218,0.193197973,1.72420078,0,0.2442314,0.831115809,0,0.947763642,0.317136296,0,0.455655597,1.600262458,0.087485875,0,0.277038603,0,0.302555317,0.233295666,0.528560493,0.262457624,0.120293078,0.200488463,0,0.029161958,15.10953961,19.43279991,34.54233952,100,91.61229177,4.184741005,95.79703277,-1.335343885,0.723944805,-1.596243424
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000024.spe,360,4.8,4.8,6.67,1,5540,1.74,2.999776011,0,0,0.462945679,0,0,0,1.732312862,2.22139257,18.86130297,0,8.627963412,0.563748367,1.739779727,24.36811648,0.041067762,0.156804181,0.238939705,0.074668658,0,0,0,0.097069255,0.112002987,1.803248087,0.14187045,0.642150457,0.548814635,0,0.92962479,0.112002987,0,0.033600896,1.594175845,0.280007467,0.153070749,0.280007467,0.220272541,0.276274034,0,0.212805675,0,0.089602389,0,0,0.048534628,13.17528467,20.16053761,33.33582229,100,91.11069629,3.251820049,94.36251633,-1.356874205,0.782103873,-1.565418957
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000025.spe,362,5,5,6.62,1,6756,1.85,3.297098111,0.016764459,0,0.578373847,0,0.086616373,0,1.279687063,2.455993294,21.07851355,0.248672814,7.963118189,0.773959206,0,27.71444538,0.064263761,0,0.156468287,0.354847723,0,0,0,0,0.117351215,1.302039676,0.09779268,0.34925957,0.371612182,0,1.327186365,0.379994412,0,0,0.977926795,0.586756077,0,0.276613579,0,0.061469684,0,0.514110087,0.206761665,0.195585359,0.013970383,0.036322995,0.083822297,13.29142218,17.03827885,30.32970103,100,92.29952501,3.199217659,95.49874267,-1.176289376,0.973433551,-1.810888639
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000026.spe,364,5.2,5.2,6.65,1,5850,1.72,3.404933544,0.023156572,0,0.678156737,0,0.03969698,0,1.525025638,2.418207681,21.0129346,0,9.454497337,0.347348573,0.787323431,26.78222899,0,0.095934368,0.287803103,0.066161633,0,0,0,0.208409144,0.089318204,1.485328658,0.248106123,0.549141553,0.453207185,0,0.850176982,0.304343511,0,0,0.757550696,0.605378941,0,0.22164147,0.22164147,0.314267756,0,0.191868735,0,0.271262695,0.086010123,0.152171756,0.102550531,11.66429587,17.70485296,29.36914883,100,92.49065467,2.887955275,95.37860994,-1.363463899,0.798647644,-1.850854471
