Age_Sh20,90_30S_,Upper_1s,Lower_1s
0,0.820333952,1.152111366,0.488556539
100,0.581318268,0.963852473,0.198784064
200,0.163712523,0.54727715,-0.219852104
300,-0.204247895,0.080144173,-0.488639962
400,-0.174335696,0.122583048,-0.47125444
500,-0.385177057,-0.062944576,-0.707409539
600,-0.185580037,0.132447705,-0.503607779
700,-0.310332473,-0.02155347,-0.599111476
800,0.02299443,0.278541119,-0.232552258
900,-0.046879494,0.22042797,-0.314186958
1000,-0.039467678,0.213031735,-0.291967091
1100,0.001556601,0.269318338,-0.266205137
1200,0.027557084,0.293983215,-0.238869048
1300,-0.015141714,0.25543846,-0.285721888
1400,0.001322394,0.251232263,-0.248587475
1500,-0.155388136,0.103619646,-0.414395918
1600,-0.286203086,-0.023043855,-0.549362317
1700,-0.32339988,-0.068558934,-0.578240826
1800,-0.357758259,-0.093725246,-0.621791272
1900,-0.273356855,-0.00719231,-0.539521399
2000,-0.312688311,-0.066052228,-0.559324394
2100,-0.27625788,-0.023768399,-0.528747361
2200,-0.266901214,0.005389691,-0.539192119
2300,-0.307894018,0.004577209,-0.620365245
2400,-0.376632689,-0.083611785,-0.669653594
2500,-0.22511027,0.050552794,-0.500773334
2600,-0.180798343,0.076857768,-0.438454454
2700,-0.159660128,0.124071713,-0.443391968
2800,-0.020151177,0.262272915,-0.302575269
2900,-0.030053126,0.22989393,-0.290000181
3000,-0.075648269,0.161198345,-0.312494883
3100,-0.010866068,0.238003523,-0.259735659
3200,-0.073450328,0.178676081,-0.325576737
3300,-0.110544334,0.118231432,-0.339320099
3400,-0.040866804,0.185038613,-0.266772222
3500,0.040848237,0.277001835,-0.195305362
3600,0.12715137,0.3630788,-0.10877606
3700,0.15661574,0.38576761,-0.07253613
3800,0.062601649,0.286446948,-0.16124365
3900,-0.013272778,0.190214853,-0.216760409
4000,-0.056336724,0.149825867,-0.262499314
4100,-0.085193733,0.129127144,-0.299514611
4200,-0.064284013,0.177113348,-0.305681374
4300,0.015264512,0.261912887,-0.231383864
4400,0.086116543,0.302137738,-0.129904652
4500,0.085006106,0.282735671,-0.112723458
4600,0.001281594,0.198207996,-0.195644808
4700,-0.073679634,0.109533258,-0.256892526
4800,-0.058467512,0.12659407,-0.243529094
4900,-0.01062529,0.171362529,-0.192613108
5000,0.03685453,0.208162015,-0.134452956
5100,0.074373551,0.246297025,-0.097549923
5200,0.091653339,0.268917871,-0.085611193
5300,0.084201751,0.282778877,-0.114375376
5400,0.050366806,0.271232077,-0.170498465
5500,0.026554185,0.264914528,-0.211806157
5600,0.023835273,0.259063376,-0.211392829
5700,0.061159856,0.283363585,-0.161043872
5800,0.073713549,0.291360542,-0.143933444
5900,0.054232878,0.274093609,-0.165627853
6000,0.018800789,0.246134526,-0.208532948
6100,0.000255014,0.220038432,-0.219528403
6200,-0.030957372,0.198627072,-0.260541815
6300,-0.044359744,0.200094071,-0.288813558
6400,-0.049537673,0.205845694,-0.304921041
6500,-0.057350657,0.202976685,-0.317677998
6600,-0.07118642,0.188027513,-0.330400353
6700,-0.052546659,0.204368479,-0.309461797
6800,-0.053514901,0.207420548,-0.314450349
6900,-0.078005564,0.177666863,-0.33367799
7000,-0.078925592,0.187522142,-0.345373326
7100,-0.076873232,0.209428249,-0.363174712
7200,-0.043705148,0.247583741,-0.334994037
7300,0.0085519,0.293999225,-0.276895426
7400,0.051234197,0.339603257,-0.237134863
7500,0.095744992,0.373367112,-0.181877128
7600,0.116290792,0.382285413,-0.14970383
7700,0.112225544,0.379516295,-0.155065207
7800,0.059994585,0.331940202,-0.211951032
7900,0.01492817,0.297240843,-0.267384502
8000,-0.01426067,0.280399793,-0.308921134
8100,-0.016246556,0.279718223,-0.312211334
8200,-0.005631385,0.297342146,-0.308604916
8300,0.008446575,0.29769038,-0.280797229
8400,0.044869414,0.326704736,-0.236965907
8500,0.083839738,0.357510925,-0.18983145
8600,0.135836821,0.398855338,-0.127181697
8700,0.189555859,0.448862567,-0.069750849
8800,0.218242452,0.478691292,-0.042206387
8900,0.230664727,0.488545037,-0.027215584
9000,0.228006551,0.486364871,-0.030351769
9100,0.223594139,0.487952857,-0.040764579
9200,0.230807364,0.498697791,-0.037083064
9300,0.29601394,0.56687367,0.025154211
9400,0.36637213,0.62966753,0.10307673
9500,0.414094835,0.677834117,0.150355553
9600,0.437871206,0.701733073,0.174009338
9700,0.453164499,0.712133809,0.194195189
9800,0.47716702,0.733174476,0.221159563
9900,0.493635322,0.743469502,0.243801143
10000,0.497415203,0.743096599,0.251733806
10100,0.491863939,0.739549057,0.24417882
10200,0.486500693,0.741514991,0.231486394
10300,0.46651293,0.728061971,0.20496389
10400,0.451284602,0.721373159,0.181196046
10500,0.423379354,0.695036364,0.151722345
10600,0.375583335,0.648008517,0.103158154
10700,0.327487173,0.606601007,0.048373339
10800,0.298142076,0.569426481,0.026857672
10900,0.30671565,0.579696638,0.033734661
11000,0.312281309,0.589378889,0.03518373
11100,0.289909333,0.573244703,0.006573962
11200,0.245381184,0.533791685,-0.043029318
11300,0.225668846,0.526482523,-0.075144831
