id,ages,ageSds,position,thickness,calCurves,LabID,altitude
Fildes1cosmo,6630,520,0,1,normal,NA,43
Fildes2cosmo,6510,520,0,1,normal,NA,40
Fildes3cosmo,6610,550,0,1,normal,NA,39
BP_Bedrock_1,15443,2500,0,1,normal,NA,265
BP_Bedrock_2,11843,2300,0,1,normal,NA,165
BP_Bedrock_3,7543,1600,0,1,normal,NA,164
BP_Bedrock_4,3743,900,0,1,normal,NA,124
BP_Bedrock_5,3343,700,0,1,normal,NA,123
BP_Bedrock_6,1943,1000,0,1,normal,NA,120
BP_Bedrock_7,4943,1200,0,1,normal,NA,107
BP_Bedrock_8,1843,1000,0,1,normal,NA,62
BP_Bedrock_9,943,700,0,1,normal,NA,41
