Depth_cm,Age_Mar20,Fcurta_Fkerg,PelagicOW_pc,age1,mean12ka,age2,mean12ka
0,105.5,1.564705882,16.80532446,-100,1.196005885,-100,17.80863743
8,303.7,1.393939394,14.05228758,12000,1.196005885,12000,17.80863743
16,494.8,0.735849057,18.71921182,,,,
24,690.7,1.622641509,14.67268623,,,,
36,985.3,2.291666667,13.46153846,,,,
40,1083.1,1.008,19.2124105,,,,
48,1279.7,0.889908257,16.68726823,,,,
56,1472.7,1.275,17.88519637,,,,
64,1666.9,1.776699029,15.68389058,,,,
72,1861.5,1.243478261,16.64641555,,,,
80,2055.9,1.327433628,16.83343143,,,,
88,2250.9,0.954954955,18.02575107,,,,
96,2449.9,1.32,16.6387493,,,,
104,2640.8,2.677419355,11.88599151,,,,
112,2835.4,1.356521739,16.68696711,,,,
120,3030.5,1.112903226,17.62220881,,,,
128,3226.4,0.932432432,23.19187089,,,,
136,3421.1,1.550458716,18.82793017,,,,
144,3614.4,1.224637681,22.20895522,,,,
152,3810.1,1.078125,18.36228288,,,,
160,4003.9,0.664516129,24.26829268,,,,
168,4198.7,0.826589595,24.62077013,,,,
176,4393.1,0.762886598,28.18627451,,,,
184,4585.1,0.51627907,31.19060928,,,,
192,4781.1,0.459090909,31.76119403,,,,
200,4977.7,0.584745763,28.38137472,,,,
208,5170.9,0.740740741,25.10612492,,,,
216,5367.7,0.535519126,27.03990471,,,,
224,5564.3,1.325842697,23.54354354,,,,
232,5758.8,0.852459016,26.8190018,,,,
240,5950.3,1.328767123,18.99179367,,,,
248,6147.1,1.086666667,19.47743468,,,,
256,6339.6,2.162162162,15.12805241,,,,
264,6530.3,1.592307692,18.81785283,,,,
272,6724.9,0.945054945,24.86551106,,,,
280,6918.6,0.888297872,23.18501171,,,,
288,7163.8,0.871165644,22.75737508,,,,
296,7453.8,0.455958549,26.59380692,,,,
304,7743.7,0.374358974,26.4957265,,,,
312,8032.5,0.621621622,23.16284539,,,,
320,8323.9,0.814285714,18.33740831,,,,
328,8617.3,1.606382979,10.96849475,,,,
336,8906.8,1.482758621,7.290400972,,,,
344,9199.4,0.9125,11.09770808,,,,
352,9490.9,0.680851064,11.64342025,,,,
360,9781.3,0.980769231,6.97954272,,,,
368,10068.8,1.588235294,5.291641612,,,,
376,10352.2,1.074074074,7.073170732,,,,
384,10643.9,2.068965517,6.900517539,,,,
392,10939.9,1.472222222,9.414604707,,,,
400,11231.2,2.355555556,5.968331303,,,,
408,11485.9,0.808988764,12.08791209,,,,
416,11685,2.326923077,7.411835027,,,,
420,11785.3,1.48,6.698564593,,,,
