Depth_cm,Age_BP_Sh13,Age_BP_Sh20_min,Age_BP_Sh20_max,Age_BP_Sh20_median,Age_BP_Sh20_mean,RABD620,R850_R900,LOESS_100_age,LOESS_100_R850_R900,Predicted,Residuals,age_plot,R850_R900_mean,R850_R900_sd,Depth_0.1cm,Age_BP_Sh20_min_0.1cm,Age_BP_Sh20_max_0.1cm,Age_BP_Sh20_median_0.1cm,Age_BP_Sh20_mean_0.1cm,R850_R900_0.1cm,Depth_0.1cm,Age_BP_Sh20_min_0.5cm,Age_BP_Sh20_max_0.5cm,Age_BP_Sh20_median_0.5cm,Age_BP_Sh20_mean_0.5cm,R850_R900_0.5cm,,depth,min,max,median,mean
0.12348,-61.7,-65.8,-59.53,-62.5,-62.5,1.025495007,0.983969043,1700,1.020718027,0.991802076,-0.007833033,,,,1.8,-63.5,-38.83,-56.33,-54.55,0.992933656,9,-21.52,-4.61,-11.08,-11.63,0.969528909,,0.12348,-65.8,-59.53,-62.5,-62.5
0.13034,-61.6,-65.77,-59.48,-62.46,-62.46,1.023806095,0.984142599,1800,1.019322903,0.991819175,-0.007676576,,,,1.9,-63.44,-37.37,-55.95,-54.06,1.030743791,9.5,-14.19,-3.95,-8.46,-8.57,0.974333664,,0.13034,-65.77,-59.48,-62.46,-62.46
0.1372,-61.5,-65.76,-59.43,-62.43,-62.42,1.028535054,0.991067167,1900,1.018165162,0.991836033,-0.000768866,,,,2,-63.4,-35.97,-55.59,-53.58,1.040799855,10,-8.56,-2.41,-5.53,-5.5,0.958769342,,0.1372,-65.76,-59.43,-62.43,-62.42
0.14406,-61.4,-65.73,-59.38,-62.39,-62.38,1.028144701,0.993028476,2000,1.012964424,0.991852878,0.001175598,,,,2.1,-62.65,-35.55,-55.07,-53.05,1.018447022,10.5,-5.93,7.79,-1.21,-0.7,0.959001652,,0.14406,-65.73,-59.38,-62.39,-62.38
0.15092,-61.3,-65.71,-59.32,-62.35,-62.34,1.025946521,0.995408843,2100,1.014966969,0.991869539,0.003539304,,,,2.2,-62.08,-35.31,-54.51,-52.53,1.000758469,11,-5.32,20.52,2.91,4.11,0.951265497,,0.15092,-65.71,-59.32,-62.35,-62.34
0.15778,-61.2,-65.68,-59.21,-62.3,-62.3,1.024130264,0.998769678,2200,1.01455546,0.991886203,0.006883475,,,,2.3,-61.65,-35.14,-53.91,-52,0.987660658,11.5,-4.64,32.69,7.13,8.91,0.933233633,,0.15778,-65.68,-59.21,-62.3,-62.3
0.16464,-61.2,-65.65,-59.14,-62.26,-62.26,1.026218254,0.998211931,2300,1.014110474,0.991886203,0.006325728,,,,2.4,-61.31,-34.76,-53.29,-51.47,0.983459577,12,-4.21,45.41,11.24,13.72,0.948648516,,0.16464,-65.65,-59.14,-62.26,-62.26
0.1715,-61.1,-65.62,-59.09,-62.22,-62.22,1.023223341,1.002978278,2400,1.014076852,0.991902698,0.01107558,,,,2.5,-61.06,-34.07,-52.69,-50.95,0.97828093,12.5,0.31,48.26,16.44,18.71,0.943242635,,0.1715,-65.62,-59.09,-62.22,-62.22
0.17836,-61,-65.6,-59.04,-62.19,-62.18,1.020028636,1.006986406,2500,1.014461166,0.99191921,0.015067196,,,,2.6,-60.85,-33.5,-51.96,-50.42,1.006628469,13,2.11,51.72,22.31,23.71,0.967155712,,0.17836,-65.6,-59.04,-62.19,-62.18
0.18522,-60.9,-65.58,-58.98,-62.17,-62.15,1.020070012,1.010827114,2600,1.015587289,0.991935481,0.018891633,,,,2.7,-60.59,-33.17,-51.36,-49.9,1.005688418,13.5,3.64,57.06,27.84,28.71,0.988927395,,0.18522,-65.58,-58.98,-62.17,-62.15
0.19208,-60.8,-65.55,-58.9,-62.14,-62.11,1.020607056,1.013128638,2700,1.016756301,0.991951718,0.02117692,,,,2.8,-60.31,-32.87,-50.76,-49.37,0.992809797,14,5.32,65.32,32.85,33.71,0.977404943,,0.19208,-65.55,-58.9,-62.14,-62.11
0.19894,-60.7,-65.53,-58.82,-62.11,-62.07,1.023895498,1.017272853,2800,1.017572289,0.991967816,0.025305037,,,,2.9,-60.09,-32.57,-50.21,-48.85,0.984263654,14.5,13.44,67.83,37.39,38.57,0.98008245,,0.19894,-65.53,-58.82,-62.11,-62.07
0.2058,-60.6,-65.5,-58.74,-62.08,-62.03,1.01957477,1.012208375,2900,1.02283847,0.991983894,0.020224481,,,,3,-59.86,-32.27,-49.63,-48.32,0.978465228,15,19.83,70.5,42.4,43.44,0.9824242,,0.2058,-65.5,-58.74,-62.08,-62.03
0.21266,-60.5,-65.48,-58.65,-62.05,-61.99,1.020607262,1.004899613,3000,1.027739461,0.99199978,0.012899833,,,,3.1,-59.67,-32.03,-48.92,-47.79,0.989380223,15.5,24.61,76.16,47.98,48.31,0.978325805,,0.21266,-65.48,-58.65,-62.05,-61.99
0.21952,-60.5,-65.46,-58.55,-62.02,-61.95,1.018774472,0.995617608,3100,1.034963513,0.99199978,0.003617828,,,,3.2,-59.47,-31.54,-48.28,-47.27,0.990486218,16,28.07,81.46,53.34,53.17,1.017286362,,0.21952,-65.46,-58.55,-62.02,-61.95
0.22638,-60.4,-65.45,-58.48,-61.99,-61.91,1.020097268,0.990531991,3200,1.038945362,0.992015677,-0.001483686,,,,3.3,-59.27,-30.92,-47.62,-46.74,0.991371565,16.5,38.08,131.83,69.62,74.92,1.029471438,,0.22638,-65.45,-58.48,-61.99,-61.91
0.23324,-60.3,-65.44,-58.41,-61.96,-61.87,1.025325397,0.99197341,3300,1.037712016,0.992031482,-5.81E-05,,,,3.4,-59.1,-30.08,-46.84,-46.22,1.000706068,17,45.35,202.73,84.03,96.68,1.040393508,,0.23324,-65.44,-58.41,-61.96,-61.87
