Age_Sh13,NAP_pollen,SAM_index_reconstruction
-0.0567,20,2.756234342
-0.0503,20.7,2.756234342
-0.0439,16.7,2.756234342
-0.0283,20,2.756234342
-0.0126,15.4,1.915205471
0.0039,15.3,1.915205471
0.0205,15.6,1.915205471
0.0582,18.5,1.915205471
0.0958,12.8,1.915205471
0.1462,3.4,-0.983379669
0.1967,1.3,-0.983379669
0.2699,2,-0.983379669
0.343,2.1,-0.983379669
0.3737,2.8,-0.983379669
0.4043,1.6,-1.211021078
0.4145,1.6,-1.211021078
0.4246,1.8,-1.211021078
0.5154,0.8,-1.211021078
0.6063,1.6,-1.211021078
0.6137,0.3,-1.211021078
0.6212,1.9,-1.137092517
0.6312,2.2,-1.137092517
0.6411,1.1,-1.137092517
0.6465,1.2,-1.137092517
0.6518,1.7,-1.137092517
0.6633,2.5,-0.940193678
0.6748,2.3,-0.940193678
0.6772,2.7,-0.940193678
0.6796,2.9,-0.940193678
0.688,2.4,-0.940193678
0.6965,2.3,-0.940193678
0.7264,3.4,-0.570550876
0.7563,4.1,-0.570550876
0.7715,3,-0.570550876
0.7867,5.8,-0.570550876
0.8065,4.7,-0.570550876
0.8263,7.5,0.367097499
0.8548,8.1,0.367097499
0.8832,6,0.367097499
0.8887,7.3,0.367097499
0.8941,10.8,0.367097499
0.9206,8.9,0.367097499
0.9472,6.4,0.367097499
0.9701,11.8,0.367097499
0.993,7.3,0.367097499
1.004,10.6,0.367097499
1.015,6,-0.570550876
1.0247,3.2,-0.570550876
1.0345,4,-0.570550876
1.1088,3.6,-0.570550876
1.1831,1.8,-1.031689421
1.2019,2.4,-1.031689421
1.2207,4.1,-0.84033261
1.2524,2.6,-0.84033261
1.284,3.7,-0.84033261
1.3136,3.3,-0.84033261
1.3431,2.6,-0.84033261
1.3761,1.9,-0.84033261
1.4091,2.6,-0.84033261
1.4392,4.3,-0.548591898
1.4694,6.7,-0.021576418
1.4939,7.6,0.439562127
1.5184,9.6,0.439562127
1.5333,8.7,0.439562127
1.5483,9.3,0.439562127
1.574,4.1,-0.226526882
1.5998,5.4,-0.226526882
