id,ages,ageSds,position,thickness,calCurves,LabID,altitude
ByP_Lake 48,4570,60,0,1,shcal20,Ua-3923,120
ByP_Lake 9,2830,250,0,1,shcal20,Lu-3466,100
ByP_Lake 29,3210,220,0,1,shcal20,Lu-3463,100
ByP_Cerro Negro Lake_1,1855,15,0,1,shcal20,ULA-4246,100
ByP_Cerro Negro Lake_2,1955,20,0,1,shcal20,ULA-4701,100
ByP_Cerro Negro Lake_3,2690,15,0,1,shcal20,ULA-4250,100
ByP_Cerro Negro Lake_4,3010,20,0,1,shcal20,ULA-4245,100
ByP_Chester Lake,4575,20,0,1,shcal20,ULA-4253,95
ByP_Chester Cone Lake (Lake 2),2830,130,0,1,shcal20,Lu-3144,95
ByP_Escondido Lake_1,1485,20,0,1,shcal20,ULA-4650,92
ByP_Escondido Lake_2,1605,15,0,1,shcal20,ULA-4256,92
ByP_Escondido Lake_3,1830,20,0,1,shcal20,ULA-4651,92
ByP_Escondido Lake_4,1810,20,0,1,shcal20,ULA-4704,92
ByP_Escondido Lake_5,2010,15,0,1,shcal20,ULA-4248,92
ByP_Escondido Lake_6,2195,20,0,1,shcal20,ULA-4702,120
ByP_Escondido Lake_7,2375,20,0,1,shcal20,ULA-4654,92
ByP_Escondido Lake_8,2595,20,0,1,shcal20,ULA-4655,92
ByP_Escondido Lake_9,2600,20,0,1,shcal20,ULA-4247,92
ByP_Escondido Lake_10,2925,20,0,1,shcal20,ULA-4653,92
ByP_Escondido Lake_11,3220,20,0,1,shcal20,ULA-4652,92
ByP_Escondido Lake_12,3325,25,0,1,shcal20,ULA-4663,92
ByP_Escondido Lake_13,3630,15,0,1,shcal20,ULA-4255,92
ByP_Escondido Lake_14,3765,15,0,1,shcal20,ULA-4254,92
ByP_Escondido Lake_15,4265,20,0,1,shcal20,ULA-4703,92
ByP_Escondido Lake_16,4600,20,0,1,shcal20,ULA-4243,92
ByP_ByP_Lake 49,3730,400,0,1,shcal20,Lu-3473,80
ByP_Limnopolar Lake_1,555,30,0,1,shcal20,Poz-39062,80
ByP_Limnopolar Lake_2,565,30,0,1,shcal20,Poz-39063,80
ByP_Limnopolar Lake_3,490,30,0,1,shcal20,Beta-299978,80
ByP_Limnopolar Lake_4,580,30,0,1,shcal20,Poz-39064,80
ByP_Limnopolar Lake_5,850,30,0,1,shcal20,Poz-39066,80
ByP_Limnopolar Lake_6,1045,35,0,1,shcal20,Poz-39067,80
ByP_Limnopolar Lake_7,1280,30,0,1,shcal20,Poz-39068,80
