Age_Sh13,NAP_pollen,SAM_index_reconstruction
-56.7,20,2.756234342
-50.3,20.7,2.756234342
-43.9,16.7,2.756234342
-28.3,20,2.756234342
-12.6,15.4,1.915205471
3.9,15.3,1.915205471
20.5,15.6,1.915205471
58.2,18.5,1.915205471
95.8,12.8,1.915205471
146.2,3.4,-0.983379669
196.7,1.3,-0.983379669
269.9,2,-0.983379669
343,2.1,-0.983379669
373.7,2.8,-0.983379669
404.3,1.6,-1.211021078
414.5,1.6,-1.211021078
424.6,1.8,-1.211021078
515.4,0.8,-1.211021078
606.3,1.6,-1.211021078
613.7,0.3,-1.211021078
621.2,1.9,-1.137092517
631.2,2.2,-1.137092517
641.1,1.1,-1.137092517
646.5,1.2,-1.137092517
651.8,1.7,-1.137092517
663.3,2.5,-0.940193678
674.8,2.3,-0.940193678
677.2,2.7,-0.940193678
679.6,2.9,-0.940193678
688,2.4,-0.940193678
696.5,2.3,-0.940193678
726.4,3.4,-0.570550876
756.3,4.1,-0.570550876
771.5,3,-0.570550876
786.7,5.8,-0.570550876
806.5,4.7,-0.570550876
826.3,7.5,0.367097499
854.8,8.1,0.367097499
883.2,6,0.367097499
888.7,7.3,0.367097499
894.1,10.8,0.367097499
920.6,8.9,0.367097499
947.2,6.4,0.367097499
970.1,11.8,0.367097499
993,7.3,0.367097499
1004,10.6,0.367097499
1015,6,-0.570550876
1024.7,3.2,-0.570550876
1034.5,4,-0.570550876
1108.8,3.6,-0.570550876
1183.1,1.8,-1.031689421
1201.9,2.4,-1.031689421
1220.7,4.1,-0.84033261
1252.4,2.6,-0.84033261
1284,3.7,-0.84033261
1313.6,3.3,-0.84033261
1343.1,2.6,-0.84033261
1376.1,1.9,-0.84033261
1409.1,2.6,-0.84033261
1439.2,4.3,-0.548591898
1469.4,6.7,-0.021576418
1493.9,7.6,0.439562127
1518.4,9.6,0.439562127
1533.3,8.7,0.439562127
1548.3,9.3,0.439562127
1574,4.1,-0.226526882
1599.8,5.4,-0.226526882
1622.1,4.6,-0.226526882
1644.4,6.6,-0.226526882
1658.9,5.8,-0.226526882
1673.4,8.1,-0.226526882
1702.1,4.1,-0.998750954
1730.8,2.1,-0.998750954
1740.4,1.6,-0.998750954
1749.9,1.8,-0.998750954
1765.3,1.7,-0.998750954
1780.6,2.2,-0.998750954
1862.5,2.8,-0.817589382
1944.3,3.2,-0.817589382
2009.4,6.1,-0.817589382
2074.4,3.9,-0.817589382
2152.8,2.4,0.040640688
2231.3,6.5,0.040640688
2236.5,6.8,0.040640688
2241.7,8.6,0.040640688
2284.5,8.7,0.040640688
2327.3,5.3,0.040640688
2370.5,6,-0.581530365
2413.6,4.9,-0.581530365
2456.8,3.4,-1.104886016
2499.9,2.4,-1.104886016
2518.3,1.6,-1.104886016
2536.8,1.3,-0.962675489
2551.9,3,-0.962675489
2567,1.6,-0.962675489
2586,2.8,-0.962675489
2605,2.9,-0.962675489
2622,2.3,-0.962675489
2639.1,2.6,-0.962675489
2667.6,1.7,-0.219207223
2696.1,5.6,-0.219207223
2709.9,6.3,-0.219207223
2723.8,5.5,0.511427875
2774.6,8.8,0.511427875
2825.4,9.6,0.511427875
2836.8,6.6,0.511427875
2848.1,6.8,0.511427875
2866.9,5.3,0.511427875
2885.7,8.4,0.511427875
2909.7,10.6,0.511427875
2933.7,6.6,0.511427875
2969.3,7.8,0.511427875
3004.9,15.2,0.511427875
3038.6,14.7,-0.671562176
3072.3,4.2,-0.671562176
3114.5,3.1,-0.671562176
3156.6,3.8,-0.671562176
3166.6,3.6,-0.671562176
3176.6,4,0.869958103
3226.1,9,0.869958103
3275.6,10.3,0.869958103
3316.1,12.5,0.869958103
3356.6,12.1,0.869958103
3405,9.9,0.421994945
3453.4,7.4,0.421994945
3463.2,10.9,0.421994945
3473.1,8,0.421994945
3483.5,8.2,0.421994945
3493.9,9.1,-0.676685938
3532.4,3.6,-0.676685938
3570.8,3.6,-0.676685938
3616.6,3.2,-0.676685938
3662.3,3.8,-0.676685938
3698.2,4.3,-0.676685938
3734,3.8,0.544965223
3757.2,8,0.544965223
3780.5,7.4,0.544965223
3841.8,10.4,0.544965223
3903.1,10.8,0.544965223
3966.5,9.8,-0.109412331
4029.9,7.2,-0.109412331
4054.1,6.6,-0.109412331
4078.4,4.1,-0.109412331
4102.5,7.3,-0.757202192
4126.6,2.5,-0.757202192
4170.6,5.4,-0.757202192
4214.7,2.1,-0.757202192
4264.3,3.7,-0.757202192
4314,3.2,-0.757202192
4352.9,3.2,-0.514084932
4391.8,4,-0.514084932
4402.9,3.8,-0.514084932
4413.9,5.7,-0.514084932
4455,5,-0.514084932
4496.1,4.2,-0.514084932
4525.9,4.4,-0.514084932
4555.8,4.1,0.351726214
4572.4,6.2,0.351726214
4589.1,6.6,0.351726214
4624.1,7.5,0.351726214
4659.2,9.1,0.351726214
4734.6,12.7,0.351726214
4810,8.3,-0.71877398
4892.4,6.3,-0.71877398
4974.8,2.9,-0.71877398
5000.9,5.3,-0.71877398
5026.9,2.4,-0.71877398
5061.3,3.9,-0.71877398
5095.7,2.2,-0.71877398
5195.4,2.7,-0.71877398
5295.1,2.5,-0.238029204
5304.8,7.2,-0.238029204
5314.6,5.2,-0.238029204
5416.2,6.7,-0.238029204
5517.8,8.6,-0.238029204
5526.3,5,-0.238029204
5534.8,4,-0.238029204
5568.7,3.3,0.648172421
5602.5,9.9,0.648172421
5622.8,9.6,0.236441578
5643.2,7.4,0.236441578
5699.9,7.6,0.236441578
5756.6,7.9,0.236441578
5773.5,8.6,-0.034124405
5790.5,6.4,-0.034124405
5806.9,3.9,-0.034124405
5823.3,6.5,-0.034124405
5856.6,10.6,-0.034124405
5889.9,6.6,-0.034124405
5915.3,5.6,-0.034124405
5940.8,6.9,-1.070117633
6051.7,2.5,-1.070117633
6162.6,2.4,-1.070117633
6194.7,1.3,-1.070117633
6226.7,1.5,-0.6474073
6242.5,2.7,-0.6474073
6258.4,5,-1.020709932
6279.9,2,-1.020709932
6301.3,1.9,-1.020709932
6357,2.7,-1.020709932
6412.7,2,-0.947513338
6432.2,2.6,-0.947513338
6483,2.8,-0.947513338
6533.7,2.6,-0.947513338
6579.2,2.5,-0.947513338
6624.7,1.7,-0.947513338
6633,2.7,-0.705964576
6641.3,2.9,-0.705964576
6675.5,3.2,-0.705964576
6709.8,2.8,-0.705964576
6797.3,4.7,-0.705964576
6884.9,4.1,-0.705964576
6940.6,3.8,0.266330187
6996.3,7.8,0.266330187
7044,2.9,0.266330187
7091.7,4.5,0.266330187
7124.8,9.1,0.266330187
7158,10.5,0.266330187
7180.6,6.4,0.266330187
7203.2,10.3,0.266330187
7241.4,10.2,0.266330187
7279.6,10.4,0.307808257
7308.3,8.2,-0.798924251
7337,2.6,-0.798924251
7392.5,2,-0.798924251
7448.1,2.6,-0.798924251
7467.4,4.1,-0.798924251
7486.7,4.5,1.663775169
7519.4,11.5,1.663775169
7552,18.2,1.663775169
7620.1,14.5,1.663775169
7688.3,13.3,2.430509496
7705.5,18.4,2.430509496
7722.6,18.4,2.430509496
7765.1,16.8,1.738278846
7807.6,14.9,1.738278846
7842.7,15.2,1.738278846
7877.8,12.5,1.738278846
7933.4,12.4,1.738278846
7988.9,16,1.738278846
8025.4,16.9,1.738278846
8061.9,15.1,1.089547886
8103,12.4,1.089547886
8144.1,11.8,1.089547886
8177.5,13,1.089547886
8210.8,11.8,1.089547886
8252.9,9.8,1.510062321
8295.1,14.5,1.510062321
8320.2,13.6,1.510062321
8345.2,17.1,1.510062321
8388.1,13.8,1.510062321
8430.9,12.8,1.510062321
8447.3,12,1.510062321
8463.6,13.3,1.510062321
8515.3,12.3,1.860621725
8567,14.8,1.860621725
8621.4,13.3,1.860621725
8675.7,15.1,1.860621725
8697.4,15.6,1.860621725
8719.1,14.9,1.860621725
8772.2,17.8,1.860621725
8825.4,15.4,0.768946802
8897.9,9.8,0.768946802
8970.5,8.8,0.768946802
8995.7,10.6,0.768946802
9020.9,12.7,0.768946802
9048.4,9.9,0.768946802
9075.9,10,0.472500595
9127.7,8.4,0.472500595
9179.5,6.3,0.472500595
9226.4,8.8,0.472500595
9273.3,10.9,0.472500595
9289,11.3,0.472500595
9304.7,8,-0.538832352
9381,4.8,-0.538832352
9457.2,3.6,-0.538832352
9490.4,5,-0.538832352
9523.7,4.9,-0.538832352
9586.1,4.7,-0.538832352
9648.6,4.1,-0.538832352
9693.1,4,-0.538832352
9737.6,3.4,-0.538832352
9776.4,4.6,-0.092943097
9815.1,7.6,-0.092943097
9896,5.4,-0.092943097
9976.9,5.2,-0.092943097
10019.9,7.3,0.077238985
10063,6.4,0.077238985
10103.9,11,5.806336432
10144.8,20.7,5.806336432
10189,34.4,5.806336432
10233.2,40.2,5.806336432
10285.2,29.8,5.806336432
10337.2,41.1,1.284982793
10496.3,12.7,1.284982793
10690.4,12.1,1.284982793
10884.5,7.5,1.284982793
10926.8,18.3,3.582833026
10969.1,23,3.582833026
11093.4,19.3,3.582833026
11217.7,15.8,3.582833026
11308.9,26.9,3.582833026
11400.1,23,3.582833026
11480.4,29.3,3.582833026
11560.6,24.5,13.02644851
11643.8,46.3,13.02644851
11726.9,72.9,13.02644851
11912.3,61.3,13.02644851
12097.7,74.4,13.02644851
12245.8,75.7,17.08202782
12394,86.8,17.08202782
12651,88.6,17.08202782
12908,91.5,17.08202782
13003.1,90,17.08202782
13098.2,87.2,17.08202782
13322.48,87,17.08202782
13641.86,83.6,17.08202782
13961.24,81.3,17.08202782
