id,ages,ageSds,position,thickness,calCurves,LabID,altitude
EI_Walker Point,5350,60,200,1,shcal20,Lu-2952,200
ByP_Lake 48,4570,60,120,1,shcal20,Ua-3923,120
ByP_Lake 9,2830,250,100,1,shcal20,Lu-3466,100
ByP_Lake 29,3210,220,100,1,shcal20,Lu-3463,100
ByP_Chester Lake,4575,20,95,1,shcal20,ULA-4253,95
ByP_Chester Cone Lake (Lake 2),2830,130,95,1,shcal20,Lu-3144,95
ByP_Escondido Lake,4600,20,92,1,shcal20,ULA-4243,92
ByP_Lake 49,3730,400,80,1,shcal20,Lu-3473,80
ByP_Limnopolar Lake,6700,50,80,1,shcal20,Poz-39090,80
ByP_Midge Lake,3735,250,70,1,shcal20,Ua-1220,70
ByP_Lake 30,4480,60,65,1,shcal20,Ua-3925,65
ByP_Lake 22,3430,180,50,1,shcal20,Lu-3464,50
ByP_Lake Åsa,4600,100,35,1,shcal20,Lu-3088,35
ByP_Domo Lake,2203,720,45,1,normal,DO-1,45
ByP_Chester Lake_1,7473,2480,95,1,normal,CN-1,95
ByP_Chester Lake_2,5843,1710,95,1,normal,CH-1,95
"AB_Rescuers Hills, Admiralty Bay",3200,130,45,1,shcal20,Gd-4635,45
"Ar_Penguin Ridge, Arctowski",4950,140,45.5,1,shcal20,U-4325,45.5
BP_Bedrock_1,15443,2500,265,1,normal,BP-3,265
BP_Bedrock_2,11843,2300,165,1,normal,BP-2,165
BP_Bedrock_3,7543,1600,164,1,normal,BP-6,164
BP_Bedrock_4,3743,900,124,1,normal,BP-5,124
BP_Bedrock_5,3343,700,123,1,normal,BP-1,123
BP_Bedrock_6,1943,1000,120,1,normal,BP-7,120
BP_Bedrock_7,4943,1200,107,1,normal,BP-4,107
BP_Bedrock_8,1843,1000,62,1,normal,BP-8,62
BP_Bedrock_9,943,700,41,1,normal,BP-9,41
BP_Periglacial sorted circles_1,4710,70,175,1,shcal20,SNU 03-429,175
BP_Periglacial sorted circles_2,2770,40,175,1,shcal20,SNU 03-279,175
BP_Lake 6,7150,30,39,1,shcal20,Beta-335036,39
BP_Lake 5,2830,30,35,1,shcal20,Beta-335038,35
BP_Lake 11,3495,35,67,1,shcal20,CNA2438-2-1,67
FP_Petrel Cave_palaeonotch,4620,65,47,1,shcal20,NIG-99050,47
FP_Periglacial sorted circles_1,1880,40,0,1,shcal20,Beta-195311,0
FP_Periglacial sorted circles_2,2640,40,0,1,shcal20,Beta-195313,0
FP_Hochlandsee,5410,185,101,1,shcal20,HD11417-11148,101
FP_Jurasee,8700,300,47,1,shcal20,HD11166-11024,47
FP_Mondsee,7200,250,45,1,shcal20,HD11415-11133,45
FP_Hotel Lake,6120,120,40,1,shcal20,Gd-4413,40
FP_Gaoshan Lake,6366,39,34.5,1,shcal20,SUERC-18923,34.5
FP_Tiefersee,5380,165,17.5,1,shcal20,HD11420-11161,17.5
FP_Long Lake,5723,70,12,1,shcal20,NZA13465,12
FP_Ardley Lake_1,7552,39,18,1,shcal20,SUERC-22317,18
FP_Ardley Island_1,2236,216,11,1,normal,Al-03,11
FP_Ardley Island_2,1733,129,11,1,normal,Al-02,11
FP_Ardley Island_3,1656,299,11,1,normal,Al-01,11
FP_Fildes_1,6630,520,43,1,normal,del-Vallee_2002-1,43
FP_Fildes_2,6510,520,40,1,normal,del-Vallee_2002-2,40
FP_Fildes_3,6610,550,39,1,normal,AA-55745,39
PC_Pingfo I_SP_1,5750,40,17.3,1,marine20666,SNU 03-423,17.3
PC_Pingfo I_SP_2,5840,40,17.3,1,marine20666,,17.3
PC_N Potter Peninsula,1592,47,17,1,marine20666,,17
WP_Weaver Peninsula,2320,120,100,1,shcal20,,100
