Age_ka,Summer_DJF,Stdev,Winter_JJA,Stdev,Annual,Stdev,Spring_Summer_SONDJF,Stdev,Autumn_winter_MAMJJA,Stdev
0,0,0,0,0,0,0,0,0,0,0
0.5,-0.571601333,1.074222115,-0.470584333,0.300269324,0.14695,1.269820205,0.868467833,1.452404124,-0.574567833,0.434150292
1,-1.466461667,2.006795721,-0.871286,0.525503715,0.2935755,2.581905064,1.718663833,2.995151652,-1.131512833,0.905912044
1.5,-2.683359667,2.772641077,-1.193029,0.665109184,0.438768833,3.951527437,2.537436,4.666935244,-1.659898333,1.414637094
2,-4.165434,3.371081286,-1.436512,0.722129524,0.58159825,5.379010081,3.313235,6.47639388,-2.1500385,1.949911974
2.5,-5.855006333,3.814356935,-1.604595667,0.707650098,0.721175583,6.85906197,4.037601,8.41703657,-2.595249833,2.501894825
3,-7.694455,4.1156725,-1.698075333,0.642540614,0.856654917,8.37559275,4.700744667,10.46487291,-2.987434833,3.058233332
3.5,-9.624718667,4.297332749,-1.718227667,0.583568564,0.987163167,9.907169897,5.29372,12.58617985,-3.319393667,3.607086706
4,-11.62250533,4.382919821,-1.658325667,0.647179672,1.111593417,11.44682403,5.8056265,14.77156808,-3.582439667,4.145457928
4.5,-13.64537833,4.414370682,-1.512586667,0.928875776,1.2288475,12.97746165,6.223937,16.99552173,-3.766242,4.667114648
5,-15.60413733,4.467152089,-1.293553,1.386154368,1.33810825,14.45933564,6.547327,19.18853957,-3.8711105,5.160707013
5.5,-17.43712167,4.607095904,-1.014884,1.951816699,1.438633667,15.8626616,6.779721667,21.29561645,-3.902454333,5.621766851
6,-19.09500467,4.867207394,-0.678308333,2.599590619,1.52961475,17.15520285,6.9147535,23.26689331,-3.855524,6.042724213
6.5,-20.516838,5.259529797,-0.289654333,3.311312746,1.610274667,18.29685397,6.947695833,25.03997279,-3.7271465,6.413510036
7,-21.69382533,5.78203365,0.142124333,4.066565801,1.679933083,19.2845855,6.884982167,26.60269015,-3.525116,6.741239803
7.5,-22.62908967,6.416710721,0.610767667,4.850060523,1.737953667,20.12195909,6.731883167,27.9541667,-3.255975833,7.03386739
8,-23.26718733,7.119593279,1.100808667,5.63687678,1.783650333,20.7681405,6.4914215,29.02979437,-2.924120833,7.278325904
8.5,-23.56019267,7.840624161,1.591145,6.395237208,1.816439083,21.18485959,6.172121667,29.76843741,-2.5392435,7.460805009
9,-23.51023533,8.543207941,2.064032333,7.098106315,1.836016583,21.36861094,5.787598667,30.16006871,-2.1155655,7.579764272
9.5,-23.14120367,9.202457023,2.505912333,7.725026705,1.842186333,21.33134268,5.3512365,30.21863977,-1.666863833,7.638008147
10,-22.48749267,9.817885698,2.916337,8.273907474,1.834792167,21.09828228,4.866818167,29.98001031,-1.197233833,7.644467227
10.5,-21.56032533,10.38826792,3.292947333,8.741154243,1.813723833,20.68083286,4.336194667,29.45939047,-0.708747,7.603059664
11,-20.35190267,10.87242935,3.609053667,9.092174721,1.77869825,20.06357192,3.778822333,28.63075039,-0.221425833,7.502143741
11.5,-18.89598133,11.23689076,3.843744333,9.300895101,1.729575667,19.25700376,3.2168505,27.50751841,0.242300833,7.338834349
12,-17.24173933,11.49587716,4.005025,9.380037956,1.666856167,18.30154713,2.652065167,26.14818387,0.681647167,7.129202749
12.5,-17.21375533,12.31680579,7.720834667,10.35776205,0.471104083,17.40830364,-2.564279167,24.00518143,3.506487333,8.267201392
13,-15.175611,12.52205334,7.593182333,10.02621633,0.44566025,16.34762393,-3.051360833,22.35363288,3.942681333,7.674874562
13.5,-13.069958,12.60359049,7.370102,9.587375301,0.416561083,15.25182584,-3.472390333,20.62558331,4.3055125,7.074452002
14,-10.924203,12.5560963,7.059082333,9.050319347,0.3839395,14.14029767,-3.824499833,18.85048733,4.592378833,6.483707254
14.5,-8.768517333,12.37287642,6.668006,8.424273488,0.3479745,13.03269245,-4.104014167,17.06016474,4.799963167,5.920696831
15,-6.659408333,12.05678014,6.216592,7.727201972,0.308921917,11.96429976,-4.3111305,15.31164152,4.928974333,5.407748408
15.5,-4.651395667,11.61587843,5.727157,6.978600144,0.267070083,10.96679764,-4.449449167,13.66064095,4.983589333,4.95913202
16,-2.801022333,11.06420438,5.225085,6.199768576,0.22269875,10.06722006,-4.525735667,12.16124581,4.971133167,4.57792672
16.5,-1.155172,10.41816085,4.733537,5.41012356,0.176090083,9.278700964,-4.548193333,10.85146702,4.9003735,4.252982005
17,0.262547333,9.676662342,4.259546333,4.616644686,0.127453917,8.582134433,-4.516124833,9.727454388,4.771032667,3.957590631
17.5,1.419183667,8.840304844,3.812049,3.827879363,0.077032583,7.949290027,-4.428518833,8.769602899,4.582584,3.659883426
18,2.283510333,7.935294872,3.411454,3.062285935,0.025319833,7.363392991,-4.297200333,7.957170085,4.34784,3.335331283
18.5,2.838889333,6.988678118,3.073514,2.335468038,-0.027199667,6.802190096,-4.134336,7.247326412,4.079936667,2.963989344
19,3.039838667,6.02397455,2.817022333,1.665189393,-0.080404,6.230397617,-3.948505833,6.56846951,3.787697833,2.518964033
19.5,2.852491,5.071886194,2.660408667,1.072493036,-0.134146417,5.619342164,-3.752018667,5.842279116,3.483725833,1.9808053
20,2.311813667,4.146016901,2.597828667,0.578126468,-0.187846667,4.959598121,-3.550252,5.014671091,3.174558667,1.354243882
