Age_Mar20,TEX86_SST,LOESS_100_age,LOESS_100_TEX86_SST,Warm_extreme_95pc,plot_at1,age1,age2,age3,age4,age5,age6,age7,plot_at2,Mean,upper95,lower95
0,1.5,0,0.827556878,500,-5,3100,4200,5400,6400,8100,8900,9500,-100,0.771,1.22,0.317
79.55,-0.42,100,-0.87129533,1700,-5,3300,4500,5700,7100,8700,9400,10000,10000,0.771,1.22,0.317
79.55,-1.66,200,-1.338443085,,,,,,,,,,,,,
134.34,-1.46,300,-0.279923686,,,,,,,,,,,,,
188.79,-1.65,400,1.073056294,,,,,,,,,,,,,
242.9,-1.47,500,2.698381629,,,,,,,,,,,,,
350.12,0.35,600,2.969417956,,,,,,,,,,,,,
350.12,1.18,700,1.649494534,,,,,,,,,,,,,
403.23,0.97,800,2.121894196,,,,,,,,,,,,,
456.01,1.36,900,1.979461995,,,,,,,,,,,,,
508.47,3.61,1000,2.731702724,,,,,,,,,,,,,
612.41,3.66,1100,4.065300864,,,,,,,,,,,,,
663.9,0.86,1200,3.027721317,,,,,,,,,,,,,
811.4309094,2.28,1300,3.502851745,,,,,,,,,,,,,
866.7037304,3.88,1400,3.243040012,,,,,,,,,,,,,
916.63,0.61,1500,2.69576712,,,,,,,,,,,,,
916.63,-0.67,1600,2.753193961,,,,,,,,,,,,,
966.25,2.33,1700,-0.164017901,,,,,,,,,,,,,
1015.559374,1.98,1800,-1.332172311,,,,,,,,,,,,,
1064.57,6.28,1900,-1.157254793,,,,,,,,,,,,,
1113.284366,3.91,2000,-0.769154655,,,,,,,,,,,,,
1161.7,2.52,2100,-0.969239965,,,,,,,,,,,,,
1209.82,2.2,2200,-0.955296279,,,,,,,,,,,,,
1257.649322,4.17,2300,-1.614385214,,,,,,,,,,,,,
1352.437552,3.1,2400,-0.861150412,,,,,,,,,,,,,
1399.401988,4.28,2500,-0.938711624,,,,,,,,,,,,,
1446.08,1.79,2600,-0.97062077,,,,,,,,,,,,,
1584.45,2.63,2700,-1.575266317,,,,,,,,,,,,,
1584.45,4.53,2800,-0.929043652,,,,,,,,,,,,,
1630.02,3.64,2900,-0.012703637,,,,,,,,,,,,,
1675.32,-0.55,3000,0.910238887,,,,,,,,,,,,,
1809.6,-1.87,3100,1.761641736,,,,,,,,,,,,,
1853.84,-0.76,3200,1.802635674,,,,,,,,,,,,,
1897.81,-1.79,3300,-0.310713965,,,,,,,,,,,,,
1941.52,-0.67,3400,-1.080832645,,,,,,,,,,,,,
2028.18,-0.61,3500,0.975688804,,,,,,,,,,,,,
2113.84,-1.37,3600,0.966536855,,,,,,,,,,,,,
2156.3,-0.49,3700,-0.086147484,,,,,,,,,,,,,
2219.52,-0.85,3800,-0.406669458,,,,,,,,,,,,,
2344.36,-2.51,3900,0.2707514,,,,,,,,,,,,,
2426.4,0.37,4000,0.066788146,,,,,,,,,,,,,
2426.4,0.58,4100,0.532996577,,,,,,,,,,,,,
2507.53,-1.72,4200,1.336637596,,,,,,,,,,,,,
2587.76,0.67,4300,1.516438924,,,,,,,,,,,,,
2627.54,-2.41,4400,1.762068622,,,,,,,,,,,,,
2757.28,-1.33,4500,1.179178443,,,,,,,,,,,,,
3199.33,2.75,4600,0.136969181,,,,,,,,,,,,,
3272.27,0.17,4700,0.219706669,,,,,,,,,,,,,
3380.33,-2.46,4800,-0.222085413,,,,,,,,,,,,,
3380.33,-2.72,4900,-0.767226395,,,,,,,,,,,,,
3451.51,0.01,5000,-0.449315454,,,,,,,,,,,,,
3522.02,2.28,5100,-0.661516326,,,,,,,,,,,,,
3591.87,1.18,5200,-0.498570166,,,,,,,,,,,,,
3712.58,-0.44,5300,0.727234547,,,,,,,,,,,,,
3814.58,-0.18,5400,2.71649965,,,,,,,,,,,,,
3814.58,-1.33,5500,4.180687424,,,,,,,,,,,,,
3915.27,0.9,5600,3.294983447,,,,,,,,,,,,,
4014.73,-0.41,5700,1.603064985,,,,,,,,,,,,,
4194.07,1.46,5800,0.183649459,,,,,,,,,,,,,
4258.38,1.87,5900,-0.063046822,,,,,,,,,,,,,
4322.23,1.34,6000,-0.41753949,,,,,,,,,,,,,
4385.65,-0.11,6100,-0.125895233,,,,,,,,,,,,,
4448.65,5.72,6200,0.359639987,,,,,,,,,,,,,
4448.65,5.38,6300,0.868614482,,,,,,,,,,,,,
4511.25,-0.39,6400,1.554428187,,,,,,,,,,,,,
4557.95,-1.56,6500,2.714035648,,,,,,,,,,,,,
4557.95,-0.7,6600,2.706501976,,,,,,,,,,,,,
4635.33,0.84,6700,2.462987322,,,,,,,,,,,,,
4696.85,0.15,6800,2.214909895,,,,,,,,,,,,,
4758.03,0.44,6900,1.936921435,,,,,,,,,,,,,
4849.24,-0.93,7000,1.489794489,,,,,,,,,,,,,
4939.82,-0.95,7100,0.939904918,,,,,,,,,,,,,
4999.89,-0.4,7200,0.480454948,,,,,,,,,,,,,
5059.72,-0.02,7300,0.566779619,,,,,,,,,,,,,
5059.72,1.04,7400,0.607239239,,,,,,,,,,,,,
5134.21,-1.84,7500,-0.409475204,,,,,,,,,,,,,
5223.19,-0.18,7600,-0.152794164,,,,,,,,,,,,,
5311.81,0.61,7700,0.083207176,,,,,,,,,,,,,
5488.16,4.91,7800,-0.988137364,,,,,,,,,,,,,
5561.38,4.22,7900,-0.484753329,,,,,,,,,,,,,
5649.13,2.31,8000,0.978526107,,,,,,,,,,,,,
5678.36,2.27,8100,2.173400872,,,,,,,,,,,,,
5766.02,-0.11,8200,2.123109049,,,,,,,,,,,,,
5912.16,0.12,8300,1.555940506,,,,,,,,,,,,,
5985.33,-0.71,8400,1.604436738,,,,,,,,,,,,,
6430.87,1.51,8500,4.085817047,,,,,,,,,,,,,
6460.71,2.82,8600,3.921625523,,,,,,,,,,,,,
6460.71,3.29,8700,0.302464825,,,,,,,,,,,,,
6931.6,1.89,8800,0.172854119,,,,,,,,,,,,,
7230.33,0.2,8900,1.699657373,,,,,,,,,,,,,
7424.06,1.18,9000,3.47600389,,,,,,,,,,,,,
7456.77,-1.58,9100,5.24649563,,,,,,,,,,,,,
7456.77,-0.22,9200,5.130714369,,,,,,,,,,,,,
7740.21,0.58,9300,1.732179079,,,,,,,,,,,,,
7808.39,-2.08,9400,-0.162915065,,,,,,,,,,,,,
8087.36,2.42,9500,1.584775212,,,,,,,,,,,,,
8140.83,2.59,9600,2.648020769,,,,,,,,,,,,,
8303.64,1.47,9700,1.914049389,,,,,,,,,,,,,
8432.82,0.9,9800,3.353216169,,,,,,,,,,,,,
8526.52,6.23,9900,3.666562997,,,,,,,,,,,,,
8640.59,3.65,10000,3.641106405,,,,,,,,,,,,,
8698.31,-1.64,10100,3.619679307,,,,,,,,,,,,,
8834.81,0.01,10200,3.761023894,,,,,,,,,,,,,
8834.81,1.13,10300,3.946425302,,,,,,,,,,,,,
9013.83,3.65,10400,2.286941992,,,,,,,,,,,,,
9136.58,5.31,10500,1.564681895,,,,,,,,,,,,,
9136.58,7.27,10600,1.866771575,,,,,,,,,,,,,
9259.32,5.11,10700,2.405702945,,,,,,,,,,,,,
9332.97,-1.51,10800,7.262423281,,,,,,,,,,,,,
9365.7,-2.87,10900,5.153338395,,,,,,,,,,,,,
9406.62,0.6,11000,3.713296889,,,,,,,,,,,,,
9406.62,-0.12,11100,5.528201545,,,,,,,,,,,,,
9488.45,0.63,11200,6.630444903,,,,,,,,,,,,,
9488.45,1.21,11300,5.082760802,,,,,,,,,,,,,
9537.55,3.31,11400,3.826344763,,,,,,,,,,,,,
9652.11,2.74,11500,3.958434387,,,,,,,,,,,,,
9717.57,1.49,11600,5.670438198,,,,,,,,,,,,,
9717.57,-1.14,11700,6.743805124,,,,,,,,,,,,,
9766.67,3.73,11800,9.309302514,,,,,,,,,,,,,
10212.89,3.56,,,,,,,,,,,,,,,
10296.63,5.15,,,,,,,,,,,,,,,
10352.45,3.76,,,,,,,,,,,,,,,
10352.45,1.46,,,,,,,,,,,,,,,
10464.1,1.41,,,,,,,,,,,,,,,
10510.62,0.89,,,,,,,,,,,,,,,
10547.84,2.36,,,,,,,,,,,,,,,
10689.16,1.43,,,,,,,,,,,,,,,
10726.47,-0.03,,,,,,,,,,,,,,,
10763.588,7.6,,,,,,,,,,,,,,,
10800.9,10.38,,,,,,,,,,,,,,,
10949.77,2.15,,,,,,,,,,,,,,,
11033.5,3.87,,,,,,,,,,,,,,,
11173.06,7.63,,,,,,,,,,,,,,,
11303.32,5.46,,,,,,,,,,,,,,,
11359.14,1.84,,,,,,,,,,,,,,,
11377.75,4.09,,,,,,,,,,,,,,,
11461.49,3.94,,,,,,,,,,,,,,,
11563.83,3.28,,,,,,,,,,,,,,,
