id,ages,ageSds,position,thickness,calCurves,group,altitude
ART-03A-2015,1380,30,0,1,shcal20,ART03,72
ART-03B-2015,1380,30,0,1,shcal20,ART03,72
ART-01A-2015,1980,30,0,1,shcal20,ART01,72
ART-01B-2015,1950,30,0,1,shcal20,ART01,72
ART-01A-2015 bis,1920,30,0,1,shcal20,ART01,72
ART-01B-2015 bis,1940,30,0,1,shcal20,ART01,72
ART-08-ar-A-2015,2030,30,0,1,shcal20,ART08,16
ART-08-ar-B-2015,2050,30,0,1,shcal20,ART08,16
ART-08-ab-A-2015,1870,30,0,1,shcal20,ART08,16
ART-08-ab-B-2015,1900,30,0,1,shcal20,ART08,16
ART-02-1A,2050,30,0,1,shcal20,ART02,7
ART-02-2A,2010,30,0,1,shcal20,ART02,7
ART-02-2B,1980,30,0,1,shcal20,ART02,7
AA-468016,3264,94,0,1,shcal20,VN_Inner 1,50
AA-468037,3195,76,0,1,shcal20,VN_Inner 4,50
AA-442798,2870,42,0,1,shcal20,VN_Outer 5,50
AA-442789,2799,42,0,1,shcal20,VN_Inner 1,50
AA-4680510,2715,35,0,1,shcal20,VN_Inner 3,50
AA-4680011,2609,35,0,1,shcal20,VN_Inner 2,50
AA-4427712,2500,41,0,1,shcal20,VN_Inner 1,50
AA-4680413,2159,44,0,1,shcal20,VN_Inner 2,50
AA-4680714,2151,52,0,1,shcal20,VN_Inner 5,50
AA-4428015,2136,47,0,1,shcal20,VN_Inner 2,50
AA-4680816,2037,44,0,1,shcal20,VN_Inner 5,50
AA-4356817,1258,37,0,1,shcal20,VN_Inner 6,50
AA-4356518,894,41,0,1,shcal20,VN_Outer 4,50
AA-4679819,855,32,0,1,shcal20,VN_Outer 2,50
AA-4680920,713,37,0,1,shcal20,VN_Outer 3,50
AA-4680221,677,45,0,1,shcal20,VN_Outer 2,50
AA-4427622,264,37,0,1,shcal20,VN_Outer 1,50
AA-46810,1948,40,0,1,shcal20,VK_All,30
AA-43571,1453,38,0,1,shcal20,VK_All,30
AA-46811,1403,41,0,1,shcal20,VK_All,30
AA-44275,1338,42,0,1,shcal20,VK_All,30
AA-43570,1116,48,0,1,shcal20,VK_All,30
