id,ages,ageSds,position,thickness,calCurves
NIG-99050,4620,65,47,1,shcal20
Beta-195311,1880,40,NA,1,shcal20
Beta-195313,2640,40,NA,1,shcal20
HD11417-11148,5410,185,101,1,shcal20
HD11166-11024,8700,300,47,1,shcal20
HD11415-11133,7200,250,45,1,shcal20
Gd-4413,6120,120,40,1,shcal20
SUERC-18923,6366,39,34.5,1,shcal20
HD11420-11161,5380,165,17.5,1,shcal20
NZA13465,5723,70,12,1,shcal20
SUERC-22317,7552,39,18,1,shcal20
HD11416-11147,5410,285,22,1,shcal20
Al-03,2236,216,11,1,normal
Al-02,1733,129,11,1,normal
Al-01,1656,299,11,1,normal
del-Vallee_2002-1,5750,40,17.3,1,marine20666
del-Vallee_2002-2,5840,40,17.3,1,marine20666
AA-55745,1592,47,17,1,marine20666
