id,ages,ageSds,position,thickness,calCurves,SiteName,altitude
Birm-23,7683,86,0,1,marine20666,PC-SJ-1973,4
Birm-48a,9670,230,0,1,marine20666,PC-SJ-1973,3.5
Beta-441402,7860,40,0,1,marine20666,PC-Pingfo-II,1.5
Beta-441403,7890,40,0,1,marine20666,PC-Pingfo-II,1.55
ETH-67269,8010,85,0,1,marine20666,PC-Pingfo-II,1.6
ETH-67267,7805,85,0,1,marine20666,PC-Pingfo-II,1.7
Beta - 431964,7780,30,0,1,marine20666,PC-Pingfo-II,1.85
ETH-67270,8170,85,0,1,marine20666,PC-Pingfo-II,2.05
ETH-67272,8115,80,0,1,marine20666,PC-Pingfo-II,2.1
ETH-71994,7920,20,0,1,marine20666,PC-Pingfo-II,2.56
ETH-67268,7705,80,0,1,marine20666,PC-Pingfo-II,2.7
ETH-67273,8005,85,0,1,marine20666,PC-Pingfo-II,2.95
ETH-67275,7950,70,0,1,marine20666,PC-Pingfo-II,3.05
ETH-67274,8020,90,0,1,marine20666,PC-Pingfo-II,3.05
ETH-67276,8145,70,0,1,marine20666,PC-Pingfo-II,3.1
ETH-72000,8015,20,0,1,marine20666,PC-Pingfo-II,3.11
ETH-67277,8300,75,0,1,marine20666,PC-Pingfo-II,3.3
ETH-71996,8005,20,0,1,marine20666,PC-Pingfo-II,3.41
ETH-71997,7995,20,0,1,marine20666,PC-Pingfo-II,3.46
Beta - 441404,8100,40,0,1,marine20666,PC-Pingfo-II,3.5
ETH-67278,8090,75,0,1,marine20666,PC-Pingfo-II,3.5
ETH-72001,7995,65,0,1,marine20666,PC-Pingfo-II,4
ETH-71995,8195,25,0,1,marine20666,PC-Pingfo-II,4.47
SUERC-14413,7831,39,0,1,marine20666,PC-RiverSection,2.79
SUERC-14414,7883,39,0,1,marine20666,PC-RiverSection,2.79
SUERC-14416,7853,38,0,1,marine20666,PC-RiverSection,2.79
SUERC-14417,7842,37,0,1,marine20666,PC-RiverSection,2.79
Beta-441400,1880,30,0,1,shcal20,PC-InlandMoraine,2.2
Beta-441401,1850,30,0,1,shcal20,PC-InlandMoraine,2.2
