id,ages,ageSds,position,thickness,calCurves,altitude
060129-2,2180,70,0,1,shcal20,20
060129-3,1530,70,0,1,shcal20,20
CNA2439-2-1,4165,35,0,1,shcal20,103
Beta-335037,2450,30,0,1,shcal20,102
AA-468016,3264,94,0,1,shcal20,50
AA-468037,3195,76,0,1,shcal20,50
AA-442798,2870,42,0,1,shcal20,50
AA-442789,2799,42,0,1,shcal20,50
AA-4680510,2715,35,0,1,shcal20,50
AA-4680011,2609,35,0,1,shcal20,50
AA-4427712,2500,41,0,1,shcal20,50
AA-4680413,2159,44,0,1,shcal20,50
AA-4680714,2151,52,0,1,shcal20,50
AA-4428015,2136,47,0,1,shcal20,50
AA-4680816,2037,44,0,1,shcal20,50
AA-4356817,1258,37,0,1,shcal20,50
AA-4356518,894,41,0,1,shcal20,50
AA-4679819,855,32,0,1,shcal20,50
AA-4680920,713,37,0,1,shcal20,50
AA-4680221,677,45,0,1,shcal20,50
AA-4427622,264,37,0,1,shcal20,50
AA-46810,1948,40,0,1,shcal20,30
AA-43571,1453,38,0,1,shcal20,30
AA-46811,1403,41,0,1,shcal20,30
AA-44275,1338,42,0,1,shcal20,30
AA-43570,1116,48,0,1,shcal20,30
Beta-441409,1380,30,0,1,shcal20,72
Beta-441410,1380,30,0,1,shcal20,72
Beta-441405,1980,30,0,1,shcal20,72
Beta-441406,1950,30,0,1,shcal20,72
Beta-441407,1920,30,0,1,shcal20,72
Beta-441408,1940,30,0,1,shcal20,72
Beta-441411,2030,30,0,1,shcal20,16
Beta-441412,2050,30,0,1,shcal20,16
Beta-441413,1870,30,0,1,shcal20,16
Beta-441414,1900,30,0,1,shcal20,16
Beta-441415,2050,30,0,1,shcal20,7
Beta-441417,2010,30,0,1,shcal20,7
Beta-441418,1980,30,0,1,shcal20,7
ETH-69688,7045,85,0,1,marine20666,18
ETH-69689,6590,70,0,1,marine20666,18
ETH-69690,6730,75,0,1,marine20666,18
ETH-69691,6265,75,0,1,marine20666,27
ETH-69692,5895,70,0,1,marine20666,27
ETH-69693,6235,70,0,1,marine20666,28
ETH-69694,5925,70,0,1,marine20666,28
ETH-69695,6520,75,0,1,marine20666,28
Birm-23,7683,86,0,1,marine20666,4
Birm-48a,9670,230,0,1,marine20666,3.5
Beta-441402,7860,40,0,1,marine20666,1.5
Beta-441403,7890,40,0,1,marine20666,1.55
ETH-67269,8010,85,0,1,marine20666,1.6
ETH-67267,7805,85,0,1,marine20666,1.7
Beta - 431964,7780,30,0,1,marine20666,1.85
ETH-67270,8170,85,0,1,marine20666,2.05
ETH-67272,8115,80,0,1,marine20666,2.1
ETH-71994,7920,20,0,1,marine20666,2.56
ETH-67268,7705,80,0,1,marine20666,2.7
ETH-67273,8005,85,0,1,marine20666,2.95
ETH-67275,7950,70,0,1,marine20666,3.05
ETH-67274,8020,90,0,,marine20666,3.05
ETH-67276,8145,70,0,,marine20666,3.1
ETH-72000,8015,20,0,,marine20666,3.11
ETH-67277,8300,75,0,,marine20666,3.3
ETH-71996,8005,20,0,,marine20666,3.41
ETH-71997,7995,20,0,,marine20666,3.46
Beta - 441404,8100,40,0,,marine20666,3.5
ETH-67278,8090,75,0,,marine20666,3.5
ETH-72001,7995,65,0,,marine20666,4
ETH-71995,8195,25,0,,marine20666,4.47
SUERC-14413,7831,39,0,,marine20666,2.79
SUERC-14414,7883,39,0,,marine20666,2.79
SUERC-14416,7853,38,0,,marine20666,2.79
SUERC-14417,7842,37,0,,marine20666,2.79
Beta-441400,1880,30,0,,shcal20,2.2
Beta-441401,1850,30,0,,shcal20,2.2
