id,ages,ageSds,position,thickness,calCurves,altitude
ART_07A_2015,7045,85,0,1,marine20,18
ART_07B_2015,6590,70,0,1,marine20,18
ART_07C_2015,6730,75,0,1,marine20,18
ART_09A_2015,6265,75,0,1,marine20,27
ART_09B_2015,5895,70,0,1,marine20,27
ART_10A_2015,6235,70,0,1,marine20,28
ART_10B_2015,5925,70,0,1,marine20,28
ART_10C_2015,6520,75,0,1,marine20,28
